#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"カタオモイ","Aimer",97,3B,53,2022-12-25,03:27,68,"anime, j-pop, j-rock","daydream",2016-09-21,62,78,0,79,0,30,-6,C♯/D♭ Major,4,2HovXsvcdJur52BOcYGydz,JPU901602293
2,"BBIBBI","IU",144,9B,62,2022-12-25,03:14,63,"k-pop, k-ballad","BBIBBI",2018-10-10,84,24,0,82,30,30,-5,G Major,4,4as4XEOR03oGm1STUKl6pa,KRA381801523
3,"Unreachable love song","Tani Yuuki",106,11B,83,2022-12-25,03:40,50,"j-pop","Memories",2021-12-08,77,21,0,55,0,30,-6,A Major,4,7dthn3tyJkotnxTRih1LMo,JPZ922102041
4,"夜撫でるメノウ","Ayase",100,6B,73,2022-12-25,04:22,61,"vocaloid, j-pop","夜撫でるメノウ / 幽霊東京",2021-09-08,70,7,0,64,0,30,-7,A#/B♭ Major,4,6IHWPY5iBUI1AOUclbtE6F,JPP302101632
5,"Celebrity","IU",100,11B,78,2022-12-25,03:15,62,"k-pop, k-ballad","IU 5th Album 'LILAC'",2021-03-25,73,19,0,67,0,10,-3,A Major,4,5nCwjUUsmBuNZKn9Xu10Os,KRA382100464
6,"ブルーベリー・ナイツ","Macaroni Empitsu",106,7B,87,2022-12-25,04:04,69,"j-pop","hope",2020-04-01,66,28,0,77,0,0,-4,F Major,4,2UdvMWk0Z83lMJPbawy2Sm,JPZ921814344
7,"センチメンタル・キス","汐れいら",77,2B,46,2022-12-25,05:25,57,"j-pop","センチメンタル・キス",2022-05-14,71,67,0,35,0,10,-7,F#/G♭ Major,4,73fWe6SUxkj5QI7ZwfEZmc,TCJPR2282100
8,"君じゃない誰かの愛し方 (Ring)","TOMORROW X TOGETHER",129,9B,74,2022-12-25,03:24,49,"k-pop","君じゃない誰かの愛し方 (Ring)",2022-08-23,45,2,0,50,0,40,-5,G Major,5,5yR9bGLr8Zz2EndMrthui1,JPPO02202905
9,"Hype Boy","NewJeans",100,9A,94,2022-12-25,02:59,78,"k-pop","NewJeans 1st EP 'New Jeans'",2022-08-01,59,27,0,78,20,20,-3,E Minor,4,0a4MMyCrzT0En247IhqZbD,USA2P2230222
10,"DARARI - KR ver.-","TREASURE",85,8B,63,2022-12-25,03:40,50,"k-pop","THE SECOND STEP : CHAPTER ONE (KR EDITION)",2022-02-15,63,50,0,55,0,0,-7,C Major,4,3rP1vFt5QvkcdUoYqQXl06,KRA402100151
11,"君はロックを聴かない","Aimyon",100,9B,69,2022-12-25,04:06,71,"j-pop","青春のエキサイトメント",2017-09-12,52,0,0,62,0,10,-4,G Major,4,59eluCMn0XbOWqeWQ91FTM,JPWP01771557
12,"Ditto","NewJeans",134,11A,64,2022-12-25,03:05,80,"k-pop","Ditto",2022-12-19,81,3,0,18,10,10,-6,F#/G♭ Minor,4,3r8RuvgbX9s7ammBn07D3W,USA2P2254487
13,"会いたい","もさを。",95,8B,49,2022-12-25,04:10,45,"j-pop","会いたい",2020-10-26,70,46,0,54,0,10,-6,C Major,4,6KCEL11alMnIccqpRBrrN1,JPPO02002506
14,"キンモクセイ","オレンジスパイニクラブ",105,7B,76,2022-12-25,03:51,56,"j-pop","イラつくときはいつだって",2020-01-22,54,9,0,32,0,10,-4,F Major,4,2yXTuH22VMVjFME060zJRv,JPZ921913230
15,"Sour Grapes","LE SSERAFIM",140,11A,80,2022-12-25,03:16,69,"k-pop","FEARLESS",2022-05-02,78,40,0,72,0,10,-6,F#/G♭ Minor,4,6wBpO4Xc4YgShnENGSFA1M,USA2P2219221
16,"Attention","NewJeans",105,3A,65,2022-12-25,03:00,77,"k-pop","NewJeans 1st EP 'New Jeans'",2022-08-01,81,24,0,70,0,0,-4,A#/B♭ Minor,4,2pIUpMhHL6L9Z5lnKxJJr9,USA2P2230221
17,"Way Back Home","SHAUN",100,6B,74,2022-12-25,03:34,69,"k-pop","Take",2018-06-27,75,41,0,56,0,10,-5,A#/B♭ Major,4,3NxuezMdSLgt4OwHzBoUhL,KRF221800012
18,"Kiss","NMIXX",123,4B,87,2022-12-25,03:06,49,"k-pop","Kiss",2022-07-31,69,15,0,69,0,0,-2,G#/A♭ Major,4,3pNcAmfGXKeKvsSG2h1teI,KRA252201441
19,"COOL (Your rainbow)","NMIXX",149,4B,72,2022-12-25,02:50,39,"k-pop","ENTWURF",2022-09-19,59,55,0,57,10,30,-5,G#/A♭ Major,4,7pDDXE5HVFZBvMxjL4CjVp,US5TA2200098
20,"君が思い出になる前に","SPITZ",99,11B,68,2022-12-25,05:04,45,"j-pop, j-rock, kayōkyoku","CYCLE HIT 1991-1997 Spitz Complete Single Collection",2006-03-25,64,40,0,35,0,0,-4,A Major,4,0C19jby6yMaodx3PGW2tut,JPPO01702920
21,"Why So Lonely","Wonder Girls",155,9B,73,2022-12-26,03:26,51,"k-pop","Why So Lonely",2016-07-05,63,11,0,81,10,10,-5,G Major,4,77vrFgjwzgGRZepsfLcqQd,US5TA1600034
22,"Hurt","NewJeans",180,3A,45,2022-12-26,02:57,73,"k-pop","NewJeans 1st EP 'New Jeans'",2022-08-01,60,73,0,57,0,10,-7,A#/B♭ Minor,4,5expoVGQPvXuwBBFuNGqBd,USA2P2230224
23,"05410-(ん)","RADWIMPS",130,4B,97,2022-12-27,03:10,40,"anime, j-pop, j-rock","青とメメメと君と",2017-02-24,60,0,0,84,0,10,-3,G#/A♭ Major,4,3pNgyJlJPop7VUbtwNrhaa,JPTO00601677
24,"Love Song","Uru",138,11B,58,2022-12-27,04:46,58,"j-pop, anime","Love Song",2021-08-05,57,57,0,39,0,0,-5,A Major,4,2aAuO61alPO20xyePFHjdf,JPU902101685
25,"結","Saucy Dog",154,2B,66,2022-12-27,04:24,21,"j-pop, japanese indie","テイクミー",2020-09-02,53,22,0,54,0,10,-7,F#/G♭ Major,4,5Anr2wqdL182BsI02iCbcd,JPJ222001401
26,"裸の心","Aimyon",148,4B,45,2022-12-27,04:56,56,"j-pop","裸の心",2020-05-01,56,54,0,35,0,0,-4,G#/A♭ Major,4,11OHUXwYHjsRNysUDdO2JS,JPWP02070235
27,"今夜このまま","Aimyon",105,3B,85,2022-12-27,03:58,67,"j-pop","瞬間的シックスセンス",2019-02-13,44,3,0,64,0,0,-4,C♯/D♭ Major,4,6kKvmT4i0Dercz6f3kftg3,JPWP01871332
28,"ヤングアダルト","Macaroni Empitsu",131,5B,83,2022-12-27,04:18,65,"j-pop","hope",2020-04-01,74,33,0,83,0,0,-5,D#/E♭ Major,4,3IanNVIcOMlKFr329uhNcA,JPZ921907276
29,"napori","Vaundy",130,1B,36,2022-12-27,03:23,0,"j-pop, japanese indie, j-rock, anime","strobo",2020-05-27,88,42,0,47,30,10,-8,B Major,4,7LPL74iMxXZ4hEjCwmLMae,JPR652000114
30,"ラベンダー","the shes gone",172,2B,57,2022-12-27,05:10,51,"j-pop, japanese indie","SINCE",2021-10-20,50,9,0,61,0,20,-5,F#/G♭ Major,4,5w5ajnulcqLSooV37j7oMT,JPB452105810
31,"ラブホテル","Creep Hyp",134,6B,72,2023-01-02,03:50,46,"j-pop, j-rock","吹き零れる程のI、哀、愛",2013-07-24,52,7,0,61,0,30,-4,A#/B♭ Major,4,2aoiFkjV9WKQd9wAuE9pKQ,JPVI01310440
32,"ガールズルール","dramastore",108,7B,92,2023-01-02,03:19,5,"japanese indie, j-pop","DRAMA STORE",2019-04-10,67,10,0,83,0,30,-3,F Major,4,362C9jw3IlYrLPeaaZi0hc,JPTE01900430
33,"カシスオレンジ","Laughing Hick",126,7B,73,2023-01-02,03:39,60,"j-pop","DOPAMINE",2019-12-18,58,2,0,59,0,10,-4,F Major,4,78cNVXTGe2OGnno2dLzhzr,JPB951903178
34,"愛を伝えたいだとか","Aimyon",100,10B,85,2023-01-02,03:55,72,"j-pop","青春のエキサイトメント",2017-09-12,67,3,0,79,0,0,-5,D Major,4,0N8Xztr4pBHJ7V0moJWhbO,JPWP01770243
35,"バニラ","Kyanai",113,6B,70,2023-01-02,04:11,55,"j-pop","バニラ",2022-03-09,64,3,0,52,0,10,-4,A#/B♭ Major,4,0zfNtgPJ5FLkbveRjSdCMb,TCJPR2220366
36,"恋風邪にのせて","Vaundy",118,11A,91,2023-01-02,04:15,0,"j-pop, japanese indie, j-rock, anime","恋風邪にのせて",2022-03-07,60,0,0,54,0,30,-4,F#/G♭ Minor,4,5PeXak0Ox3JmH2oor0qnGt,JPR652200002
37,"ハレンチ","CHANMINA",120,10A,87,2023-01-02,03:18,60,"j-pop, j-rap","ハレンチ",2021-09-24,71,5,0,56,0,30,-6,B Minor,4,0e1k2ptLJEtnlM4Fy8QVo6,JPWP02170748
38,"Anniversary","HIRAIDAI",186,5A,66,2023-03-03,02:48,43,"j-pop","HOPE / WISH",2022-05-09,59,7,0,56,0,30,-6,C Minor,4,79Jzx5hxCQf7TysqfGJNfT,JPB602103097
39,"garuda","Oisicle Melonpan",126,3B,87,2023-05-22,05:14,30,"japanese indie, j-rock, j-pop","answer",2023-04-19,59,3,0,67,0,0,-5,C♯/D♭ Major,3,2dRQA51h5VDq2O1PbCO1js,JPZ922300532
40,"地獄先生","Soutaiseiriron",150,12A,67,2023-05-22,03:08,23,"japanese indie, shibuya-kei, j-rock, j-pop","地獄先生",2008-12-17,66,50,0,76,0,10,-5,C♯/D♭ Minor,4,0gvKZuMmeUeaxHydjQKYve,JPTO00802498
41,"Allergy","i-dle",165,7B,92,2023-06-07,02:42,34,"k-pop","I feel",2023-05-15,59,5,0,55,10,0,-4,F Major,4,0afnaAYZk1IPQSFDd2MGw0,KRA392300002
42,"食虫植物","理芽",123,2B,52,2023-07-03,02:35,0,"j-pop, vocaloid","食虫植物",2020-08-12,81,18,0,71,0,10,-4,F#/G♭ Major,4,4cTL5Fb8VwlpPwgRZMZS3g,JPB602075543
43,"カラメル","もさを。",116,10B,90,2023-09-14,03:28,44,"j-pop","カラメル",2021-11-22,63,24,0,83,0,0,-4,D Major,4,0UZrpjO9FIX9fn1q5m2Hgw,JPPO02104210
44,"初恋が泣いている","Aimyon",105,2B,82,2023-09-14,03:59,41,"j-pop","初恋が泣いている",2022-05-11,61,2,0,66,0,30,-4,F#/G♭ Major,4,1vT6VdL9PrHOBziwubdt29,JPWP02270358
45,"スパークル","Lilas",150,1B,58,2023-09-14,03:33,61,"j-pop, anime","スパークル",2022-01-17,61,42,0,69,0,0,-5,B Major,4,6EuubEs5qOmJdpNhkU47OZ,JPP302102013
46,"恋なんかNo thank you!","NMB48",132,6A,88,2023-09-14,04:27,0,"c-pop, j-pop","恋なんかNo thank you!(Special Edition)",2020-11-18,54,5,0,68,0,30,-2,G Minor,4,74rjYyuRscP0KRvCMEXiIN,JPN002000186
47,"ラストラブレター","moon drop",100,8B,79,2023-11-07,04:48,44,"","この掌がまだ君を覚えている",2022-01-19,54,10,0,77,0,30,-5,C Major,4,2aeNd3vzGAOdO9LJej9zzg,JPVI02102934
48,"ハート","Aimyon",78,2B,45,2023-11-07,04:31,55,"j-pop","ハート",2021-10-20,66,54,0,30,0,0,-6,F#/G♭ Major,4,6cvKfEw8rDcmXBslqSEC9G,JPWP02170768
49,"コイワズライ","Aimer",94,6B,50,2023-11-07,03:55,55,"anime, j-pop, j-rock","Sun Dance",2019-04-09,68,30,0,77,0,30,-6,A#/B♭ Major,4,0ZiO07cHvb675UDaKB1iix,JPU901900598
50,"それを愛と呼ぶなら","Uru",170,6B,53,2023-11-07,04:54,59,"j-pop, anime","それを愛と呼ぶなら",2022-04-24,49,73,0,45,0,10,-5,A#/B♭ Major,4,3ibqi5ANZtNI7QXOgUnFsL,JPU902201304
51,"If I Can't Have You","Shawn Mendes",124,10B,81,2023-11-07,03:10,67,"","If I Can't Have You",2019-05-03,69,52,0,86,0,10,-4,D Major,4,6LsAAHotRLMOHfCsSfYCsz,USUM71907349
52,"桜が降る夜は","Aimyon",107,7B,96,2023-12-06,04:34,58,"j-pop","桜が降る夜は",2021-02-17,64,38,0,71,0,20,-3,F Major,4,1iEsGutpDvMJG0zYqoKKmQ,JPWP02100223
53,"憧れのままに","yama,Tatsuya Kitani",144,11A,95,2023-12-29,03:24,43,"j-pop, anime, j-rock","憧れのままに",2023-09-20,69,10,0,78,0,20,-4,F#/G♭ Minor,4,7LXjgEPK0QDh2yAZDRwVTs,JPU902303806
54,"だってだってだって","NMB48",125,5B,89,2024-04-08,04:10,0,"c-pop, j-pop","だってだってだって(Special Edition)",2020-08-19,59,8,0,75,0,30,-3,D#/E♭ Major,4,6lLvBgDF4iJScndG6sEr3G,JPN002000070
55,"Fate","i-dle",115,8B,73,2024-04-08,02:41,44,"k-pop","2",2024-01-29,87,23,0,83,10,30,-5,C Major,4,5kt0nWRnFWEeBUyLWSYnkd,KRA392300030
56,"Love Letter","AYANE",95,5B,61,2024-06-28,03:22,28,"j-pop, j-r&b","Love Letter",2023-04-05,75,52,0,61,10,20,-5,D#/E♭ Major,4,2FIt86U56hUH4cb4xuGKuJ,JP92N2314728
57,"恋する惑星「アナタ」","TOMIOKA AI",142,8B,44,2024-06-28,03:28,54,"j-pop","恋する惑星「アナタ」",2024-02-14,69,14,0,73,0,10,-6,C Major,4,6CzuquhI7EV1ft0gHmJhRg,JPVI02400130
58,"カラメル","金時",174,3B,58,2024-06-28,03:19,36,"","カラメル",2024-06-27,62,77,0,61,0,20,-7,C♯/D♭ Major,4,3hDDJXDJLDeo5Uh8CJPKQF,TCJPA2479491
59,"怪盗","back number",114,9B,85,2024-08-10,03:16,65,"j-pop, j-rock","怪盗",2021-05-24,64,41,0,80,0,30,-2,G Major,4,10Eyo4juZQFthKqlJgGMdp,JPPO02100848
60,"8ミリフィルム","Akasick",131,11B,93,2024-10-10,04:30,58,"","凛々フルーツ",2016-03-16,52,1,0,53,0,0,-2,A Major,4,2bKrbzyQRDIMcF1FIsHzAU,JPWP01670006
61,"milk boy","SILENT SIREN",97,3A,87,2024-11-02,03:55,54,"j-rock, j-pop","S",2016-03-02,61,0,0,88,0,30,-3,A#/B♭ Minor,4,5LSMazrndE283ttCAbsWdN,JPN901600110
62,"コンパクトミラー","kiwano",106,12B,57,2024-11-10,03:21,55,"shibuya-kei","コンパクトミラー",2023-11-29,75,23,0,86,0,10,-7,E Major,4,0OjN6CZMsjEFBAIUeN3J7R,JPG102301649
