#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Mr. Loverman","Ricky Montgomery",130,8B,53,2021-05-05,03:36,81,"","Montgomery Ricky",2016-04-01,64,25,0,49,0,20,-7,C Major,3,2IVsRhKrx8hlQBOWy4qebo,USA2P1624702
2,"Line Without a Hook","Ricky Montgomery",190,4B,65,2021-05-05,04:09,81,"","Montgomery Ricky",2016-04-01,43,26,0,51,0,20,-5,G#/A♭ Major,3,5NvOZCjZaGGGL597exlQWv,USA2P1624696
3,"Cloud 9","Beach Bunny",81,12B,93,2021-05-05,02:27,2,"","Honeymoon",2020-02-14,64,0,0,90,0,30,-4,E Major,4,6vFsBXYczYsP0H3lgunZOm,USQE91600054
4,"Heather","Conan Gray",102,7B,43,2021-05-05,03:18,85,"","Kid Krow",2020-03-20,36,58,0,27,0,30,-7,F Major,3,4xqrdfXkTW4T0RauPLv3WA,USUM71924264
5,"Misery Fell","Tally Hall",131,4B,41,2021-05-05,03:34,50,"","Good & Evil",2011-06-21,67,19,0,57,0,0,-8,G#/A♭ Major,4,01BMA2zYOX51Vz7QHdSAgO,TCAAX1184874
6,"This December","Ricky Montgomery",140,11B,87,2021-05-05,03:01,63,"","Montgomery Ricky",2016-04-01,66,3,0,89,0,10,-5,A Major,4,3gjRRs7gmh3Euynu1cau1d,USA2P1624695
7,"Devil Town","Cavetown",100,5B,76,2021-05-05,02:59,72,"bedroom pop","Cavetown",2015-11-09,58,12,0,50,0,10,-8,D#/E♭ Major,4,0vf2eBw2inhl8y61cYQMv2,TCADM1818860
8,"Juliet","Cavetown",132,2B,59,2021-05-05,04:38,71,"bedroom pop","Animal Kingdom",2019-04-12,55,0,0,36,0,0,-8,F#/G♭ Major,4,45ROR8UMn60YEVQnDy0uVF,USHM91882113
9,"This Is Home","Cavetown",130,9B,27,2021-05-05,03:46,72,"bedroom pop","This Is Home",2015-08-03,81,56,0,21,0,10,-12,G Major,4,7s8VgA8OjvwBUuigKzEGBx,TCADM1818849
10,"Boys Will Be Bugs","Cavetown",179,3B,53,2021-05-05,05:29,68,"bedroom pop","Animal Kingdom",2019-04-12,49,0,0,45,0,10,-12,C♯/D♭ Major,4,6suYoN4gFkanqOBn5yRnJC,USL4Q1849675
