#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Milky Way (EUNHA Solo)","VIVIZ",113,8A,79,2025-08-08,02:54,37,"k-pop","The 1st Album 'A Montage of ( )'",2025-07-08,72,15,0,45,0,10,-4,A Minor,4,2LeaPEAvX2IBd767T54Oo9,KSA002501319
2,"blue","yung kai",97,12B,32,2025-08-08,03:34,82,"","blue",2024-08-02,75,93,2,59,0,10,-12,E Major,3,3be9ACTxtcL6Zm4vJRUiPG,TLVEM2456474
3,"Bubble Gum","NewJeans",105,11B,71,2025-08-08,03:20,72,"k-pop","How Sweet",2024-05-24,76,14,0,53,0,0,-4,A Major,4,19D8LNpWwIPpi6hs9BG7dq,USA2P2414844
4,"My old story","IU",130,5B,30,2025-08-08,03:33,54,"k-pop, k-ballad","A flower bookmark",2014-05-16,51,74,0,18,0,20,-9,D#/E♭ Major,4,2jDnaEpQI6xjahWZzeVyaM,KRA381207663
5,"Either Way","IVE",123,1A,59,2025-08-08,02:46,57,"k-pop","Either Way",2023-09-25,70,46,0,39,0,20,-4,G#/A♭ Minor,4,6ezYHltHYhuJckdCsYsRJI,QMDA72364153
6,"Lucky Girl Syndrome","ILLIT",120,8B,92,2025-08-08,02:20,75,"k-pop","SUPER REAL ME",2024-03-25,76,2,0,44,0,20,-4,C Major,4,2kIUILBPlz4exX9xIFS275,USA2P2413261
7,"Cosmic","Red Velvet",106,3B,57,2025-08-08,03:45,54,"k-pop","Cosmic",2024-06-24,72,3,0,63,0,10,-4,C♯/D♭ Major,4,3pDGJRDN3p6kCNZcD97FYY,KRA302400202
8,"Gone with the wind","GFRIEND",105,12A,92,2025-08-08,03:49,40,"k-pop","LOL",2016-07-11,68,2,0,56,0,10,-3,C♯/D♭ Minor,4,4jldQF9IGsAlTysPjbcPIV,KRA381601309
9,"Summer Rain","GFRIEND",104,2B,85,2025-08-08,03:20,52,"k-pop","RAINBOW",2017-09-13,53,3,0,39,0,20,-3,F#/G♭ Major,4,4j3DUUuIMWqSa4e0R1sMp9,KRA381702207
10,"Cliché","Jukjae",178,1B,47,2025-08-08,02:20,17,"k-ballad","CLICHÉ",2024-10-29,35,42,0,21,10,10,-7,B Major,3,2EAtcnuLlgguyZ6D5lesoN,KRMIM2468000
11,"Hear The Wind Sing","GFRIEND",124,11B,85,2025-08-08,03:35,36,"k-pop","THE AWAKENING",2017-03-06,68,7,0,49,0,10,-3,A Major,4,4BqZ2PtHTHxWwWhqNraTVP,KRA381700461
