#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Little Dark Age","MGMT",98,2B,71,2022-09-27,04:59,80,"indie","Little Dark Age",2018-02-09,71,1,0,62,0,10,-6,F#/G♭ Major,4,2Y0iGXY6m6immVb2ktbseM,USSM11707035
2,"A Pearl","Mitski",85,4B,64,2022-09-27,02:36,71,"","Be the Cowboy",2018-08-17,30,5,2,22,0,10,-4,G#/A♭ Major,4,7fd3aMiuwHWKsTdZafjOfZ,USJ5G1815004
3,"Ancient Dreams in a Modern Land","MARINA",138,3A,79,2022-09-27,03:26,63,"","Ancient Dreams In A Modern Land",2021-06-11,58,2,0,64,0,30,-5,A#/B♭ Minor,4,1R1ihosU2CSEaSw8e5ZF6E,USAT22101355
4,"Dark Red","Steve Lacy",172,2B,78,2022-09-27,02:53,3,"","Dark Red",2017-02-20,60,45,0,78,0,10,-4,F#/G♭ Major,4,37y7iDayfwm3WXn5BiAoRk,GBKPL1778015
5,"I Am Not a Robot","MARINA",120,10B,49,2022-09-27,03:35,53,"","The Family Jewels",2009-07-15,67,57,0,49,0,10,-5,D Major,4,0fiPpwBPIaxxydn4KzX9Tc,GBFFS0900122
6,"Venus Fly Trap","MARINA",135,8A,86,2022-09-27,02:38,56,"","Ancient Dreams In A Modern Land",2021-06-11,59,9,0,52,0,30,-4,A Minor,4,6h7AmUi3ghBeEfsZygAxOd,USAT22101675
7,"Control","Halsey",120,9A,68,2022-09-27,03:34,71,"","BADLANDS (Deluxe)",2015-08-28,55,40,0,21,0,10,-6,E Minor,4,3SKzTIl9mW0DadTys9SFo3,USUM71507636
8,"Burning Pile","Mother Mother",140,7B,76,2022-09-27,04:22,2,"","O My Heart",2008-09-23,52,6,0,17,0,10,-4,F Major,4,0zMAvsQmaQ4DGsmXtKixpn,CAL450882102
9,"bury a friend","Billie Eilish",120,4B,39,2022-09-27,03:13,75,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,91,74,16,20,30,10,-15,G#/A♭ Major,4,4SSnFejRGlZikf02HLewEF,USUM71900770
10,"Habits (Stay High)","Tove Lo",110,7B,65,2022-09-27,03:29,78,"","Queen Of The Clouds",2014-09-24,73,7,0,35,0,0,-4,F Major,4,18AJRdgUoO9EYn11N7xzaT,SE3NM1300101
11,"exile (feat. Bon Iver)","Taylor Swift,Bon Iver",76,2B,38,2022-09-27,04:45,80,"","folklore",2020-07-24,30,78,0,15,0,10,-8,F#/G♭ Major,4,4pvb0WLRcMtbPGmtejJJ6y,USUG12002838
12,"WAP (feat. Megan Thee Stallion)","Cardi B,Megan Thee Stallion",133,3B,45,2022-09-27,03:07,76,"","WAP (feat. Megan Thee Stallion)",2020-08-07,94,2,0,36,30,0,-8,C♯/D♭ Major,4,4Oun2ylbjFKMPTiaSbbCih,USAT22005111
13,"Gucci Gang","Lil Pump",120,7B,52,2022-09-27,02:04,61,"","Lil Pump",2017-10-06,94,24,0,70,0,10,-7,F Major,4,43ZyHQITOjhciSUUNPVRHc,USWB11701486
14,"Take Me To Church","Hozier",129,9A,66,2022-09-27,04:01,85,"","Hozier",2014-09-19,57,64,0,44,0,10,-5,E Minor,4,3dYD57lRAUcMHufyqn9GcI,IEACJ1300031
15,"Who Is She ?","I Monster",153,12A,80,2022-09-27,03:33,0,"","Neveroddoreven",2005-01-27,40,7,1,11,0,0,-4,C♯/D♭ Minor,4,6AdgGDGbdRMoCVkGye11Zw,GBDKA0300194
16,"Unstoppable","Sia",174,11B,78,2022-09-27,03:37,80,"","This Is Acting (Deluxe Version)",2016-10-21,47,11,0,26,0,10,-5,A Major,4,1yvMUkIOTeUNtNWlWRgANS,USRC11502934
17,"As the World Caves In","Matt Maltese",124,6B,45,2022-09-27,03:38,69,"","As the World Caves In",2017-03-06,33,37,0,18,0,20,-5,A#/B♭ Major,4,4JE6agBLHGA5TaF6FlqfBD,GBAHS1700229
18,"Oh Ana","Mother Mother",128,7B,53,2022-09-27,03:17,0,"","Touch Up",2007-05-08,51,67,0,34,0,10,-7,F Major,4,45i70K1PefHafKui2WxH0M,CAL450793904
19,"NEW MAGIC WAND","Tyler, The Creator",140,4A,73,2022-09-27,03:15,78,"","IGOR",2019-05-17,62,10,0,46,10,60,-5,F Minor,4,0fv2KH6hac06J86hBUTcSf,USQX91901115
