#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"WAP (feat. Megan Thee Stallion)","Cardi B,Megan Thee Stallion",133,3B,45,2022-06-07,03:07,76,"","WAP (feat. Megan Thee Stallion)",2020-08-07,94,2,0,36,30,0,-8,C♯/D♭ Major,4,4Oun2ylbjFKMPTiaSbbCih,USAT22005111
2,"Little Dark Age","MGMT",98,2B,71,2022-06-07,04:59,80,"indie","Little Dark Age",2018-02-09,71,1,0,62,0,10,-6,F#/G♭ Major,4,2Y0iGXY6m6immVb2ktbseM,USSM11707035
3,"A Pearl","Mitski",85,4B,64,2022-06-07,02:36,71,"","Be the Cowboy",2018-08-17,30,5,2,22,0,10,-4,G#/A♭ Major,4,7fd3aMiuwHWKsTdZafjOfZ,USJ5G1815004
4,"Dark Red","Steve Lacy",172,2B,78,2022-06-07,02:53,3,"","Dark Red",2017-02-20,60,45,0,78,0,10,-4,F#/G♭ Major,4,37y7iDayfwm3WXn5BiAoRk,GBKPL1778015
5,"I Am Not a Robot","MARINA",120,10B,64,2022-06-07,03:34,49,"","The Family Jewels",2009-07-15,61,57,0,45,0,0,-5,D Major,4,4Og5nDOUVu3ZrYQP4Ungyg,GBFFS0900122
6,"Venus Fly Trap","MARINA",135,8A,86,2022-06-07,02:38,56,"","Ancient Dreams In A Modern Land",2021-06-11,59,9,0,52,0,30,-4,A Minor,4,6h7AmUi3ghBeEfsZygAxOd,USAT22101675
7,"Anti-Romantic","TOMORROW X TOGETHER",143,5A,49,2022-06-07,03:35,62,"k-pop","The Chaos Chapter: FREEZE",2021-05-31,64,5,0,21,10,0,-9,C Minor,4,44tTqUi3xi7E28QLzHVdUA,USA2P2108441
8,"Control","Halsey",120,9A,68,2022-06-07,03:34,71,"","BADLANDS (Deluxe)",2015-08-28,55,40,0,21,0,10,-6,E Minor,4,3SKzTIl9mW0DadTys9SFo3,USUM71507636
9,"Take Me To Church","Hozier",129,9A,66,2022-06-07,04:01,85,"","Hozier",2014-09-19,57,64,0,44,0,10,-5,E Minor,4,3dYD57lRAUcMHufyqn9GcI,IEACJ1300031
10,"Habits (Stay High)","Tove Lo",110,7B,65,2022-06-07,03:29,78,"","Queen Of The Clouds",2014-09-24,73,7,0,35,0,0,-4,F Major,4,18AJRdgUoO9EYn11N7xzaT,SE3NM1300101
11,"Paranoid Android","Radiohead",164,7B,85,2022-06-07,06:27,73,"art rock, alternative rock","OK Computer",1997-05-28,25,4,1,21,0,0,-7,F Major,4,6LgJvl0Xdtc73RJ1mmpotq,GBAYE9701376
12,"Burning Pile","Mother Mother",140,7B,76,2022-06-07,04:22,2,"","O My Heart",2008-09-23,52,6,0,17,0,10,-4,F Major,4,0zMAvsQmaQ4DGsmXtKixpn,CAL450882102
13,"Starring Role","MARINA",144,12A,80,2022-06-07,03:26,28,"","Electra Heart",2012-04-27,53,12,0,41,0,0,-5,C♯/D♭ Minor,4,7tYiRYBEiQHgSO99U07M3T,GBFFS1200012
14,"Closer","Nine Inch Nails",90,3A,72,2022-06-07,06:13,76,"industrial rock, industrial, industrial metal, alternative metal, nu metal","The Downward Spiral (Deluxe Edition)",1994-03-08,55,0,67,59,0,10,-9,A#/B♭ Minor,4,5mc6EyF1OIEOhAkD0Gg9Lc,USIR19400529
15,"bury a friend","Billie Eilish",120,4B,39,2022-06-07,03:13,75,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,91,74,16,20,30,10,-15,G#/A♭ Major,4,4SSnFejRGlZikf02HLewEF,USUM71900770
16,"The Downward Spiral","Nine Inch Nails",104,10B,35,2022-06-07,03:57,43,"industrial rock, industrial, industrial metal, alternative metal, nu metal","The Downward Spiral (Deluxe Edition)",1994-03-08,31,98,94,18,0,10,-17,D Major,4,3ZSLPVR3ndeJrFDsouM5e4,USIR19400537
17,"Oh Ana","Mother Mother",128,7B,53,2022-06-07,03:17,0,"","Touch Up",2007-05-08,51,67,0,34,0,10,-7,F Major,4,45i70K1PefHafKui2WxH0M,CAL450793904
18,"I CAN'T STOP ME","TWICE",150,3A,88,2022-06-07,03:25,75,"k-pop","Eyes Wide Open",2020-10-26,66,12,0,77,10,40,-4,A#/B♭ Minor,4,37ZtpRBkHcaq6hHy0X98zn,US5TA2000134
19,"As the World Caves In","Matt Maltese",124,6B,45,2022-06-07,03:38,69,"","As the World Caves In",2017-03-06,33,37,0,18,0,20,-5,A#/B♭ Major,4,4JE6agBLHGA5TaF6FlqfBD,GBAHS1700229
20,"Unstoppable","Sia",174,11B,78,2022-06-07,03:37,82,"","This Is Acting",2016-01-29,47,11,0,26,0,10,-5,A Major,4,2J2Z1SkXYghSajLibnQHOa,USRC11502934
21,"Gangsta's Paradise","Coolio,L.V.",80,4B,51,2022-06-07,04:00,88,"west coast hip hop, g-funk, ","Gangsta's Paradise",1995-11-07,65,7,0,39,0,40,-10,G#/A♭ Major,4,1DIXPcTDzTj8ZMHt3PDt8p,USTB10400128
22,"masquerade","siouxxie sixxsta",161,11B,79,2022-06-07,02:24,67,"hyperpop","masquerade",2021-11-11,61,0,65,61,0,20,-6,A Major,4,0RYHqnmtNRfbYxP6Dn8Vse,USAT22107451
23,"Vienna","Billy Joel",125,6B,50,2022-06-07,03:34,85,"soft rock","The Stranger (Legacy Edition)",1977-00-00,53,66,0,31,0,0,-7,A#/B♭ Major,4,4U45aEWtQhrm8A5mxPaFZ7,USSM17700373
24,"Interlude : Shadow","BTS",150,8A,80,2022-06-07,04:19,62,"k-pop","MAP OF THE SOUL : 7",2020-02-21,38,12,0,15,40,10,-6,A Minor,4,7om4LRoSct9hiMPo0fPn7m,QM4TX2001944
25,"Master Of Puppets","Metallica",105,9A,84,2022-06-07,08:35,81,"metal, thrash metal, rock, heavy metal, hard rock","Master Of Puppets (Remastered)",1986-03-03,54,0,43,56,0,10,-9,E Minor,4,2MuWTIM3b0YEAskbeeFE1i,QMKHM1600219
26,"Eric","Mitski",98,2A,24,2022-06-07,03:17,0,"","Lush",2012-01-31,29,86,0,4,0,10,-11,D#/E♭ Minor,3,5d5aQIaGhT7WKDjokdKek0,uscgh1222957
27,"SIGNAL","TWICE",208,8B,76,2022-06-07,03:16,66,"k-pop","SIGNAL",2017-05-15,62,22,0,63,30,10,-3,C Major,4,15rX80MpEJ2OqW3dPunQvI,US5TA1700042
28,"NEW MAGIC WAND","Tyler, The Creator",140,4A,73,2022-06-07,03:15,78,"","IGOR",2019-05-17,62,10,0,46,10,60,-5,F Minor,4,0fv2KH6hac06J86hBUTcSf,USQX91901115
29,"Numb","MARINA",119,8B,46,2022-06-07,04:14,39,"","The Family Jewels",2009-07-15,46,40,0,25,0,0,-5,C Major,4,2RtNc0pKETU7tHweBeqM0X,GBFFS0900118
30,"She Knows","Ne-Yo,Juicy J",140,1A,57,2022-06-07,03:34,69,"crunk","Non-Fiction (Deluxe)",2015-02-13,71,3,0,57,0,50,-6,G#/A♭ Minor,4,36lO0n3hzVK9zJONfSdmKC,USUM71413555
31,"Monster","Skillet",135,4B,96,2022-06-07,02:58,84,"christian rock, christian alternative rock, christian","Awake",2009-08-21,64,4,0,69,0,0,-2,G#/A♭ Major,4,2UREu1Y8CO4jXkbvqAtP7g,USAT20901851
32,"Shame","Mitski",121,1A,18,2022-06-07,02:24,0,"","Retired from Sad, New Career in Business",2013-08-01,31,96,0,7,0,0,-13,G#/A♭ Minor,4,3khxaYbENFyUIFz7MsAliU,ushm81309662
33,"Shame","Mitski",121,1A,18,2022-06-07,02:24,0,"","Retired from Sad, New Career in Business",2013-08-01,31,96,0,7,0,0,-13,G#/A♭ Minor,4,3khxaYbENFyUIFz7MsAliU,ushm81309662
34,"Body","Mother Mother",148,3A,63,2022-06-07,03:33,1,"","O My Heart",2008-09-23,60,13,0,47,0,30,-4,A#/B♭ Minor,4,0VmREvheUiN0xgM5fJYQqp,CAL450882106
35,"The Beach","The Neighbourhood",136,7A,64,2022-06-07,04:15,78,"","Wiped Out!",2015-10-30,25,13,0,11,0,0,-7,D Minor,4,2u0CelO5c81XS7z3dGpHbS,USSM11506746
36,"Purge The Poison","MARINA",140,8B,82,2022-06-07,03:16,42,"","Purge The Poison",2021-04-14,58,5,0,54,0,0,-5,C Major,4,1sy0mqUBREJx0A89UsIkIl,USAT22101363
37,"BLOODMONEY","Poppy",86,1B,89,2022-06-07,03:02,0,"","I Disagree",2020-01-09,45,7,0,16,40,10,-6,B Major,4,6QPOr9B8aEquK1nGwG9Yj6,USYFZ1924103
38,"The Family Jewels","MARINA",112,7A,55,2022-06-07,04:05,55,"","The Family Jewels",2010-02-15,78,68,0,52,0,10,-5,D Minor,4,4pRfzrPuKvtqYGwOJ5F6ZZ,GBFFS0900130
39,"Black Mamba","aespa",90,10B,92,2022-06-07,02:54,61,"k-pop","Black Mamba",2020-11-17,52,6,0,50,10,0,-3,D Major,4,1t2qYCAjUAoGfeFeoBlK51,KRA302000590
40,"Blood // Water","grandson",154,1A,88,2022-06-07,03:36,72,"","Blood // Water",2018-05-04,51,0,0,65,10,0,-6,G#/A♭ Minor,4,0AUyNF6iFxMNQsNx2nhtrw,TCADI1720999
41,"Warriors","Imagine Dragons",78,9A,85,2022-06-07,02:51,72,"","Smoke + Mirrors (Deluxe)",2015-05-11,37,10,0,31,0,20,-6,E Minor,4,1sWeSMifj6Z6kZyI6z3bRc,USUM71414163
42,"Once in a Lifetime","Talking Heads",117,10B,87,2022-06-07,04:18,32,"new wave, post-punk","Popular Favorites 1976 - 1992 / Sand in the Vaseline",1992-10-13,63,7,16,85,0,40,-9,D Major,4,7hnsEwqM9L1Z4dAjqDnNF9,USWB19900867
43,"The Court Of The Crimson King - Including  The Return of the Fire Witch  and  The Dance of the Puppets ","King Crimson",137,9A,35,2022-06-07,10:02,0,"progressive rock, art rock, psychedelic rock","In The Court Of The Crimson King (Expanded & Remastered Original Album Mix)",1969-10-10,33,9,18,6,0,20,-12,E Minor,4,05xYoVj6QuFk0U7PVl5Tf2,GBCTX1400804
44,"Lateralus","TOOL",173,8B,68,2022-06-07,09:24,68,"progressive metal, alternative metal, progressive rock, metal","Lateralus",2001-05-15,39,0,87,37,0,10,-8,C Major,3,7tvuLLroI0n6uYBWuFig5d,USVR10100017
45,"Stargirl Interlude","The Weeknd,Lana Del Rey",180,4A,47,2022-06-07,01:51,75,"","Starboy",2016-11-25,64,35,19,44,10,10,-13,F Minor,4,4EDijkJdHBZZ0GwJ12iTAj,USUG11601002
46,"Jobless Monday","Mitski",100,7B,44,2022-06-07,02:06,62,"","Bury Me At Makeout Creek",2014-11-11,43,0,1,20,0,10,-11,F Major,4,3ngZf8e29zHlW4gNMQb6IR,USA2B1511607
47,"The Sound of Silence","Simon & Garfunkel",107,2B,23,2022-06-07,03:04,65,"folk rock, folk","The Singer",2012-08-28,54,87,0,34,0,10,-14,F#/G♭ Major,4,3YfS47QufnLDFA71FUsgCM,USSM16401137
48,"Titanium (feat. Sia)","David Guetta,Sia",126,5A,79,2022-06-07,04:05,86,"edm, ","Nothing but the Beat (Ultimate Edition)",2012-12-07,60,7,15,30,10,10,-4,C Minor,4,0TDLuuLlV54CkRRUOahJb4,GB28K1100036
49,"Bad Things","Cults",114,12A,73,2022-06-07,03:38,55,"","Cults",2011-05-23,29,37,32,29,0,20,-7,C♯/D♭ Minor,4,1caFMoQlQyF5JHvfPNe49E,GBARL1100250
50,"Cold (feat. Future)","Maroon 5,Future",100,8A,72,2022-06-07,03:54,77,"pop, rap","Red Pill Blues (Deluxe)",2018-06-15,69,14,0,41,10,0,-6,A Minor,4,2NlTOhsAamXOaZciOXbITb,USUM71616357
