#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Love Like Mine","Stela Cole",89,11B,70,2021-09-14,03:08,0,"","Woman of the Hour",2020-11-20,72,5,0,64,0,10,-5,A Major,4,1yxIWoOd0btwaq4M3BnT0d,GBKPL2090255
2,"After Dark","Mr.Kitty",140,4B,60,2021-09-14,04:19,78,"witch house, darkwave","Time",2014-10-06,59,7,27,4,0,0,-10,G#/A♭ Major,4,2LKOHdMsL0K9KwcPRlJK2v,USY251660155
3,"People I Don't Like","UPSAHL",90,10A,57,2021-09-14,02:22,63,"","People I Don't Like",2020-07-17,75,27,0,55,30,30,-7,B Minor,4,5srKMwXoeyrRnyTnNbpgIW,USQX92003333
4,"Skyfall","Adele",76,5A,55,2021-09-14,04:46,86,"soft pop","Skyfall",2012-10-04,35,42,0,8,0,10,-7,C Minor,4,6VObnIkLVruX4UVyxWhlqm,GBBKS1200164
5,"DICTATOR","REI AMI",130,3B,63,2021-09-14,03:01,48,"","DICTATOR",2019-11-11,56,52,0,52,30,30,-7,C♯/D♭ Major,4,1i5fRXLDQmiNf878YdAUjk,FRX201900530
6,"you should see me in a crown","Billie Eilish",150,12B,53,2021-09-14,03:00,77,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,68,46,22,32,10,10,-10,E Major,4,3XF5xLJHOQQRbWya6hBp7d,USUM71810049
7,"Deep End","Fousheé",125,9A,59,2021-09-14,02:21,61,"indie r&b","Deep End",2020-07-31,71,76,0,54,20,10,-7,E Minor,4,6HlE9t71z9DjGi7KqSyEpA,USRC12002568
8,"Animal","Sir Chloe",83,9B,46,2021-09-14,02:40,0,"","Animal",2019-02-28,49,41,0,34,0,10,-6,G Major,4,6YpI4sWbjUhVPdlpwYwCO6,QZDA71914491
9,"Feeling Good","Michael Bublé",115,3B,55,2021-09-15,03:57,65,"christmas","It's Time",2005-02-07,54,53,0,48,0,10,-7,C♯/D♭ Major,3,3I09LQbHS3NSU46Ly3tPpR,USRE10401889
10,"All The Time 2","Wintertime",115,3B,27,2021-09-15,02:30,47,"cloud rap","All The Time 2",2016-10-21,88,81,2,4,30,10,-12,C♯/D♭ Major,4,70nCo80jsbSeGtQWiUGajl,QM8DG1615080
11,"Freak (feat. REI AMI)","Sub Urban,REI AMI",180,6A,45,2021-09-21,03:14,70,"","Thrill Seeker",2020-03-13,62,43,0,41,50,50,-12,G Minor,4,5jkbw3FDS3bSSb4oLKYbjf,USWB12000170
12,"Cradles","Sub Urban",79,3B,59,2021-09-21,03:29,1,"","Cradles",2019-01-04,53,26,0,63,30,10,-2,C♯/D♭ Major,4,1y4jsQt7MjnZhiD1L6qFBC,GB2LD1800949
13,"onion boy","Isaac Dunbar",93,9B,44,2021-09-21,02:30,46,"","onion boy",2019-10-25,76,15,0,69,0,60,-6,G Major,4,00zqcuWmpRw9JxaLr9qe67,USRC11902811
14,"VILLAIN","K/DA,Madison Beer,Kim Petras,League of Legends",160,4A,63,2021-09-21,03:19,7,"k-pop, ","ALL OUT",2020-11-06,65,2,0,31,0,0,-6,F Minor,4,3QSjVPObHxuAJc3E5nrjRn,QZH6S1900275
15,"Daddy Issues","The Neighbourhood",85,6B,52,2021-09-21,04:20,86,"","Wiped Out!",2015-10-30,59,7,15,34,0,10,-9,A#/B♭ Major,4,5E30LdtzQTGqRvNd7l6kG5,USSM11506747
16,"Take A Slice","Glass Animals",152,11B,66,2021-09-21,03:49,77,"","How To Be A Human Being",2016-08-26,62,2,0,63,10,20,-7,A Major,4,37adYGaYaAWTGhBaOzX4Fh,GB2DY1600027
