#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Salvatore","Lana Del Rey",118,10A,31,2025-11-17,04:41,83,"","Honeymoon",2015-09-18,30,68,0,12,0,10,-10,B Minor,4,21qg0IBZf8R12qHd9A3AA4,GBUM71503927
2,"God is a woman","Ariana Grande",145,3B,66,2026-01-15,03:17,80,"pop","Sweetener",2018-08-17,60,2,0,27,0,20,-6,C♯/D♭ Major,4,5OCJzvD7sykQEKHH7qAC3C,USUM71808574
3,"About You","The 1975",96,10B,76,2024-07-11,05:26,27,"","Being Funny In A Foreign Language",2022-10-14,42,31,80,46,0,0,-7,D Major,4,1fDFHXcykq4iw8Gg7s5hG9,GBK3W2202321
4,"Chinese Satellite","Phoebe Bridgers",120,6B,45,2023-08-19,03:37,60,"","Punisher",2020-06-18,30,74,2,36,0,10,-10,A#/B♭ Major,4,1scaOnahzG7o8pfwfsL784,USJ5G2020006
5,"The Seed","AURORA",133,4A,40,2025-09-22,04:26,68,"norwegian pop, art pop","A Different Kind Of Human – Step 2",2019-06-07,28,1,6,9,0,10,-9,F Minor,4,16tvIGzCNfRLVbm8G39DDo,GBUM71808078
6,"Terbuang Dalam Waktu","Barasuara",102,10A,69,2025-07-20,04:41,80,"indonesian indie, indonesian indie rock, indonesian rock, indonesian pop, indorock","Jalaran Sadrah",2024-06-21,20,4,2,26,0,30,-5,B Minor,3,5fmyW3X3kncOOVlmcWhORH,TCAHH2369388
7,"Pancarona","Barasuara",90,9A,90,2025-07-21,04:21,63,"indonesian indie, indonesian indie rock, indonesian rock, indonesian pop, indorock","Pikiran dan Perjalanan",2019-03-08,49,0,40,27,0,10,-6,E Minor,4,49XXrWxrmBU34mNMpxsSfG,FR10S1959996
8,"Snap Out Of It","Arctic Monkeys",130,4A,64,2023-08-19,03:13,81,"indie, garage rock","AM",2013-09-09,73,25,0,87,0,10,-6,F Minor,4,0NdTUS4UiNYCNn5FgVqKQY,GBCEL1300371
9,"exile (feat. Bon Iver)","Taylor Swift,Bon Iver",76,2B,38,2023-08-19,04:45,80,"","folklore",2020-07-24,30,78,0,15,0,10,-8,F#/G♭ Major,4,4pvb0WLRcMtbPGmtejJJ6y,USUG12002838
10,"Female Robbery","The Neighbourhood",88,6A,90,2023-08-19,03:29,62,"","I Love You.",2013-04-22,52,1,54,34,0,20,-3,G Minor,4,4BDnfINTlfJPmLp1UV6CXt,USSM11300081
11,"Norwegian Wood (This Bird Has Flown) - Remastered 2009","The Beatles",177,12B,37,2023-08-19,02:04,71,"classic rock, psychedelic rock","Rubber Soul (Remastered 2009)",1965-12-03,43,18,0,65,0,10,-12,E Major,3,1H7gMYGykdtwZOV6s1N0by,GBAYE0601480
12,"Little Dark Age","MGMT",98,2B,71,2023-08-19,04:59,80,"indie","Little Dark Age",2018-02-09,71,1,0,62,0,10,-6,F#/G♭ Major,4,2Y0iGXY6m6immVb2ktbseM,USSM11707035
13,"The River of Dreams","Billy Joel",90,9B,75,2023-08-19,04:05,74,"soft rock","River Of Dreams",1993-08-10,63,21,0,44,0,0,-8,G Major,4,30qVCFYKBtAENjTIBA8FPZ,USSM19300280
14,"Supermassive Black Hole","Muse",120,9B,92,2024-07-11,03:32,84,"alternative rock, rock","Black Holes and Revelations",2006-06-28,67,5,1,78,0,0,-4,G Major,4,3lPr8ghNDBLc2uZovNyLs9,GBAHT0500593
15,"You're On Your Own, Kid","Taylor Swift",120,10B,39,2024-07-11,03:14,78,"","Midnights",2022-10-21,70,45,0,40,0,10,-10,D Major,4,4D7BCuvgdJlYvlX5WlN54t,USUG12205711
16,"work","no na",120,3B,84,2026-01-28,02:25,69,"","work",2026-01-23,94,12,0,79,0,10,-5,C♯/D♭ Major,4,3ISiRKaCo6JzoKRjNJlvQA,QMFMG2570488
17,"Chiquitita","ABBA",84,11B,55,2024-07-11,05:26,78,"","Voulez-Vous",1979-00-00,50,73,0,37,0,30,-8,A Major,4,762B4bOcXF7I2Y8UlKTyTy,SEAYD7901080
18,"Line Without a Hook","Ricky Montgomery",190,4B,65,2024-07-11,04:09,81,"","Montgomery Ricky",2016-04-01,43,26,0,51,0,20,-5,G#/A♭ Major,3,5NvOZCjZaGGGL597exlQWv,USA2P1624696
19,"Believer","Imagine Dragons",125,3A,78,2024-07-11,03:24,88,"","Evolve",2017-06-23,78,6,0,67,10,0,-4,A#/B♭ Minor,4,0pqnGHJpmpxLKifKRmU6WP,USUM71700626
20,"There's Nothing Holdin' Me Back","Shawn Mendes",122,10A,81,2024-07-11,03:19,88,"","Illuminate (Deluxe)",2017-04-20,87,38,0,97,0,0,-4,B Minor,4,7JJmb5XwzOO8jgpou264Ml,USUM71702833
21,"PARANOIA","HEARTSTEEL,League of Legends,BAEKHYUN,tobi lou,ØZI,Cal Scruby",170,4B,91,2024-07-11,03:18,5,"k-pop, chinese r&b, chinese hip hop, mandopop, taiwanese pop, taiwanese indie, c-pop, chinese indie, ","PARANOIA",2023-10-23,59,2,0,50,10,30,-4,G#/A♭ Major,4,29WxJqIfDRMo9isV07kbJP,QZH6S1900806
22,"Hurt","BAEKHYUN,Seo Moon Tak",76,12A,70,2024-07-11,04:09,36,"k-pop, k-ballad, k-rock","Hurt",2021-05-10,48,9,0,31,0,10,-4,C♯/D♭ Minor,4,0AKCnUH1cS0CC7KEhLCIuZ,KRA382103681
23,"Harleys In Hawaii","Katy Perry",140,3A,76,2024-07-15,03:05,77,"pop","Harleys In Hawaii",2019-10-16,72,18,0,73,10,10,-6,A#/B♭ Minor,4,5nCthAh3jt4xKuLJAifAaR,USUM71919682
24,"Carol Of The Bells","Lindsey Stirling",168,9A,66,2024-07-18,02:46,67,"classical crossover, christmas","Warmer In The Winter (Deluxe Edition)",2018-10-19,23,3,0,27,0,0,-6,E Minor,3,0byPyCPX9mfGMiAGVZxasq,USC4R1706214
25,"Runaway","AURORA",114,1B,30,2024-07-18,04:08,80,"norwegian pop, art pop","All My Demons Greeting Me As A Friend (Deluxe)",2016-03-11,42,63,0,12,0,10,-9,B Major,4,1v1oIWf2Xgh54kIWuKsDf6,GBUM71500527
