#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Little Dark Age","MGMT",98,2B,71,2022-08-24,04:59,80,"indie","Little Dark Age",2018-02-09,71,1,0,62,0,10,-6,F#/G♭ Major,4,2Y0iGXY6m6immVb2ktbseM,USSM11707035
2,"Lonely","Noah Cyrus",122,7B,28,2022-08-24,02:24,61,"","THE END OF EVERYTHING",2020-05-15,53,80,0,34,0,0,-8,F Major,4,6U1iuA5QfzYRPJxvdcxqtf,USQX91902251
3,"Pumped Up Kicks","Foster The People",128,4A,71,2022-08-24,03:59,87,"","Torches",2011-05-23,73,14,12,97,0,10,-6,F Minor,4,7w87IxuO7BDcJ3YUqCyMTT,USSM11002931
4,"Burning Pile","Mother Mother",140,7B,76,2022-08-24,04:22,2,"","O My Heart",2008-09-23,52,6,0,17,0,10,-4,F Major,4,0zMAvsQmaQ4DGsmXtKixpn,CAL450882102
5,"Are You Satisfied?","MARINA",124,8B,73,2022-08-24,03:21,66,"","The Family Jewels",2009-07-15,67,32,0,80,0,0,-5,C Major,4,411Hvulc0PrGQLOHljTYed,GBFFS0900114
6,"I Bet on Losing Dogs","Mitski",82,11B,49,2022-08-24,02:50,81,"","Puberty 2",2016-06-17,40,0,0,41,0,10,-10,A Major,4,2Co0IjcLTSHMtodwD4gzfg,USJ5G1612306
7,"You Don't Own Me","Lesley Gore",95,10B,43,2022-08-24,02:30,71,"","Lesley Gore Sings Of Mixed-Up Hearts",1963-11-01,47,70,0,71,0,60,-10,D Major,3,7ngRS53kqxLcEt9Pythc5d,USPR36309035
8,"Why'd You Only Call Me When You're High?","merci, mercy",87,11A,17,2022-08-24,02:32,16,"","Why'd You Only Call Me When You're High?",2022-02-16,58,95,0,60,0,20,-13,F#/G♭ Minor,4,7GzmBQVPlJ9blD0Qb7Dbq8,USUG12106226
9,"I Am Not a Robot","MARINA",120,10B,49,2022-08-24,03:35,53,"","The Family Jewels",2009-07-15,67,57,0,49,0,10,-5,D Major,4,0fiPpwBPIaxxydn4KzX9Tc,GBFFS0900122
10,"I Can't Handle Change","Roar",186,7B,44,2022-08-24,03:18,2,"","I Can't Handle Change",2010-03-14,25,4,0,39,0,10,-8,F Major,3,0I1eFRytp4XRhLCjT6tZm7,USHM81020595
11,"Daddy Issues","The Neighbourhood",85,6B,52,2022-08-24,04:20,86,"","Wiped Out!",2015-10-30,59,7,15,34,0,10,-9,A#/B♭ Major,4,5E30LdtzQTGqRvNd7l6kG5,USSM11506747
12,"Strange Little Girl","The Stranglers",126,8B,32,2022-08-24,02:41,0,"proto-punk, new wave","Greatest Hits 1977-1990",1990-11-16,63,86,23,24,0,10,-16,C Major,4,7jSEKSSKtl3o12RAoFpOUh,GBBBN0009176
13,"Traffic Lights","Oceans Ahead,Kali Rea",116,12A,84,2022-08-24,02:36,0,"","Traffic Lights",2020-03-13,94,22,0,54,10,10,-4,C♯/D♭ Minor,4,4Wmi9YUyrXpHrI7IzpxmDk,QZFZ52001412
14,"Hayloft","Mother Mother",96,8A,92,2022-08-25,03:01,3,"","O My Heart",2008-09-23,53,0,0,49,0,40,-3,A Minor,4,2kS6td1yvmpNgZTt1q5pQq,CAL450882108
15,"Oh No!","MARINA",127,8B,90,2022-08-25,03:02,73,"","The Family Jewels",2009-07-15,77,5,0,96,0,20,-4,C Major,4,4sNwdacKyi2S26WrRtNama,GBFFS0900127
16,"Teacher's Pet","Melanie Martinez",141,6A,79,2022-08-25,04:01,76,"","K-12",2019-09-06,69,27,0,53,0,10,-6,G Minor,3,5o5akY9xnEk6lpMkD8RwD9,USAT21902535
17,"Dumb","Nirvana",114,2B,40,2022-08-25,02:31,74,"grunge, rock","In Utero",1993-09-21,70,43,65,88,0,10,-14,F#/G♭ Major,4,5gRcv46AMTrosmTOqrOV3Q,USGF19960706
18,"A Little Death","The Neighbourhood",88,11A,76,2022-08-25,03:29,72,"","Thank You,",2012-12-18,53,0,0,34,0,10,-5,F#/G♭ Minor,4,0Ot6e3wYVQQ1Us9PM977jE,USSM11206332
19,"Money Power Glory","Lana Del Rey",137,1A,53,2022-08-25,04:30,66,"","Ultraviolence (Deluxe)",2014-01-01,35,58,0,29,0,30,-7,G#/A♭ Minor,5,7Ms58r8G6Y0r1XLtpwoGxN,GBUM71402109
20,"hope is a dangerous thing for a woman like me to have - but I have it","Lana Del Rey",87,9A,10,2022-08-25,05:24,64,"","Norman Fucking Rockwell!",2019-08-30,49,96,0,28,0,10,-13,E Minor,4,0fB77VOZ2FkQeKLv1DuEwp,USUG11900001
21,"Therefore I Am","Billie Eilish",94,10A,34,2022-08-25,02:54,70,"","Therefore I Am",2020-11-12,89,22,13,72,0,0,-8,B Minor,4,54bFM56PmE4YLRnqpW6Tha,USUM72021500
22,"Writer In The Dark","Lorde",72,9B,27,2022-08-25,03:36,0,"","Melodrama",2017-11-10,33,73,0,28,0,30,-8,G Major,4,5bMWY1u9ghi4X6fIAsQRaC,NZUM71700070
23,"Brooklyn Baby","Lana Del Rey",108,3B,66,2022-08-25,05:51,85,"","Ultraviolence (Deluxe)",2014-01-01,40,54,0,9,0,10,-7,C♯/D♭ Major,4,1NZs6n6hl8UuMaX0UC0YTz,GBUM71402169
24,"Heart Of Glass (Live from the iHeart Festival)","Miley Cyrus",115,12B,91,2022-08-25,03:33,68,"","Plastic Hearts",2020-11-27,58,0,0,43,0,0,-5,E Major,4,5GK1GYXH16RdfmltogHhAk,USRC12003345
25,"Habits (Stay High)","Tove Lo",110,7B,65,2022-08-27,03:29,78,"","Queen Of The Clouds",2014-09-24,73,7,0,35,0,0,-4,F Major,4,18AJRdgUoO9EYn11N7xzaT,SE3NM1300101
26,"Always Forever","Cults",163,4B,74,2022-08-27,03:43,79,"","Static",2013-10-15,17,0,28,36,0,20,-6,G#/A♭ Major,4,2enPRFda84VE2wtI8c86Uf,USSM11303912
27,"Lotta True Crime","Penelope Scott",159,4B,41,2022-08-27,03:22,65,"","Public Void",2020-09-25,50,33,6,40,20,10,-14,G#/A♭ Major,4,18jbMG8etanCMt6C5wFRDa,QZK6F2019391
28,"Queen of Disaster","Scarlett Rose",128,8A,32,2022-08-27,03:15,48,"","Queen of Disaster",2020-05-21,69,63,0,69,0,30,-16,A Minor,4,1EtzBcBjSrBg6yTodZhvZp,QZHN42046683
