#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Old Doll (Slowed)","Bluerra-sai",95,12A,20,2025-10-28,02:00,52,"","Old Doll (Slowed)",2023-12-27,44,99,81,5,0,10,-18,C♯/D♭ Minor,4,0ZuZLPndPR7qnpScsbAP3s,USCGH2441134
2,"Purgatory","akezu",88,8A,31,2026-01-21,02:26,24,"","piano dust",2025-05-31,35,99,84,23,0,30,-15,A Minor,3,390Bd4KOouwnybJaFri9i1,GXHZK2523437
3,"Судно (Борис Рыжий)","Molchat Doma",160,3B,75,2025-10-28,02:21,74,"post-punk, darkwave, cold wave, gothic rock","Этажи",2018-09-07,48,70,86,47,0,10,-4,C♯/D♭ Major,4,1SHB1hp6267UK9bJQUxYvO,AEA0D1846146
4,"Liquid Smooth","Mitski",76,6A,34,2025-10-28,02:49,72,"","Lush",2012-01-31,42,84,0,12,0,10,-9,G Minor,4,3XCveEutwTaDiekRkkfdp9,USCGH1222956
5,"Abbey","Mitski",76,1B,20,2025-11-16,02:46,70,"","Lush",2012-01-31,29,84,0,24,0,10,-9,B Major,3,1hJXpII24ReABFg8Ig6k7w,USCGH1222961
6,"First Love/Late Spring","Mitski",100,8B,54,2025-10-28,04:38,77,"","Bury Me At Makeout Creek",2014-11-11,45,0,1,10,0,20,-8,C Major,4,3sslYZcFKtUvIEWN9lADgr,USA2B1511604
7,"The Four Seasons: Concerto No. 2 in G Minor, RV 315  L'estate  (summer): III. Presto","Antonio Vivaldi,Adrian Chandler,La Serenissima",157,9B,49,2026-02-26,02:47,65,"baroque, classical, concerto, early music","Vivaldi: The Four Seasons • Concertos for Bassoon & Violin 'in tromba marina'",2015-09-04,34,83,91,47,0,10,-15,G Major,3,1Ojz92vyPK4fJ5K8RVnV5u,GBELX1506024
8,"Carol Of The Bells","Lindsey Stirling",168,9A,66,2026-04-07,02:46,67,"classical crossover, christmas","Warmer In The Winter (Deluxe Edition)",2018-10-19,23,3,0,27,0,0,-6,E Minor,3,0byPyCPX9mfGMiAGVZxasq,USC4R1706214
9,"General Release","Mike Klubnika",145,3B,77,2026-04-05,02:10,63,"","BUCKSHOT ROULETTE",2023-12-28,64,53,87,66,0,20,-9,C♯/D♭ Major,4,1Pomzo56cjdsVjqOy96dy6,QZFYY2431827
10,"Paranoid Android","Radiohead",164,7B,85,2025-10-28,06:27,73,"art rock, alternative rock","OK Computer",1997-05-28,25,4,1,21,0,0,-7,F Major,4,6LgJvl0Xdtc73RJ1mmpotq,GBAYE9701376
