#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Dear New Year","樊宇镈(Coulson Fan)",95,10B,71,-,03:10,36,"chinese r&b","Dear New Year",2025-12-30,74,57,0,42,0,20,-6,D Major,4,34aIgeUYglurC9qn6UuBXr,QT6G92575166
2,"Real tight, Real slow","16",148,10B,68,-,02:46,44,"","Not Anymore",2026-03-12,50,46,0,49,0,10,-6,D Major,4,21gkr60F7psOt3pNZGsGUg,KRMIM2571631
3,"In Between","mikah",130,2B,25,-,03:15,35,"chinese r&b","Homesick",2025-11-18,53,86,0,17,0,10,-12,F#/G♭ Major,4,5CpWHFzsuPULLqrLNIN7OG,JPB602503589
4,"Heavenmade","JHIN",170,1B,69,-,03:29,58,"","Heavenmade",2024-07-18,56,25,0,42,0,10,-6,B Major,4,7K6XQTW4sbLyp0GfJ0cA2m,TLVEM2429140
5,"till i die","tonybear",188,1B,50,-,03:44,41,"","starstruck",2025-10-24,28,50,0,25,0,10,-7,B Major,3,0A4O3X4ZOwC8qJNHddTFDS,QT3F72518668
6,"INTP","樊宇镈(Coulson Fan)",142,10A,48,-,03:41,40,"chinese r&b","INTP",2025-08-28,70,30,0,16,0,10,-6,B Minor,4,0ALWANZ1ucwQ1qI6x9m1QP,QZZ782526084
7,"You Arrived","ZUHAIR,Labit",84,7B,32,-,03:37,39,"","You Arrived",2026-02-11,63,69,0,48,0,10,-10,F Major,4,07ttGJgiMoA0LpEnH6VOwV,QZHN62641801
8,"Not Anymore","16",88,6B,69,-,04:06,48,"","Not Anymore",2026-03-12,58,44,0,37,0,10,-4,A#/B♭ Major,4,0rBNNUVQJ50Gto8Db4MeHS,KRMIM2618677
9,"Escape","mikah",98,2B,46,-,04:04,38,"chinese r&b","Escape",2025-10-17,36,85,0,17,0,10,-10,F#/G♭ Major,4,2qqxjg91h2XgfAy1bRpieo,JPB602503383
10,"say so","JHIN",117,3B,53,-,03:39,57,"","say so",2025-09-12,81,23,3,97,0,10,-10,C♯/D♭ Major,4,6Uv1JFj9jmtOlVpR47IKxI,QZZ7L2523129
11,"Sagittarius（射手座）","樊宇镈(Coulson Fan)",95,3B,69,-,03:17,47,"chinese r&b","Sagittarius（射手座）",2026-03-28,71,19,0,84,0,30,-6,C♯/D♭ Major,4,0rnRdigAqV90Yqljl4OzUc,QZTAY2668885
12,"satellite","Lyle Kam",100,3B,55,-,02:39,53,"","satellite",2025-10-29,68,7,0,41,0,10,-9,C♯/D♭ Major,4,4rb3MM2MxUaIPQoC5uTPsO,QZZ8B2506993
13,"SOMETHING ABOUT YOU","BNZA",95,9B,45,-,03:27,38,"indie r&b","SOMETHING ABOUT YOU",2025-08-22,64,74,0,18,0,10,-10,G Major,4,6WjcjrsgpcaXMQnQ9aF7H5,USLD91781057
14,"Make no sense","16",94,11B,63,-,03:13,51,"","STRANGER",2025-02-16,67,15,0,18,0,0,-6,A Major,4,37DC1WzJ4cNBDq7lJS8ojr,KRMIM2505673
15,"Dream","mikah",162,8B,63,-,02:54,36,"chinese r&b","Homesick",2025-11-18,67,58,0,34,0,10,-7,C Major,4,1OpgKay3Z8cmxVsi50OFqX,JPB602503590
16,"Gemini","樊宇镈(Coulson Fan)",95,2B,61,-,02:58,29,"chinese r&b","Gemini",2026-01-30,70,39,0,84,0,10,-6,F#/G♭ Major,4,077d3TNyk6VIlA9t1HSooa,QZHN72621768
17,"Your Side","HYESUNG,16",111,1B,55,-,03:07,37,"","Your Side",2026-01-14,75,34,0,60,0,0,-9,B Major,4,4EsACnu3xnp6zAVum0vvpC,KSA002650004
18,"meet you again","tonybear",150,9B,43,-,03:38,35,"","starstruck",2025-10-24,45,33,0,25,0,0,-8,G Major,4,0eeAKSulwSEus5fWF7TmL0,QT3F72518671
19,"BLUE","raph",63,4B,42,-,02:40,55,"","BLUE",2026-01-02,26,52,0,17,0,10,-9,G#/A♭ Major,4,5wytwzo2D7gdk1VRVKC5Ro,QZS7J2544674
20,"2AM","16",90,9B,73,-,03:17,50,"","2AM",2024-06-21,63,24,0,16,0,10,-6,G Major,4,63tFtYmvkcTRwoggdYVp8Q,KRMIM2442709
21,"Libra（天秤座）","樊宇镈(Coulson Fan)",92,1B,74,-,02:38,33,"chinese r&b","Libra（天秤座）",2026-03-08,70,22,0,67,0,30,-4,B Major,4,0Knh6CCkJWAVantiIccmbM,QZNWV2625290
22,"i broke my rules for you","ZUHAIR,Sarah Hemi",116,4A,28,-,03:35,40,"","COLOURS",2024-12-20,61,85,0,33,0,10,-15,F Minor,4,5p34UlfJZSUNC07l3KOxiq,USA2P2441161
23,"​o","Mira",142,9B,64,-,02:58,40,"","​lifesaver",2022-12-02,73,83,11,68,0,0,-11,G Major,4,2Qjirka5vTtMxsy6ua2klT,GBLLT2253742
24,"starstruck","tonybear",87,9B,53,-,03:06,36,"","starstruck",2025-10-24,49,48,0,44,0,30,-8,G Major,4,13jK2cu5Fja5Nr7TRMVPRs,QT3F72518667
25,"Pink Skies","KIKIYO,Orion Song",152,12B,57,-,03:22,38,"","Pink Skies",2024-08-09,51,74,2,35,0,20,-6,E Major,4,5Wl6SJgNNdqbRBm4VaCwfK,QZTAY2433463
26,"Why Do You","16",85,9B,47,-,02:29,45,"","Why Do You",2025-05-21,74,17,0,62,0,30,-6,G Major,4,0jZAXYV64prJIk004FifI1,KRMIM2528831
27,"my forever","lullaboy",98,12A,51,-,03:16,45,"","hotels & heartbreaks",2026-02-26,66,43,0,44,0,0,-8,C♯/D♭ Minor,4,3W8NllOvmsksSDpyqKqjrP,DGA082590527
28,"break","ash major",146,11B,60,-,02:57,40,"indie r&b","ash",2023-10-03,65,36,0,50,0,0,-7,A Major,4,1IJL1SMN8T2hqLSqLNY0Xi,QZTAU2340886
29,"PARALLEL","Labit",97,7B,69,-,02:45,30,"","SOL",2025-10-17,66,4,0,76,0,30,-5,F Major,4,7rSxqkh2eajW5VZpraqWFB,QZWFE2576907
