#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Take Me to Church","Hozier",129,9A,66,2021-03-05,04:01,82,"","Hozier (Expanded Edition)",2014-09-19,57,63,0,44,0,10,-5,E Minor,4,1CS7Sd1u5tWkstBhpssyjP,USSM11307291
2,"COPYCAT","Billie Eilish",125,9A,39,2021-03-05,03:14,74,"","dont smile at me",2017-12-22,68,35,0,23,0,30,-11,E Minor,4,5w7wuzMzsDer96KqxafeRK,USUM71707478
3,"Burning Pile","Mother Mother",140,7B,76,2021-03-05,04:22,2,"","O My Heart",2008-09-23,52,6,0,17,0,10,-4,F Major,4,0zMAvsQmaQ4DGsmXtKixpn,CAL450882102
4,"Therefore I Am","Billie Eilish",94,10A,34,2021-03-05,02:54,70,"","Therefore I Am",2020-11-12,89,22,13,72,0,0,-8,B Minor,4,54bFM56PmE4YLRnqpW6Tha,USUM72021500
5,"bellyache","Billie Eilish",100,9A,57,2021-03-05,02:59,79,"","Bellyache",2017-02-24,70,46,7,41,10,40,-9,E Minor,4,51NFxnQvaosfDDutk0tams,USUM71615103
6,"Gasoline","Halsey",120,3A,58,2021-03-05,03:19,75,"","BADLANDS (Deluxe)",2015-08-28,73,22,0,32,0,10,-7,A#/B♭ Minor,4,2IO7yf562c1zLzpanal1DT,USUM71507634
7,"Blood // Water","grandson",154,11A,89,2021-03-08,03:34,68,"","a modern tragedy vol. 1",2018-06-15,50,0,0,63,10,10,-6,F#/G♭ Minor,4,7clyJIrLkEbXUDwj1tC9zz,TCADI1720999
8,"we fell in love in october","girl in red",130,9B,37,2021-05-06,03:04,3,"bedroom pop","we fell in love in october / forget her",2018-11-21,57,11,18,24,0,10,-13,G Major,4,1BYZxKSf0aTxp8ZFoeyM3d,GBKPL1828677
9,"i wanna be your girlfriend","girl in red",156,9B,38,2021-05-06,03:24,2,"bedroom pop","i wanna be your girlfriend",2018-03-02,54,2,0,34,0,30,-14,G Major,4,3h3pOvw6hjOvZxRUseB7h9,GBLFP1815318
10,"Foreigner's God","Hozier",89,4B,45,2021-05-06,03:45,55,"","Hozier (Expanded Edition)",2014-09-19,50,16,0,38,0,10,-8,G#/A♭ Major,4,094As2ygiOxXxzcyAna3Lk,USSM11405193
11,"She","dodie",92,10B,15,2021-05-20,03:33,58,"","Human",2019-01-18,48,76,3,23,0,10,-15,D Major,4,45h4w81P5iJJTSeR0jJUQ8,QM6N21808971
12,"From Eden","Hozier",142,8B,67,2021-05-25,04:43,72,"","Hozier (Expanded Edition)",2014-09-19,40,58,0,28,0,10,-6,C Major,5,5aRZk9oWIYUB5alrTs8TTV,USSM11405190
13,"Arsonist's Lullabye","Hozier",65,11A,37,2021-05-25,04:26,55,"","From Eden EP",2014-03-09,46,67,7,18,0,10,-11,F#/G♭ Minor,4,1UWhx0pFZccP4jdCIZsj7U,USSM11401476
14,"Honey and Glass","Peyton Cardoza",96,6B,38,2021-05-25,01:56,48,"spoken word","Honey and Glass",2020-07-26,45,82,2,41,0,20,-12,A#/B♭ Major,4,0WNmMljbubSgfEipIeiPwC,QZK6Q2022043
15,"GIRL ON TV","chloe moriondo",91,11A,82,2021-05-25,03:12,27,"bedroom pop, indie pop","GIRL ON TV",2020-11-12,59,6,0,74,10,30,-4,F#/G♭ Minor,4,6SnE7mmmYVpvd3QRkpKyXe,USAT22006355
16,"making bad decisions","Bea Miller",142,9A,53,2021-05-25,03:23,38,"","elated!",2020-10-23,65,52,0,21,0,30,-6,E Minor,4,1Kx8rGwhrGtqV2fsxYe3Cr,USHR12040655
17,"forever is a lie","Bea Miller",91,10B,59,2021-05-25,02:32,32,"","elated!",2020-10-23,75,37,0,42,0,10,-4,D Major,4,4O0QcP66fc33qeeazneQad,USHR12040654
18,"i never wanna die","Bea Miller",88,12A,57,2021-05-25,02:54,34,"","elated!",2020-10-23,70,25,0,20,0,30,-5,C♯/D♭ Minor,4,4Mlo1XIsUQdiOQ1x6z3wK4,USHR12040656
19,"girls","girl in red",150,7B,45,2021-05-25,03:18,0,"bedroom pop","girls",2018-06-08,52,23,4,79,0,10,-14,F Major,4,1kqc6U8hVYZhY0gFGQclCz,GBLFP1858237
20,"Panic Room","Au/Ra",98,4B,43,2021-05-25,03:57,69,"","Panic Room",2018-02-09,50,15,0,6,0,10,-9,G#/A♭ Major,4,7uUahoeqGNRMbpdeiLj1rS,GBARL1702250
21,"Monster","dodie",100,11B,61,2021-05-25,04:05,51,"","Human",2019-01-18,83,69,0,94,10,0,-8,A Major,4,2MKIadkPrRqaivpyn6cnI0,QM6N21808969
22,"No Plan","Hozier",80,8A,75,2021-05-25,05:31,54,"","Wasteland, Baby!",2019-03-01,46,12,0,56,0,10,-5,A Minor,4,4byXh93siQtzKLdjKuJaAF,USSM11809028
23,"Ship in a Bottle","fin",108,10B,73,2021-05-25,05:14,1,"","Lost at Sea",2017-05-30,40,33,0,42,0,0,-7,D Major,3,7EioHGLoCcjuIgQwKh8O8H,TCADC1705864
24,"mad at god","Sarah Saint James",140,4B,31,2021-05-27,02:51,0,"","mad at god",2021-01-22,65,70,0,40,0,10,-8,G#/A♭ Major,4,2Dd4c7HAPEs67ca7CPdBDn,AUBEC2082068
25,"Why'd You Only Call Me When You're High?","Arctic Monkeys",92,10B,63,2021-11-01,02:41,87,"indie, garage rock","AM",2013-09-09,69,5,0,80,0,10,-6,D Major,4,086myS9r57YsLbJpU0TgK9,GBCEL1300370
26,"Rät","Penelope Scott",144,4A,45,2021-11-01,03:14,0,"","Public Void",2020-09-25,59,31,0,30,20,10,-13,F Minor,4,25z6kpmIwkCUqk2IORrJ5v,QZK6F2019397
27,"Happy Pills","Weathers",116,9A,89,2021-11-01,03:23,65,"","Happy Pills",2016-06-03,52,0,1,34,10,30,-5,E Minor,4,3zjjzKg16tczCMwckGKGuH,USRC11600888
28,"Yellow","Coldplay",173,1B,66,2021-11-01,04:26,92,"","Parachutes",2000-07-10,43,0,0,28,0,20,-7,B Major,4,3AJwUDP919kvQ9QcozQPxg,GBAYE0000267
29,"Nobody","Mitski",117,8B,72,2021-11-01,03:13,76,"","Be the Cowboy",2018-08-17,40,7,0,49,0,0,-5,C Major,4,2P5yIMu2DNeMXTyOANKS6k,USJ5G1815009
30,"Washing Machine Heart","Mitski",106,11B,82,2021-11-01,02:08,83,"","Be the Cowboy",2018-08-17,61,1,51,57,0,40,-4,A Major,4,3jjsRKEsF42ccXf8kWR3nu,USJ5G1815012
31,"Still into You","Paramore",136,7B,92,2021-11-01,03:36,84,"pop punk, emo","Paramore",2013-04-05,60,1,0,77,0,0,-4,F Major,4,1yjY7rpaAQvKwpdUliHx0d,USAT21300012
