#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"All That (feat. Channel Tres)","Emotional Oranges,Channel Tres",110,3A,72,2022-03-06,03:05,0,"indie r&b, hip house","All That (feat. Channel Tres)",2020-10-14,92,4,6,86,10,10,-6,A#/B♭ Minor,4,1rDRBVSqKgs3K9HiX5OTrL,USUM72018913
2,"Don't Know You","Heize",105,9A,56,2022-03-06,03:09,54,"k-ballad, k-pop","/// (You, Clouds, Rain)",2017-06-26,70,21,0,47,20,40,-6,E Minor,4,1Zv6zo71iDXH07Lin7hxMg,KRA491601217
3,"Jam & Butterfly","DPR LIVE,Crush,eaJ",148,11A,77,2022-03-06,03:28,52,"k-rap, k-pop, k-ballad, ","Jam & Butterfly",2020-11-27,82,17,0,66,10,0,-5,F#/G♭ Minor,4,5rZkRaL4AjykFgw49KULyo,QMFME2064919
4,"oui","Jeremih",79,7B,72,2022-03-06,03:58,79,"","Late Nights: The Album",2015-12-04,42,21,0,60,10,10,-4,F Major,5,0PJIbOdMs3bd5AT8liULMQ,USUM71513397
5,"Freaky","Tory Lanez",105,4B,56,2022-03-06,02:53,52,"","LoVE me NOw (ReLoAdeD)",2018-10-26,97,0,0,36,0,10,-6,G#/A♭ Major,4,7EAaSaj1OgZgMX5yZyFXFC,USUM71904089
6,"Dancing in My Room","347aidan",120,1A,41,2022-03-06,03:00,67,"","Dancing in My Room",2020-10-26,98,67,0,76,10,10,-11,G#/A♭ Minor,4,6Pgmqg15yVexuOgtzuxwoX,USQX92004785
7,"Sriracha","Marteen",153,11A,65,2022-03-06,02:59,40,"","Sriracha",2017-07-21,79,4,0,83,10,20,-7,F#/G♭ Minor,4,4UrRKoDxouwUoFtdW3TteR,USWB11701232
8,"I Love You 3000","Stephanie Poetri",90,2B,38,2022-03-06,03:29,0,"","I Love You 3000",2019-06-03,65,91,0,41,0,30,-8,F#/G♭ Major,4,3znQ9i61vfe2E7URHlOiyc,TCAEG1949593
9,"First Sight","Heize",105,9A,72,2022-03-06,03:25,0,"k-ballad, k-pop","First Sight",2018-12-14,69,16,0,21,0,0,-5,E Minor,4,3kjyG3jI6a2EzYVa3ZlvFI,KRA491801210
10,"Strings","iann dior,Gunna",120,3B,57,2022-03-06,03:14,0,"melodic rap","Industry Plant",2019-11-08,80,13,0,39,0,10,-7,C♯/D♭ Major,4,2VdWzhJDjWaELCEhwyO8Q4,QZJ841900113
11,"Traffic Control (feat. HEIZE)","GIRIBOY,Heize",121,2A,59,2022-03-06,03:18,38,"k-rap, k-ballad, k-pop","Traffic Control",2019-05-21,77,65,0,70,0,10,-5,D#/E♭ Minor,4,06eQjGj6Hn76LEB1oATKtm,KRA381902020
12,"Spicy (feat. Post Malone)","Ty Dolla $ign,Post Malone",100,9A,51,2022-03-06,02:23,63,"trap soul, ","Featuring Ty Dolla $ign",2020-10-23,78,14,0,12,0,10,-6,E Minor,4,5IUtvfNvOyVYZUa6AJFrnP,USAT22005586
13,"do u even miss me at all?","gianni & kyle",100,3A,52,2022-03-06,02:57,52,"","do u even miss me at all?",2019-10-04,82,38,0,45,0,0,-7,A#/B♭ Minor,4,1AHf5FSofKcUw8tyKkccKF,QM24S1833477
14,"Broken","JIGM",80,11A,67,2022-03-06,03:03,30,"k-ballad","Love Revolution (Original Webcomic Soundtrack)",2020-06-10,56,29,0,50,0,0,-3,F#/G♭ Minor,4,33vo9lazjgmoemUhQ7cwk1,KRMIM2014499
15,"Freak Me (feat. Tekno)","Ciara,Tekno",105,10A,72,2022-03-06,03:20,0,"afrobeats, afrobeat, afropop, azonto, hiplife, afropiano","Freak Me (feat. Tekno)",2018-08-10,69,32,0,44,10,0,-6,B Minor,4,2qllCw4MajPQRs0r53xy0I,ZZOPM1800424
16,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X,Jack Harlow",150,2A,70,2022-03-06,03:32,75,"","INDUSTRY BABY (feat. Jack Harlow)",2021-07-23,74,2,0,89,0,0,-7,D#/E♭ Minor,4,27NovPIUIRrOZoCHxABJwK,USSM12104539
17,"Why do u say","Way Ched,Moon Sujin,ASH ISLAND",162,9B,59,2022-03-06,02:50,0,"k-rap","2MONTHS",2020-05-05,51,48,0,36,0,0,-6,G Major,4,4QPdrKoYtWjfQR7gw1bRW8,KRE132000037
18,"Panda","Desiigner",145,3A,73,2022-03-06,04:07,68,"","Panda",2016-02-26,69,3,0,27,40,30,-6,A#/B♭ Minor,4,275a9yzwGB6ncAW4SxY7q3,USUM71601094
19,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd,Swae Lee,Slim Jxmmi,Juicy J",174,12A,83,2022-03-06,05:32,65,"crunk","SR3MM",2018-05-04,71,2,0,59,10,10,-5,C♯/D♭ Minor,4,1BuZAIO8WZpavWVbbq3Lci,USUM71802281
20,"Mo Bamba","Sheck Wes",146,11A,63,2022-03-06,03:00,1,"","Mo Bamba",2017-09-19,74,27,0,32,0,10,-5,F#/G♭ Minor,4,3QybPutx0Tjk472bBKjNWn,QM24S1703585
21,"Interlude","DPR LIVE",135,12A,3,2022-03-06,00:34,28,"k-rap","Coming To You Live",2017-03-15,64,99,83,0,0,10,-17,C♯/D♭ Minor,5,51EaotV1SoCx3yr1Y79VhO,KRNAR1700813
