#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Boom Clap","Charli xcx",92,12B,91,2022-07-29,02:49,66,"hyperpop, art pop","SUCKER",2015-02-09,66,15,0,58,0,10,-2,E Major,4,094RugjgLW6CdPLOJctBZ3,GBAHS1400160
2,"Comatose","jxdn",162,10A,85,2022-07-29,02:35,51,"pop punk","Comatose",2020-05-11,36,0,0,55,30,40,-5,B Minor,4,5dVKYrPpo8d5AgUGRKMBLp,USAT22003129
3,"Even in the Dark","jxdn",130,10B,45,2022-07-29,02:40,43,"pop punk","28 (Songs for Cooper)",2022-06-28,55,21,0,57,0,0,-5,D Major,4,4g4m74G999qSuT8b1Zr6IC,USAT22208079
4,"On My Own","Brady",88,9B,59,2022-07-29,02:25,65,"","Teen Beach 2 (Original TV Movie Soundtrack)",2015-01-01,67,14,0,28,0,10,-7,G Major,4,51xUartdwQzXmtrwHyXRVp,USWD11570447
5,"NO VANITY","jxdn",149,10A,82,2022-07-29,03:25,42,"pop punk","Tell Me About Tomorrow",2021-07-02,48,0,0,33,0,10,-5,B Minor,4,0tQPcLmwvAnS5eXSuAUokD,USAT22102567
6,"America's Sweetheart - Acoustic","Huddy",128,12B,38,2022-07-29,03:26,22,"","America's Sweetheart (Acoustic)",2021-05-14,63,78,0,22,0,10,-8,E Major,4,3s8Ria9nqj00rXvMXBzbz5,USUM72107432
7,"LIPS","jxdn",165,10A,85,2022-07-29,02:49,46,"pop punk","Tell Me About Tomorrow (Deluxe)",2021-07-02,49,0,0,36,0,10,-5,B Minor,4,4waoeGrzsG9FRBChlaekFw,USAT22108152
8,"Maniac","Conan Gray",108,4B,64,2022-07-29,03:05,76,"","Kid Krow",2020-03-20,63,0,0,49,0,30,-5,G#/A♭ Major,4,6KfoDhO4XUWSbnyKjNp9c4,USUM71920712
9,"13 Missed Calls","Zach Hood",130,9B,72,2022-07-29,03:29,0,"","13 Missed Calls",2021-04-23,64,45,0,52,0,10,-6,G Major,3,6KVFBsfbnaFFa43i4k0cce,US3DF2108929
10,"TONIGHT (feat. iann dior)","jxdn,iann dior",165,7B,63,2022-07-29,02:15,49,"pop punk, melodic rap","Tell Me About Tomorrow",2021-07-02,50,0,0,46,0,30,-7,F Major,4,0zf4S7JGIW0V9tRegfNidB,USAT22007607
11,"24","Arizona Zervas",148,8B,79,2022-07-29,02:03,45,"","24",2020-05-08,74,16,0,46,10,10,-3,C Major,4,6B2RbPOuwAKtxNAnIKY63A,USSM12001964
12,"FUCKED UP","jxdn",84,5B,66,2022-07-29,02:50,37,"pop punk","Tell Me About Tomorrow",2021-07-02,39,1,0,21,0,10,-7,D#/E♭ Major,4,6LI6eBUfd7iQy55SaKCtIj,USAT22102563
13,"Miss YOU!","CORPSE",93,10B,83,2022-07-29,01:32,56,"trap metal","Miss YOU!",2020-03-06,79,0,8,17,20,50,-7,D Major,4,3pXVmZh293nWtqxildz9jf,QZFZ62009056
14,"dying on the inside","Nessa Barrett",125,5A,59,2022-07-29,03:24,69,"","dying on the inside",2022-02-25,54,0,0,43,0,10,-5,C Minor,1,6h1s7cKnUtsbRpE5bwnUTf,USWB12200243
15,"i wanna be your girlfriend","girl in red",156,9B,38,2022-07-29,03:24,2,"bedroom pop","i wanna be your girlfriend",2018-03-02,54,2,0,34,0,30,-14,G Major,4,3h3pOvw6hjOvZxRUseB7h9,GBLFP1815318
16,"LAST TIME","jxdn",200,10A,82,2022-07-29,03:01,41,"pop punk","Tell Me About Tomorrow",2021-07-02,44,0,0,45,0,30,-5,B Minor,4,0AFUpHDK01kwapBhVJBtio,USAT22102566
17,"TELL ME ABOUT TOMORROW","jxdn",140,1B,56,2022-07-29,03:23,50,"pop punk","Tell Me About Tomorrow",2021-07-02,51,2,0,49,0,10,-6,B Major,4,0A6CJaugwgh4bjnSNyWtWF,USAT22102568
18,"CRACK MY SKULL","jxdn",145,3B,86,2022-07-29,02:54,40,"pop punk","Tell Me About Tomorrow (Deluxe)",2021-07-02,55,0,0,35,0,0,-5,C♯/D♭ Major,4,4hqPAxttJibCdJwg4FGRSC,USAT22108149
19,"THINK ABOUT ME","jxdn",142,12A,72,2022-07-29,03:24,50,"pop punk","Tell Me About Tomorrow",2021-07-02,56,0,0,65,0,0,-4,C♯/D♭ Minor,4,6HNtT20hmFvswMN53jIRv1,USAT22102351
20,"Loner","Maggie Lindemann",160,1A,71,2022-07-29,03:10,0,"","PARANOIA",2021-01-22,69,32,0,23,0,10,-4,G#/A♭ Minor,4,2gFa7CPolfvvcv6EE7lpM8,QZMLX2000012
21,"CHRISTMAS SUCKS","jxdn",95,10B,84,2022-07-29,02:36,29,"pop punk","Tell Me About Tomorrow (Deluxe)",2021-07-02,52,0,0,35,0,30,-5,D Major,4,11MnUjcQ3YHQLbgxl4uQHi,USAT22108151
22,"ANGELS & DEMONS","jxdn",115,4B,80,2022-07-29,02:40,61,"pop punk","Tell Me About Tomorrow",2021-07-02,55,12,0,46,0,60,-4,G#/A♭ Major,4,3mkz6eI4Sram8UhO3teU76,USAT22003132
23,"White Tee","CORPSE",130,4A,85,2022-07-29,02:01,52,"trap metal","White Tee",2020-03-21,90,2,0,35,10,30,-4,F Minor,4,3qdRwIwWa5nVZnNp43uYrx,QZFZ62072678
24,"drivers license","jxdn",144,6B,79,2022-07-29,03:57,51,"pop punk","drivers license",2021-01-19,60,2,0,30,0,0,-5,A#/B♭ Major,4,6H7RUDjmjiGV4I9hE24Kk5,USAT22100190
25,"BETTER OFF DEAD","jxdn",94,3A,67,2022-07-29,02:35,58,"pop punk","Tell Me About Tomorrow",2021-07-02,68,15,0,38,0,10,-6,A#/B♭ Minor,4,7MPxEoT36YBCDbrk3ng85S,USAT22007606
26,"GOODMORNINGTOKYO!","TOKYO’S REVENGE",125,12B,54,2022-07-29,02:30,0,"","GOODMORNINGTOKYO!",2019-10-18,91,4,0,66,30,20,-8,E Major,4,0Q2n5yzl2XRqYbV77tZNYp,USLD91721611
27,"Beautiful Boy","jxdn",75,12B,79,2022-07-29,02:38,37,"pop punk","28 (Songs for Cooper)",2022-06-28,56,1,0,62,0,10,-6,E Major,4,1cmIa5VRsl9vOZl6zNRlHf,USAT22208078
28,"i hope ur miserable until ur dead","Nessa Barrett",116,10B,54,2022-07-29,02:57,65,"","i hope ur miserable until ur dead",2021-08-06,71,3,0,48,0,0,-7,D Major,4,4ka1FkKAMde6dQAFFMXKac,USWB12102325
