#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"러시안 룰렛 Russian Roulette","Red Velvet",130,6A,90,2022-06-07,03:31,73,"k-pop","Russian Roulette - The 3rd Mini Album",2016-09-07,73,6,0,96,0,10,-2,G Minor,4,5HiSc2ZCGn8L3cH3qSwzBT,KRA301600315
2,"Noir","SUNMI",117,1A,68,2022-06-07,03:29,47,"k-pop","Noir",2019-03-04,64,0,0,26,0,0,-5,G#/A♭ Minor,4,1KCXYoPIpvafzaAGtiRjci,KRMIM1903810
3,"Goblin","SULLI",85,6B,80,2022-06-07,03:13,44,"k-pop","Goblin",2019-06-29,74,62,0,76,0,10,-5,A#/B♭ Major,4,4HwtJ7p2bL1c5BVm35Rgbc,KRA301900292
4,"Likey","TWICE",132,9A,90,2022-06-07,03:27,68,"k-pop","Twicetagram",2017-10-30,72,41,0,44,0,10,-1,E Minor,4,0IEVKWduAaMcZepZQVr80T,US5TA1700096
5,"Oh my god","i-dle",110,9A,76,2022-06-07,03:15,64,"k-pop","I trust",2020-04-06,79,4,0,48,0,10,-4,E Minor,4,2DmRXiyn03tOqKgEJXlaiJ,KRA392000022
6,"FIVE","Apink",115,1B,90,2022-06-07,03:12,44,"k-pop","Pink UP",2017-06-26,66,27,0,79,0,40,-2,B Major,4,6JtfR9xa0HII5UWXfdjvsQ,KRA381701445
7,"Intro: Boy Meets Evil","BTS",130,4A,89,2022-06-08,02:01,60,"k-pop","Wings",2016-10-10,57,2,0,24,20,10,-4,F Minor,4,1hlT8F0X27uf3fpOWawjbY,KRA381601891
8,"Christmas EveL","Stray Kids",140,4A,78,2022-06-08,02:58,65,"k-pop, noise music","Christmas EveL",2021-11-29,88,4,0,88,10,40,-4,F Minor,4,5npCUsfrlhdyjxyCa32maW,US5TA2100115
9,"ALIEN","LEE SUHYUN",128,11B,70,2022-06-08,03:01,46,"k-ballad","ALIEN",2020-10-16,79,8,0,75,0,40,-5,A Major,4,46CBJtc2XYcOzv6PI4OWGR,KRA402000146
10,"Long Flight","TAEYONG",148,4A,86,2022-06-08,03:18,49,"k-pop, noise music","Long Flight",2019-07-18,69,20,0,88,0,10,-3,F Minor,4,4hHRHdPzKTpobGyyW9ipNg,KRA301900308
11,"Numb","CIX",107,5A,87,2022-06-08,03:25,37,"k-pop","HELLO Chapter 2: Hello, Strange Place",2019-11-19,68,18,0,60,0,10,-2,C Minor,4,0oiQqWcpJVeMsKQ5E0Cil8,KRA251902014
12,"Zombie","DAY6",122,8B,54,2022-06-08,03:29,0,"k-rock, k-pop","The Book of Us: The Demon",2020-05-11,79,1,0,53,0,0,-4,C Major,4,4s0dJmVknlUl7V6oK3puzZ,US5TA2000025
13,"Arson","j-hope",100,3B,80,2022-09-22,02:39,67,"k-pop, k-rap","Jack In The Box",2022-07-15,94,1,0,27,10,10,-4,C♯/D♭ Major,4,2QWEMqQMJR1KDf6hDjJOs6,USA2P2230924
14,"Body Talk","Red Velvet",186,2B,83,2022-09-22,03:39,39,"k-pop","Rookie - The 4th Mini Album",2017-02-01,53,1,0,16,0,10,-5,F#/G♭ Major,4,3CihjB4pu58o2ititZw9Yg,KRA301700054
15,"Shoot Me","DAY6",168,3B,92,2022-09-22,02:55,0,"k-rock, k-pop","Shoot Me : Youth, Part. 1",2018-06-26,58,7,0,73,10,0,-1,C♯/D♭ Major,4,3cl6BsTDeeGRbgug5TXrvg,US5TA1800047
16,"Sherlock (Clue + Note)","SHINee",107,3B,94,2022-09-22,03:59,61,"k-pop","Sherlock - The 4th Mini Album",2012-03-21,64,1,0,32,0,30,-2,C♯/D♭ Major,4,2sVtrcj32v3fR8mLjqWziv,KRA301200194
17,"HANN (Alone)","i-dle",105,11A,72,2022-09-22,03:25,59,"k-pop","HANN (Alone)",2018-08-14,71,6,0,24,0,10,-3,F#/G♭ Minor,4,7gr57cYekMWriyJYbT7oZ4,KRA391800047
18,"Fly To My Room","BTS",115,1B,53,2022-09-22,03:42,64,"k-pop","BE",2020-11-20,76,5,0,59,20,0,-7,B Major,4,1NHl9g36Ebu3g16y0vtUNV,QMFME2038752
19,"Respect","BTS",91,8B,84,2022-09-22,03:57,57,"k-pop","MAP OF THE SOUL : 7",2020-02-21,66,0,0,53,10,20,-5,C Major,4,2yKBnKOmPXePrbHqRv42r4,QM4TX2001955
