#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"After Dark","Mr.Kitty",140,4B,60,2022-10-01,04:19,78,"witch house, darkwave","Time",2014-10-06,59,7,27,4,0,0,-10,G#/A♭ Major,4,2LKOHdMsL0K9KwcPRlJK2v,USY251660155
2,"1985","Bo Burnham",156,9A,72,2022-10-01,02:26,53,"comedy","INSIDE (DELUXE)",2022-06-03,65,4,0,89,0,30,-7,E Minor,4,4aDupxFxldxF8V4XbE4fyH,USA2P2225075
3,"Thank You","Dido",80,12A,58,2022-10-01,03:38,81,"","No Angel",1999-00-00,73,30,0,76,0,0,-10,C♯/D♭ Minor,4,3yUcJwYu7fXAfqMj9krY6l,USAR19900870
4,"The Perfect Girl - Instrumental","Mareux",129,1A,91,2022-10-01,03:14,54,"darkwave, cold wave","The Perfect Girl (Instrumental)",2022-01-19,56,0,84,20,0,10,-6,G#/A♭ Minor,4,1iiOnQBpssMKWXJJiqBsbN,USWB12200008
5,"Transgender","Crystal Castles",138,9B,91,2022-10-01,03:04,58,"witch house, electroclash, new rave, alternative dance","(III)",2012-01-01,52,0,85,4,0,20,-8,G Major,3,26ZzSLUJMmYp5u1hDELEWH,GBUM71206689
6,"everything i wanted","Billie Eilish",120,11A,23,2022-10-01,04:05,84,"","everything i wanted",2019-11-13,70,90,66,24,10,10,-14,F#/G♭ Minor,4,3ZCTVFBt2Brf31RLEnCkWJ,USUM71922577
7,"My Ordinary Life","The Living Tombstone",176,8A,66,2022-10-01,03:50,74,"","My Ordinary Life",2017-11-23,68,2,35,58,0,20,-9,A Minor,4,6tMdpUXfT70TD6Eh3XfB1p,QZANL1777908
8,"Therefore I Am","Billie Eilish",94,10A,34,2022-10-01,02:54,70,"","Therefore I Am",2020-11-12,89,22,13,72,0,0,-8,B Minor,4,54bFM56PmE4YLRnqpW6Tha,USUM72021500
9,"Devil Town","Cavetown",100,5B,76,2022-10-01,02:59,72,"bedroom pop","Cavetown",2015-11-09,58,12,0,50,0,10,-8,D#/E♭ Major,4,0vf2eBw2inhl8y61cYQMv2,TCADM1818860
10,"Hayloft II","Mother Mother",178,8A,87,2022-10-01,03:35,75,"","Inside (Deluxe)",2022-01-28,33,0,0,17,10,0,-5,A Minor,4,0kYMwaQWABTkFff8AZjmYI,CAW112100716
