#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Ultraviolence","Lana Del Rey",79,8B,54,2023-11-29,04:11,81,"","Ultraviolence (Deluxe)",2014-01-01,14,28,0,9,0,10,-7,C Major,3,1y3r6RXiJZNBV1EI0NggpS,GBUM71402015
2,"All Too Well (Taylor's Version)","Taylor Swift",186,8B,53,2023-11-29,05:29,73,"","Red (Taylor's Version)",2021-11-12,44,2,0,13,0,20,-8,C Major,4,3nsfB1vus2qaloUdcBZvDu,USUG12103665
3,"Me and My Husband","Mitski",172,3B,64,2023-11-29,02:17,73,"","Be the Cowboy",2018-08-17,50,5,0,77,0,30,-5,C♯/D♭ Major,4,3pANfZVFdtuVnJsE6xa5Ox,USJ5G1815007
4,"Bitter Choco Decoration","syudou",87,11A,88,2023-11-29,03:16,6,"vocaloid, anime","SonobashinogiEP",2020-04-20,55,5,0,88,10,40,-2,F#/G♭ Minor,4,4gcD8Xk9MFDrLz1tVItgES,JPJ222101610
5,"As It Was","Harry Styles",174,11A,73,2023-11-29,02:47,92,"","Harry's House",2022-05-20,52,34,0,66,0,30,-5,F#/G♭ Minor,4,4Dvkj6JhhA12EX05fT7y2e,USSM12200612
6,"Somewhere Only We Know","Keane",172,11B,66,2023-11-29,03:56,79,"","Hopes And Fears",2004-01-01,45,8,0,37,0,0,-4,A Major,4,0ll8uFnc0nANY35E0Lfxvg,GBAAN0300664
7,"House of Memories","Panic! At The Disco",110,10A,82,2023-11-29,03:28,81,"emo","Death of a Bachelor",2016-01-15,51,0,0,51,0,0,-5,B Minor,4,2DgdHcjWmO3qd50RzuBLgZ,USAT21503701
8,"Soap","Melanie Martinez",168,11A,69,2023-11-29,03:29,72,"","Cry Baby (Deluxe Edition)",2015-08-14,60,25,0,21,10,10,-6,F#/G♭ Minor,4,03f7xZmt2wHCIDJBFPK8G4,USAT21501777
9,"deja vu","Olivia Rodrigo",181,10B,61,2023-11-29,03:35,88,"","SOUR",2021-05-21,44,58,0,18,10,30,-7,D Major,4,6HU7h9RYOaPRFeh0R3UeAr,USUG12101240
10,"right where you left me - bonus track","Taylor Swift",138,6B,62,2023-11-29,04:05,76,"","evermore (deluxe version)",2021-01-07,58,77,0,65,0,10,-7,A#/B♭ Major,4,3zwMVvkBe2qIKDObWgXw4N,USUG12004720
11,"august","Taylor Swift",90,7B,62,2023-11-29,04:21,85,"","folklore",2020-07-24,53,54,0,40,0,0,-9,F Major,4,3hUxzQpSfdDqwM3ZTFQY0K,USUG12002842
12,"evermore (feat. Bon Iver)","Taylor Swift,Bon Iver",125,3B,27,2023-11-29,05:04,63,"","evermore (deluxe version)",2021-01-07,39,94,0,32,0,10,-11,C♯/D♭ Major,5,6Wlq9rqkxrqj5Kls4Kw14H,USUG12004719
13,"prom dress","mxmtoon",120,6B,67,2023-11-29,03:17,0,"bedroom pop, indie pop","the masquerade",2019-09-17,56,70,0,42,0,10,-6,A#/B♭ Major,4,2xCGBWfzTe8l2kvHpgvB6M,QM6MZ1961770
14,"rises the moon","Liana Flores",137,4A,13,2023-11-29,02:41,82,"","recently",2019-04-10,48,95,14,20,0,10,-20,F Minor,3,51Grh1RyUDcMBbpuyUIUHI,QZDA61986777
15,"tolerate it","Taylor Swift",75,11B,36,2023-11-29,04:05,70,"","evermore",2020-12-11,32,88,0,22,0,0,-10,A Major,5,0PurA4JVJ8YQgSVopY8fn6,USUG12004705
16,"Your Best American Girl","Mitski",77,9B,26,2023-11-29,03:32,69,"","Puberty 2",2016-06-17,36,2,1,13,0,20,-10,G Major,4,7g5qe8VITjr13RIe8uM2p6,USJ5G1612305
17,"Old Money","Lana Del Rey",108,3A,17,2023-11-29,04:31,70,"","Ultraviolence (Deluxe)",2014-01-01,31,89,0,15,0,10,-12,A#/B♭ Minor,1,6IfPyMb0Sxptpx6jBUATOS,GBUM71402503
18,"hope ur ok","Olivia Rodrigo",77,8B,30,2023-11-29,03:29,75,"","SOUR",2021-05-21,44,39,0,17,0,10,-12,C Major,4,1zejeOnykpCoyVSit6Bwp3,USUG12101250
19,"Always Forever","Cults",163,4B,74,2023-11-29,03:43,79,"","Static",2013-10-15,17,0,28,36,0,20,-6,G#/A♭ Major,4,2enPRFda84VE2wtI8c86Uf,USSM11303912
20,"I Don't Smoke","Mitski",144,3B,54,2023-11-29,03:18,68,"","Bury Me At Makeout Creek",2014-11-11,13,0,1,23,0,10,-7,C♯/D♭ Major,4,5Qk72xAbHXMzOWL6gS5Gcp,USA2B1511606
21,"favorite crime","Olivia Rodrigo",173,11B,27,2023-11-29,02:32,84,"","SOUR",2021-05-21,37,87,0,22,0,10,-10,A Major,4,5JCoSi02qi3jJeHdZXMmR8,USUG12101249
22,"Jigsaw","Conan Gray",168,11B,52,2023-11-29,03:28,61,"","Superache",2022-06-24,27,8,0,16,0,10,-6,A Major,4,6bOd4UM7FaQOZXR2MBzSPi,USUM72200064
23,"Sunsetz","Cigarettes After Sex",75,8A,48,2023-11-29,03:35,6,"dream pop","Cigarettes After Sex",2017-06-09,41,6,81,13,0,10,-9,A Minor,4,0SpkyS1Q4MD8GaVcP5YjT4,USBQU1700033
24,"Last Kiss (Taylor's Version)","Taylor Swift",80,6B,36,2023-11-29,06:09,68,"","Speak Now (Taylor's Version)",2023-07-07,56,44,0,19,0,10,-9,A#/B♭ Major,3,59KOoHFcw5XfICnO57holu,USUG12302085
25,"Everlong","Foo Fighters",158,10A,88,2023-11-29,04:10,87,"rock, post-grunge, alternative rock, grunge","The Colour And The Shape",1997-05-20,41,0,0,36,0,0,-6,B Minor,4,5UWwZ5lm5PKu6eKsHAGxOk,USRW29600011
26,"Sweet Nothing","Taylor Swift",176,8B,16,2023-11-29,03:08,67,"","Midnights",2022-10-21,34,97,0,41,0,10,-15,C Major,4,0wavGRldH0AWyu2zvTz8zb,USUG12205718
27,"Maroon","Taylor Swift",108,9B,38,2023-11-29,03:38,72,"","Midnights",2022-10-21,66,6,0,4,0,10,-8,G Major,4,3eX0NZfLtGzoLUxPNvRfqm,USUG12205735
28,"Take on Me","a-ha",84,11A,90,2023-11-29,03:45,89,"new wave, synthpop","Hunting High and Low",1985-06-01,57,2,0,88,0,0,-8,F#/G♭ Minor,4,2WfaOiMkCvy7F5fcp2zZ8L,USWB19901214
29,"Christmas Kids","Roar",152,10B,75,2023-11-29,02:15,2,"","I Can't Handle Change",2010-03-14,43,1,11,56,0,40,-6,D Major,4,40gk32E7YaTFoQwDIWv2SY,USHM81020599
30,"Pretty Girl","Clairo",112,8B,61,2023-11-29,02:58,5,"bedroom pop","Pretty Girl",2017-08-04,93,59,0,70,0,0,-4,C Major,4,0KyAGiNGUytG5JLxJu4F6l,TCADF1795049
31,"Gomenne Gomenne","Kikuo",110,10B,94,2023-11-29,04:47,48,"vocaloid","0003:a galaxy odyssey",2014-06-25,56,8,0,23,0,10,-3,D Major,4,1XHEge7okEXNdi66yHGc1x,JPQ001100064
