#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Monsters (feat. blackbear)","All Time Low,blackbear",79,5A,85,2020-11-25,02:54,72,"pop punk, emo, punk, ","Wake Up, Sunshine",2020-04-03,37,5,0,78,0,40,-3,C Minor,4,0tyR7Bu9P086aWBFZ4QJoo,USAT22000034
2,"I Don't Love You","My Chemical Romance",170,8B,80,2015-11-11,03:58,78,"emo, pop punk","The Black Parade",2006-10-20,29,1,0,33,0,20,-4,C Major,4,4RAOI1etsgbh5NP3T5R8rN,USRE10602907
3,"Bulletproof Heart","My Chemical Romance",140,2B,95,2015-11-11,04:56,30,"emo, pop punk","Danger Days: The True Lives of the Fabulous Killjoys",2010-11-19,41,0,0,38,0,10,-3,F#/G♭ Major,4,1sFFxRWtbJmYH3hP5Fvi3v,USRE11000825
4,"Fake Your Death","My Chemical Romance",100,9B,77,2015-11-11,03:20,40,"emo, pop punk","Fake Your Death",2014-02-17,52,1,0,50,0,20,-5,G Major,4,2wyxIeuSGkTpW8sVv8Z123,USRE11300590
5,"Jesus Is My Rock Star","The Red Jumpsuit Apparatus",120,10B,35,2015-11-11,04:34,0,"pop punk, emo","4",2014-07-04,42,74,0,11,0,10,-8,D Major,4,4bJ4fbuozueoeR55Jd8MfJ,TCABY1427397
6,"Face Down","The Red Jumpsuit Apparatus",93,6A,93,2015-11-11,03:12,78,"pop punk, emo","Don't You Fake It",2006-01-01,55,0,0,46,0,10,-2,G Minor,4,4wzjNqjKAKDU82e8uMhzmr,USVI20600108
7,"Misery Loves It's Company (Alliance Edition)","The Red Jumpsuit Apparatus",91,9A,83,2015-11-11,03:16,0,"pop punk, emo","Don't You Fake It (Alliance Edition)",2014-01-17,19,0,0,31,0,10,-4,E Minor,3,3Amiasaz6ydNd2LIFT7n0A,TCABT1400477
8,"Hello","Adele",158,4A,45,2015-11-11,04:55,0,"soft pop","Hello",2015-10-23,48,34,0,29,0,0,-6,F Minor,4,0ENSn4fwAbCGeFGVUbXEU3,GBBKS1500214
9,"Chasing Pavements","Adele",80,4A,47,2015-11-11,03:30,0,"soft pop","19",2008-01-28,62,33,0,33,0,10,-6,F Minor,4,59tg0OPhiHlbsVZ9GFqUk5,GBBKS0700574
10,"Monsoon","Tokio Hotel",112,2A,73,2015-11-11,04:00,54,"","Best Of (English Version)",2010-01-01,58,2,0,18,0,20,-5,D#/E♭ Minor,4,4jFN3aMZf1zbAZc146XOjr,DEUM70606640
11,"All Out of Love","Air Supply",108,8B,51,2015-11-11,04:01,47,"soft rock","The Essential Air Supply",2014-06-24,50,8,0,32,0,40,-6,C Major,4,55K3YOfRLMNpJWytMW13si,USAR18000002
12,"This I Promise You","*NSYNC",166,10B,59,2015-11-11,04:44,69,"","No Strings Attached",2000-03-21,55,35,0,47,0,10,-6,D Major,4,46n2EGFnPC3tzWCN1Aqe26,USJI10000047
13,"Dream","Priscilla Ahn",110,10B,25,2015-11-11,03:32,16,"","A Good Day",2008-01-01,49,75,0,17,0,10,-10,D Major,3,3ovz6RQaxl7ZdKxa0MWXPD,USBN20800047
14,"Lullaby","Priscilla Ahn",105,8B,28,2015-11-11,04:44,9,"","A Good Day",2008-01-01,51,62,0,34,0,20,-9,C Major,4,6gj8MD1nkYya61iLo9tWoh,USBN20800054
15,"Stitches","Shawn Mendes",150,3B,75,2015-11-12,03:26,7,"","Handwritten",2015-04-14,75,2,0,76,0,0,-7,C♯/D♭ Major,4,3zkWCteF82vJwv0hRLba76,USUM71500658
16,"Roses","The Chainsmokers,ROZES",100,12B,80,2015-11-12,03:46,84,"","Roses",2015-06-16,71,4,0,34,0,30,-7,E Major,4,3vv9phIu6Y1vX3jcqaGz5Z,USQX91500801
17,"Imagination","Shawn Mendes",90,8B,46,2015-11-12,03:37,0,"","Handwritten (Deluxe)",2015-04-13,64,7,0,33,0,0,-6,C Major,4,1iDCbHDvOGDVHhtL1wCpum,USUM71500655
18,"Life Of The Party","Shawn Mendes",114,6B,62,2015-11-12,03:34,0,"","Handwritten",2015-04-14,67,7,0,16,0,10,-5,A#/B♭ Major,4,0Ks8zrV1CH0ZCLuXNum3Wa,USUM71407508
