#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"My World","ILLIT",108,1B,59,2026-01-16,01:47,65,"k-pop","SUPER REAL ME",2024-03-25,73,18,0,68,10,20,-5,B Major,4,2Xiaplc23BureS4EDeE8xa,USA2P2413258
2,"Midnight Fiction","ILLIT",130,12B,84,2026-01-16,02:48,71,"k-pop","SUPER REAL ME",2024-03-25,69,24,0,82,0,20,-6,E Major,4,6QqrxJe1iQxwLY6he6FLFo,USA2P2413260
3,"Lucky Girl Syndrome","ILLIT",120,8B,92,2026-01-16,02:20,75,"k-pop","SUPER REAL ME",2024-03-25,76,2,0,44,0,20,-4,C Major,4,2kIUILBPlz4exX9xIFS275,USA2P2413261
4,"Cherish (My Love)","ILLIT",143,12B,82,2026-01-16,02:56,74,"k-pop","Cherish (My Love) (Remixes)",2024-10-28,71,24,0,30,0,10,-4,E Major,4,21LtZQQMQYwVIxc9O9Ygq8,USA2P2458809
5,"Magnetic","ILLIT",131,2B,67,2026-01-16,02:40,83,"k-pop","SUPER REAL ME",2024-03-25,80,26,0,69,0,0,-6,F#/G♭ Major,4,1aKvZDoLGkNMxoRYgkckZG,USA2P2413259
6,"SUPA DUPA LUV","BABYMONSTER",128,12A,68,2026-01-16,02:52,71,"k-pop","WE GO UP",2025-10-10,82,21,0,37,0,10,-6,C♯/D♭ Minor,4,5S0QxfYABBoLI4sMk2aCa2,KRA402400153
7,"Really Like You","BABYMONSTER",97,4A,59,2026-01-16,03:17,73,"k-pop","DRIP",2024-11-01,83,15,0,80,0,50,-6,F Minor,4,3entdIWiOuQfcXIkJEABsV,KRA402400058
8,"Perfect Night","LE SSERAFIM",136,7B,82,2026-01-16,02:39,77,"k-pop","Perfect Night",2023-10-27,70,10,0,50,0,0,-5,F Major,4,74X2u8JMVooG2QbjRxXwR8,USA2P2349660
9,"Stuck In The Middle","BABYMONSTER",120,11B,33,2026-01-16,04:06,64,"k-pop","Stuck In The Middle",2024-02-01,63,88,0,33,0,0,-9,A Major,4,1Ad4anaX6hJyfZvVDkrKQg,KRA402400004
10,"DREAM","BABYMONSTER",125,2B,38,2026-01-16,03:03,68,"k-pop","BABYMONS7ER",2024-04-01,67,56,0,19,0,40,-8,F#/G♭ Major,4,580sy6eZ6j0LrjvayPKD0k,KRA402400020
11,"Good Parts (when the quality is bad but I am)","LE SSERAFIM",121,8B,68,2026-01-16,02:36,63,"k-pop","ANTIFRAGILE",2022-10-17,79,52,0,62,0,40,-5,C Major,4,1sZBzYhrQG40zcSuKkI93c,USA2P2230332
12,"Sour Grapes","LE SSERAFIM",140,11A,80,2026-01-16,03:16,69,"k-pop","FEARLESS",2022-05-02,78,40,0,72,0,10,-6,F#/G♭ Minor,4,6wBpO4Xc4YgShnENGSFA1M,USA2P2219221
13,"Impurities","LE SSERAFIM",90,8A,76,2026-01-16,03:16,61,"k-pop","ANTIFRAGILE",2022-10-17,72,23,0,46,0,0,-5,A Minor,4,7F0MuIk5glqtowCUjbn9es,USA2P2230330
14,"Blue Flame","LE SSERAFIM",112,9A,73,2026-01-16,03:21,67,"k-pop","FEARLESS",2022-05-02,78,3,0,77,0,0,-4,E Minor,4,37YoRLUu1qId0ewavgvnkG,USA2P2219220
15,"FEARNOT (Between you, me and the lamppost)","LE SSERAFIM",106,7B,69,2026-01-16,03:26,56,"k-pop","UNFORGIVEN",2023-05-01,56,11,0,20,0,10,-5,F Major,4,0sNfFxw3pJkVmRsgY781vM,USA2P2310666
16,"NOT CUTE ANYMORE","ILLIT",99,3B,74,2026-01-16,02:11,84,"k-pop","NOT CUTE ANYMORE",2025-11-24,94,24,0,95,0,10,-6,C♯/D♭ Major,4,1k0JAiH11gHL9dc5dfQjQr,USA2P2551249
17,"Choices","LE SSERAFIM",99,11B,84,2026-01-16,03:21,52,"k-pop","Choices",2023-01-08,45,3,0,72,20,10,-5,A Major,4,0THn1agoZT9wJXkITUz6dJ,JPPO02204998
18,"Flash Forward","LE SSERAFIM",115,4B,88,2026-01-16,03:15,57,"k-pop","UNFORGIVEN",2023-05-01,77,16,0,84,0,0,-4,G#/A♭ Major,4,74cpuIw43kA8xPgbQEPdss,USA2P2310667
