#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Thằng Điên","JustaTee,Phương Ly",140,7B,50,2024-09-22,03:54,67,"v-pop, vietnamese hip hop, vietnam indie, vinahouse","Thằng Điên",2022-07-11,63,36,0,57,0,0,-9,F Major,4,27Z9T0mSWHYWSj9SNOGvyt,ZZOPM2237296
2,"Exit Sign","HIEUTHUHAI,marzuz",75,10B,60,2024-09-22,03:21,72,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie","Ai Cũng Phải Bắt Đầu Từ Đâu Đó",2023-10-16,48,85,0,18,30,10,-8,D Major,4,4nXrVH5xwN1w6TpmP7uu8n,VNA092302091
3,"Thức Giấc","Da LAB",127,11B,58,2024-09-22,04:29,65,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse","Thức Giấc",2021-07-14,66,45,0,19,0,10,-9,A Major,4,1MiJk3dXC5jzhvLFP0dUM7,VNA0M1916649
4,"Đường Một Chiều","Huỳnh Tú,Andiez",133,5B,50,2024-09-22,04:47,0,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi","Đường Một Chiều",2016-10-14,46,86,0,34,0,30,-6,D#/E♭ Major,4,2M2nM9t0YQoXMTnFH8AXBu,VNA0M1846800
5,"Nhớ Người Hay Nhớ... (feat. Sofia)","Khói,Sofia,Châu Đăng Khoa",160,1B,61,2024-09-22,04:14,0,"vietnamese hip hop, v-pop, vietnamese lo-fi, vietnam indie, vinahouse","Nhớ Người Hay Nhớ...",2020-02-25,59,70,0,19,0,30,-7,B Major,4,5RCPFSkeizN5XvbE3CBEGF,VNA0M1912006
6,"HÀO QUANG (feat. RHYDER, Dương Domic & Pháp Kiều)","ANH TRAI  SAY HI ,RHYDER,Dương Domic,Pháp Kiều",131,3B,39,2024-09-22,04:05,46,"v-pop, vietnamese hip hop","ANH TRAI  SAY HI , Tập 5",2024-07-15,53,76,0,65,0,20,-7,C♯/D♭ Major,4,3EQjXzlXY0dyOovq0Awe91,US38Y2417126
7,"SO FAR","Binz",91,7B,48,2024-09-22,03:24,46,"vietnamese hip hop, v-pop, vietnam indie, vinahouse","SO FAR",2018-11-01,57,59,0,27,0,10,-10,F Major,4,5GXCpnyiCviIiAiZn13tzn,VNA112000110
8,"Hẹn Một Mai - From  4 Năm 2 Chàng 1 Tình Yêu ","Bùi Anh Tuấn",128,11B,23,2024-09-22,04:19,60,"v-pop","Hẹn Một Mai (From  4 Năm 2 Chàng 1 Tình Yêu )",2024-03-04,58,90,0,32,0,10,-15,A Major,4,5BJqg07SKgmFnVLOBmLFvq,FR96X2432258
9,"Vẫn Như Lúc Đầu - 'Song Song' Original Movie Soundtrack","Cá Hồi Hoang",127,11B,35,2024-09-22,03:56,36,"vietnam indie, v-pop, vietnamese hip hop","Vẫn Như Lúc Đầu ('Song Song' Original Movie Soundtrack)",2021-04-02,57,87,0,31,0,10,-8,A Major,4,4peMVtPFwk3mWii5qeV4A2,CH6542129579
10,"Giấc Mơ Khác","Chillies",132,5B,44,2024-09-22,03:43,56,"v-pop, vietnam indie, vietnamese hip hop","Giấc Mơ Khác",2023-02-09,60,52,0,35,0,10,-10,D#/E♭ Major,4,5YiqPAVbiFUj1G1qvbXo0X,VNA112300001
11,"K.","Cigarettes After Sex",94,5B,40,2024-09-22,05:20,7,"dream pop","Cigarettes After Sex",2017-06-09,45,14,84,32,0,10,-10,D#/E♭ Major,4,1FWsomP9StpCcXNWmJk8Cl,USBQU1600214
12,"Apocalypse","Cigarettes After Sex",94,7B,47,2024-09-22,04:50,11,"dream pop","Cigarettes After Sex",2017-06-09,37,2,57,18,0,10,-9,F Major,4,0yc6Gst2xkRu0eMLeRMGCX,USBQU1700034
