#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"You(=I)","BOL4",105,4B,67,2024-06-04,02:52,47,"k-pop, k-ballad","RED PLANET (JAPAN EDITION)",2019-06-05,74,57,0,61,0,10,-7,G#/A♭ Major,4,0u2GReSjRoSBU2gzddUfY4,JPKI01912921
2,"Bye-Good-Bye","BE:FIRST",115,10B,64,2024-06-04,03:01,54,"j-pop","Bye-Good-Bye",2022-03-07,88,11,0,79,0,0,-6,D Major,4,0rPrGZTtScNSRL2jZoooKO,JPB602201143
3,"Guilty","BULLET PINK",126,10B,89,2024-06-16,02:45,36,"","Guilty",2021-04-28,81,23,0,88,10,30,-3,D Major,4,3dk8qjacuFx4zmVEx9hRdp,JPR652100010
4,"La Vie en Rose","IZ*ONE",116,8A,91,2024-06-16,03:38,0,"k-pop","COLOR*IZ",2018-10-29,70,9,0,61,0,10,-1,A Minor,4,1fRaznZsAB2i63TtmYv2Hc,KRA871800019
5,"VALENTI","BoA",104,3B,96,2024-07-17,04:18,53,"k-pop, j-pop, j-r&b","VALENTI",2003-01-29,64,2,0,91,0,20,-3,C♯/D♭ Major,4,0DTkhrr2Y8eWt3DrcoboRl,JPB600231701
6,"Hi-Five","ME:I",115,8B,91,2024-07-29,02:45,47,"j-pop","Hi-Five",2024-07-28,77,11,0,72,0,20,-2,C Major,4,2tInxej0SuDFc5c94x4GBB,JPN002400256
7,"4 Walls","f(x)",126,9A,85,2024-08-08,03:27,64,"k-pop","4 Walls - The 4th Album",2015-10-27,74,21,0,22,10,0,-4,E Minor,4,2YkjXEab4USTV9uuAgC90E,KRA301500519
8,"Sweet Venom","ENHYPEN",115,6B,67,2024-09-16,02:28,72,"k-pop","ORANGE BLOOD",2023-11-17,84,4,0,91,0,10,-4,A#/B♭ Major,4,2YmfV4lAjrAQvuggKCUX6m,USA2P2343662
9,"レーザービーム","Perfume",135,5A,97,2024-11-12,03:30,46,"j-pop, shibuya-kei","Perfume Global Compilation “LOVE THE WORLD”",2012-09-12,64,1,1,96,0,10,-1,C Minor,4,2vbStcUQ6xT7wRj3rDChvK,JPTK01101430
10,"ツキヨミ","King & Prince",106,6A,87,2024-11-19,03:35,63,"j-pop","Mr.5 (Special Edition)",2023-04-19,70,8,0,66,10,0,-4,G Minor,4,0n0KYkqU872R2y7B5FbDJX,JPPO02204079
11,"TraceTrace","King & Prince",115,8B,64,2024-11-19,03:37,51,"j-pop","Mr.5 (Special Edition)",2023-04-19,76,2,0,87,0,0,-7,C Major,4,5ica9jUd8PyOmySgvhvOTJ,JPPO02202875
12,"Dance Again","TWICE",114,6B,83,2024-11-21,03:11,45,"k-pop","Dance Again",2023-12-12,69,17,0,82,0,0,-4,A#/B♭ Major,4,79ypLbXeRsgNgd3uZTOcY4,JPWP02301338
13,"Style.","Kana Nishino",113,6B,87,2024-11-24,04:05,44,"j-pop","Style.",2008-08-13,64,29,0,69,0,10,-4,A#/B♭ Major,4,37ZcbJ9hbmybfvG444aVrI,JPU900801501
14,"IZNA","izna",106,12A,61,2024-11-28,02:36,47,"k-pop","N/a",2024-11-25,90,2,0,54,0,10,-5,C♯/D♭ Minor,4,2rekyusaTqo0OseugmKV9h,KRA492401146
15,"TIMEBOMB","izna",146,7A,66,2024-12-15,02:51,45,"k-pop","N/a",2024-11-25,74,2,0,40,10,0,-6,D Minor,4,4qIWmUPEu0HGMbq7C1UZws,KRA492401147
16,"MARCH","ミラクルチンパンジー",100,10B,72,2024-12-22,03:30,30,"anime","映画「佐々木と宮野－卒業編－」オリジナル・サウンドトラック",2023-02-15,43,39,0,48,0,30,-5,D Major,4,0Qc8MSB1M6Mm7ZuX9Fx58G,JPCO02300840
17,"Frozen Butterfly","WOLF HOWL HARMONY from EXILE TRIBE",106,3B,66,2024-12-31,03:04,30,"j-pop","Frozen Butterfly",2024-02-12,75,18,0,55,0,50,-6,C♯/D♭ Major,4,3JcUsgmUOruUTr7VRnqMa6,JPB602400369
18,"ピアス","WOLF HOWL HARMONY from EXILE TRIBE",170,5A,73,2024-12-31,03:17,29,"j-pop","ピアス",2024-07-15,53,9,0,53,0,20,-4,C Minor,4,4G4GGrJm2mLcDGDNxs9KVI,JPB602402236
19,"マカロニ","Perfume",100,4B,90,2025-01-08,04:39,45,"j-pop, shibuya-kei","GAME",2008-04-16,69,15,1,80,0,0,-2,G#/A♭ Major,4,0yEcPB56T63DrdeS050Ihp,JPTK00714080
20,"おくすり","Yuika",125,4B,75,2025-03-10,04:01,45,"j-pop","おくすり",2025-02-05,86,20,0,88,0,0,-6,G#/A♭ Major,4,6hx93BC7f14bffbKr82cOq,JPPO02406149
21,"IS THIS LOVE","XG",130,4B,71,2025-03-11,02:35,71,"k-pop","AWE",2024-11-08,76,4,0,46,0,10,-6,G#/A♭ Major,4,0dzbNEBsrs17os3jJOFLar,JPB602402896
22,"ブラザービート","Snow Man",142,10B,98,2025-04-06,03:25,62,"j-pop","THE BEST 2020 - 2025",2025-01-22,56,1,0,76,10,0,-3,D Major,4,0isQWzN11KyHMZTRPsCnPH,JPB602200999
23,"タペストリー","Snow Man",124,6B,70,2025-04-06,03:58,60,"j-pop","THE BEST 2020 - 2025",2025-01-22,58,8,0,45,0,30,-5,A#/B♭ Major,4,0lqAOs9poxlM8FE5j40URh,JP92N2599001
