#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Summertime Sadness","Lana Del Rey",112,12A,65,2022-04-13,04:24,65,"","Born To Die (Deluxe Version)",2011-01-01,57,5,0,21,0,10,-7,C♯/D♭ Minor,4,1FEiijYPJtyswChfcpv3p0,GBUM71111565
2,"Ultraviolence","Lana Del Rey",79,8B,54,2022-04-13,04:11,81,"","Ultraviolence (Deluxe)",2014-01-01,14,28,0,9,0,10,-7,C Major,3,1y3r6RXiJZNBV1EI0NggpS,GBUM71402015
3,"DALLA DALLA","ITZY",125,10A,85,2022-04-13,03:19,65,"k-pop","IT'z Different",2019-02-12,79,0,0,71,0,30,-5,B Minor,4,38rUIlTX93Aoif3WcY1wv6,US5TA1900013
4,"Francis Forever","Mitski",102,10B,45,2022-04-13,02:29,74,"","Bury Me At Makeout Creek",2014-11-11,54,0,0,32,0,10,-9,D Major,4,5411TEB6tlzvuF5A4oyldr,USA2B1511605
5,"Drama Club","Melanie Martinez",74,4A,66,2022-04-13,03:45,62,"","K-12",2019-09-06,63,38,0,51,0,10,-7,F Minor,4,6FcNLunvzsHCVVf4TGYULM,USAT21902530
6,"SOLO","JENNIE",95,2A,64,2022-04-13,02:49,70,"k-pop","SOLO",2018-11-12,75,9,0,39,0,10,-5,D#/E♭ Minor,4,2wVDWtLKXunswWecARNILj,KRA401800139
7,"lovely (with Khalid)","Billie Eilish,Khalid",115,9A,30,2022-04-13,03:20,88,"","lovely (with Khalid)",2018-04-19,35,93,0,12,0,10,-10,E Minor,4,0u2P5u6lvoDfwTYjAADbn4,USUM71804190
8,"Devil Town","Cavetown",100,5B,76,2022-04-13,02:59,72,"bedroom pop","Cavetown",2015-11-09,58,12,0,50,0,10,-8,D#/E♭ Major,4,0vf2eBw2inhl8y61cYQMv2,TCADM1818860
9,"FANCY","TWICE",132,4A,87,2022-04-13,03:33,75,"k-pop","FANCY YOU",2019-04-22,70,1,0,78,0,60,-2,F Minor,4,2qQpFbqqkLOGySgNK8wBXt,US5TA1900042
10,"Brooklyn Baby","Lana Del Rey",108,3B,66,2022-04-13,05:51,85,"","Ultraviolence (Deluxe)",2014-01-01,40,54,0,9,0,10,-7,C♯/D♭ Major,4,1NZs6n6hl8UuMaX0UC0YTz,GBUM71402169
11,"Not Allowed","TV Girl",105,3B,91,2022-04-13,02:47,1,"","Who Really Cares",2016-02-25,67,67,0,56,10,30,-7,C♯/D♭ Major,4,0jA4h2SD50Oak4C3Vn905a,uscgh1682131
12,"Video Games","Lana Del Rey",122,11A,26,2022-04-13,04:41,62,"","Born To Die (Deluxe Version)",2011-01-01,37,81,0,17,0,0,-10,F#/G♭ Minor,4,33HucJaMg7OBQLqmaVx58p,GBUM71111621
13,"Softcore","The Neighbourhood",94,8A,57,2022-04-13,03:26,87,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,57,5,0,37,0,20,-6,A Minor,4,2K7xn816oNHJZ0aVqdQsha,USSM11800523
14,"Youngblood","5 Seconds of Summer",120,6A,85,2022-04-13,03:23,82,"","Youngblood (Deluxe)",2018-06-15,60,2,0,15,40,10,-5,G Minor,4,2iUXsYOEPhVqEBwsqP70rE,GBUM71800366
15,"Style","Taylor Swift",95,9B,79,2022-04-13,03:51,85,"","1989 (Deluxe)",2014-01-01,59,0,0,49,0,10,-6,G Major,4,0ug5NqcwcFR2xrfTkc7k8e,USCJY1431319
16,"Gasoline","Halsey",120,3A,58,2022-04-13,03:19,75,"","BADLANDS (Deluxe)",2015-08-28,73,22,0,32,0,10,-7,A#/B♭ Minor,4,2IO7yf562c1zLzpanal1DT,USUM71507634
17,"Don't Know What To Do","BLACKPINK",130,11A,64,2022-04-13,03:21,66,"k-pop","KILL THIS LOVE",2019-04-05,63,10,0,41,0,10,-4,F#/G♭ Minor,4,38SKB7UfhL6Sd6Joxex5yK,KRA401900006
18,"no tears left to cry","Ariana Grande",122,8A,71,2022-04-13,03:25,81,"pop","Sweetener",2018-08-17,70,4,0,35,0,20,-6,A Minor,4,2qT1uLXPVPzGgFOx4jtEuo,USUM71805289
19,"Ride","Lana Del Rey",94,8B,69,2022-04-13,04:49,65,"","Born To Die – Paradise Edition (Special Version)",2012-01-01,37,13,0,19,0,30,-6,C Major,4,0ZyfiFudK9Si2n2G9RkiWj,GBUM71205878
20,"High By The Beach","Lana Del Rey",132,10A,49,2022-04-13,04:17,70,"","Honeymoon",2015-09-18,54,24,1,10,0,10,-11,B Minor,4,7g3htkaLz4ETFn0cifwM3y,GBUM71502978
21,"Born To Die","Lana Del Rey",81,9A,63,2022-04-13,04:46,61,"","Born To Die (Deluxe Version)",2011-01-01,22,20,0,37,0,20,-7,E Minor,4,36RLpWj2hzT7SFUMQSZfst,GBUM71111120
