#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"beside you","keshi",136,8B,75,2023-11-18,02:46,69,"","beside you",2021-04-23,71,46,0,85,0,10,-6,C Major,4,1Fhb9iJPufNMZSwupsXiRe,USUM72105144
2,"IT'S YOU (feat. keshi)","MAX,keshi",90,10B,33,2023-11-18,02:53,0,"","IT'S YOU (feat. keshi)",2022-09-09,66,85,0,45,0,10,-12,D Major,4,5SMCxRA6hB2jEhroaYfw6N,USWB12201015
3,"like i need u","keshi",120,7B,47,2023-11-18,03:02,66,"","THE REAPER",2018-11-13,75,40,0,41,0,20,-8,F Major,4,7ivYWXqrPLs66YwakDuSim,SEYOK1857642
4,"2 soon","keshi",174,11A,66,2023-11-18,03:26,69,"","2 soon",2018-08-21,52,15,0,15,0,30,-7,F#/G♭ Minor,4,5SlU0Yhi51jobhEiGE4xDv,SEYOK1844144
5,"SOMEBODY","keshi",141,4B,46,2023-11-18,02:44,63,"","GABRIEL",2022-03-25,65,44,0,49,0,10,-8,G#/A♭ Major,4,3iqlzKw1tLt6tXZyKWV0fZ,USUM72117525
6,"drunk","keshi",105,12B,39,2023-11-18,03:47,64,"","always",2020-10-23,69,77,0,31,0,0,-8,E Major,4,6D6HVKe7Qu3imn4zzJD0W9,USUM72014502
7,"skeletons","keshi",80,10B,27,2023-11-18,02:32,63,"","skeletons",2019-07-16,72,30,9,27,0,10,-13,D Major,4,2BuJrxYKhYky20dQqTlobO,USUM71911311
8,"less of you","keshi",170,9B,68,2023-11-18,03:26,63,"","bandaids",2020-03-24,56,54,0,57,0,10,-6,G Major,4,3IqcBL5yjJK3ri0TGaL3MC,USUM72003471
9,"TOUCH","keshi",89,6B,61,2023-11-18,03:25,58,"","GABRIEL",2022-03-25,41,53,0,31,10,10,-10,A#/B♭ Major,4,5cgy5vMqVZbd8hYutp2txu,USUM72123279
10,"HELL/HEAVEN","keshi",134,10B,42,2023-11-18,02:40,55,"","GABRIEL",2022-03-25,62,30,0,20,0,30,-10,D Major,4,4ZrT4GknVWRvBYA8AcLCeY,USUM72123293
11,"ANGOSTURA","keshi",170,2B,66,2023-11-18,02:51,61,"","GABRIEL",2022-03-25,54,41,0,20,0,10,-10,F#/G♭ Major,4,38umMmZQdeoOG7Zojor4g3,USUM72123294
12,"ANGEL","keshi",128,2B,24,2023-11-18,04:07,60,"","GABRIEL",2022-03-25,62,85,0,17,0,10,-11,F#/G♭ Major,4,0srUf03MHZ4cbOO4o2ydDu,USUM72123299
13,"GABRIEL","keshi",131,1B,7,2023-11-18,02:08,51,"","GABRIEL",2022-03-25,32,96,0,43,0,10,-11,B Major,3,4RfjLV2FwnrxCjhCA3ZHf0,USUM72123301
14,"always","keshi",90,11B,50,2023-11-18,02:52,59,"","always",2020-10-23,63,54,0,55,10,0,-7,A Major,4,26dXOkhzMxLLNaUXt77HQc,USUM72012981
15,"more","keshi",80,7B,71,2023-11-18,03:04,53,"","always",2020-10-23,56,57,0,40,0,30,-5,F Major,4,24Sqz5FNuD6D5Utxeg4DmK,USUM72010167
16,"B.Y.S.","keshi",100,11B,65,2023-11-18,02:45,60,"","always",2020-10-23,63,51,0,36,0,20,-7,A Major,4,2yyluSgySg95O24RBkgrMR,USUM72019795
17,"us","keshi",118,4B,28,2023-11-18,04:08,59,"","always",2020-10-23,39,93,0,30,0,30,-10,G#/A♭ Major,4,3r9eGg4SVPbhtiPTA9UkmK,USUM72019698
18,"alright","keshi",150,10B,47,2023-11-18,02:48,58,"","bandaids",2020-03-24,63,53,0,39,0,10,-8,D Major,4,0zwqkO1MdFPigFIESwdJ5s,USUM72003469
19,"blue","keshi",160,3B,56,2023-11-18,02:58,62,"","bandaids",2020-03-24,51,7,0,22,0,10,-9,C♯/D♭ Major,4,21yCOhgaDMc0KEtxhZHTbI,USUM71924081
20,"right here","keshi",160,7B,50,2023-11-18,03:15,60,"","bandaids",2020-03-24,60,8,0,32,0,10,-9,F Major,4,2Q3QRjA8MjzqpFaIkFludb,USUM71918711
21,"bandaids","keshi",100,10B,29,2023-11-18,03:35,56,"","bandaids",2020-03-24,62,83,0,31,0,10,-13,D Major,4,2ZP85Jq4K27V6WWVXfINSR,USUM72003470
22,"the reaper","keshi",160,8B,50,2023-11-18,03:18,57,"","THE REAPER",2018-11-13,50,31,0,28,10,10,-9,C Major,4,4vHoOPIlILceWMPGY5XEmJ,SEYOK1857641
23,"2 soon","keshi",174,11A,66,2023-11-18,03:26,48,"","THE REAPER",2018-11-13,52,15,0,15,0,30,-7,F#/G♭ Minor,4,6VhHEXZrTDnmDJeNrDFQbi,SEYOK1844144
24,"i swear i'll never leave again","keshi",80,4B,32,2023-11-18,02:53,62,"","THE REAPER",2018-11-13,57,85,0,32,0,10,-13,G#/A♭ Major,4,5byXSKd7QOHtVMOiptklBD,SEYOK1857643
25,"onoffonoff","keshi",80,9B,71,2023-11-18,03:10,54,"","onoffonoff",2018-06-09,49,51,0,40,10,0,-6,G Major,4,66Cvj3KAYjeJcDEVQRJSYn,SEYOK1832947
26,"just friends","keshi",120,11A,24,2023-11-18,02:03,54,"","just friends",2017-12-19,71,77,0,20,10,10,-16,F#/G♭ Minor,4,2KEnu7ABoDpekTUae5rrU0,SEYOK1783866
27,"over u","keshi",130,4B,26,2023-11-18,02:59,47,"","over u",2017-09-20,91,25,0,19,30,30,-12,G#/A♭ Major,4,6dMnsLoJPFfXIxcsDqjGiZ,SEYOK1765633
28,"vampire","Olivia Rodrigo",137,7B,53,2023-11-18,03:39,86,"","GUTS",2023-09-08,48,15,0,32,0,20,-6,F Major,4,1kuGVB7EU95pJObxwvfwKS,USUG12304091
29,"making the bed","Olivia Rodrigo",133,9B,41,2023-11-18,03:18,78,"","GUTS",2023-09-08,55,39,0,25,0,10,-8,G Major,4,5CscrLqFBgPfZR8fGtikov,USUG12304097
30,"love is embarrassing","Olivia Rodrigo",160,11B,82,2023-11-18,02:34,76,"","GUTS",2023-09-08,52,0,0,62,10,10,-4,A Major,4,26QLJMK8G0M06sk7h7Fkse,USUG12305000
31,"the grudge","Olivia Rodrigo",127,6B,31,2023-11-18,03:09,77,"","GUTS",2023-09-08,51,91,0,33,0,0,-9,A#/B♭ Major,4,3Nl5OkkmS5DaBZvuYofpAt,USUG12305001
32,"traitor","Olivia Rodrigo",101,5B,34,2023-11-18,03:49,88,"","SOUR",2021-05-21,38,69,0,8,0,10,-8,D#/E♭ Major,4,5CZ40GBx1sQ9agT82CLQCT,USUG12101243
33,"deja vu","Olivia Rodrigo",181,10B,61,2023-11-18,03:35,88,"","SOUR",2021-05-21,44,58,0,18,10,30,-7,D Major,4,6HU7h9RYOaPRFeh0R3UeAr,USUG12101240
34,"good 4 u","Olivia Rodrigo",167,11B,66,2023-11-18,02:58,85,"","SOUR",2021-05-21,56,34,0,69,10,0,-5,A Major,4,4ZtFanR9U6ndgddUvNcjcG,USUG12101245
35,"jealousy, jealousy","Olivia Rodrigo",164,3A,57,2023-11-18,02:53,83,"","SOUR",2021-05-21,70,20,0,70,10,0,-6,A#/B♭ Minor,4,0MMyJUC3WNnFS1lit5pTjk,USUG12101248
36,"favorite crime","Olivia Rodrigo",173,11B,27,2023-11-18,02:32,84,"","SOUR",2021-05-21,37,87,0,22,0,10,-10,A Major,4,5JCoSi02qi3jJeHdZXMmR8,USUG12101249
37,"hope ur ok","Olivia Rodrigo",77,8B,30,2023-11-18,03:29,75,"","SOUR",2021-05-21,44,39,0,17,0,10,-12,C Major,4,1zejeOnykpCoyVSit6Bwp3,USUG12101250
38,"Glimpse of Us","Joji",170,4B,32,2023-11-18,03:53,3,"","SMITHEREENS",2022-11-04,44,89,0,27,0,10,-9,G#/A♭ Major,3,4ewazQLXFTDC8XvCbhvtXs,USWB12201789
39,"SLOW DANCING IN THE DARK","Joji",89,5B,48,2023-11-18,03:29,5,"","BALLADS 1",2018-10-26,52,54,1,28,0,10,-7,D#/E♭ Major,4,0rKtyWc8bvkriBthvHKY8d,ZZOPM1800452
40,"Die For You","Joji",148,4B,52,2023-11-18,03:31,4,"","SMITHEREENS",2022-11-04,47,38,13,15,0,20,-7,G#/A♭ Major,4,26hOm7dTtBi0TdpDGl141t,USWB12203732
41,"Sanctuary","Joji",168,3B,64,2023-11-18,03:00,1,"","Nectar",2020-09-24,55,39,0,33,10,30,-7,C♯/D♭ Major,4,5F1ZmucV0uJY14y2dYKePa,ZZOPM2002183
