#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Rose","LEEHI",125,10B,68,2023-12-08,03:42,48,"k-ballad, k-pop","First Love",2013-03-28,76,4,0,40,0,50,-7,D Major,4,6MksZu2sx5jzoPszxbRZMw,KRA341300207
2,"BREATHE","LEEHI",124,4B,25,2023-12-08,04:48,60,"k-ballad, k-pop","SEOULITE",2016-03-09,62,80,0,36,0,0,-8,G#/A♭ Major,4,6G4z9WbxyEeWdEQTfShACT,KRA401600024
3,"Savior (feat. B.I)","LEEHI,B.I",95,3A,50,2023-12-08,03:35,57,"k-ballad, k-pop, k-rap","4 ONLY",2021-09-09,81,65,0,40,0,20,-6,A#/B♭ Minor,4,0DYvTdqBqW6erA1a7pFzVo,KRC712100040
4,"What is Love?","LEEHI",122,10B,29,2023-12-08,03:43,54,"k-ballad, k-pop","4 ONLY",2021-09-09,73,88,0,35,0,10,-8,D Major,4,3lc5fY2NwKXNdchJtx58kR,KRC712100047
5,"LOVE","BOL4",180,9B,73,2023-12-08,03:07,29,"k-pop, k-ballad","LOVE",2020-01-15,57,40,0,42,0,0,-5,G Major,4,0yhv9Z4ju5Wf6lgPpv1VaE,JPKI01916969
6,"Whale","KIMSEJEONG",116,9B,75,2023-12-08,03:19,41,"k-ballad","Whale",2020-08-17,68,2,0,46,0,10,-3,G Major,4,4UnBxdw1l3J31WBsgmHezz,KRA382003390
7,"Event Horizon","Younha",98,10A,86,2023-12-08,05:00,57,"k-ballad","YOUNHA 6th Album Repackage 'END THEORY : Final Edition'",2022-03-30,53,8,0,29,0,10,-3,B Minor,4,6RBziRcDeiho3iTPdtEeg9,KRA382204244
8,"Galaxy","BOL4",83,8B,81,2023-12-08,03:33,62,"k-pop, k-ballad","Full Album RED PLANET",2016-08-29,48,68,0,70,10,0,-2,C Major,4,15c7KZTrsCUxCQcOdUVELc,KRA921600019
9,"#First Love","BOL4",78,4B,65,2023-12-08,03:27,46,"k-pop, k-ballad","#First Love",2018-01-10,58,60,0,40,0,10,-3,G#/A♭ Major,4,75FNxI7FQWjLHNuVTuLIoq,KRA381703010
10,"Fight Day","BOL4",77,4B,66,2023-12-08,03:09,43,"k-pop, k-ballad","Full Album RED PLANET",2016-08-29,65,30,0,74,0,0,-2,G#/A♭ Major,4,0Ic42O3IwCT2ywuPyadFzl,KRA921600020
11,"You(=I)","BOL4",105,5A,90,2023-12-08,02:49,64,"k-pop, k-ballad","Full Album RED PLANET",2016-08-29,70,62,0,68,0,30,-3,C Minor,4,6IBPrw5nYj84x8JpiOvXUp,KRA921600021
12,"Mean","BOL4",78,12B,53,2023-12-08,02:37,50,"k-pop, k-ballad","Full Album RED PLANET",2016-08-29,74,57,0,52,0,10,-4,E Major,4,3r8mOSPtXvoXSBTbmbaQcP,KRA921600022
13,"Hard To Love","BOL4",69,5A,61,2023-12-08,03:39,51,"k-pop, k-ballad","Full Album RED PLANET",2016-08-29,53,93,0,38,0,10,-5,C Minor,4,4J5FI3nckt6wiZhTl9RM8N,KRA921600023
14,"Chocolate Drive","BOL4",105,7B,81,2023-12-08,03:10,45,"k-pop, k-ballad","Full Album RED PLANET",2016-08-29,81,46,0,65,0,10,-4,F Major,4,0z4PaEdeIpX4yJPNBdN34x,KRA921600024
15,"Freesia","BOL4",95,7B,49,2023-12-08,03:06,44,"k-pop, k-ballad","Full Album RED PLANET",2016-08-29,70,51,0,18,0,10,-5,F Major,4,0KX2V65DSgo9ii3A0rJAPw,KRA921600025
