#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Hype Boy","NewJeans",100,9A,94,2024-09-02,02:59,78,"k-pop","NewJeans 1st EP 'New Jeans'",2022-08-01,59,27,0,78,20,20,-3,E Minor,4,0a4MMyCrzT0En247IhqZbD,USA2P2230222
2,"LEFT RIGHT","XG",150,3B,72,2024-09-02,03:28,71,"k-pop","SHOOTING STAR",2023-01-25,77,15,0,88,0,10,-6,C♯/D♭ Major,4,3v5o91PrUtf0nmO6j8J7dZ,JPB602300033
3,"Bite Me","ENHYPEN",105,3B,78,2024-09-02,02:37,80,"k-pop","DARK BLOOD",2023-05-22,80,28,0,69,10,10,-5,C♯/D♭ Major,4,7mpdNiaQvygj2rHoxkzMfa,USA2P2319853
4,"Ditto","NewJeans",134,11A,64,2024-09-02,03:05,80,"k-pop","Ditto",2022-12-19,81,3,0,18,10,10,-6,F#/G♭ Minor,4,3r8RuvgbX9s7ammBn07D3W,USA2P2254487
5,"FOREVER","BABYMONSTER",130,8B,70,2024-09-02,03:32,44,"k-pop","FOREVER",2024-07-01,83,10,0,64,0,10,-4,C Major,4,47QP509sXnE54NwhzoMHAi,KRA402400038
6,"XO (Only If You Say Yes)","ENHYPEN",97,4B,76,2024-09-02,03:08,77,"k-pop","ROMANCE : UNTOLD",2024-07-12,66,11,0,47,0,20,-7,G#/A♭ Major,4,3RkSwrsIadAvqVtMp5yhaB,USA2P2436970
7,"FEVER","ENHYPEN",73,11A,71,2024-09-02,02:52,76,"k-pop","BORDER : CARNIVAL",2021-04-26,60,6,0,47,0,10,-5,F#/G♭ Minor,4,0UzymivvUH5s8z4PeWZJaK,USA2P2108331
8,"Lucky Girl Syndrome","ILLIT",120,8B,92,2024-09-03,02:20,75,"k-pop","SUPER REAL ME",2024-03-25,76,2,0,44,0,20,-4,C Major,4,2kIUILBPlz4exX9xIFS275,USA2P2413261
9,"Go Big or Go Home","ENHYPEN",122,3A,84,2024-09-03,03:21,68,"k-pop","DIMENSION : DILEMMA",2021-10-12,77,5,0,82,0,20,-4,A#/B♭ Minor,4,6IqKFke4ZhKbGYULllEezY,USA2P2135695
10,"Given-Taken","ENHYPEN",108,1A,65,2024-09-04,03:03,72,"k-pop","BORDER : DAY ONE",2020-11-30,63,17,0,46,0,30,-5,G#/A♭ Minor,4,69WpV0U7OMNFGyq8I63dcC,USA2P2041798
