#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"brutal","Olivia Rodrigo",124,12B,53,2021-08-04,02:23,79,"","SOUR",2021-05-21,67,3,0,28,0,20,-6,E Major,4,6SRsiMl7w1USE4mFqrOhHC,USUG12101242
2,"Jealous","Eyedress",93,8A,91,2021-08-04,02:02,0,"","Let's Skip to the Wedding",2020-08-07,47,0,86,75,0,40,-10,A Minor,4,5KbTBSGUvgDg75gIVhUaAW,GBMYF1900115
3,"My Ordinary Life","The Living Tombstone",176,8A,66,2021-08-04,03:50,74,"","My Ordinary Life",2017-11-23,68,2,35,58,0,20,-9,A Minor,4,6tMdpUXfT70TD6Eh3XfB1p,QZANL1777908
4,"Fire Drill","Melanie Martinez",117,11B,60,2021-08-04,04:15,62,"","Fire Drill",2020-06-26,76,29,0,38,0,0,-8,A Major,4,6TNWeqDnqdqIQWYMWZmzTA,USAT21903453
5,"Body","Mother Mother",148,3A,63,2021-08-04,03:33,1,"","O My Heart",2008-09-23,60,13,0,47,0,30,-4,A#/B♭ Minor,4,0VmREvheUiN0xgM5fJYQqp,CAL450882106
6,"A Pearl","Mitski",84,4B,64,2021-08-04,02:36,0,"","Be the Cowboy",2018-08-17,23,5,3,23,0,10,-4,G#/A♭ Major,4,3udrjWCXCBotzU2uQ05Zmx,USJ5G1815004
7,"Looking Out for You","Joy Again",101,11B,90,2021-08-04,02:59,80,"","Looking Out for You",2016-01-15,68,9,6,94,0,0,-5,A Major,4,3jfZ9M23l0L7RxzYMTgBTv,GBJET1500070
8,"Deceptacon","Le Tigre",160,9A,86,2021-08-09,03:04,81,"riot grrrl, queercore, electroclash","Le Tigre",1999-10-26,60,6,0,62,0,10,-3,E Minor,4,5773KSWFzg9kCc8yazjbSt,TCABE1211301
9,"Rhinestone Eyes","Gorillaz",93,1A,70,2021-08-04,03:20,78,"","Plastic Beach",2010-03-05,68,9,0,85,0,0,-6,G#/A♭ Minor,4,1foMv2HQwfQ2vntFf9HFeG,GBAYE1000017
10,"Feel Better","Penelope Scott",87,9A,34,2021-08-04,04:12,0,"","Public Void",2020-09-25,59,75,1,34,0,10,-13,E Minor,4,6e0vjU61OuUzcqVKPEXHb4,QZK6F2019393
11,"Juliet","Cavetown",132,2B,59,2021-08-04,04:38,71,"bedroom pop","Animal Kingdom",2019-04-12,55,0,0,36,0,0,-8,F#/G♭ Major,4,45ROR8UMn60YEVQnDy0uVF,USHM91882113
12,"Freaks","Surf Curse",180,11B,94,2021-08-04,02:27,87,"indie","Freaks",2021-05-15,35,0,63,41,0,0,-10,A Major,4,7EkWXAI1wn8Ii883ecd9xr,USAT22102269
13,"Young","Vacations",80,9B,81,2021-08-04,03:09,1,"","Vibes",2016-12-09,50,0,1,59,0,0,-4,G Major,4,3OP8UeYimRl9HCNxMg7Ihl,SEYOK1669274
14,"jealousy, jealousy","Olivia Rodrigo",164,3A,57,2021-08-04,02:53,83,"","SOUR",2021-05-21,70,20,0,70,10,0,-6,A#/B♭ Minor,4,0MMyJUC3WNnFS1lit5pTjk,USUG12101248
15,"Sex, Drugs, Etc.","Beach Weather",144,9A,84,2021-08-04,03:16,0,"","Chit Chat",2016-11-04,57,1,1,47,0,50,-5,E Minor,4,04wODYKrbLNe7LTOaOPX3i,TCACS1642138
16,"Here","Alessia Cara",120,8B,82,2021-08-04,03:19,70,"","Know-It-All (Deluxe)",2016-03-11,38,8,0,33,10,0,-4,C Major,4,664gdARxaClFsoF5SXKOws,USUM71506251
17,"Little Dark Age","MGMT",98,2B,71,2021-08-04,04:59,80,"indie","Little Dark Age",2018-02-09,71,1,0,62,0,10,-6,F#/G♭ Major,4,2Y0iGXY6m6immVb2ktbseM,USSM11707035
18,"Cool for the Summer","Demi Lovato",114,4A,61,2021-08-04,03:34,85,"","Confident",2015-01-01,58,0,0,34,0,10,-6,F Minor,4,3uwnnTQcHM1rDqSfA4gQNz,USHR11536621
