#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Dive with you (feat. eaJ)","Seori,eaJ",94,8B,68,2023-07-25,03:38,0,"","Dive with you (feat. eaJ)",2021-08-22,72,11,0,54,10,0,-6,C Major,4,1j34c0bX2EXG4lKe2Q74Bw,KRMIM2130873
2,"Boom","NCT 127",105,10B,63,2023-07-25,03:29,35,"k-pop, noise music","NCT #127 Neo Zone - The 2nd Album",2020-03-06,74,4,0,31,10,10,-3,D Major,4,67gusSJWD5yC8FdqUgSLqt,KRA302000070
3,"I Like Me Better","Lauv",92,11B,51,2023-12-08,03:17,7,"","I met you when I was 18. (the playlist)",2018-05-31,75,53,0,42,20,10,-8,A Major,4,0EcQcdcbQeVJn9fknj44Be,GBWWP1702907
4,"Replay","SHINee",100,3B,78,2024-02-14,03:33,69,"k-pop","The SHINee World - The First Album",2008-08-28,72,18,0,59,0,10,-2,C♯/D♭ Major,4,1rp986nzkyAX1wFpxzbwlC,KRA300803086
5,"炎と森のカーニバル","SEKAI NO OWARI",116,11B,88,2025-01-28,04:58,56,"j-pop, anime","Tree",2015-01-14,64,0,2,62,0,10,-5,A Major,4,5kDz0Wrx0UpaVRttDZ4KtI,JPTF01404801
6,"おはようオーパーツ","Soutaiseiriron",123,8B,61,2025-01-28,03:28,49,"japanese indie, shibuya-kei, j-rock, j-pop","シフォン主義",2008-05-08,66,44,0,94,0,0,-8,C Major,4,5gIlEaXHDlVu7eRo8mRtuE,TCJPE1669901
7,"ブルーベリーハニー","WurtS",126,10A,71,2025-01-28,02:45,49,"j-pop","ブルーベリーハニー",2021-10-27,55,0,1,81,0,30,-6,B Minor,4,2BMFiGYCJ89EVxZTVZikSj,JPB452105833
8,"月の逆襲","Creep Hyp",122,10B,94,2025-01-28,03:06,57,"j-pop, j-rock","イト",2017-04-26,57,1,0,65,0,30,-3,D Major,4,3Tk6FZMnIhu8j8qJaP9na9,JPPO01701268
9,"絶対彼女","Seiko Oomori",120,3B,94,2025-01-28,03:15,50,"anime, j-rock, j-pop","絶対少女",2013-12-11,70,22,0,91,0,30,-5,C♯/D♭ Major,4,6h05KGFqxA2gAYwfWBr7rw,JPB601304925
10,"Sugarless GiRL","CAPSULE",129,11A,99,2025-03-02,04:09,36,"shibuya-kei, japanese indie, j-pop","FLASH BEST",2009-08-26,60,1,0,90,0,0,-2,F#/G♭ Minor,4,3SCYoExLpDn73Vuo3jM79i,JPI800900083
11,"長く短い祭","Sheena Ringo,浮雲",125,7A,79,2025-03-09,04:09,65,"j-pop, j-rock","長く短い祭 / 神様、仏様",2015-07-31,61,6,5,78,10,20,-4,D Minor,4,4hWI3r78IDOhPXSHd2f0Az,JPPO01506523
12,"Steady","NCT WISH",131,8B,87,2025-03-09,02:59,36,"k-pop","iScreaM Vol.34 : Steady Remix",2024-12-10,70,2,0,60,0,30,-5,C Major,4,0lbNzrYXDh9LGkrDzuugBd,KRA302400318
13,"IS THIS LOVE","XG",130,4B,71,2025-06-16,02:35,61,"k-pop","IS THIS LOVE",2025-03-07,76,4,0,46,0,10,-6,G#/A♭ Major,4,7HfDulyv4KLZAD170lF8at,JPB602402896
14,"YOU & IDOL","Soutaiseiriron",125,8A,62,2026-03-17,03:48,52,"japanese indie, shibuya-kei, j-rock, j-pop","TOWN AGE",2013-07-24,75,78,4,78,0,10,-8,A Minor,4,5CLyPo6OtyyClUMzJebS8L,TCJPE1669391
15,"夢はさめても","TOMOO",134,5B,76,2026-03-17,03:42,45,"j-pop","TWO MOON",2023-09-27,70,4,0,80,0,0,-6,D#/E♭ Major,4,0W6XFy7p6rvq2VmEw5JPOh,JPPC02310178
16,"ダンスホール","Mrs. GREEN APPLE",110,10A,73,2026-03-17,03:19,60,"j-pop, j-rock, anime","Unity",2022-07-06,73,3,0,80,0,0,-4,B Minor,4,1jsCice2Rjhwjyj98T2LIF,JPPO02201800
17,"あなたに","MONGOL800",107,9B,82,2026-03-17,03:15,61,"j-pop, melodic hardcore, j-rock","MESSAGE",2001-09-16,38,0,0,86,0,30,-5,G Major,4,1egQB7JmuDdaWdWtODlrja,JPB590501012
18,"カスタムラブドール","悪魔のキッス",177,2B,82,2026-03-17,03:25,49,"","カスタムラブドール",2023-05-13,53,3,0,68,0,30,-2,F#/G♭ Major,4,6ZIEoasvKFxGqF8u8n7VI2,TCJPV2389887
19,"我逢人 - Remastered 2020","Mrs. GREEN APPLE",99,7B,95,2026-03-17,03:20,56,"j-pop, j-rock, anime","5",2020-07-07,60,0,0,77,0,10,-2,F Major,4,0Xcfu0ZFDrzYELvF5rzFwI,JPPO02000687
20,"Family Song","Gen Hoshino",166,9B,71,2026-03-17,05:24,66,"j-pop, anime","Family Song",2017-08-16,53,6,0,77,0,30,-5,G Major,4,6XzDz5r1bGMkcOKeXQwTqM,JPVI01721000
21,"more than words","Hitsujibungaku",130,2B,80,2026-03-17,04:49,68,"japanese indie, j-pop, anime, j-rock, shoegaze","more than words",2023-09-01,60,0,0,58,0,10,-5,F#/G♭ Major,4,2ZT6eELxeETGamaiXu6vmk,JPU902303487
22,"貴方の恋人になりたい","ChoQMay",124,1B,74,2026-03-17,03:54,64,"j-pop","するどいささくれ",2022-06-01,83,19,0,96,0,0,-5,B Major,4,5O7dUqcxMUVPFL9YAE9e7q,USA2P2224322
