#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Dear New Year","樊宇镈(Coulson Fan)",95,10B,71,-,03:10,37,"chinese r&b","Dear New Year",2025-12-30,74,57,0,42,0,20,-6,D Major,4,34aIgeUYglurC9qn6UuBXr,QT6G92575166
2,"Language","Kevin Chung",104,8B,47,-,02:34,51,"","If It's The End",2024-09-06,68,19,0,26,0,20,-9,C Major,4,6057Vz5Bd1xJHLYoeWnyAg,TLVEM2455766
3,"Somebody","16",96,4B,57,-,02:32,42,"","Somebody",2025-10-29,68,32,0,38,0,10,-8,G#/A♭ Major,4,1Lzl9khK8ORJofCt41Kuks,KRMIM2560046
4,"satellite","Lyle Kam",100,3B,55,-,02:39,53,"","satellite",2025-10-29,68,7,0,41,0,10,-9,C♯/D♭ Major,4,4rb3MM2MxUaIPQoC5uTPsO,QZZ8B2506993
5,"Need Nobody","Vincentz,Bumpÿ",90,11B,52,-,03:01,42,"melodic bass, future bass","Need Nobody",2024-03-01,72,71,0,49,0,0,-6,A Major,4,5J16bQYkuJxX11XSdlPtpd,GX8KD2481855
6,"ISTJ","樊宇镈(Coulson Fan)",81,5B,68,-,03:42,27,"chinese r&b","ISTJ",2025-09-04,66,52,0,38,0,10,-4,D#/E♭ Major,4,6Nio9C0Nq2yHgmBHk4NjhA,QZZ7R2567383
7,"Your Side","HYESUNG,16",111,1B,55,-,03:07,37,"","Your Side",2026-01-14,75,34,0,60,0,0,-9,B Major,4,4EsACnu3xnp6zAVum0vvpC,KSA002650004
8,"Don't End Tonight","Kevin Chung",90,3B,50,-,02:27,44,"","If It's The End",2024-09-06,65,28,0,38,0,10,-10,C♯/D♭ Major,4,7n9hJJllSgUSklHIg9ccp5,TLVEM2455767
9,"2AM","16",90,9B,73,-,03:17,50,"","2AM",2024-06-21,63,24,0,16,0,10,-6,G Major,4,63tFtYmvkcTRwoggdYVp8Q,KRMIM2442709
10,"mutual","Lyle Kam",100,3B,50,-,02:26,43,"","re:collections",2025-05-09,68,30,0,62,10,10,-8,C♯/D♭ Major,4,0k0uNJxJBmOHkHpy1vS0bZ,QT2VB2444282
11,"Sagittarius（射手座）","樊宇镈(Coulson Fan)",95,3B,69,-,03:17,47,"chinese r&b","Sagittarius（射手座）",2026-03-28,71,19,0,84,0,30,-6,C♯/D♭ Major,4,0rnRdigAqV90Yqljl4OzUc,QZTAY2668885
12,"PARALLEL","Labit",97,7B,69,-,02:45,30,"","SOL",2025-10-17,66,4,0,76,0,30,-5,F Major,4,7rSxqkh2eajW5VZpraqWFB,QZWFE2576907
13,"break","ash major",146,11B,60,-,02:57,40,"indie r&b","ash",2023-10-03,65,36,0,50,0,0,-7,A Major,4,1IJL1SMN8T2hqLSqLNY0Xi,QZTAU2340886
