#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Back Door","Stray Kids",108,9B,84,2026-04-14,03:09,70,"k-pop, noise music","IN LIFE",2020-09-14,82,16,0,65,20,10,-4,G Major,4,0XuepwFJUcKN8T5zTqoP0F,US5TA2000097
2,"God’s Menu","Stray Kids",157,7B,77,2026-04-14,02:47,76,"k-pop, noise music","GO LIVE",2020-06-17,69,1,0,48,0,50,-4,F Major,4,4XPXrcpyNr30Km6aPiflJy,US5TA2000037
3,"Venus","SHINHWA",126,2B,88,2026-04-14,03:37,41,"k-pop","The Return",2012-03-23,71,8,0,82,0,20,-5,F#/G♭ Major,4,7FV7Ng7Oj3ToGGlxvIjPtF,KRA911200003
4,"FACE","NU'EST",124,5A,88,2026-04-14,03:40,53,"k-pop","NU'EST The First Album  Re:BIRTH ",2014-07-09,79,2,0,62,0,30,-3,C Minor,4,60oyvXjv0nwZnRrwZvZqUm,KRA381208395
5,"The Rebirth - 인생은 즐거워","Jessi",93,11A,88,2026-04-14,03:42,35,"k-pop, k-rap","The Rebirth - 인생은 즐거워",2009-01-15,59,4,0,67,0,20,-1,F#/G♭ Minor,4,5JWwGApvvpzlWmRTvHzBTY,QZEKE1843558
6,"Get Low","Lil Jon & The East Side Boyz,Ying Yang Twins",101,3B,63,2026-04-14,05:34,80,"crunk, southern hip hop","Kings Of Crunk",2002-10-29,52,3,0,14,0,10,-7,C♯/D♭ Major,4,0r2Bul2NuCViraT2zX1l5j,USTV10200084
7,"Turn All the Lights On (feat. Ne-Yo)","T-Pain,Ne-Yo",127,11A,81,2026-04-14,03:36,63,"","Revolver (Expanded Edition)",2011-12-06,70,4,0,72,0,50,-3,F#/G♭ Minor,4,7448rwdrtddS5irSvOgPA6,USRC11101041
8,"HOLUP!","BOBBY",101,8B,95,2026-04-14,03:31,44,"k-rap, k-pop","The MOBB",2016-09-07,67,12,0,54,0,30,-2,C Major,4,0dkqqQAizwp3MHJKehq5ng,KRA401600196
9,"NOT BY THE MOON","GOT7",152,4A,82,2026-04-14,03:24,55,"k-pop","DYE",2020-04-20,55,6,0,56,10,20,-5,F Minor,4,0LrhTHjmH2ATnbCbsqKZyf,US5TA2000016
10,"Halo","Prezioso,Harris & Ford,Shibui",101,4B,92,2026-04-14,02:36,63,"italo dance, hardstyle, schlagerparty, ","Halo",2022-09-16,65,2,0,34,0,20,-5,G#/A♭ Major,1,2kfZCiSWhAYKdxD7o7WLoa,ITG412200047
11,"Alors On Danse (feat. Stromae)","Dubdogz,Stromae",123,12A,75,2026-04-14,02:48,71,"brazilian bass, electronic, french pop","Alors On Danse (feat. Stromae)",2019-05-03,79,3,0,74,10,60,-4,C♯/D♭ Minor,4,19eIZmuXlBmLTha1lPHef7,BET671800003
12,"Rocking","TEEN TOP",128,9B,98,2026-04-14,03:12,44,"k-pop","TEEN TOP CLASS ADDITION",2013-10-23,70,2,0,77,10,10,-3,G Major,4,2JbD7iiiZqNqaSahV2jalk,KRA381205290
13,"Chained Up","VIXX",92,8A,94,2026-04-14,03:12,49,"k-pop","Chained Up",2015-11-10,73,10,0,92,10,30,-2,A Minor,4,2JcQ5i13wsNdyyXs8Sqab0,KRA771500017
14,"IL0V3Y0U","Faouzia",127,12A,69,2026-04-14,02:43,45,"","IL0V3Y0U",2023-09-08,69,1,0,58,0,20,-7,C♯/D♭ Minor,4,0MdcE5oHji8C8XCJCR5o3z,USAT22306712
15,"Smash My Heart","Robin Schulz",130,11A,71,2026-04-14,02:50,0,"tropical house","Smash My Heart",2023-07-14,54,2,0,31,0,20,-6,F#/G♭ Minor,4,7uCbQR6CHGsy8xCR8JRKyG,DEA622301192
16,"Bottoms Up (feat. Nicki Minaj)","Trey Songz,Nicki Minaj",74,3B,60,2026-04-14,04:02,4,"r&b, ","Passion, Pain & Pleasure",2010-09-13,85,2,0,33,10,30,-5,C♯/D♭ Major,4,2IpGdrWvIZipmaxo1YRxw5,USAT21001515
17,"Chk Chk Boom","Stray Kids",102,10B,74,2026-04-14,02:28,80,"k-pop, noise music","ATE",2024-07-19,93,17,0,84,10,0,-3,D Major,4,09keT5ocFhEd5W5HidiUNq,US5TA2400140
18,"MANIAC","Stray Kids",120,3B,80,2026-04-14,03:02,77,"k-pop, noise music","ODDINARY",2022-03-18,58,15,0,71,40,0,-3,C♯/D♭ Major,5,63irPUP3xB74fHdw1Aw9zR,US5TA2200027
