#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"ISTJ","NCT DREAM",122,9A,96,2024-02-06,03:05,54,"k-pop, noise music","ISTJ - The 3rd Album",2023-07-17,64,2,0,36,0,30,-2,E Minor,4,6j268AN4RJXNyFNeFUfB50,KRA302300210
2,"Off The Record","IVE",108,6B,75,2024-02-06,03:08,62,"k-pop","Off The Record",2023-10-06,77,10,0,84,0,10,-5,A#/B♭ Major,4,3G7MgLuWLzUJQflWOCDZit,QMDA72364151
3,"Love You Like A Love Song","Selena Gomez & The Scene",117,12A,68,2024-02-06,03:08,85,"","When The Sun Goes Down",2011-01-01,86,8,0,92,0,0,-4,C♯/D♭ Minor,4,0laYHRpNTS6i8FXdupHkJ4,USHR11132668
4,"ETA","NewJeans",135,3A,75,2024-02-06,02:31,78,"k-pop","NewJeans 2nd EP 'Get Up'",2023-07-21,81,11,0,84,0,0,-6,A#/B♭ Minor,4,56v8WEnGzLByGsDAXDiv4d,USA2P2330071
5,"不落的太阳","张佑赫",105,10A,97,2024-02-13,03:37,0,"","No More Drama",2005-09-12,83,2,0,66,0,0,-1,B Minor,4,0HOeQrJ2PZsoCXJRWHc4of,HKG732008473
6,"Love 119","RIIZE",99,4B,75,2024-02-20,02:53,50,"k-pop","Love 119",2024-01-05,75,45,0,42,0,20,-5,G#/A♭ Major,4,4ndxCrtl74lgOdF6Lz7bIq,KRA302400001
7,"Perfect Night","LE SSERAFIM",136,7B,82,2024-02-23,02:39,77,"k-pop","Perfect Night",2023-10-27,70,10,0,50,0,0,-5,F Major,4,74X2u8JMVooG2QbjRxXwR8,USA2P2349660
8,"Me You (feat. Baek Yerin)","San E,Yerin Baek",90,5B,87,2024-02-23,03:28,51,"k-rap, k-ballad, k-pop","The Boy Who Cried Wolf",2013-12-02,79,48,0,86,10,0,-2,D#/E♭ Major,4,1DHkVkpOeNXxq4YhHOeEac,KRA111500116
9,"Weekend","DJ Wegun,GRAY,Chancellor",170,7B,76,2024-02-25,03:49,8,"k-rap","Band Wegun Effect",2018-09-20,61,12,0,94,0,20,-2,F Major,4,1ikohA23Imzk0F1u4nG4MD,KRC711800038
10,"Call Me (Feat. GRAY, Jay Park)","Dayday,GRAY,Jay Park",98,11A,69,2024-02-25,03:40,17,"k-rap, k-pop","All Day Every Day",2017-07-22,79,12,0,88,0,10,-5,F#/G♭ Minor,4,2TeoGApL3PUquWBzToRyU8,KRC711700019
11,"Cupid - Twin Ver.","FIFTY FIFTY",120,10A,59,2024-02-29,02:54,1,"k-pop","The Beginning",2023-09-22,78,44,0,73,0,30,-8,B Minor,4,739WUU1tPFLO4x4HJq561K,KSA012239181
12,"To. X","TAEYEON",97,4B,59,2024-03-06,02:50,65,"k-pop, k-ballad","To. X - The 5th Mini Album",2023-11-27,84,40,0,65,0,0,-6,G#/A♭ Major,4,2gyCwrOcC6JBoaJ8JGJ7T8,KRA302300481
13,"AEAO","Dynamicduo,DJ Premier",153,10B,76,2024-03-06,05:16,75,"k-rap, k-pop, east coast hip hop","A Giant Step",2014-07-16,45,6,0,58,10,10,-6,D Major,4,3TPvrMAd1hbPRXuHCRX0Pl,KRA381208477
14,"Kiss","NCT DOJAEJUNG",92,9B,80,2024-03-20,03:00,54,"k-pop","Perfume - The 1st Mini Album",2023-04-17,67,17,0,71,10,30,-3,G Major,4,6iirdwpyu2Ohg3iVdu4vXl,KRA302300107
15,"90's Love","NCT U",108,12A,92,2024-03-21,03:33,58,"k-pop, noise music","NCT RESONANCE Pt. 2 - The 2nd Album",2020-11-23,74,7,0,70,0,10,-2,C♯/D♭ Minor,4,0B36SbjfDv15ji1bQEEeTN,KRA302000567
16,"Gimme More","Britney Spears",113,10B,84,2024-03-21,04:11,86,"pop","Blackout",2007-10-25,79,25,0,38,0,0,-3,D Major,4,6ic8OlLUNEATToEFU3xmaH,USJI10700609
17,"After LIKE","IVE",125,8B,92,2024-03-26,02:56,74,"k-pop","After LIKE",2022-08-22,68,10,0,80,10,0,-1,C Major,4,2gYj9lubBorOPIVWsTXugG,QMBZ92254957
18,"Magnetic","ILLIT",131,2B,67,2024-03-30,02:40,83,"k-pop","SUPER REAL ME",2024-03-25,80,26,0,69,0,0,-6,F#/G♭ Major,4,1aKvZDoLGkNMxoRYgkckZG,USA2P2413259
19,"WINTER WITHOUT YOU","XG",80,6B,67,2024-04-01,04:03,57,"k-pop","WINTER WITHOUT YOU",2023-12-08,52,17,0,39,10,0,-5,A#/B♭ Major,4,5KxTHd0r8eM6T2K65zxt2L,JPB602306869
20,"BUT YOU","iKON",138,8B,91,2024-04-01,03:32,46,"k-pop","FLASHBACK",2022-05-03,63,2,0,69,0,10,-2,C Major,4,7IqYkjcFnqKPmwg6lWxXYv,KRA402100168
21,"Flower","iKON",115,9B,65,2024-04-06,04:19,42,"k-pop","i DECIDE",2020-02-06,67,45,0,39,0,20,-5,G Major,4,4BFbn9GneqRPCSK2NLuiyq,KRA402000013
22,"Tell Me (What Is Love)","D.O.,YOO YOUNG JIN",120,12A,81,2024-04-21,04:42,53,"k-ballad, k-pop, ","Tell Me (What Is Love) - SM STATION",2016-02-19,72,14,0,84,0,10,-2,C♯/D♭ Minor,4,0XFNh4Buo97mSzJK3C7gSJ,KRA301500774
23,"Baby, Don't Cry","EXO",138,7B,83,2024-04-21,03:53,58,"k-pop","The 1st Album 'XOXO' (Repackage)",2013-08-05,65,34,0,42,0,10,-4,F Major,4,7M4eO9xXwmAnO0hq6XDles,KRA301300170
24,"MASAYUME CHASING","BoA",129,6A,99,2024-04-21,03:39,55,"k-pop, j-pop, j-r&b","WHO'S BACK?",2014-09-03,68,6,0,59,0,10,-2,G Minor,4,3Hg898AnfapEcgRwa4PT9L,JPB601402020
25,"Polaroid Love","ENHYPEN",138,6A,67,2024-04-22,03:04,72,"k-pop","DIMENSION : ANSWER",2022-01-10,74,46,0,65,0,30,-4,G Minor,4,5elW2CKSoqjYoJ32AGDxf1,USA2P2146748
26,"Single","Shadya Lan",128,1B,67,2024-04-25,04:28,45,"taiwanese pop, mandopop, c-pop","KO One",2005-12-27,50,47,0,16,0,10,-4,B Major,4,6Q7jwp9gQFAsp9v337V9vc,TWD950521107
27,"Hurt","NewJeans",180,3A,45,2024-04-26,02:57,73,"k-pop","NewJeans 1st EP 'New Jeans'",2022-08-01,60,73,0,57,0,10,-7,A#/B♭ Minor,4,5expoVGQPvXuwBBFuNGqBd,USA2P2230224
28,"_WORLD","SEVENTEEN",111,7A,81,2024-04-26,02:58,64,"k-pop","SEVENTEEN 4th Album Repackage 'SECTOR 17'",2022-07-18,71,31,0,79,0,0,-3,D Minor,4,3QwiidVHfeE9y5jl4n2MTC,USA2P2212522
29,"Sherlock (Clue + Note)","SHINee",107,3B,94,2024-04-30,03:59,61,"k-pop","Sherlock - The 4th Mini Album",2012-03-21,64,1,0,32,0,30,-2,C♯/D♭ Major,4,2sVtrcj32v3fR8mLjqWziv,KRA301200194
30,"Don't Go Insane","DPR IAN",115,6A,48,2024-05-11,03:24,60,"k-rap","Don't Go Insane",2023-10-04,72,19,0,60,0,10,-6,G Minor,4,5izX3yhDZHqQFi8p2m6RHi,QMBZ92331724
31,"先说谎的人","h3R3,张鑫",118,2B,58,2024-05-19,02:48,54,"chinese r&b, c-pop, mandopop, chinese hip hop","先说谎的人",2022-02-21,69,58,0,16,0,10,-5,F#/G♭ Major,4,4JUGXLT4ZXN2EetaCf8wK3,CNZ822100509
32,"致你","Yihuik苡慧",108,4B,47,2024-05-28,04:31,56,"chinese r&b, c-pop, mandopop","致你",2021-08-08,68,60,0,23,0,0,-8,G#/A♭ Major,4,1BH8aQSiigtTbbqms4XpwR,HKG732126255
33,"航行","蒋小呢",78,1B,68,2024-05-29,02:48,51,"chinese r&b, c-pop, mandopop","航行",2021-04-18,55,48,0,32,0,0,-8,B Major,4,3LJVA3pmQwH071agpGeABV,FRX202131393
34,"想自由","Yoga Lin",130,11B,42,2024-06-06,04:41,51,"mandopop, taiwanese pop, c-pop, chinese r&b, taiwanese indie, cantopop","美妙生活",2011-05-06,43,52,0,18,0,10,-9,A Major,4,6kgIfsrBMGROn31uyhDoJC,TWD951134103
35,"Boom Boom Bass","RIIZE",117,4A,76,2024-06-26,02:32,62,"k-pop","RIIZING - The 1st Mini Album",2024-06-17,81,2,0,83,0,10,-4,F Minor,4,6Ixrp3yXfzv5brZXmZuXXN,KRA302400143
36,"XO (Only If You Say Yes)","ENHYPEN",97,4B,76,2024-08-06,03:08,77,"k-pop","ROMANCE : UNTOLD",2024-07-12,66,11,0,47,0,20,-7,G#/A♭ Major,4,3RkSwrsIadAvqVtMp5yhaB,USA2P2436970
37,"Brought The Heat Back","ENHYPEN",122,10A,87,2024-08-07,02:56,74,"k-pop","ROMANCE : UNTOLD",2024-07-12,78,1,0,90,0,50,-4,B Minor,4,3ivdlmTbUSv5JN9W8Tk9V1,USA2P2436973
