#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Alien Blues","Vundabar",80,6B,68,2021-12-19,02:36,0,"","Gawk",2015-07-24,46,8,83,46,0,0,-9,A#/B♭ Major,4,6UjeFOCGYgMpBUtqKg1Je3,USDY41567486
2,"Vanished","Crystal Castles",120,5A,87,2021-12-19,04:02,1,"witch house, electroclash, new rave, alternative dance","Crystal Castles",2008-03-18,71,0,0,64,0,20,-7,C Minor,4,0Q2YGyMeeZMAvzebtxoQ5f,CAL450896208
3,"brutal","Olivia Rodrigo",124,12B,53,2021-12-19,02:23,79,"","SOUR",2021-05-21,67,3,0,28,0,20,-6,E Major,4,6SRsiMl7w1USE4mFqrOhHC,USUG12101242
4,"Crimewave","Crystal Castles",120,9A,69,2021-12-19,04:18,0,"witch house, electroclash, new rave, alternative dance","Crystal Castles",2008-03-18,75,18,3,89,0,20,-8,E Minor,4,3TjliM0xQ3fkza0RpINRrq,GBRQQ0700001
5,"Violent","carolesdaughter",130,10B,76,2021-12-19,02:15,67,"","Violent",2020-11-23,80,33,0,41,0,10,-5,D Major,4,7CFfqRW50ffULvBv7lfIIg,USQX92005133
6,"Soap","Melanie Martinez",168,11A,69,2021-12-19,03:29,72,"","Cry Baby (Deluxe Edition)",2015-08-14,60,25,0,21,10,10,-6,F#/G♭ Minor,4,03f7xZmt2wHCIDJBFPK8G4,USAT21501777
7,"Breezeblocks","alt-J",150,7B,66,2021-12-19,03:47,74,"indie, indie rock","An Awesome Wave",2012-09-18,62,10,0,29,0,20,-7,F Major,4,3n69hLUdIsSa1WlRmjMZlW,GBZUZ1200067
8,"Little Dark Age","MGMT",98,2B,71,2021-12-19,04:59,80,"indie","Little Dark Age",2018-02-09,71,1,0,62,0,10,-6,F#/G♭ Major,4,2Y0iGXY6m6immVb2ktbseM,USSM11707035
9,"Washing Machine Heart","Mitski",106,11B,82,2021-12-19,02:08,83,"","Be the Cowboy",2018-08-17,61,1,51,57,0,40,-4,A Major,4,3jjsRKEsF42ccXf8kWR3nu,USJ5G1815012
10,"Nowhere To Run","Stegosaurus Rex",120,9B,67,2021-12-19,05:00,61,"","The Dino Soars",2010-01-01,81,68,1,64,20,0,-7,G Major,4,2PJhATOD9dWsevezmfjoMA,usx9p0955719
11,"Romantic Lover","Eyedress",184,8A,45,2023-01-10,01:26,38,"","Let's Skip to the Wedding",2020-08-07,66,70,92,54,0,20,-9,A Minor,4,7s5VQqrjBtrBgZL4pEa46S,GBMYF2000011
12,"Hayloft","Mother Mother",96,8A,92,2021-12-19,03:01,3,"","O My Heart",2008-09-23,53,0,0,49,0,40,-3,A Minor,4,2kS6td1yvmpNgZTt1q5pQq,CAL450882108
13,"Bad Things","Cults",114,12A,73,2021-12-19,03:38,55,"","Cults",2011-05-23,29,37,32,29,0,20,-7,C♯/D♭ Minor,4,1caFMoQlQyF5JHvfPNe49E,GBARL1100250
14,"Alphabet Boy","Melanie Martinez",155,8B,85,2021-12-19,04:13,66,"","Cry Baby (Deluxe Edition)",2015-08-14,65,29,0,52,0,0,-6,C Major,4,3NDPcoeno6oasqi6Hs75Ax,USAT21501937
15,"NEVER MET! (feat. Glitch Gum)","CMTEN,Glitch Gum",160,2B,72,2021-12-19,02:27,54,"hyperpop, glitch","NEVER MET! (feat. Glitch Gum)",2020-05-01,68,22,0,94,10,10,-3,F#/G♭ Major,4,4iMfYGWDKKuP79CAqsKd3n,QZDA62062258
16,"SugarCrash!","ElyOtto",98,8B,74,2021-12-19,01:20,0,"hyperpop","SugarCrash!",2020-08-25,75,53,0,36,10,0,-7,C Major,4,3FxPbp05KjMBa4HbhAJTH0,TCAFB2092742
17,"好き好き大好き - 2016 Remaster","Jun Togawa",140,8B,89,2021-12-19,03:34,64,"","好き好き大好き",2016-12-21,77,46,0,86,0,30,-4,C Major,4,6x1TTTokRumrQK4qqZONtG,JPAL01600520
18,"High Enough","K.Flay",89,8B,62,2021-12-19,03:51,72,"","Every Where Is Some Where",2017-04-07,61,3,9,54,0,10,-5,C Major,4,1qwno7xb5mJe71xtMS6jl2,USUM71701789
19,"masquerade","siouxxie sixxsta",161,11B,79,2021-12-19,02:24,67,"hyperpop","masquerade",2021-11-11,61,0,65,61,0,20,-6,A Major,4,0RYHqnmtNRfbYxP6Dn8Vse,USAT22107451
20,"Rhinestone Eyes","Gorillaz",93,1A,70,2021-12-19,03:20,78,"","Plastic Beach",2010-03-05,68,9,0,85,0,0,-6,G#/A♭ Minor,4,1foMv2HQwfQ2vntFf9HFeG,GBAYE1000017
21,"Michelle","Sir Chloe",116,12B,44,2021-12-19,03:34,0,"","Party Favors",2020-10-23,37,8,0,11,0,10,-5,E Major,3,48rZVgAGm0OlbbxjikCpqm,QZDA41967250
22,"Problems","Mother Mother",104,3B,85,2021-12-19,03:27,0,"","Eureka",2011-03-15,63,1,3,53,0,10,-4,C♯/D♭ Major,4,0mFSV2Bawz8i9wnlc9eYme,CAL451028707
23,"She's My Collar (feat. Kali Uchis)","Gorillaz,Kali Uchis",140,1B,82,2021-12-21,03:29,80,"","Humanz (Deluxe)",2017-04-28,73,1,8,46,0,10,-6,B Major,4,3lIxtCaROdRDuTnNBDm3n2,GBAYE1700176
24,"Feel Good Inc.","Gorillaz,De La Soul",139,2B,71,2021-12-21,03:42,91,"jazz rap, east coast hip hop","Demon Days",2005-05-23,82,1,0,77,10,60,-7,F#/G♭ Major,4,0d28khcov6AiegSCpG5TuT,GBAYE0500172
25,"Under The Influence","Eminem,D12",97,2B,75,2023-01-10,05:21,65,"rap, hip hop, ","The Marshall Mathers LP",2000-05-23,92,2,0,71,20,10,-4,F#/G♭ Major,4,5H3B1WtZYGmyOYOXgQltKU,USIR10000643
26,"After Dark","Mr.Kitty",140,4B,60,2021-12-21,04:17,3,"witch house, darkwave","Time",2014-08-08,58,7,41,4,0,0,-10,G#/A♭ Major,4,0zCgWGmDF0aih5qexATyBn,GBKPL1412568
27,"Swimming Pool","Marie Madeleine",120,11A,90,2021-12-22,05:25,0,"","Swimming Pool",2011-09-19,71,1,90,89,0,0,-5,F#/G♭ Minor,4,3BMqVk2NJbH4fxf84e8kDC,FR3PA1100090
28,"Pour It Up","Rihanna",134,10B,48,2021-12-26,02:41,73,"","Unapologetic (Deluxe)",2012-12-11,79,3,0,39,0,0,-9,D Major,4,5r67bGhYXZNqk2m2Wupfmu,USUM71214737
29,"Stan","Eminem,Dido",80,11A,77,2021-12-30,06:44,82,"rap, hip hop, ","The Marshall Mathers LP",2000-05-23,78,4,0,51,20,50,-4,F#/G♭ Minor,4,3UmaczJpikHgJFyBTAJVoz,USIR10001280
30,"I Can't Handle Change","Roar",186,7B,44,2021-12-30,03:18,3,"","I Can't Handle Change",2010-03-14,25,4,0,39,0,10,-8,F Major,3,0I1eFRytp4XRhLCjT6tZm7,USHM81020595
