#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"I Wanna Be Yours","Arctic Monkeys",68,5A,42,2022-07-08,03:03,0,"indie, garage rock","AM",2013-01-01,46,14,2,48,0,10,-9,C Minor,4,7a8GawTVgHZvBLQOh46he7,GBCEL1300373
2,"Fallen Star","The Neighbourhood",75,3A,55,2022-07-08,03:44,76,"","Fallen Star",2021-10-01,60,7,10,44,0,10,-6,A#/B♭ Minor,4,60F6pgM6H6miNr5AmjxwjL,ZZOPM2110941
3,"K.","Cigarettes After Sex",94,5B,40,2023-04-27,05:20,7,"dream pop","Cigarettes After Sex",2017-06-09,45,14,84,32,0,10,-10,D#/E♭ Major,4,1FWsomP9StpCcXNWmJk8Cl,USBQU1600214
4,"cardigan","Taylor Swift",130,5A,58,2022-07-08,03:59,86,"","folklore",2020-07-24,61,54,0,55,0,20,-9,C Minor,4,4R2kfaDFhslZEMJqAFNpdd,USUG12002836
5,"willow","Taylor Swift",81,9B,58,2022-07-08,03:34,68,"","evermore",2020-12-10,39,84,0,55,10,10,-9,G Major,4,3Uo7WG0vmLQ07WB4BDwy7D,USUG12004699
6,"Young And Beautiful","Lana Del Rey",114,10A,42,2022-07-13,03:56,89,"","Young And Beautiful",2013-01-01,32,26,0,15,0,10,-9,B Minor,4,2nMeu6UenVvwUktBCpLMK9,GBUM71301823
7,"Sparks","Coldplay",103,3B,27,2022-07-14,03:47,90,"","Parachutes",2000-07-10,37,75,5,17,0,10,-11,C♯/D♭ Major,3,7D0RhFcb3CrfPuTJ0obrod,GBAYE0000569
8,"You're All I Want","Cigarettes After Sex",91,7B,47,2022-08-06,04:24,41,"dream pop","You're All I Want",2020-05-26,44,36,83,26,0,10,-11,F Major,4,4nvLuqwTOZdEJI1fcHXv8h,USBQU1900259
9,"Iris","The Goo Goo Dolls",156,10A,72,2022-09-12,04:49,94,"","Dizzy up the Girl",1998-00-00,32,0,0,50,0,0,-8,B Minor,3,6Qyc6fS4DsZjB2mRW9DsQs,USWB19800160
10,"Baby Came Home 2 / Valentines","The Neighbourhood",74,7A,50,2022-09-13,06:30,76,"","Wiped Out!",2015-10-30,21,7,0,11,0,70,-10,D Minor,4,40gvh6jP5qxMJuMmF9lG9A,USSM11506748
11,"Cinnamon Girl","Lana Del Rey",92,11A,34,2022-10-05,05:00,89,"","Norman Fucking Rockwell!",2019-08-30,29,81,41,14,0,10,-11,F#/G♭ Minor,5,2mdEsXPu8ZmkHRRtAdC09e,GBUM71903147
12,"Somebody Else","The 1975",101,8B,79,2023-01-23,05:47,58,"","I like it when you sleep, for you are so beautiful yet so unaware of it",2016-02-26,62,20,1,46,0,10,-6,C Major,4,2T8Z4bj1su4iOz9iSlD8Ev,GBK3W1500426
13,"About You","The 1975",96,10B,76,2023-01-28,05:26,27,"","Being Funny In A Foreign Language",2022-10-14,42,31,80,46,0,0,-7,D Major,4,1fDFHXcykq4iw8Gg7s5hG9,GBK3W2202321
14,"Fade Into You","Mazzy Star",157,11B,33,2023-02-15,04:55,87,"dream pop, shoegaze, slowcore","So Tonight That I Might See",1993-10-05,42,25,0,18,0,0,-14,A Major,3,1LzNfuep1bnAUR9skqdHCK,USCA29300105
15,"Sunny day","beabadoobee",93,11A,60,2023-02-17,02:40,67,"bedroom pop","Beatopia",2022-07-15,75,21,0,71,0,0,-6,F#/G♭ Minor,4,12UQIJePnGeLmpVReYpG2w,GBK3W2202090
16,"mirrorball","Taylor Swift",110,10B,41,2023-03-06,03:28,73,"","folklore",2020-07-24,55,69,0,38,0,0,-10,D Major,4,0ZNU020wNYvgW84iljPkPP,USUG12002840
17,"Bags","Clairo",105,3B,55,2023-03-06,04:20,8,"bedroom pop","Immunity",2019-08-02,74,17,38,87,0,10,-8,C♯/D♭ Major,4,6UFivO2zqqPFPoQYsEMuCc,US4HB1900080
18,"Bambi","Clairo",84,11B,20,2023-03-06,04:37,58,"bedroom pop","Sling",2021-07-16,44,90,0,28,0,10,-15,A Major,4,6wQXjA6KWbwPT3ydQCsJ4P,USUG12101890
19,"Softly","Clairo",94,5A,44,2023-03-06,03:05,2,"bedroom pop","Immunity",2019-08-02,76,33,1,78,0,10,-11,C Minor,4,4PvbbMYL4fkToni5BLaYRb,US4HB1900087
20,"Sunsetz","Cigarettes After Sex",75,8A,48,2023-03-06,03:35,6,"dream pop","Cigarettes After Sex",2017-06-09,41,6,81,13,0,10,-9,A Minor,4,0SpkyS1Q4MD8GaVcP5YjT4,USBQU1700033
21,"Sweet","Cigarettes After Sex",96,2B,51,2023-03-06,04:51,1,"dream pop","Cigarettes After Sex",2017-06-09,45,36,82,11,0,10,-9,F#/G♭ Major,4,3VSYkAf6f46i5ZkXOHORq1,USBQU1700036
22,"Apocalypse","Cigarettes After Sex",94,7B,47,2023-03-06,04:50,11,"dream pop","Cigarettes After Sex",2017-06-09,37,2,57,18,0,10,-9,F Major,4,0yc6Gst2xkRu0eMLeRMGCX,USBQU1700034
23,"Everyone Adores You (at least I do)","Matt Maltese",74,7B,43,2023-03-11,03:23,72,"","Good Morning It's Now Tomorrow",2021-10-08,60,75,11,11,0,10,-9,F Major,4,6klFWv2xDGeTDoiKTtx4hg,CAN112100381
24,"All Night","Men I Trust",146,3A,21,2023-03-16,03:08,58,"bedroom pop, indie pop","Oncle Jazz",2019-09-13,79,74,91,62,0,0,-13,A#/B♭ Minor,4,0XvoMOI25j4wODyk8nuANS,QZFZ31973926
25,"Cry, Cry","Mazzy Star",123,9B,20,2023-04-05,03:58,64,"dream pop, shoegaze, slowcore","Among My Swan",1996-10-29,50,75,4,14,0,10,-16,G Major,4,4u5ofLk8CMrtQnRaiIVH4O,USCA29601035
26,"How to disappear","Lana Del Rey",79,11B,30,2023-04-05,03:48,74,"","Norman Fucking Rockwell!",2019-08-30,54,61,0,7,0,10,-12,A Major,3,4qUtC2BwFC154Ha8YQRrkk,GBUM71903148
27,"Over the Moon","The Marías",74,8B,23,2023-04-24,03:02,71,"bedroom pop","Superclean, Vol. II",2018-09-28,68,86,40,39,0,10,-13,C Major,4,02wNtFxlr9dLmZXKT5TIF5,QM2PV1867237
28,"John Wayne","Cigarettes After Sex",124,5B,46,2023-04-27,04:18,0,"dream pop","Cigarettes After Sex",2017-06-09,43,35,86,18,0,10,-8,D#/E♭ Major,4,5IonbH68pmDKBwcKlyswmR,USBQU1700039
29,"Back To December","Taylor Swift",142,10B,61,2023-05-28,04:53,66,"","Speak Now",2010-10-25,52,2,0,30,0,30,-6,D Major,4,5l6GqSxplqnZbLg0LTPQeG,GBUM71027838
30,"Glue Song (feat. Clairo)","beabadoobee,Clairo",114,3B,39,2023-05-28,02:15,71,"bedroom pop","Glue Song (feat. Clairo)",2023-04-17,62,78,1,53,0,10,-10,C♯/D♭ Major,3,0tMMPZEt6Gyrl9FI8zSicm,GBK3W2302605
31,"Pyramids","Frank Ocean",108,4A,65,2023-06-25,09:52,81,"","channel ORANGE",2012-07-10,40,1,0,15,0,70,-6,F Minor,4,4QhWbupniDd44EDtnh2bFJ,USUM71207185
32,"Alewife","Clairo",103,5B,33,2023-07-16,03:33,0,"bedroom pop","Immunity",2019-08-02,43,93,5,26,0,10,-13,D#/E♭ Major,4,3jgrNd3uPU1c2PFBKYsV9d,US4HB1900082
33,"Daylight","Taylor Swift",150,8B,50,2023-08-12,04:53,81,"","Lover",2019-08-23,56,81,0,27,0,0,-10,C Major,4,1fzAuUVbzlhZ1lJAx9PtY6,USUG11901486
34,"Robbers","The 1975",100,12B,68,2023-08-26,04:14,53,"","The 1975",2013-09-02,62,0,0,35,0,30,-7,E Major,4,4ZrWnXFf4hhd8GYWUemI4X,GBK3W1000199
