#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Somebody's Watching Me","Rockwell",124,12A,36,2025-10-05,04:58,67,"","Somebody's Watching Me",1984-01-30,82,4,0,77,0,0,-14,C♯/D♭ Minor,4,7jwQlYGpOml9ETGre1HqGA,USMO18400484
2,"Virtual Insanity","Jamiroquai",92,2B,91,2025-10-05,03:47,66,"acid jazz","Pop Music: The Modern Era 1976-1999",1999-10-11,63,6,0,63,0,10,-7,F#/G♭ Major,4,24SUWisv2lYQiB3bVpE1sn,GBBBL9600119
3,"No Surprises","Radiohead",76,7B,39,2025-10-05,03:49,87,"art rock, alternative rock","OK Computer",1997-05-28,26,6,0,12,0,10,-11,F Major,4,10nyNJ6zNy2YVYLrcwLccB,GBAYE9700386
4,"NDA","Billie Eilish",85,4B,37,2025-10-05,03:15,75,"","Happier Than Ever",2021-07-30,77,34,53,55,0,10,-10,G#/A♭ Major,4,38GBNKZUhfBkk3oNlWzRYd,USUM72105935
5,"I Want It That Way","Backstreet Boys",99,11A,69,2025-10-05,03:33,86,"","Millennium",1999-05-18,69,26,0,48,0,10,-6,F#/G♭ Minor,4,47BBI51FKFwOMlIiX6m8ya,USJI19910614
6,"Empathy","Crystal Castles",110,6A,90,2025-10-05,04:11,68,"witch house, electroclash, new rave, alternative dance","Crystal Castles (II)",2010-01-01,51,12,52,33,0,40,-6,G Minor,4,2R3heksil8zmzSFUwYQIPC,GBUM71001708
7,"stranger","Olivia Rodrigo",186,8B,60,2025-10-05,03:12,75,"","GUTS (spilled)",2024-03-22,44,78,0,54,10,10,-5,C Major,4,2U3jOPfO4wZZFaaWS4Dcj6,USUG12305566
8,"A Pearl","Mitski",85,4B,64,2025-10-05,02:36,71,"","Be the Cowboy",2018-08-17,30,5,2,22,0,10,-4,G#/A♭ Major,4,7fd3aMiuwHWKsTdZafjOfZ,USJ5G1815004
9,"I Can't Handle Change","Roar",186,7B,44,2025-10-05,03:18,79,"","I Can't Handle Change",2010-03-14,25,4,0,39,0,10,-8,F Major,3,37l31PrCNsg8baUjarNAi9,USHM81020595
10,"Would've, Could've, Should've","Taylor Swift",158,8B,85,2025-10-05,04:20,65,"","Midnights (3am Edition)",2022-10-22,49,39,0,55,10,10,-7,C Major,4,0aV5uARAknQgYhBaK944FP,USUG12207556
11,"Memories","Conan Gray",113,1B,68,2025-10-05,04:08,79,"","Superache",2022-06-24,34,1,0,56,0,30,-6,B Major,4,5UXJzLFdBn6u9FJTCnoHrH,USUM72204111
12,"Living Dead","MARINA",124,9B,90,2025-10-05,04:04,47,"","Electra Heart (Deluxe)",2012-04-27,65,0,0,40,0,0,-3,G Major,4,4TSmV8D9i5uTXZzqoD5eSu,GBFFS1200015
13,"Miss The Rage","Six Dior",78,4B,75,2025-10-05,02:55,59,"","Miss The Rage",2023-08-17,51,0,0,32,0,20,-7,G#/A♭ Major,4,6hPWQ0BxwioM7wzG0DE2F1,GX4R52353318
14,"you broke me first","Tate McRae",124,12B,38,2025-10-05,02:50,84,"","TOO YOUNG TO BE SAD",2021-03-26,66,80,0,8,0,0,-9,E Major,4,4l0RmWt52FxpVxMNni6i63,USRC12000832
15,"the 1","Taylor Swift",140,8B,36,2025-10-05,03:30,76,"","folklore",2020-07-24,78,76,0,17,0,10,-7,C Major,4,0Jlcvv8IykzHaSmj49uNW8,USUG12002835
16,"Pantyhose","TV Girl",101,9B,85,2025-10-05,02:57,61,"","French Exit",2014-06-05,52,51,0,75,0,20,-4,G Major,4,7m6xr2HY0BYmBDTh2UIx02,USHM21438135
17,"Jigsaw Falling Into Place","Radiohead",166,10A,83,2025-11-28,04:08,81,"art rock, alternative rock","In Rainbows",2007-12-28,46,11,0,81,0,0,-6,B Minor,4,0YJ9FWWHn9EfnN0lHwbzvV,GBSTK0700009
