#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"the 1","Taylor Swift",140,8B,36,2022-07-29,03:30,76,"","folklore",2020-07-24,78,76,0,17,0,10,-7,C Major,4,0Jlcvv8IykzHaSmj49uNW8,USUG12002835
2,"You Give Love A Bad Name","Bon Jovi",123,5A,96,2022-07-29,03:42,78,"glam metal","Slippery When Wet",1986-08-16,54,7,0,81,0,30,-3,C Minor,4,0rmGAIH9LNJewFw7nKzZnc,USPR39402224
3,"Better Man","5 Seconds of Summer",98,8B,86,2022-07-29,03:09,52,"","Youngblood (Deluxe)",2018-06-15,68,7,0,52,0,0,-4,C Major,4,40rMvmTT9RX4KB0JzMNYZO,GBUM71800861
4,"My Alcoholic Friends","The Dresden Dolls",110,9A,68,2022-07-29,02:47,76,"","Yes, Virginia",2006-03-29,60,18,0,75,0,0,-4,E Minor,4,2gvmxusSOe3vNjNDjQWaso,NLA320581712
5,"I Can't Handle Change","Roar",186,7B,44,2022-07-29,03:18,3,"","I Can't Handle Change",2010-03-14,25,4,0,39,0,10,-8,F Major,3,0I1eFRytp4XRhLCjT6tZm7,USHM81020595
6,"Teenagers","My Chemical Romance",112,12B,86,2022-07-29,02:41,83,"emo, pop punk","The Black Parade",2006-10-20,46,5,0,86,0,10,-3,E Major,4,7j31rVgGX9Q2blT92VBEA0,USRE10602912
7,"Liquid Smooth","Mitski",114,6A,34,2022-07-29,02:49,0,"","Lush",2012-01-31,36,84,0,12,0,10,-9,G Minor,3,3UChNf9rb9hJZvOcU9HCTb,uscgh1222956
8,"Francis Forever","Mitski",102,10B,45,2022-07-29,02:29,74,"","Bury Me At Makeout Creek",2014-11-11,54,0,0,32,0,10,-9,D Major,4,5411TEB6tlzvuF5A4oyldr,USA2B1511605
9,"The Adults Are Talking","The Strokes",165,7B,75,2022-07-29,05:09,85,"garage rock, indie rock, alternative rock","The New Abnormal",2020-04-10,59,1,11,65,0,30,-6,F Major,4,5ruzrDWcT0vuJIOMW7gMnW,USRC11902726
10,"When You're Gone","Shawn Mendes",147,7B,69,2022-07-29,02:52,69,"","When You're Gone",2022-03-31,60,2,0,58,0,50,-6,F Major,4,0U1W2LZVUX7qTm7dDpqxh6,USUM72204098
11,"No Promises","Shawn Mendes",102,9A,62,2022-07-29,02:46,53,"","Illuminate (Deluxe)",2017-04-20,62,32,0,47,0,10,-7,E Minor,4,3gnDoaJUgD9Bblzld77Kcp,USUM71606062
12,"Because I Had You","Shawn Mendes",203,9B,34,2022-07-29,02:22,53,"","Shawn Mendes",2018-05-25,56,33,0,71,40,30,-10,G Major,4,1RRZSm4akqNyMOsPUhw4cb,USUM71804962
13,"Summer of Love (Shawn Mendes & Tainy)","Shawn Mendes,Tainy",124,1B,81,2022-07-29,03:04,68,"reggaeton","Summer Of Love",2021-08-20,78,3,0,49,10,10,-5,B Major,4,0z8hI3OPS8ADPWtoCjjLl6,USUM72114707
14,"Sober II (Melodrama)","Lorde",113,1A,31,2022-07-29,02:58,57,"","Melodrama",2017-06-16,52,17,0,10,0,0,-12,G#/A♭ Minor,4,54ucfuN596MU25jQD3KjCL,NZUM71700069
15,"Glory And Gore","Lorde",144,3B,38,2022-07-29,03:30,0,"","Pure Heroine (Extended)",2013-01-01,69,28,0,29,0,20,-9,C♯/D♭ Major,4,0SK9wxN40P6jlcMfTSAe0V,NZUM71300125
16,"Liability","Lorde",76,3A,23,2022-07-29,02:51,0,"","Melodrama",2017-11-10,59,92,0,38,10,10,-11,A#/B♭ Minor,4,4iSN72L6xCM7vQZR2I9Suz,NZUM71700064
17,"Writer In The Dark","Lorde",72,9B,27,2022-07-29,03:36,63,"","Melodrama",2017-06-16,33,73,0,28,0,30,-8,G Major,4,193Dm5SqYy3hTSbuzxbwKc,NZUM71700070
18,"champagne problems","Taylor Swift",171,8B,24,2022-07-29,04:04,74,"","evermore",2020-12-11,46,92,0,32,0,10,-12,C Major,4,0sY6ZUTh4yoctD8VIXz339,USUG12004700
19,"my tears ricochet","Taylor Swift",130,8B,26,2022-07-29,04:15,79,"","folklore",2020-07-24,47,81,0,11,0,0,-11,C Major,4,1MgV7FIyNxIG7WzMRJV5HC,USUG12002839
20,"Hard Feelings/Loveless","Lorde",97,12A,45,2022-07-29,06:07,62,"","Melodrama",2017-06-16,49,3,1,18,10,0,-11,C♯/D♭ Minor,4,1Dp7JGFNjvg8Nk0CtMCcnr,NZUM71700068
21,"Riptide","Vance Joy",102,3B,73,2022-07-29,03:24,83,"folk pop","Dream Your Life Away",2014-09-08,48,43,0,51,0,10,-7,C♯/D♭ Major,4,7yq4Qj7cqayVTp3FF9CWbm,AULI01385760
22,"Wonder","Shawn Mendes",140,12A,63,2022-07-29,02:52,67,"","Wonder",2020-12-04,44,14,0,13,0,10,-5,C♯/D♭ Minor,4,6ZuahEctZD6w75peme58hm,USUM72018522
23,"Me Myself & I","5 Seconds of Summer",88,12B,56,2022-07-29,02:57,0,"","Me Myself & I",2022-05-11,57,3,0,44,0,0,-5,E Major,4,0C9aH2f4LO8SPPqUWOrcbk,QMRSZ2200652
24,"Wildest Dreams (Taylor's Version)","Taylor Swift",140,4B,67,2022-07-29,03:40,70,"","Wildest Dreams (Taylor's Version)",2021-09-17,58,4,0,50,0,10,-7,G#/A♭ Major,4,1Ov37jtRQ2YNAe8HzfczkL,USUG12103658
25,"Genius (feat. Sia, Diplo, and Labrinth)","Sia,Diplo,Labrinth,LSD",159,10A,62,2022-07-29,03:33,77,"moombahton, dance pop","LABRINTH, SIA & DIPLO PRESENT... LSD",2019-04-12,60,8,0,56,10,10,-5,B Minor,4,4xigPf2sigSPmuFH3qCelB,USQX91800798
26,"505","Arctic Monkeys",140,8B,87,2022-07-29,04:13,88,"indie, garage rock","Favourite Worst Nightmare",2007-04-22,53,0,0,25,0,0,-6,C Major,4,0BxE4FqsDD1Ot4YuBXwAPp,GBCEL0700074
27,"Beggin'","Måneskin",134,10A,80,2022-07-29,03:31,87,"","Chosen",2017-12-08,71,13,0,59,0,30,-5,B Minor,4,3Wrjm47oTz2sjIgck11l5e,ITB001700846
28,"I Bet on Losing Dogs","Mitski",82,11B,50,2022-07-29,02:50,0,"","Puberty 2",2016-06-17,40,0,0,39,0,10,-10,A Major,4,3uS7pHvPRtJlyukzNZGpcO,USJ5G1612306
29,"Supermassive Black Hole","Muse",120,9B,92,2022-07-29,03:32,84,"alternative rock, rock","Black Holes and Revelations",2006-06-28,67,5,1,78,0,0,-4,G Major,4,3lPr8ghNDBLc2uZovNyLs9,GBAHT0500593
30,"Jealous","Eyedress",93,8A,91,2022-07-29,02:02,0,"","Let's Skip to the Wedding",2020-08-07,47,0,86,75,0,40,-10,A Minor,4,5KbTBSGUvgDg75gIVhUaAW,GBMYF1900115
31,"Oh No!","MARINA",127,8B,90,2022-07-29,03:00,62,"","The Family Jewels",2009-07-15,78,6,0,96,0,20,-4,C Major,4,4umN41ggyywUcvMbZxhcHR,GBFFS0900127
32,"Nobody Gets Me (Like You)","Wallows",116,10B,89,2022-07-29,02:37,0,"indie","Nobody Gets Me (Like You)",2020-09-09,57,4,0,82,0,70,-1,D Major,4,6n3hQsudILw9w3CqDwoO5M,USAT22005094
33,"Compass","The Neighbourhood",110,4A,82,2022-07-29,02:47,70,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,70,24,32,67,0,60,-5,F Minor,4,0YNtAadZvKBBEFARtfoCV8,USSM11709910
34,"Good Old-Fashioned Lover Boy - Remastered 2011","Queen",97,5B,46,2022-07-29,02:53,69,"classic rock, rock, glam rock","A Day At The Races (Deluxe Edition 2011 Remaster)",1976-12-10,54,58,0,39,0,0,-7,D#/E♭ Major,4,1n7xFAY4xoPeqRvrkzAtsw,GBUM71029614
35,"Freaks","Surf Curse",180,11B,94,2022-07-29,02:27,87,"indie","Freaks",2021-05-15,35,0,63,41,0,0,-10,A Major,4,7EkWXAI1wn8Ii883ecd9xr,USAT22102269
36,"I'm Not Okay (I Promise)","My Chemical Romance",180,11B,94,2022-07-29,03:06,79,"emo, pop punk","Three Cheers for Sweet Revenge",2004-06-08,21,1,0,26,10,20,-3,A Major,4,7lRlq939cDG4SzWOF4VAnd,USRE10400660
37,"Family Line","Conan Gray",154,2B,40,2022-07-29,03:36,76,"","Superache",2022-06-24,33,62,0,28,0,10,-8,F#/G♭ Major,3,0iNZGC211wst3VjtobNnC5,USUM72204108
38,"Carry on Wayward Son","Kansas",127,9B,79,2022-07-29,05:23,79,"classic rock, progressive rock, aor","Leftoverture (Expanded Edition)",1976-00-00,48,0,0,79,0,40,-6,G Major,4,4DMKwE2E2iYDKY01C335Uw,USSM17600874
39,"Boyfriend","Dove Cameron",180,6A,61,2023-01-15,02:33,73,"","Boyfriend",2022-02-11,35,23,0,23,0,10,-7,G Minor,3,59CfNbkERJ3NoTXDvoURjj,USQX92200693
40,"Would've, Could've, Should've","Taylor Swift",158,8B,85,2023-05-11,04:20,65,"","Midnights (3am Edition)",2022-10-22,49,39,0,55,10,10,-7,C Major,4,0aV5uARAknQgYhBaK944FP,USUG12207556
41,"Somebody's Watching Me","Rockwell",124,12A,36,2023-05-11,04:58,67,"","Somebody's Watching Me",1984-01-30,82,4,0,77,0,0,-14,C♯/D♭ Minor,4,7jwQlYGpOml9ETGre1HqGA,USMO18400484
42,"Out Of The Woods (Taylor's Version)","Taylor Swift",92,9B,88,2024-05-01,03:55,62,"","1989 (Taylor's Version) [Deluxe]",2023-10-27,54,0,0,18,0,30,-6,G Major,4,1OcSfkeCg9hRC2sFKB4IMJ,USUG12306675
43,"I Want It That Way","Backstreet Boys",99,11A,69,2023-05-11,03:33,86,"","Millennium",1999-05-18,69,26,0,48,0,10,-6,F#/G♭ Minor,4,47BBI51FKFwOMlIiX6m8ya,USJI19910614
44,"Cry Me a River","Justin Timberlake",74,1A,65,2023-05-11,04:48,80,"","Justified",2002-11-04,62,58,0,56,10,10,-7,G#/A♭ Minor,4,7Lf7oSEVdzZqTA0kEDSlS5,USJI10200366
45,"Cold as Ice","Foreigner",131,2A,61,2023-05-11,03:23,74,"aor, classic rock","Foreigner (Expanded)",1977-03-08,56,3,0,51,0,10,-7,D#/E♭ Minor,4,7vidktgNZFQylTgH1GEnMs,USAT29900657
46,"ISTJ","NCT DREAM",122,9A,96,2023-08-07,03:05,0,"k-pop, noise music","ISTJ - The 3rd Album",2023-07-17,65,2,0,36,0,30,-2,E Minor,4,43Pmqpiw4zFY77pT5QdxQ8,KRA302300210
47,"Now That We Don't Talk (Taylor's Version) (From The Vault)","Taylor Swift",110,8B,51,2023-11-17,02:26,71,"","1989 (Taylor's Version)",2023-10-26,80,16,0,8,0,0,-9,C Major,4,5KD6AEm19QnMbfWpfoOHMl,USUG12306689
48,"Say Don't Go (Taylor's Version) (From The Vault)","Taylor Swift",110,12B,54,2023-11-17,04:39,69,"","1989 (Taylor's Version)",2023-10-26,63,7,0,19,0,10,-8,E Major,4,4NioO5R9sHEZh4cGzMHyNt,USUG12306688
49,"Is It Over Now? (Taylor's Version) (From The Vault)","Taylor Swift",100,8B,65,2023-11-17,03:49,73,"","1989 (Taylor's Version)",2023-10-26,60,5,0,15,0,10,-7,C Major,4,1Iq8oo9XkmmvCQiGOfORiz,USUG12306691
