#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"505","Arctic Monkeys",140,8B,87,2023-04-15,04:13,88,"indie, garage rock","Favourite Worst Nightmare",2007-04-22,53,0,0,25,0,0,-6,C Major,4,0BxE4FqsDD1Ot4YuBXwAPp,GBCEL0700074
2,"Blue Hour","TOMORROW X TOGETHER",112,2A,82,2023-04-15,03:29,67,"k-pop","minisode1 : Blue Hour",2020-10-26,71,1,0,75,0,0,-4,D#/E♭ Minor,4,3ObPkJQAgjAhTwYvDhPrAW,USA2P2034178
3,"Alphabet Boy","Melanie Martinez",155,8B,85,2023-04-15,04:13,66,"","Cry Baby (Deluxe Edition)",2015-08-14,65,29,0,52,0,0,-6,C Major,4,3NDPcoeno6oasqi6Hs75Ax,USAT21501937
4,"Snap Out Of It","Arctic Monkeys",130,4A,64,2023-04-17,03:13,81,"indie, garage rock","AM",2013-09-09,73,25,0,87,0,10,-6,F Minor,4,0NdTUS4UiNYCNn5FgVqKQY,GBCEL1300371
5,"My Ordinary Life","The Living Tombstone",176,8A,66,2023-04-17,03:50,74,"","My Ordinary Life",2017-11-23,68,2,35,58,0,20,-9,A Minor,4,6tMdpUXfT70TD6Eh3XfB1p,QZANL1777908
6,"Better Than Me","The Brobecks",170,9B,67,2023-04-17,04:27,63,"","Violent Things",2009-04-25,38,0,0,43,0,0,-7,G Major,4,2ACs0dJwkSsvNZvEbvFurK,USTC90933456
7,"Beggin'","Måneskin",134,10A,80,2023-04-17,03:31,87,"","Chosen",2017-12-08,71,13,0,59,0,30,-5,B Minor,4,3Wrjm47oTz2sjIgck11l5e,ITB001700846
8,"Cold Cold Cold","Cage The Elephant",136,7B,79,2023-04-20,03:34,70,"","Tell Me I'm Pretty",2015-12-18,55,2,0,72,0,0,-6,F Major,4,1Q3t9fWvHUXKsMmpD2XpUu,USRC11502825
9,"Like Crazy (English Version)","Jimin",120,9B,76,2023-04-20,03:32,67,"k-pop","FACE",2023-03-24,62,0,0,32,0,30,-5,G Major,4,0u8rZGtXJrLtiSe34FPjGG,USA2P2251868
10,"O Psicopata","kamaitachi",130,8B,57,2023-04-26,03:04,52,"","O Psicopata",2021-08-20,75,62,0,64,0,10,-10,C Major,4,7nMOiydlrXngDKZ1KXjxnA,BXK182100009
11,"Dark Red","Steve Lacy",172,2B,78,2023-04-30,02:53,87,"","Dark Red",2017-02-20,60,45,0,77,0,10,-4,F#/G♭ Major,4,3EaJDYHA0KnX88JvDhL9oa,GBKPL1778015
12,"Cutthroat","Imagine Dragons",166,9B,63,2023-04-30,02:49,53,"","Mercury - Acts 1 & 2",2022-07-01,67,8,1,68,30,0,-5,G Major,4,5KXp9E22MHunsS4W4PNBUf,USUM72102980
13,"Doin' Time","Lana Del Rey",145,6A,56,2023-04-30,03:22,79,"","Norman Fucking Rockwell!",2019-08-30,64,40,0,52,0,0,-11,G Minor,4,0Oqc0kKFsQ6MhFOLBNZIGX,GBUM71903894
14,"Já, Já Chega Dezembro","kamaitachi",183,11B,31,2023-04-30,02:55,49,"","Já, Já Chega Dezembro",2019-05-24,41,91,0,12,0,40,-12,A Major,3,19QaUnaIaSsW4WLJkWzFTC,QZGLS1993675
15,"Black Mamba","aespa",90,10B,92,2023-04-30,02:54,61,"k-pop","Black Mamba",2020-11-17,52,6,0,50,10,0,-3,D Major,4,1t2qYCAjUAoGfeFeoBlK51,KRA302000590
16,"Problems","Mother Mother",104,3B,85,2023-05-06,03:27,0,"","Eureka",2011-03-15,63,1,3,53,0,10,-4,C♯/D♭ Major,4,0mFSV2Bawz8i9wnlc9eYme,CAL451028707
17,"Bang Bang Bang Bang","Sohodolls",94,3A,58,2023-05-07,03:01,64,"","Ribbed Music For The Numb Generation",2007-09-24,73,52,0,37,0,10,-7,A#/B♭ Minor,4,1MPMUZopRX9DFx3HXToTKG,GBHGV0700025
18,"Alien Blues","Vundabar",80,6B,68,2023-06-16,02:36,0,"","Gawk",2015-07-24,46,8,83,46,0,0,-9,A#/B♭ Major,4,6UjeFOCGYgMpBUtqKg1Je3,USDY41567486
19,"Vanished","Crystal Castles",120,5A,87,2023-06-16,04:02,1,"witch house, electroclash, new rave, alternative dance","Crystal Castles",2008-03-18,71,0,0,64,0,20,-7,C Minor,4,0Q2YGyMeeZMAvzebtxoQ5f,CAL450896208
20,"Breezeblocks","alt-J",150,7B,66,2023-06-16,03:47,74,"indie, indie rock","An Awesome Wave",2012-09-18,62,10,0,29,0,20,-7,F Major,4,3n69hLUdIsSa1WlRmjMZlW,GBZUZ1200067
21,"Little Dark Age","MGMT",98,2B,71,2023-06-16,04:59,80,"indie","Little Dark Age",2018-02-09,71,1,0,62,0,10,-6,F#/G♭ Major,4,2Y0iGXY6m6immVb2ktbseM,USSM11707035
22,"Unfair","The Neighbourhood",194,4B,57,2023-06-16,02:26,66,"","#000000 & #FFFFFF (No DJ Version)",2014-11-28,48,1,78,4,0,10,-7,G#/A♭ Major,4,0xD23i0X1WjqMSYIxRfO80,USSM11709128
23,"Masquerade x Miss The Rage","Tukuturpe",154,4B,83,2023-06-16,01:52,0,"","Masquerade x Miss The Rage",2021-11-19,50,3,70,89,0,20,-16,G#/A♭ Major,4,2t7EyTixyBubCijJuvarUX,QZNWZ2193205
24,"Bubblegum Bitch","MARINA",158,5A,86,2023-06-16,02:34,81,"","Electra Heart (Deluxe)",2012-04-27,50,0,0,61,0,10,-5,C Minor,4,6IbnUaczZBT34DhaD6S18F,GBFFS1200008
25,"After Dark","Mr.Kitty",140,4B,60,2023-06-17,04:17,3,"witch house, darkwave","Time",2014-08-08,58,7,41,4,0,0,-10,G#/A♭ Major,4,0zCgWGmDF0aih5qexATyBn,GBKPL1412568
26,"Somebody's Watching Me","Rockwell",124,12A,58,2023-06-17,04:53,63,"","12  80s Classics",2010-06-28,80,12,0,87,0,0,-8,C♯/D♭ Minor,4,2gGdO0zLa9W8ce1Ig0BzFK,USMO18400484
27,"Amsterdam","Imagine Dragons",115,11B,77,2023-06-17,04:01,56,"","Night Visions",2012-09-04,52,1,0,21,0,10,-5,A Major,4,5gXdinVZqeuDIVxogWzRk0,USUM71208568
28,"Going Crazy","EXO",150,6A,78,2023-06-17,03:46,47,"k-pop","THE WAR - The 4th Album",2017-07-18,59,13,0,71,0,10,-5,G Minor,4,64EJgeHPkqJThnr7RDppo3,KRA301700311
29,"The Zone","The Weeknd,Drake",140,2A,52,2023-06-17,06:58,56,"rap","Trilogy",2012-11-13,44,26,0,25,10,10,-8,D#/E♭ Minor,4,46X8c9qJzpBLYcos3OX0CE,USUM71212052
30,"ALL OR NOTHING","NAYEON",180,3B,60,2023-06-23,03:04,47,"k-pop","IM NAYEON",2022-06-24,57,14,0,92,30,0,-4,C♯/D♭ Major,3,6QLs06H0H54PPV90ZUVWRE,US5TA2200045
31,"New Axis","NCT U",120,3B,79,2023-06-23,02:11,39,"k-pop, noise music","Universe - The 3rd Album",2021-12-14,94,9,0,56,10,10,-3,C♯/D♭ Major,4,1qExTKTJfeYGNkSy2kl3Ak,KRA302100381
32,"jealousy, jealousy","Olivia Rodrigo",164,3A,57,2023-06-30,02:53,83,"","SOUR",2021-05-21,70,20,0,70,10,0,-6,A#/B♭ Minor,4,0MMyJUC3WNnFS1lit5pTjk,USUG12101248
33,"Bored","Billie Eilish",120,9B,32,2023-09-15,03:00,79,"","Bored",2017-03-30,61,90,0,11,0,0,-13,G Major,4,04sN26COy28wTXYj3dMoiZ,USUM71702756
