#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"ride","wave to earth",156,10B,46,2026-04-09,03:48,60,"","summer flows 0.02",2020-08-04,41,9,0,29,0,10,-7,D Major,4,292o94drp4IqtnS9iK65lg,KRMIM2021577
2,"Tsunami","NIKI",143,10B,21,2026-04-09,03:51,46,"indonesian r&b","Tsunami",2024-07-26,36,84,46,34,0,10,-15,D Major,3,5T9RiaaXbVUQdIG3hLmZDY,QM6MZ2405486
3,"Oceans & Engines","NIKI",95,3B,31,2026-04-09,05:36,47,"indonesian r&b","Oceans & Engines",2022-07-08,48,64,0,7,0,0,-9,C♯/D♭ Major,4,6H6ldB48HrWYQlMuVJbGHk,ZZOPM2234425
4,"nouvelle vague","wave to earth",90,11A,69,2026-04-09,03:49,40,"","nouvelle vague",2021-11-24,46,28,0,48,0,20,-8,F#/G♭ Minor,4,6AjBYdnigpUohH3z0l8hxi,KRA252102205
5,"Apple Cider","beabadoobee",138,10B,92,2026-04-09,02:58,78,"bedroom pop","Loveworm",2019-04-26,49,8,1,68,0,30,-4,D Major,4,5xA5MggKc3aQxuOzNzPUWB,GBK3W1901010
6,"Back To Me","The Marías",144,11B,49,2026-04-09,03:34,80,"bedroom pop","Back To Me",2025-04-04,46,47,3,24,0,10,-9,A Major,4,4E0P1xs3JNmsNr5c5nFTZJ,USAT22501082
7,"Cinnamon Girl","Lana Del Rey",92,11A,34,2026-04-09,05:00,89,"","Norman Fucking Rockwell!",2019-08-30,29,81,41,14,0,10,-11,F#/G♭ Minor,5,2mdEsXPu8ZmkHRRtAdC09e,GBUM71903147
8,"cardigan","Taylor Swift",130,5A,58,2026-04-09,03:59,86,"","folklore",2020-07-24,61,54,0,55,0,20,-9,C Minor,4,4R2kfaDFhslZEMJqAFNpdd,USUG12002836
9,"ゆめうつつ","Lamp",93,10B,13,2026-04-09,05:15,67,"shibuya-kei, japanese indie, city pop","ランプ幻想",2008-12-03,35,99,46,8,0,0,-17,D Major,4,1GTC0DN9LGOdP0NdvoHyX7,JPG100800130
10,"Oras","Calein",80,12A,52,2026-04-09,04:20,64,"opm, harana, pinoy indie, parang, kundiman","Oras",2020-03-06,56,31,19,37,0,10,-9,C♯/D♭ Minor,4,77KU2ntd4vA44tIf2qGArD,PHV032010961
11,"몽상","Switcbak",150,8B,42,2026-04-09,03:57,0,"k-ballad, k-rock","A Spacetime Odyssey",2023-09-04,58,51,0,41,0,30,-12,C Major,4,4tFNoRBvPTOCak7CevlCxd,TCAHJ2370167
12,"1:05","The Black Skirts",88,12B,67,2026-04-09,04:00,60,"k-rock","TEAM BABY",2017-05-30,64,37,0,55,0,10,-7,E Major,4,4bjNOhOMvqFPflwHIaS7Fw,KRA401700138
13,"Wings","jungumul",76,12B,37,2026-04-09,05:14,25,"","Wings",2022-11-29,71,67,1,31,0,0,-8,E Major,4,248PxpBNuftxSD0CKliYtN,KRNAR2232956
14,"Ruin The Friendship","Taylor Swift",160,9B,69,2026-04-14,03:40,79,"","The Life of a Showgirl",2025-10-03,63,45,0,67,0,10,-6,G Major,4,62V2ZHslgQV98gH4AuVXnr,USUG12506441
15,"masshiro (pure white)","Fujii Kaze",125,6A,69,2026-04-14,04:54,55,"j-pop","masshiro (pure white)",2025-02-27,67,27,10,72,0,10,-10,G Minor,4,00WTRpkXPTms4ah74VurQi,JPPO02500384
16,"Last Train At 25 O'clock","Lamp",130,1B,74,2026-04-14,04:23,60,"shibuya-kei, japanese indie, city pop","For Lovers",2004-02-11,60,50,0,71,0,30,-6,B Major,4,3VPBPBZKxQu3bqeuzz8gRm,JPG100400503
