#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons,JID,Arcane,League of Legends",77,10A,78,2022-12-18,02:53,76,"score, ","Enemy (with JID) [from the series Arcane League of Legends]",2021-10-28,73,24,0,56,20,40,-4,B Minor,4,1r9xUipOqoNwggBpENDsvJ,USUM72119916
2,"bad guy","Billie Eilish",135,9B,43,2022-12-18,03:14,83,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,70,33,13,56,30,10,-11,G Major,4,2Fxmhks0bxGSBdJ92vM42m,USUM71900764
3,"idfc","blackbear",145,9A,42,2022-12-18,03:27,70,"","dead",2015-06-02,72,8,0,46,0,10,-9,E Minor,4,3SErMoIKdRELto2OspGs5L,USLD90811103
4,"Natural","Imagine Dragons",100,10B,61,2022-12-18,03:09,82,"","Origins (Deluxe)",2018-11-09,70,22,0,22,0,0,-6,D Major,4,2FY7b99s15jUprqC0M5NCT,USUM71806694
5,"Therefore I Am","Billie Eilish",94,10A,34,2022-12-18,02:54,70,"","Therefore I Am",2020-11-12,89,22,13,72,0,0,-8,B Minor,4,54bFM56PmE4YLRnqpW6Tha,USUM72021500
6,"Heathens","Twenty One Pilots",90,9A,40,2022-12-18,03:15,84,"","Heathens",2016-06-16,73,8,0,55,0,10,-9,E Minor,4,6i0V12jOa3mr6uu4WYhUBr,USAT21601930
7,"People I Don't Like","UPSAHL",90,10A,57,2022-12-18,02:22,63,"","People I Don't Like",2020-07-17,75,27,0,55,30,30,-7,B Minor,4,5srKMwXoeyrRnyTnNbpgIW,USQX92003333
8,"SIU","Maretu",120,1B,91,2022-12-18,04:38,66,"vocaloid","SIU",2019-11-25,68,6,0,66,0,0,-3,B Major,4,22tot0Y6uKuWdAZnEQyB6g,TCJPK1903026
9,"Payphone","Maroon 5,Wiz Khalifa",110,12B,75,2022-12-18,03:51,87,"pop, ","Overexposed Track By Track",2012-01-01,74,2,0,55,0,20,-5,E Major,4,1XGmzt0PVuFgQYYnV2It7A,USUM71203347
10,"Monster","Imagine Dragons",180,5B,77,2022-12-18,04:10,57,"","Smoke + Mirrors (Deluxe)",2015-10-23,48,21,0,41,0,10,-5,D#/E♭ Major,4,4uyDe8SeM0Nsgzp9KMtXWn,USUM71311709
