#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Superman","Eminem,Dina Rae",130,9A,76,2022-08-14,05:50,84,"rap, hip hop, ","The Eminem Show",2002-05-26,80,2,0,58,0,30,-3,E Minor,4,4woTEX1wYOTGDqNXuavlRC,USIR10211062
2,"First Love/Late Spring","Mitski",100,8B,54,2022-08-14,04:38,77,"","Bury Me At Makeout Creek",2014-11-11,45,0,1,10,0,20,-8,C Major,4,3sslYZcFKtUvIEWN9lADgr,USA2B1511604
3,"Phonky Town","PlayaPhonk",125,3B,82,2022-08-14,02:21,63,"phonk, drift phonk","Phonky Town",2021-03-16,81,36,83,34,30,10,-5,C♯/D♭ Major,4,5mnpMkzp3Z2RCCbwIEZCbv,QZDA82146449
4,"Custer","Slipknot",131,9B,98,2022-08-14,04:14,76,"nu metal, metal, alternative metal, rap metal, heavy metal",".5: The Gray Chapter (Special Edition)",2014-10-15,41,0,0,54,10,10,-2,G Major,4,3GiJq4AQK7324mfIQbpiTf,NLA321400448
5,"Pumped Up Kicks","Foster The People",128,4A,71,2022-08-14,03:59,87,"","Torches",2011-05-23,73,14,12,97,0,10,-6,F Minor,4,7w87IxuO7BDcJ3YUqCyMTT,USSM11002931
6,"Headshot","Remstage Music",90,4B,75,2022-08-14,04:40,4,"djent, industrial metal","Industrial Metal",2020-05-10,40,0,85,7,0,30,-11,G#/A♭ Major,4,01YkbpQle9bWuBbGBtTzSE,QZES72071652
7,"ON","BTS",106,8A,82,2022-08-14,04:06,75,"k-pop","MAP OF THE SOUL : 7",2020-02-21,58,12,0,44,10,30,-5,A Minor,4,0fZRNhPJ4AGmwY7rkpdbqK,QM4TX2001949
8,"Oh Ana","Mother Mother",128,7B,53,2022-08-14,03:17,0,"","Touch Up",2007-05-08,51,67,0,34,0,10,-7,F Major,4,45i70K1PefHafKui2WxH0M,CAL450793904
9,"Save Your Tears","The Weeknd",118,8B,83,2022-08-14,03:35,87,"","After Hours",2020-03-20,68,2,0,64,0,50,-5,C Major,4,5QO79kh1waicV47BqGRL3g,USUG12000658
10,"Therefore I Am","Billie Eilish",94,10B,37,2022-08-14,02:53,73,"","Happier Than Ever",2021-07-30,88,23,14,66,0,0,-8,D Major,4,20R4HfKloPKgXDqU7UKk3x,USUM72021500
11,"SOLO","JENNIE",95,2A,64,2022-08-14,02:49,69,"k-pop","SOLO",2018-11-12,75,9,0,39,0,10,-5,D#/E♭ Minor,4,1R0hxCA5R7z5TiaXBZR7Mf,KRA401800139
12,"Feel Good Inc.","Gorillaz,De La Soul",139,2B,71,2022-08-14,03:42,91,"jazz rap, east coast hip hop","Demon Days",2005-05-23,82,1,0,77,10,60,-7,F#/G♭ Major,4,0d28khcov6AiegSCpG5TuT,GBAYE0500172
13,"Detention","Melanie Martinez",95,2A,66,2022-08-14,03:56,63,"","K-12",2019-09-06,83,49,0,78,0,10,-6,D#/E♭ Minor,4,7i9AEaOWJrfVBsinUSefma,USAT21902534
14,"bellyache","Billie Eilish",100,9A,57,2022-08-14,02:59,79,"","Bellyache",2017-02-24,70,46,7,41,10,40,-9,E Minor,4,51NFxnQvaosfDDutk0tams,USUM71615103
15,"People I Don't Like","UPSAHL",90,10A,57,2022-08-14,02:22,63,"","People I Don't Like",2020-07-17,75,27,0,55,30,30,-7,B Minor,4,5srKMwXoeyrRnyTnNbpgIW,USQX92003333
