#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Oh my god","i-dle",110,9A,76,2022-11-19,03:15,64,"k-pop","I trust",2020-04-06,79,4,0,48,0,10,-4,E Minor,4,2DmRXiyn03tOqKgEJXlaiJ,KRA392000022
2,"Criminal","TAEMIN",116,10B,87,2022-11-19,03:31,59,"k-pop","Never Gonna Dance Again : Act 1 - The 3rd Album",2020-09-07,65,3,0,16,0,0,-3,D Major,4,2KXEE2MsPZLmT38XiyAOpH,KRA302000468
3,"I LOVE YOU","2NE1",125,5A,84,2022-11-19,03:57,51,"k-pop","I Love You",2012-07-05,71,2,0,56,0,50,-4,C Minor,4,193m2rJhVvkjr9c8acLoxZ,KRA341204800
4,"Growl","EXO",90,10A,81,2022-11-19,03:27,70,"k-pop","The 1st Album 'XOXO' (Repackage)",2013-08-05,68,14,0,88,0,50,-3,B Minor,4,4pi0Elz7B7cLfw37J3bYm9,KRA301300166
5,"I'm in Trouble","NU'EST",100,1B,63,2022-11-19,03:04,30,"k-pop","The Nocturne",2020-05-11,83,15,0,73,0,0,-5,B Major,4,2Holdh01TKUWI2HN3t3fLV,KRA492000563
6,"TAIL","SUNMI",125,11B,86,2022-11-19,03:10,0,"k-pop","TAIL",2021-02-23,52,4,0,43,10,0,-3,A Major,4,7muTXW7kGytN3zdomku6FV,KRMIM2105074
7,"ON","BTS",106,8A,82,2022-11-19,04:06,75,"k-pop","MAP OF THE SOUL : 7",2020-02-21,58,12,0,44,10,30,-5,A Minor,4,0fZRNhPJ4AGmwY7rkpdbqK,QM4TX2001949
8,"THANXX","ATEEZ",165,9A,96,2022-11-19,03:01,57,"k-pop, noise music","ZERO : FEVER Part.1",2020-07-29,60,4,0,65,10,20,-2,E Minor,4,0YXpDiXEQlRmVSAFcub7sE,KRD442000010
9,"HWAA","i-dle",95,11A,87,2022-11-19,03:17,61,"k-pop","I burn",2021-01-11,38,5,0,23,0,0,-3,F#/G♭ Minor,4,5FiXhM80sP4yg6tEnHkZZn,KRA392000074
10,"HWAA","i-dle",95,11A,87,2022-11-19,03:17,61,"k-pop","I burn",2021-01-11,38,5,0,23,0,0,-3,F#/G♭ Minor,4,5FiXhM80sP4yg6tEnHkZZn,KRA392000074
11,"Spider","HOSHI",98,11A,70,2022-11-19,03:31,57,"k-pop","Spider",2021-04-02,75,3,0,69,10,0,-6,F#/G♭ Minor,4,2TwB7aK39tnZBQjBPgcbCj,USA2P2108292
12,"Who Are You (Feat. SEULGI of Red Velvet)","BamBam,SEULGI",100,7B,71,2022-11-19,02:59,46,"k-pop, t-pop, thai pop, thai hip hop","Who Are You",2021-12-28,73,20,0,53,10,10,-5,F Major,4,1IjWbIMe1uXqp9tDfC3QLL,KRMIM2180784
13,"Overdose","EXO-K",112,4A,92,2022-11-19,03:25,64,"k-pop","Overdose - The 2nd Mini Album",2014-08-06,50,6,0,65,10,30,-2,F Minor,5,5NSPsOGVNWYOMeeyZPF7HY,KRA301300505
14,"WHISTLE","BLACKPINK",103,1B,72,2022-11-19,03:31,73,"k-pop","SQUARE ONE",2016-08-08,82,1,0,61,10,0,-5,B Major,4,6NEoeBLQbOMw92qMeLfI40,KRA401600168
15,"No Blueberries","DPR IAN,DPR LIVE,CL",148,9A,63,2022-11-19,03:05,47,"k-rap, k-pop","No Blueberries",2020-12-17,72,53,0,91,0,20,-6,E Minor,4,0sGuE1QPupKA3D0LyZbTaN,QMFMF2000505
16,"If You Do","GOT7",130,4B,89,2022-11-19,03:30,0,"k-pop","MAD",2015-09-29,69,6,0,76,0,20,-2,G#/A♭ Major,4,5ypObuDXm2XT7ipEE5yZMr,US5TA1500082
17,"ICY","ITZY",125,10B,90,2022-11-19,03:11,61,"k-pop","IT'z ICY",2019-07-29,80,3,0,81,0,10,-3,D Major,4,2vdkN2NSQ5mxqNGg7sJUxs,US5TA1900067
18,"DAWNDIDIDAWN (Feat. Jessi)","DAWN 던,Jessi",110,3A,68,2022-11-19,03:12,43,"k-pop, k-rap","DAWNDIDIDAWN",2020-10-09,95,2,0,51,0,0,-3,A#/B♭ Minor,4,5dTiRTVRwax2zB4VhCIemz,KRMIM2027044
19,"My oh My","Girls' Generation",125,10B,87,2022-11-19,03:10,36,"k-pop","THE BEST",2014-07-22,80,22,15,97,0,10,-2,D Major,4,7zm0RoN4OtGFaX5MVES6QS,JPPO01352142
20,"LOVE ME RIGHT","EXO",110,8B,83,2022-11-19,03:25,64,"k-pop","LOVE ME RIGHT - The 2nd Album Repackage",2015-06-03,63,0,0,76,0,10,-2,C Major,4,1kFevEv3s7Gf6o5xSDR5DL,KRA301500281
21,"Last Dance","i-dle",116,10B,84,2022-11-19,03:04,0,"k-pop","Last Dance",2021-04-29,81,2,0,36,0,30,-4,D Major,4,1fxKKzZ6YmnrYmD7fCrBo9,KRA252100559
22,"Chained Up","VIXX",92,8A,94,2022-11-19,03:12,49,"k-pop","Chained Up",2015-11-10,73,10,0,92,10,30,-2,A Minor,4,2JcQ5i13wsNdyyXs8Sqab0,KRA771500017
23,"byredO","OnlyOneOf",160,7A,72,2022-11-19,03:42,31,"k-pop","Instinct, Pt. 1",2021-04-08,54,6,0,50,20,10,-7,D Minor,4,0MKaYAce0M8ouwSTVw2JB7,KRMIM2116755
24,"Ice Queen","BAEKHYUN",105,10A,80,2022-11-19,03:35,43,"k-pop","City Lights - The 1st Mini Album",2019-07-10,64,33,0,51,0,20,-3,B Minor,4,6z4suYXf384HJU1bK8PhOZ,KRA301900279
25,"Rosy (고원, Olivia Hye)","LOONA",122,3A,70,2022-11-19,03:14,35,"k-pop","Olivia Hye",2018-03-30,83,25,0,79,0,0,-5,A#/B♭ Minor,4,6cfacimNXWogsp6DtJflyL,KRE081800004
26,"Bewitched","PIXY",110,3B,91,2022-11-19,03:25,35,"k-pop","Fairyforest : Temptation",2021-10-07,71,4,0,44,10,10,-3,C♯/D♭ Major,4,3iCW396ZgMwoAzi1uglI9r,KRB472101872
27,"GO","NCT,NCT DREAM",132,1A,93,2022-11-19,03:27,53,"k-pop, noise music","NCT 2018 EMPATHY",2018-03-14,76,31,0,67,20,0,-4,G#/A♭ Minor,4,741wqAxJIPwjHWLjyG2so6,KRA301800102
28,"N/S","Stray Kids",130,9A,66,2022-11-19,03:44,55,"k-pop, noise music","SKZ2021",2021-12-23,81,0,0,37,0,10,-5,E Minor,4,4awANMW1SGfKtN5283lWjN,US5TA2100131
29,"1, 3, 2 (JEONGYEON, MINA, TZUYU)","TWICE",89,5A,88,2022-11-19,03:18,50,"k-pop","Formula of Love: O+T=<3",2021-11-12,66,8,0,71,0,20,-3,C Minor,4,6bS9w12VuyaqkbNKnw5zZE,US5TA2100110
30,"Don't Call Me","SHINee",82,10B,78,2022-11-19,03:40,56,"k-pop","Don't Call Me - The 7th Album",2021-02-22,69,1,0,31,0,10,-2,D Major,4,462OPOKW0VMbvW9H7HIb0U,KRA302100030
31,"No Big Deal","ALICE",110,4A,84,2022-11-19,03:27,21,"k-pop","JACKPOT",2020-02-26,77,4,0,84,0,30,-4,F Minor,4,7BgaVdEPtj0PWcBi2Kv0pL,KRA382000412
32,"Burn (Song by MIYA, SEORYOUNG, ANNE, LENA)","GWSN",136,1B,77,2022-11-19,02:28,14,"k-pop","THE OTHER SIDE OF THE MOON",2021-05-26,67,29,0,46,0,0,-4,B Major,4,7IOIWOCCFAZhO4Eb8tefff,KRB462100605
33,"OK!","NCT U",141,3A,78,2022-11-19,03:49,50,"k-pop, noise music","Universe - The 3rd Album",2021-12-14,75,3,0,73,10,10,-3,A#/B♭ Minor,4,58mfBDcqsmFuP4ywJ5AuWx,KRA302100383
34,"SWIPE","ITZY",96,3B,76,2022-11-19,02:57,53,"k-pop","CRAZY IN LOVE",2021-09-24,78,0,0,67,0,10,-4,C♯/D♭ Major,4,5o0urLKhjQLIFMoJH5SSrY,US5TA2100052
35,"Hard to Love","BLACKPINK",105,7B,77,2022-11-19,02:42,63,"k-pop","BORN PINK",2022-09-16,65,1,0,46,0,10,-5,F Major,4,3MJhPqL2IgGs7gHEB2M35q,KRA402200024
36,"Question","Stray Kids",98,9A,81,2022-11-19,03:04,54,"k-pop, noise music","SKZ2020",2020-03-18,77,2,0,53,0,0,-4,E Minor,4,2vfgmmnUDkZNs75AJm7lev,US5TA1800059
37,"Irony","Wonder Girls",108,4A,63,2022-11-19,04:03,0,"k-pop","The Wonder Years",2007-09-12,92,31,0,91,0,0,-4,F Minor,4,7I5pmxYnLAnYcHK2jqQyEZ,KRA330700017
38,"Irony","Wonder Girls",108,4A,63,2022-11-19,04:03,0,"k-pop","The Wonder Years",2007-09-12,92,31,0,91,0,0,-4,F Minor,4,7I5pmxYnLAnYcHK2jqQyEZ,KRA330700017
39,"MORE","j-hope",97,10B,72,2022-11-19,03:00,58,"k-pop, k-rap","MORE",2022-07-01,78,1,0,31,0,10,-5,D Major,4,4XKXphKH76W4zNpkgFS5o2,USA2P2229477
40,"Mixed Up","ENHYPEN",157,1A,90,2022-11-19,03:03,60,"k-pop","BORDER : CARNIVAL",2021-04-26,62,5,0,77,20,20,-4,G#/A♭ Minor,4,6S0By3u06ttb3kU2XEtWnw,USA2P2108333
41,"Betcha","BAEKHYUN",102,11B,71,2022-11-19,03:21,51,"k-pop","City Lights - The 1st Mini Album",2019-07-10,68,14,0,53,0,20,-4,A Major,4,1YhC9zXqhm1zsFpcf7vTPN,KRA301900278
42,"PARANOIA","KANGDANIEL",97,5A,74,2022-11-19,03:15,49,"k-pop","PARANOIA",2021-02-16,63,5,0,56,0,20,-3,C Minor,4,1Q6lzzQHM5dvtTCwcfeKDy,KRB462100152
43,"Hands Up","Cherry Bullet",90,4A,91,2022-11-19,03:32,42,"k-pop","Hands Up",2020-02-11,74,16,0,71,0,10,-2,F Minor,4,6KxACudfT4vVXnDUkjU6lN,KRA382000213
44,"LOVE is","ITZY",154,1B,84,2022-11-19,03:27,44,"k-pop","CRAZY IN LOVE",2021-09-24,71,5,0,64,10,0,-3,B Major,4,3ppdTc5q8S2Mn8FpD97CTQ,US5TA2100057
45,"Arcade","NCT DREAM",170,3B,68,2022-11-19,03:27,47,"k-pop, noise music","Glitch Mode - The 2nd Album",2022-03-28,61,4,0,56,10,20,-3,C♯/D♭ Major,4,4T9hw59r85ZkesNoYWQIJg,KRA302200047
46,"Love To Hate Me","BLACKPINK",162,4B,64,2022-11-19,02:51,65,"k-pop","THE ALBUM",2020-10-02,69,3,0,60,10,0,-5,G#/A♭ Major,4,7iKDsPfLT0d5mu2htfMKBZ,KRA402000138
47,"BEWARE","Stray Kids",98,3B,95,2022-11-19,03:10,51,"k-pop, noise music","SKZ2020",2020-03-18,68,4,0,39,20,30,-3,C♯/D♭ Major,4,4xvA5uuQrpdGXoO2Mv72Kb,US5TA1800001
48,"Sweet Chaos","DAY6",200,10A,94,2022-11-19,03:47,0,"k-rock, k-pop","The Book of Us : Entropy",2019-10-22,34,1,0,53,0,50,-2,B Minor,4,499qjESUqiZjlNI7XQhyLp,US5TA1900083
49,"Electric Kiss","EXO",102,3A,96,2022-11-19,03:27,50,"k-pop","COUNTDOWN",2018-01-31,68,0,0,69,0,70,-4,A#/B♭ Minor,4,4W0wSLXqn0L3XneeBC344O,JPB601800192
50,"HELLO (NAYEON, MOMO, CHAEYOUNG)","TWICE",170,5A,64,2022-11-19,03:03,51,"k-pop","Formula of Love: O+T=<3",2021-11-12,81,4,0,54,10,0,-4,C Minor,4,1bXM8imxd31qCecbHgSk9E,US5TA2100109
