#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"First Love/Late Spring","Mitski",100,8B,54,2022-06-07,04:38,77,"","Bury Me At Makeout Creek",2014-11-11,45,0,1,10,0,20,-8,C Major,4,3sslYZcFKtUvIEWN9lADgr,USA2B1511604
2,"bad guy","Billie Eilish",135,9B,43,2022-06-07,03:14,83,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,70,33,13,56,30,10,-11,G Major,4,2Fxmhks0bxGSBdJ92vM42m,USUM71900764
3,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons,JID,Arcane,League of Legends",77,10A,78,2022-06-07,02:53,76,"score, ","Enemy (with JID) [from the series Arcane League of Legends]",2021-10-28,73,24,0,56,20,40,-4,B Minor,4,1r9xUipOqoNwggBpENDsvJ,USUM72119916
4,"Pumped Up Kicks","Foster The People",128,4A,71,2022-06-07,03:59,87,"","Torches",2011-05-23,73,14,12,97,0,10,-6,F Minor,4,7w87IxuO7BDcJ3YUqCyMTT,USSM11002931
5,"Save Your Tears","The Weeknd",118,8B,83,2022-06-07,03:35,87,"","After Hours",2020-03-20,68,2,0,64,0,50,-5,C Major,4,5QO79kh1waicV47BqGRL3g,USUG12000658
6,"idfc","blackbear",145,9A,42,2022-06-07,03:27,70,"","dead",2015-06-02,72,8,0,46,0,10,-9,E Minor,4,3SErMoIKdRELto2OspGs5L,USLD90811103
7,"Therefore I Am","Billie Eilish",94,10B,37,2022-06-07,02:53,73,"","Happier Than Ever",2021-07-30,88,23,14,66,0,0,-8,D Major,4,20R4HfKloPKgXDqU7UKk3x,USUM72021500
8,"Feel Good Inc.","Gorillaz,De La Soul",139,2B,71,2022-06-07,03:42,91,"jazz rap, east coast hip hop","Demon Days",2005-05-23,82,1,0,77,10,60,-7,F#/G♭ Major,4,0d28khcov6AiegSCpG5TuT,GBAYE0500172
9,"Stay Soft","Mitski",105,9B,68,2022-06-07,03:16,56,"","Laurel Hell",2022-02-04,60,4,0,55,0,10,-9,G Major,4,07zVQBJfbOuaAhpT3stRFL,USJ5G2125003
10,"うっせぇわ","Ado",178,10A,98,2022-06-07,03:24,66,"j-pop, anime, vocaloid, j-rock","うっせぇわ",2020-10-23,53,0,0,58,0,0,-1,B Minor,4,6EzZn96uOc9JsVGNRpx06n,JPPO02002791
11,"ICY","ITZY",125,10B,90,2022-06-07,03:11,61,"k-pop","IT'z ICY",2019-07-29,80,3,0,81,0,10,-3,D Major,4,2vdkN2NSQ5mxqNGg7sJUxs,US5TA1900067
12,"...Ready For It?","Taylor Swift",160,10B,76,2022-06-07,03:28,79,"","reputation",2017-11-10,61,5,0,42,10,20,-7,D Major,4,2yLa0QULdQr0qAIvVwN6B5,USCJY1750003
13,"You Get Me So High","The Neighbourhood",88,6A,88,2022-06-07,02:33,82,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,55,19,8,39,0,10,-6,G Minor,4,7zwn1eykZtZ5LODrf7c0tS,USSM11707131
14,"Wheels on the Bus","Melanie Martinez",96,9B,62,2022-06-07,03:40,63,"","K-12",2019-09-06,71,59,0,56,0,40,-6,G Major,4,2plUcsOZm6pi1kFUncqLni,USAT21902525
15,"Sippy Cup","Melanie Martinez",135,7B,65,2022-06-07,03:15,74,"","Cry Baby (Deluxe Edition)",2015-08-14,72,49,0,73,10,20,-9,F Major,4,2e4jB31WcGsxKL1ByqdZCq,USAT21501779
16,"Heathens","Twenty One Pilots",90,9A,40,2022-06-07,03:15,84,"","Heathens",2016-06-16,73,8,0,55,0,10,-9,E Minor,4,6i0V12jOa3mr6uu4WYhUBr,USAT21601930
17,"Paint It, Black","The Rolling Stones",159,3B,80,2022-06-07,03:22,85,"classic rock, rock","Aftermath",1966-04-15,46,5,0,61,0,40,-9,C♯/D♭ Major,4,63T7DJ1AFDD6Bn8VzG6JE8,USA176610020
18,"Detention","Melanie Martinez",95,2A,66,2022-06-07,03:56,63,"","K-12",2019-09-06,83,49,0,78,0,10,-6,D#/E♭ Minor,4,7i9AEaOWJrfVBsinUSefma,USAT21902534
19,"The Only Heartbreaker","Mitski",151,1B,75,2022-06-07,03:04,55,"","Laurel Hell",2022-02-04,49,0,1,59,0,10,-7,B Major,4,4VYNZbmI3ixv9mlTTd9NKc,USJ5G2125006
20,"It’s Nice To Have A Friend","Taylor Swift",70,6B,18,2022-06-07,02:30,63,"","Lover",2019-08-23,74,97,0,55,0,10,-10,A#/B♭ Major,4,1SmiQ65iSAbPto6gPFlBYm,USUG11901485
21,"Black Out Days","Phantogram",92,9A,80,2022-06-07,03:47,75,"","Voices",2014-02-18,54,1,2,43,0,0,-4,E Minor,4,2IWtloZYQDcP8Ashwx8QEF,USUM71312035
22,"bellyache","Billie Eilish",100,9A,57,2022-06-07,02:59,79,"","Bellyache",2017-02-24,70,46,7,41,10,40,-9,E Minor,4,51NFxnQvaosfDDutk0tams,USUM71615103
23,"HELLO (NAYEON, MOMO, CHAEYOUNG)","TWICE",170,5A,64,2022-06-07,03:03,51,"k-pop","Formula of Love: O+T=<3",2021-11-12,81,4,0,54,10,0,-4,C Minor,4,1bXM8imxd31qCecbHgSk9E,US5TA2100109
24,"Love To Hate Me","BLACKPINK",162,4B,64,2022-06-07,02:51,65,"k-pop","THE ALBUM",2020-10-02,69,3,0,60,10,0,-5,G#/A♭ Major,4,7iKDsPfLT0d5mu2htfMKBZ,KRA402000138
25,"ON","BTS",106,8A,82,2022-06-07,04:06,75,"k-pop","MAP OF THE SOUL : 7",2020-02-21,58,12,0,44,10,30,-5,A Minor,4,0fZRNhPJ4AGmwY7rkpdbqK,QM4TX2001949
26,"Oh my god","i-dle",110,9A,76,2022-06-07,03:15,64,"k-pop","I trust",2020-04-06,79,4,0,48,0,10,-4,E Minor,4,2DmRXiyn03tOqKgEJXlaiJ,KRA392000022
27,"Back In Black","AC/DC",188,11B,70,2022-06-07,04:16,87,"rock, hard rock, classic rock, rock and roll","Back In Black",1980-07-25,31,1,1,76,0,0,-6,A Major,4,08mG3Y1vljYA6bvDt4Wqkj,AUAP08000046
28,"WHISTLE","BLACKPINK",103,1B,72,2022-06-07,03:31,73,"k-pop","SQUARE ONE",2016-08-08,82,1,0,61,10,0,-5,B Major,4,6NEoeBLQbOMw92qMeLfI40,KRA401600168
29,"Freak","Lana Del Rey",94,4A,43,2022-06-07,04:55,70,"","Honeymoon",2015-09-18,29,27,0,11,0,30,-10,F Minor,4,3sYDVtqO35oRSOIMx7dOqR,GBUM71503929
30,"Break Stuff","Limp Bizkit",109,4B,88,2022-06-07,02:46,86,"nu metal, rap metal, alternative metal, rap rock","Significant Other",1999-00-00,43,1,0,62,10,10,-7,G#/A♭ Major,4,5cZqsjVs6MevCnAkasbEOX,USIR19902309
31,"Don't Tell Me","Avril Lavigne",144,12B,80,2022-06-07,03:22,63,"","Under My Skin",2004-00-00,52,0,0,48,0,30,-3,E Major,4,0dEQaNYfp5G7Sflek2Qnde,USAR10400119
32,"SIU","Maretu",120,1B,91,2022-06-07,04:38,66,"vocaloid","SIU",2019-11-25,68,6,0,66,0,0,-3,B Major,4,22tot0Y6uKuWdAZnEQyB6g,TCJPK1903026
33,"Leave Me Alone","I DONT KNOW HOW BUT THEY FOUND ME",104,8B,89,2022-06-07,03:35,57,"","RAZZMATAZZ",2020-10-23,54,0,0,57,0,30,-3,C Major,4,1cIi1x8ANjMO97wH5OfYO1,US5262023738
34,"my strange addiction","Billie Eilish",100,1A,31,2022-06-07,02:59,76,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,94,35,0,56,30,10,-11,G#/A♭ Minor,4,3Tc57t9l2O8FwQZtQOvPXK,USUM71900769
35,"Rock N Roll","Avril Lavigne",184,5A,96,2022-06-07,03:26,59,"","Avril Lavigne (Expanded Edition)",2013-11-01,47,1,0,67,10,30,-3,C Minor,4,471JGLzHPrgM4lS9mNOEIt,USSM11304458
36,"She's My Collar (feat. Kali Uchis)","Gorillaz,Kali Uchis",140,1B,82,2022-06-07,03:29,80,"","Humanz (Deluxe)",2017-04-28,73,1,8,46,0,10,-6,B Major,4,3lIxtCaROdRDuTnNBDm3n2,GBAYE1700176
37,"OHMAMI","Chase Atlantic",126,3A,72,2022-06-07,03:46,64,"","OHMAMI",2021-06-25,63,5,0,40,10,20,-6,A#/B♭ Minor,4,2zVaxB54fNngkbWs5uZnla,US5262124147
38,"Another One Bites The Dust","Queen",110,4A,53,2022-06-07,03:34,62,"classic rock, rock, glam rock","Bohemian Rhapsody (The Original Soundtrack)",2018-10-19,93,10,26,75,10,10,-6,F Minor,4,2k1yPYf9WGA4LiqcLVwtzn,GBUM71029605
39,"I Didn't Change My Number","Billie Eilish",142,11B,48,2022-06-07,02:38,73,"","Happier Than Ever",2021-07-30,85,61,27,68,20,30,-6,A Major,4,7bcy34fBT2ap1L4bfPsl9q,USUM72105926
40,"Así Soy Yo","El Cuarteto De Nos",150,9A,69,2022-06-07,03:45,6,"cuarteto, argentine rock, latin rock, rock en español","Raro",2006-04-12,56,3,0,75,0,0,-6,E Minor,4,5gQ1pzVyvuA11EVxMX5yYE,UYB141602503
41,"Enter Sandman","Metallica",123,11A,83,2022-06-07,05:31,18,"metal, thrash metal, rock, heavy metal, hard rock","Metallica",1991-08-12,58,0,1,60,0,0,-9,F#/G♭ Minor,4,5sICkBXVmaCQk5aISGR3x1,GBF089190013
