#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Mascara","Deftones",78,4A,45,2024-01-08,03:45,77,"nu metal, alternative metal, rap metal, rock, shoegaze","Around the Fur",1997-10-27,47,0,6,5,0,0,-7,F Minor,4,4cLdpErILMO8Db8pQVAVcZ,USMV29700144
2,"Twilight","bôa",187,10A,83,2024-01-08,03:48,73,"","Twilight",2001-03-21,39,16,0,38,10,10,-8,B Minor,4,6d67Xv8ms2noA8wWFLiPDN,USCGJ0659338
3,"Sextape","Deftones",90,7B,63,2024-01-08,04:01,82,"nu metal, alternative metal, rap metal, rock, shoegaze","Diamond Eyes",2010-04-30,37,0,8,10,0,10,-6,F Major,4,1EryAkZ0VHstC6haIxVBiE,USRE11000115
4,"When the Sun Hits","Slowdive",94,10B,53,2024-01-08,04:45,79,"shoegaze, dream pop, slowcore","Souvlaki",1993-00-00,33,0,71,22,0,10,-12,D Major,4,0oxYB9GoOIDrdzniNdKC44,GBBQY0400041
5,"Cherry Waves","Deftones",124,10B,86,2024-01-08,05:17,80,"nu metal, alternative metal, rap metal, rock, shoegaze","Saturday Night Wrist",2006-10-25,47,0,1,17,0,10,-4,D Major,4,70L6nHORQsblY813yNqUR3,USMV20600284
6,"Just","Radiohead",176,6A,77,2024-01-08,03:54,76,"art rock, alternative rock","The Bends",1995-03-13,29,0,1,36,0,0,-7,G Minor,4,1dyTcli07c77mtQK3ahUZR,GBAYE9400060
7,"My Own Summer (Shove It)","Deftones",72,3B,78,2024-01-08,03:34,84,"nu metal, alternative metal, rap metal, rock, shoegaze","Around the Fur",1997-10-27,44,0,21,37,0,10,-4,C♯/D♭ Major,4,1158ckiB5S4cpsdYHDB9IF,USMV29700142
8,"7 Words","Deftones",125,11B,91,2024-01-08,03:43,72,"nu metal, alternative metal, rap metal, rock, shoegaze","Adrenaline",1995-00-00,43,0,0,53,0,10,-6,A Major,4,6DoXuH326aAYEN8CnlLmhP,USMV20000029
9,"Change (In the House of Flies)","Deftones",142,6A,85,2024-01-08,04:59,83,"nu metal, alternative metal, rap metal, rock, shoegaze","White Pony",2000-00-00,27,0,0,18,0,10,-5,G Minor,4,51c94ac31swyDQj9B3Lzs3,USMV20000039
10,"Your face","Wisp",134,12B,76,2024-01-08,03:47,1,"shoegaze","Your face",2023-04-04,55,1,83,33,0,10,-7,E Major,4,7ne2hzW4jaU5tacaCI4kJH,QZHN72394654
11,"All I Wanted","Paramore",144,11A,72,2024-01-08,03:45,26,"pop punk, emo","heartbreak feels good in a place like this",2023-02-24,49,2,3,15,0,10,-5,F#/G♭ Minor,4,0Jm6K8UZq0UsPszKoZ9BYC,USAT20902328
12,"Still into You","Paramore",136,7B,92,2024-01-08,03:36,84,"pop punk, emo","Paramore",2013-04-05,60,1,0,77,0,0,-4,F Major,4,1yjY7rpaAQvKwpdUliHx0d,USAT21300012
13,"Hard Times","Paramore",120,4A,82,2024-01-08,03:02,82,"pop punk, emo","After Laughter",2017-05-12,70,1,0,92,0,0,-5,F Minor,4,0w5Bdu51Ka25Pf3hojsKHh,USAT21700948
