#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"FEVER","ENHYPEN",73,11A,71,2025-06-25,02:52,76,"k-pop","BORDER : CARNIVAL",2021-04-26,60,6,0,47,0,10,-5,F#/G♭ Minor,4,0UzymivvUH5s8z4PeWZJaK,USA2P2108331
2,"Love Shot","EXO",146,4A,68,2025-06-25,03:20,75,"k-pop","LOVE SHOT– The 5th Album Repackage",2018-12-13,69,7,0,34,10,0,-4,F Minor,4,0yB4jrSwN0bFtFRDR5vyMj,KRA301800573
3,"Love War (Feat. BE′O)","YENA,BE'O",100,4A,82,2025-06-25,03:08,54,"k-pop, k-rap","Love War",2023-01-16,65,40,0,65,10,10,-4,F Minor,4,1UjN1QVbHnzJiqjkqzWmZK,KRMIM2301542
4,"21","DEAN",110,11A,73,2025-06-25,03:27,59,"k-rap, k-pop","130 Mood : TRBL",2016-03-25,69,18,0,58,10,30,-6,F#/G♭ Minor,4,2jiI8bNSDu7UxTtDCOqh3L,KRUM71600037
5,"And July","Heize,DEAN,dj friz",99,10B,85,2025-06-25,03:46,59,"k-ballad, k-pop, k-rap","And July",2016-07-18,73,4,0,79,0,20,-4,D Major,4,0Yz3F0UGDibDe8uU69zmjn,KRA491600449
6,"SIGN","izna",125,6A,67,2025-06-25,02:46,54,"k-pop","SIGN",2025-03-31,70,17,0,39,0,0,-5,G Minor,4,3yoNPRG7fYlOu7Mgwoc6WQ,KRA492500184
7,"LAST DANCE - KR Ver.","BIGBANG",144,12A,67,2025-06-25,04:39,46,"k-pop","MADE (KR EDITION)",2016-12-13,61,46,0,27,0,20,-3,C♯/D♭ Minor,4,2AK8ykSbnsmsfBKGYl2joX,KRA401600294
8,"Boy in Luv","BTS",166,8B,95,2025-06-25,03:50,73,"k-pop","Skool Luv Affair",2014-02-12,49,0,0,47,30,30,-2,C Major,4,3FnDv33WrrMtuEr7hNR3ev,KRA341404052
9,"tempo","kyu",75,3A,62,2025-06-25,02:34,40,"","tempo",2025-03-26,70,25,0,89,10,10,-8,A#/B♭ Minor,4,6IHIDmm5WQEtyZHtchdlrP,QZVEM2526408
10,"I’ll See You There Tomorrow","TOMORROW X TOGETHER",121,12B,83,2025-06-25,03:16,71,"k-pop","minisode 3: TOMORROW",2024-04-01,75,15,0,65,0,20,-5,E Major,4,0bMWoFtQIrnW5YyNMc4aKQ,USA2P2408079
11,"Wait On Me","KAI",97,3A,87,2025-06-25,03:13,62,"k-pop","Wait On Me - The 4th Mini Album",2025-04-21,71,3,2,36,0,30,-6,A#/B♭ Minor,4,2BoGqSfsf9z5T1exqHtW54,KRA302500148
12,"History","EXO-K",111,3B,81,2025-06-25,03:29,56,"k-pop","Mama - The 1st Mini Album",2012-04-09,75,0,0,60,0,0,-3,C♯/D♭ Major,4,3AmxvnqctdvnJnyNPaHTbv,KRA341203121
13,"Thunder","EXO-K",98,10A,77,2025-06-25,03:11,52,"k-pop","Overdose - The 2nd Mini Album",2014-08-06,72,34,0,77,0,20,-3,B Minor,4,23dl021k6ZO3afFgS6TLr7,KRA301300507
