#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"はじめまして","TWS",113,10B,85,2025-10-02,02:27,62,"k-pop","はじめまして",2025-06-29,74,17,0,67,0,10,-4,D Major,4,0o7bRi57o5jUchsIEqsnQJ,JPZ672500020
2,"READY 2 RUMBLE","ALL(H)OURS",95,10B,91,2025-10-02,02:54,44,"noise music, k-pop, t-pop, k-rock","VCF",2025-09-09,63,1,0,70,0,10,-3,D Major,4,1Vj1oP3Z1PJXsU2HpgEPvO,KRA382505501
3,"Countdown!","TWS",117,4A,79,2025-10-02,02:30,66,"k-pop","TWS 3rd Mini Album 'TRY WITH US'",2025-04-21,80,6,0,67,0,30,-4,F Minor,4,0ti0CEUPplsI7AZDyexrXy,USA2P2507772
4,"Last Festival","TWS",118,3B,79,2025-10-07,03:11,63,"k-pop","TWS 1st Single 'Last Bell'",2024-11-25,82,5,0,63,0,10,-4,C♯/D♭ Major,4,4eDednnc8XIGpOmRNcho66,USA2P2466281
5,"OVERDRIVE","TWS",104,3B,85,2025-10-13,02:40,74,"k-pop","TWS 4th Mini Album 'play hard'",2025-10-13,81,7,0,67,10,30,-4,C♯/D♭ Major,4,5qAfVxNUxjrELshgTpWxLf,USA2P2543675
6,"希望的観測の定義","GNJB",187,10B,95,2025-10-15,03:47,42,"j-pop","パラノイドランデブー",2025-10-15,54,1,0,79,10,30,-4,D Major,4,4yZrNNeXM7xhLPzQhj1oOH,JPR652500171
7,"BFF","TWS",90,10A,89,2025-10-24,02:46,57,"k-pop","TWS 1st Mini Album 'Sparkling Blue'",2024-01-22,70,9,0,84,10,30,-4,B Minor,4,1ZHt0k1wsoqkRKNR4HwsbO,USA2P2360923
8,"YOU+ME=7942","TWS",180,3B,79,2025-10-24,02:22,51,"k-pop","TWS 2nd Mini Album 'SUMMER BEAT!'",2024-06-24,69,4,0,86,10,10,-5,C♯/D♭ Major,4,5E2aYgi77oSMJ5dGzAbLpc,USA2P2428745
9,"hey! hey!","TWS",92,2A,91,2025-10-24,03:12,61,"k-pop","hey! hey!",2024-06-05,59,12,0,89,10,30,-4,D#/E♭ Minor,4,6vSpm3PAXA1PLyEINx3DJC,USA2P2428743
10,"GO BACK","TWS",102,2B,83,2025-10-29,02:22,56,"k-pop","TWS 3rd Mini Album 'TRY WITH US'",2025-04-21,78,6,0,88,20,30,-4,F#/G♭ Major,4,5JqKlYfihPobNiCs0YLly1,USA2P2507776
11,"WINNER！ゴジュウジャー！","Wienners",190,8A,99,2025-11-07,03:31,45,"j-rock","ナンバーワン戦隊ゴジュウジャー 主題歌",2025-03-19,60,2,0,52,10,30,-1,A Minor,4,1XMNGyamTbJj6Bv3FQBt3I,JPCO02501140
12,"Lemonade Fever","CRAVITY",117,3A,92,2025-11-11,02:39,32,"k-pop, noise music","Dare to Crave:Epilogue",2025-11-10,76,4,0,85,10,10,-3,A#/B♭ Minor,4,1NBJqeN7geJr4734PJponO,QMFMF2546687
13,"Highlight","TWS",95,11A,72,2025-11-12,03:14,53,"k-pop","TWS 1st Single 'Last Bell'",2024-11-25,76,15,0,76,0,10,-3,F#/G♭ Minor,4,3D7yVnj6nuppr1uxV04wZl,USA2P2466280
14,"Soda Pop","Saja Boys,Andrew Choi,Neckwav,Danny Chung,KEVIN WOO,samUIL Lee,KPop Demon Hunters Cast",126,8B,85,2025-11-14,02:30,86,"k-pop","KPop Demon Hunters (Soundtrack from the Netflix Film)",2025-06-20,84,8,0,76,0,0,-4,C Major,4,02sy7FAs8dkDNYsHp4Ul3f,QZ8BZ2513509
15,"Oh Mymy : 7s","TWS",109,10B,57,2025-11-14,03:09,58,"k-pop","Oh Mymy : 7s",2024-01-02,87,7,0,68,0,10,-6,D Major,4,0oasRG0i7nOHdj6sIe6B80,USA2P2360924
16,"HOT BLUE SHOES","TWS",90,3A,85,2025-11-25,02:25,50,"k-pop","TWS 4th Mini Album 'play hard'",2025-10-13,74,1,0,61,10,30,-5,A#/B♭ Minor,4,42bGMSIoitsmsgQ8iA9tGM,USA2P2543676
17,"Do It","Stray Kids",105,10B,92,2025-12-09,02:39,60,"k-pop, noise music","DO IT",2025-11-21,77,14,0,73,0,0,-4,D Major,4,56Fu41EhpsPqqfDZsj3eaN,US5TA2500371
18,"FAMOUS","ALLDAY PROJECT",120,8A,76,2025-12-10,03:00,60,"k-pop","FAMOUS",2025-06-23,78,7,0,49,0,10,-6,A Minor,4,598bDTl82CSTSDnZG0XhGK,KSA002501028
19,"罪と罰","Lienel",152,12A,89,2025-12-15,03:41,27,"","罪と罰",2025-03-02,54,3,0,72,0,20,-5,C♯/D♭ Minor,4,4zVtbZqZow4gKOC4koZF94,JPR652500002
20,"plot twist","TWS",112,7B,71,2025-12-15,02:32,70,"k-pop","TWS 1st Mini Album 'Sparkling Blue'",2024-01-22,81,1,0,73,0,10,-5,F Major,4,0aZG8KWrpRnsGL0loUkfSj,USA2P2360920
21,"WONDERLAND","ATEEZ",130,9A,96,2025-12-26,03:19,6,"k-pop, noise music","TREASURE EP.FIN : All To Action",2019-10-08,57,5,0,52,10,30,-2,E Minor,4,6HJ2EiFgoqgCIp08kpdlBq,KRD441900018
22,"Double Take","TWS",97,10A,54,2025-12-30,02:19,51,"k-pop","TWS 2nd Mini Album 'SUMMER BEAT!'",2024-06-24,74,2,0,55,20,0,-5,B Minor,4,1p7IMZSMTPsKlN7jj8Oq27,USA2P2428747
23,"If I’m S, Can You Be My N?","TWS",118,10A,83,2026-01-11,02:48,66,"k-pop","TWS 2nd Mini Album 'SUMMER BEAT!'",2024-06-24,79,10,0,88,10,30,-3,B Minor,4,2y8vRHEoz15sYDmxyrDePO,USA2P2428746
24,"Freestyle","TWS",109,10B,73,2026-01-18,02:22,51,"k-pop","TWS 3rd Mini Album 'TRY WITH US'",2025-04-21,87,6,0,56,10,20,-6,D Major,4,5F9hdiG5X4BjTYgt2k6jOf,USA2P2507774
25,"Steady","NCT WISH",131,8B,87,2026-01-18,02:59,65,"k-pop","Steady - The 1st Mini Album",2024-09-24,70,2,0,60,0,30,-5,C Major,4,1zJUr9Oo5zEjvJrdlg67jQ,KRA302400318
26,"ECHO! (Prod. WOOZI)","HxW",102,3B,66,2026-01-18,02:33,56,"k-pop","WORLD OF STREET WOMAN FIGHTER(WSWF) Original Vol.2 (Class Mission)",2025-06-10,84,13,0,57,0,0,-5,C♯/D♭ Major,4,2ZmjUVTEA6UjJmqyiRGBBd,KRA492500391
27,"BLOOM (feat. Ayumu Imazu)","TWS,Ayumu Imazu",116,6A,85,2026-01-20,03:29,50,"k-pop, j-pop, j-r&b","BLOOM (feat. Ayumu Imazu)",2025-06-01,79,11,0,81,10,20,-4,G Minor,4,6jBeNTZcQrzvAMr1p9QBDV,JPZ672500021
28,"NOW","GNJB",130,4B,78,2026-01-20,04:26,49,"j-pop","NOW",2026-01-19,66,1,0,72,0,0,-4,G#/A♭ Major,4,4GwMw1iuQv0J0d8Lshz09Y,JPR652500242
29,"BURNING UP","MEOVV",140,8A,80,2026-01-31,02:49,51,"k-pop","BURNING UP",2025-10-14,69,0,0,48,10,30,-5,A Minor,4,0p5xMhVvw441Z10hNWsk5Q,KSA002501951
30,"Nice to see you again (Korean Ver.)","TWS",113,10B,85,2026-02-09,02:26,65,"k-pop","Nice to see you again (Korean Ver.)",2026-02-09,73,17,0,58,0,20,-4,D Major,4,1mX9SZZfCeTbetghcrp8Jr,USA2P2605475
31,"404 (New Era)","KiiiKiii",140,12B,52,2026-02-12,02:59,80,"k-pop","Delulu Pack",2026-01-26,50,66,47,0,0,50,-49,E Major,1,24rDDbSlFY9OHrlJb48CRh,QM4TW2606899
32,"Count To Love","BOYNEXTDOOR",160,3B,77,2026-02-14,02:38,58,"k-pop","BOYLIFE",2025-08-17,70,3,0,89,0,0,-5,C♯/D♭ Major,4,1JcrxF5NysDqpik9nZ1Sa4,JPZ672500037
33,"RUDE!","Hearts2Hearts",128,11A,78,2026-02-20,03:20,68,"k-pop","RUDE!",2026-02-20,78,18,0,48,0,30,-4,F#/G♭ Minor,4,0WA27lZzPKFJKAbiDRmQDc,KRA302600032
34,"STYLE","Hearts2Hearts",127,7B,84,2026-02-20,03:29,78,"k-pop","STYLE",2025-06-18,78,28,0,68,0,10,-3,F Major,4,5EoV2HmAlkqN1XvsIjOBZZ,KRA302500267
35,"So Blue","BUS",153,8B,87,2026-03-01,03:32,54,"t-pop, thai pop","So Blue",2026-01-21,62,4,0,58,20,0,-5,C Major,4,2yWjkStHfK0BYmV1HdexvX,TH2DY2600027
36,"ニヒリズムプリズム","GNJB",150,3B,94,2026-03-09,03:26,54,"j-pop","ニヒリズムプリズム",2026-03-02,57,4,0,58,10,30,-4,C♯/D♭ Major,4,1tq4FHHczdk3metmlrjrkZ,JPR652600010
37,"THAT’S A NO NO","ITZY",120,10B,92,2026-03-20,03:00,63,"k-pop","IT'z ME",2020-03-09,78,2,0,78,0,10,-5,D Major,4,2Zr9Wogx6N95V7meyHYGEj,US5TA2000008
38,"Red Flavor","Red Velvet",125,11B,92,2026-03-27,03:11,66,"k-pop","The Red Summer - Summer Mini Album",2017-07-09,71,4,0,52,10,0,-3,A Major,4,7nKQ5WAcjnG48knyLuo8gO,KRA301700278
39,"疾走","GNJB",172,10A,93,2026-03-29,03:12,44,"j-pop","文藝解体新書",2026-03-11,57,0,0,62,10,10,-4,B Minor,4,6idtrXLVnkpgPUWXD30yrE,JPR652600011
40,"愛無常","GNJB",95,11B,80,2026-03-29,03:43,47,"j-pop","文藝解体新書",2026-03-11,65,14,0,73,0,10,-6,A Major,4,1cKDi4rrpDchhwZirxZ61n,JPR652600012
41,"Silence","GNJB",127,3A,85,2026-03-29,03:21,44,"j-pop","文藝解体新書",2026-03-11,78,6,0,75,0,0,-6,A#/B♭ Minor,4,10XffNZUvZ7qY0B6FqWqho,JPR652600013
42,"Spring rain","UNIS",120,5A,86,2026-04-10,03:00,48,"k-pop","The 2nd Mini Album 'SWICY'",2025-04-15,78,8,0,93,0,0,-4,C Minor,4,3ySVVIb0CUByvMtaJNK9tC,KRA382502469
43,"STUPID - JP Ver.","TREASURE",133,1B,75,2026-04-11,03:00,46,"k-pop","REBOOT (JP SPECIAL SELECTION)",2024-02-21,66,10,0,91,0,20,-5,B Major,4,2aM24VBXkvq7NGPzXJscKa,JPB602400725
44,"新世界 (SHINSEKAI)","PRODUCE 101 JAPAN 新世界",119,2A,91,2026-04-18,04:08,58,"","新世界 (SHINSEKAI)",2026-02-19,55,1,0,70,10,20,-2,D#/E♭ Minor,4,1RKxgExJrU3UM7jM8TcL2G,JPN002600018
45,"Energetic","Wanna One",125,8B,89,2026-04-19,03:09,64,"k-pop","1-1=0 (NOTHING WITHOUT YOU)",2017-11-13,71,6,0,75,0,10,-3,C Major,4,3NkkcnnKrNHv4AiGaPdD76,KRA491700108
46,"Love seeker","JO1",122,10A,90,2026-04-23,02:54,48,"j-pop","Love seeker",2024-05-11,77,3,0,88,0,0,-4,B Minor,4,3tmFGmmYcYdI8tZRSLlc0G,JPN002400121
