#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"There She Goes","The La's",123,9B,76,2022-09-25,02:42,73,"britpop, jangle pop","The La's",1990-00-00,53,1,83,92,0,20,-11,G Major,4,4c6vZqYHFur11FbWATIJ9P,GBAQT8800001
2,"O Children","Nick Cave & The Bad Seeds",122,9A,55,2022-09-25,06:51,1,"","Abattoir Blues / The Lyre of Orpheus",2004-09-20,48,51,0,24,0,0,-7,E Minor,4,29FQEJUtBAnxWEkux39d7I,GBAJH0401579
3,"Material Girl","Madonna",137,8B,88,2022-09-25,04:00,51,"","Celebration (double disc version)",2009-09-18,74,34,0,98,0,10,-3,C Major,4,22sLuJYcvZOSoLLRYev1s5,USWB10903617
4,"Theme From New York, New York","Frank Sinatra",109,10B,59,2022-09-25,03:24,57,"christmas, big band, adult standards, swing music, jazz, vocal jazz","Ultimate Sinatra",2015-04-17,39,55,0,56,0,20,-5,D Major,4,4ODWgs1CVAZKDbryEodjiz,USRH10723042
5,"La vie en rose - Single Version","Louis Armstrong",70,8B,8,2022-09-25,03:24,57,"jazz, swing music, vocal jazz, big band","The Best Of The Decca Years Volume One: The Singer",1989-01-01,58,87,0,27,0,0,-13,C Major,4,1UH4viviUjZnS9aWgPGrk0,USMC15076528
6,"Girls Need Love","Summer Walker",97,11A,42,2022-09-25,02:20,69,"r&b","Last Day Of Summer",2018-10-19,65,56,0,12,20,50,-10,F#/G♭ Minor,4,644rGY6maSElnKVsAg1gJj,USUM71809283
7,"One Kiss (with Dua Lipa)","Calvin Harris,Dua Lipa",124,8A,86,2022-09-25,03:34,82,"edm, pop","One Kiss (with Dua Lipa)",2018-04-06,79,4,0,59,10,0,-3,A Minor,4,7ef4DlsgrMEH11cDZd32M6,GBARL1800368
8,"Cartier","Bazzi",91,11B,55,2022-09-25,02:52,48,"","COSMIC",2018-04-12,48,24,0,46,30,50,-6,A Major,4,2v6zKkf71lJYTHOmsKo02e,USAT21801531
9,"Fantasy","Bazzi",144,4A,67,2022-09-25,02:28,70,"","COSMIC",2018-04-12,70,15,0,31,0,30,-4,F Minor,4,1i36kkhmhBxf4lYJscg5zK,USAT21801529
10,"ROXANNE","Arizona Zervas",117,11A,60,2022-09-25,02:43,78,"","ROXANNE",2019-10-10,62,5,0,46,10,40,-6,F#/G♭ Minor,5,696DnlkuDOXcMAnKlTgXXK,USSM11914320
11,"Drag Me Down","One Direction",138,5A,70,2022-09-25,03:12,80,"","Made In The A.M. (Deluxe Edition)",2015-11-13,73,11,0,60,0,0,-6,C Minor,4,2K87XMYnUMqLcX3zvtAF4G,GBHMU1500070
12,"I.F.L.Y.","Bazzi",105,10B,52,2022-09-25,02:45,70,"","Soul Searching",2019-08-09,81,38,0,55,0,10,-5,D Major,4,4a6q8CR2hzLk2plDkSxkfD,USAT21903826
13,"thank u, next","Ariana Grande",107,3B,65,2022-09-25,03:27,84,"pop","thank u, next",2019-02-08,72,23,0,41,0,10,-6,C♯/D♭ Major,4,3e9HZxeyfWwjeyPAMmWSSQ,USUM71819361
14,"imagine","Ariana Grande",63,4B,48,2022-09-25,03:32,70,"pop","thank u, next",2019-02-08,73,38,0,37,0,10,-5,G#/A♭ Major,3,39LmTF9RgyakzSYX8txrow,USUM71822236
