#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"brutal","Olivia Rodrigo",124,12B,53,2022-06-07,02:23,79,"","SOUR",2021-05-21,67,3,0,28,0,20,-6,E Major,4,6SRsiMl7w1USE4mFqrOhHC,USUG12101242
2,"mirrorball","Taylor Swift",110,10B,41,2022-06-07,03:28,73,"","folklore",2020-07-24,55,69,0,38,0,0,-10,D Major,4,0ZNU020wNYvgW84iljPkPP,USUG12002840
3,"Blank Space","Taylor Swift",96,7B,70,2022-06-07,03:51,85,"","1989 (Deluxe)",2014-01-01,76,10,0,57,0,0,-5,F Major,4,1u8c2t2Cy7UBoG4ArRcF5g,USCJY1431309
4,"Never Gonna Give You Up","Rick Astley",113,4B,94,2022-06-07,03:33,6,"","Whenever You Need Somebody",1987-11-12,72,12,0,91,0,10,-12,G#/A♭ Major,4,4cOdK2wGLETKBW3PvgPWqT,GBARL9300135
5,"I Will","Mitski",138,10B,31,2022-06-07,02:54,61,"","Bury Me At Makeout Creek",2014-11-11,54,5,39,26,0,10,-14,D Major,4,2yYP6zjOBqGKqI6s2lZyer,USA2B1511609
6,"Electra Heart","MARINA",128,11A,86,2022-06-07,03:43,45,"","Electra Heart (Platinum Blonde Edition)",2022-04-29,53,1,0,18,0,30,-5,F#/G♭ Minor,4,2tFFdqAweMErErYyQ408x4,GBFFS2200002
7,"Lover","Taylor Swift",69,9B,54,2022-06-07,03:41,85,"","Lover",2019-08-23,36,49,0,45,0,10,-8,G Major,4,1dGr1c8CrMLDpV6mPbImSI,USUG11901473
8,"愛して 愛して 愛して","Kikuo",115,4B,84,2022-06-07,04:12,68,"vocaloid","きくおミク3",2013-09-11,61,9,0,35,0,10,-5,G#/A♭ Major,3,3ty4jnVIJ9My8ZnXFMc0Fg,JPE561302154
9,"How to Be a Heartbreaker","MARINA",140,10A,90,2022-06-07,03:41,72,"","Electra Heart (Deluxe)",2012-04-27,69,1,0,85,0,10,-5,B Minor,4,2sEk5R8ErGIFxbZ7rX6S2S,GBFFS1200077
10,"gold rush","Taylor Swift",112,11B,46,2022-06-07,03:05,64,"","evermore",2020-12-11,51,83,17,35,0,10,-10,A Major,4,5BK0uqwY9DNfZ630STAEaq,USUG12004702
