#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Diri","Tulus",96,7B,29,2026-04-24,04:00,73,"indonesian pop, indonesian jazz, indonesian indie","Manusia",2022-03-03,58,84,0,49,0,0,-9,F Major,4,2qgjqbi96IAOBzZFC6H57U,FR2X42253131
2,"Manusia Kuat","Tulus",112,8B,50,2026-04-24,03:04,66,"indonesian pop, indonesian jazz, indonesian indie","Monokrom",2016-08-03,61,23,0,62,0,30,-7,C Major,4,1vT1rKlEzvT9r0uYwAuwC8,FR59R1636566
3,"Answer : Love Myself","BTS",108,3B,79,2026-04-24,04:11,67,"k-pop","Love Yourself 結 'Answer'",2018-08-24,57,19,0,45,0,10,-4,C♯/D♭ Major,4,2X3UgVLSA4wYriGIQyYmMA,QM6MZ1886145
4,"Fix a Heart","Demi Lovato",160,8B,45,2026-04-24,03:13,47,"","Unbroken",2011-01-01,49,58,0,46,0,0,-8,C Major,3,0fMhhdMdbC94rHHK63jwWu,USHR11132991
5,"tolerate it","Taylor Swift",75,11B,36,2026-04-24,04:05,70,"","evermore",2020-12-11,32,88,0,22,0,0,-10,A Major,5,0PurA4JVJ8YQgSVopY8fn6,USUG12004705
6,"Forever Winter (Taylor's Version) (From The Vault)","Taylor Swift",116,9B,55,2026-04-24,04:23,62,"","Red (Taylor's Version)",2021-11-12,61,26,0,41,0,10,-6,G Major,4,3oGVx9RBmiYGv5ZCecWLkx,USUG12103687
7,"Kiss Her You Fool","Kids That Fly",105,7B,71,2026-04-24,02:43,57,"","Kiss Her You Fool",2019-11-20,49,1,0,58,0,10,-6,F Major,4,43MiHyAHTSAVCCrkfwXmGN,QZ93L1969677
8,"How to Be a Heartbreaker","MARINA",140,10A,90,2026-04-24,03:41,72,"","Electra Heart (Deluxe)",2012-04-27,69,1,0,85,0,10,-5,B Minor,4,2sEk5R8ErGIFxbZ7rX6S2S,GBFFS1200077
9,"mirrorball","Taylor Swift",110,10B,41,2026-04-24,03:28,73,"","folklore",2020-07-24,55,69,0,38,0,0,-10,D Major,4,0ZNU020wNYvgW84iljPkPP,USUG12002840
10,"Love Maze","BTS",150,11B,88,2026-04-24,03:41,70,"k-pop","Love Yourself 轉 'Tear'",2018-05-18,64,5,0,76,0,0,-5,A Major,4,4ROdFnoZNn2RTmwct0cVpx,QM4TX1817916
11,"Jaljayo Good Night","TWICE",134,5B,40,2026-04-24,04:22,45,"k-pop","Twicetagram",2017-10-30,72,85,0,36,0,0,-8,D#/E♭ Major,4,1OFJ8o35oCIcaWjYq0bHOS,US5TA1700108
12,"Ring The Alarm","KARD",100,9A,85,2026-04-24,03:05,50,"k-pop","KARD 5th Mini Album 'Re:'",2022-06-22,75,22,0,72,0,10,-3,E Minor,4,6jUq2EfNMW7SizzNVVGvhm,KRA382205793
13,"Fever","Dua Lipa,Angèle",115,11A,69,2026-04-24,02:36,62,"pop, french pop, variété française, french indie pop, chanson","Fever",2020-10-29,87,6,0,40,10,10,-7,F#/G♭ Minor,4,3wJVBz7gvGTwTWVAxFa6ny,GBAHT2000834
14,"Teman Hidup","Tulus",83,10B,26,2026-04-24,03:42,64,"indonesian pop, indonesian jazz, indonesian indie","Tulus",2011-03-08,72,87,0,43,0,0,-13,D Major,4,1U1qumuS2O5Qttw8G7UXOZ,FR10S1433179
15,"Sahabat Sejati","Sheila On 7",164,4B,84,2026-04-24,03:44,63,"indonesian pop, malay, indonesian rock, indorock","Kisah Klasik Untuk Masa Depan",2000-10-04,48,1,0,84,0,10,-8,G#/A♭ Major,4,6WUqv9T3RPTHHNKw0zVJuM,IDAC52000384
16,"Ya Sudahlah","Bondan Prakoso,Fade2Black",88,11B,80,2026-04-24,04:14,68,"indonesian pop, indonesian rock, indonesian hip hop, indorock","For All",2010-05-14,65,41,0,61,0,0,-4,A Major,4,0OjiV7FpVCrOIq53ZSH1EM,IDAC51000015
17,"Siapkah Kau 'Tuk Jatuh Cinta Lagi","Hivi!",142,9B,71,2026-04-24,04:39,69,"indonesian pop, indonesian jazz, indonesian indie","Siapkah Kau 'Tuk Jatuh Cinta Lagi",2015-04-21,63,28,0,90,0,10,-6,G Major,4,1uF0XYWWeoWEWipY855GxT,FRX201520119
