#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Lush Life","Zara Larsson",98,6A,71,2026-04-09,03:20,94,"","So Good",2017-03-17,69,13,0,80,0,20,-4,G Minor,4,1rIKgCH4H52lrvDcz50hS8,SEWEE1500509
2,"Saturn","SZA",178,3B,62,2026-04-09,03:06,78,"r&b","Saturn",2024-02-22,41,62,0,34,0,10,-7,C♯/D♭ Major,4,1bjeWoagtHmUKputLVyDxQ,USRC12400216
3,"Ruin My Life","Zara Larsson",125,1B,71,2026-04-09,03:10,78,"","Poster Girl",2021-03-05,61,43,0,61,0,0,-5,B Major,4,4nyY8oVjbX2d4qzlpiVM5n,USSM11807704
4,"Midnight Sun","Zara Larsson",151,11B,86,2026-04-09,03:09,84,"","Midnight Sun",2025-06-13,69,3,0,50,10,0,-5,A Major,4,37UCSVSqiPGdR1DijOFyYY,USSM12502221
5,"Stateside + Zara Larsson","PinkPantheress,Zara Larsson",123,2B,66,2026-04-09,03:04,97,"bedroom pop, ","Fancy Some More?",2025-10-10,68,7,0,85,0,20,-6,F#/G♭ Major,4,1DwscornXpj8fmOmYVlqZt,GBAYE2501217
6,"Manchild","Sabrina Carpenter",123,9B,69,2026-04-09,03:33,91,"pop","Man’s Best Friend",2025-08-29,73,10,0,84,0,30,-5,G Major,4,2BwO5K8Q7EPAJSGze3AAh9,USUM72504354
7,"Into You","Ariana Grande",108,11B,73,2026-04-09,04:04,84,"pop","Dangerous Woman",2016-04-01,62,2,0,37,10,10,-6,A Major,4,76FZM38RC8XaAjJ77CVTNe,USUM71601827
8,"Love Me Harder","Ariana Grande,The Weeknd",99,12A,71,2026-04-09,03:56,87,"pop, ","My Everything (Deluxe)",2014-08-22,49,1,0,24,0,0,-4,C♯/D♭ Minor,4,5J4ZkQpzMUFojo1CtAZYpn,USUM71409728
9,"Stuck with U (with Justin Bieber)","Ariana Grande,Justin Bieber",179,4B,45,2026-04-09,03:48,82,"pop, ","Stuck with U",2020-05-08,60,22,0,54,0,30,-7,G#/A♭ Major,3,4HBZA5flZLE435QTztThqH,USUM72009644
10,"Be With You","The Ridleys",176,12B,68,2026-04-09,04:01,60,"opm, pinoy indie, harana, parang, kundiman","All These and More",2024-08-23,57,47,0,55,0,10,-8,E Major,4,4179FSxWNhqupr6nRwJYkm,USA2P2404021
