#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Did you love me?","Shin Jiyoon",125,4A,68,2025-10-29,03:06,29,"","Did you love me?",2025-05-22,71,7,0,45,0,10,-6,F Minor,4,6Xsvv5eu7G9so2dSR30GZU,KSB012338477
2,"Pookie","FIFTY FIFTY",116,4A,65,2025-10-29,02:32,58,"k-pop","Day & Night",2025-04-29,92,20,0,86,0,0,-6,F Minor,4,6vw9OTw8rBhatDSdlxVIuF,KRB462500180
3,"The Chase","Hearts2Hearts",126,10B,73,2025-10-29,02:58,76,"k-pop","The Chase",2025-02-24,71,16,0,14,0,0,-5,D Major,4,68UrZQUuO3O6eUiD226xHg,KRA302500047
4,"NERDY","ifeye",123,10B,85,2025-10-29,03:12,54,"k-pop","ERLU BLUE",2025-04-08,69,2,0,53,10,10,-4,D Major,4,6maRkcBnkwVL0uwjjGazFT,KRB472500806
5,"SOURPATCH","HITGS",140,4A,83,2025-10-29,02:49,47,"","The 1st Single Album - Things we love : H",2025-04-28,70,30,0,65,0,10,-6,F Minor,4,6fuMhofxOh5ZmDWUYZnfaO,KRA382502663
6,"Yachin ga Hanbun!?","Tomoki Hasegawa",127,10B,62,2025-10-29,01:34,55,"shibuya-kei","NANA 707 soundtracks",2006-07-07,72,21,60,62,0,10,-7,D Major,4,1pxOkThPbzzWpYliunOBjw,JPVP00609320
7,"Tell Me","Wonder Girls",127,11A,92,2025-10-29,03:37,74,"k-pop","The Wonder Years",2007-09-12,79,10,0,97,0,30,-7,F#/G♭ Minor,4,2UuKZDzjZ7cVMOvpmuAMYj,KRA330700007
8,"Almond Chocolate","ILLIT",109,6B,87,2025-10-29,03:21,69,"k-pop","Almond Chocolate",2025-02-13,69,10,0,50,0,10,-4,A#/B♭ Major,4,75yAymNsjxzPPNG6LiIQ9P,JPZ672500001
9,"Lucky Girl Syndrome","ILLIT",120,8B,92,2025-10-29,02:20,75,"k-pop","SUPER REAL ME",2024-03-25,76,2,0,44,0,20,-4,C Major,4,2kIUILBPlz4exX9xIFS275,USA2P2413261
10,"Magnetic","ILLIT",131,2B,67,2025-10-29,02:40,83,"k-pop","SUPER REAL ME",2024-03-25,80,26,0,69,0,0,-6,F#/G♭ Major,4,1aKvZDoLGkNMxoRYgkckZG,USA2P2413259
11,"Tick-Tack","ILLIT",130,10B,75,2025-10-29,02:09,78,"k-pop","I'LL LIKE YOU",2024-10-21,87,14,0,96,0,0,-4,D Major,4,0znsc67nMhP4X9hjhvoyeP,USA2P2458812
12,"Cherish (My Love)","ILLIT",143,12B,82,2025-10-29,02:56,74,"k-pop","Cherish (My Love) (Remixes)",2024-10-28,71,24,0,30,0,10,-4,E Major,4,21LtZQQMQYwVIxc9O9Ygq8,USA2P2458809
13,"Rock U","KARA",90,2B,89,2025-10-29,03:31,40,"k-pop","KARA 1st",2008-07-25,58,36,0,69,0,10,-3,F#/G♭ Major,4,3Ul9cvsm5KTGNvO5SAYH97,KRA491000188
14,"Inner Dance","tripleS",134,4A,91,2025-10-29,03:01,46,"k-pop","Glow <Inner Dance>",2024-06-21,87,42,0,96,0,10,-3,F Minor,4,2O4pDMQQYRAafCrlVP5AEU,KRA382403742
15,"GPT","STAYC",126,10B,92,2025-10-29,03:08,58,"k-pop","...l",2024-10-30,66,18,0,75,0,10,-3,D Major,4,36qXU2yyq1JtGp05omV7bu,KRA382406101
