#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Teen Idle","MARINA",121,7B,65,2022-02-12,04:14,67,"","Electra Heart (Deluxe)",2012-04-27,57,24,0,37,0,0,-6,F Major,4,5B8N5rPOmTVVGpuBMK2Vby,GBFFS1200016
2,"Diet Mountain Dew","Lana Del Rey",176,3A,68,2022-02-12,03:42,55,"","Born To Die",2011-01-01,46,28,0,61,0,40,-6,A#/B♭ Minor,4,48SdtsEKujibZPrd6UMfAr,GBUM71111528
3,"Pity Party","Melanie Martinez",136,11A,73,2022-02-14,03:24,71,"","Cry Baby (Deluxe Edition)",2015-08-14,72,6,0,34,0,10,-4,F#/G♭ Minor,4,3fo6DYGktjENCiagUeU9yH,USAT21501170
4,"Art Is Dead","Bo Burnham",86,12B,62,2022-02-14,02:32,54,"comedy","Words Words Words",2010-10-19,52,84,0,70,0,90,-6,E Major,4,3n9ABQpqK6EgaOPEtfzD4I,US85P1010114
5,"Say So","Doja Cat",111,10A,67,2022-02-14,03:57,80,"","Hot Pink",2019-11-07,79,26,0,78,10,0,-5,B Minor,4,3Dv1eDb0MEgF93GpLXlucZ,USRC11903454
6,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift,Brendon Urie,Panic! At The Disco",182,8B,83,2022-02-14,03:13,74,"emo","Lover",2019-08-23,61,3,0,73,0,10,-4,C Major,4,2Rk4JlNc2TPmZe2af99d45,USUG11901494
7,"Golden","Harry Styles",140,9A,84,2022-02-14,03:28,79,"","Fine Line",2019-12-13,45,21,0,25,0,10,-5,E Minor,4,45S5WTQEGOB1VHr1Q4FuPl,USSM11912586
8,"Training Wheels","Melanie Martinez",114,11B,48,2022-02-14,03:25,70,"","Cry Baby (Deluxe Edition)",2015-08-14,57,70,0,8,0,0,-7,A Major,4,3EGW6TGGbdk6Ys1Y3HU3lj,USAT21501938
9,"Queen of Disaster","Scarlett Rose",128,8A,32,2022-02-14,03:15,48,"","Queen of Disaster",2020-05-21,69,63,0,69,0,30,-16,A Minor,4,1EtzBcBjSrBg6yTodZhvZp,QZHN42046683
10,"As If It's Your Last","BLACKPINK",125,4B,85,2022-02-14,03:33,77,"k-pop","As If It's Your Last",2017-06-22,79,7,0,46,0,0,-3,G#/A♭ Major,4,4ZxOuNHhpyOj4gv52MtQpT,KRA401700174
11,"New Romantics","Taylor Swift",122,7B,89,2022-02-14,03:50,64,"","1989 (Deluxe)",2014-01-01,63,0,0,58,0,0,-6,F Major,4,0qAIiGFKLdV1xpNlEhjpq8,USCJY1431449
12,"High Hopes","Panic! At The Disco",82,7B,90,2022-02-14,03:10,84,"emo","Pray for the Wicked",2018-06-22,58,19,0,68,0,0,-3,F Major,4,1rqqCSm0Qe4I9rUvWncaom,USAT21801174
13,"Are You Bored Yet? (feat. Clairo)","Wallows,Clairo",120,1A,68,2022-02-14,02:58,79,"indie, bedroom pop","Nothing Happens",2019-03-22,68,16,0,64,0,20,-6,G#/A♭ Minor,4,57RA3JGafJm5zRtKJiKPIm,USAT21812258
14,"Counting Stars","OneRepublic",122,12A,71,2022-02-14,04:17,89,"soft pop","Native",2013-01-01,66,7,0,47,0,10,-5,C♯/D♭ Minor,4,2tpWsVSb9UEmDRxAl1zhX1,USUM71301306
15,"What is Love?","TWICE",170,4B,91,2022-02-14,03:28,78,"k-pop","Summer Nights",2018-07-09,57,10,0,57,0,20,-2,G#/A♭ Major,4,3zhbXKFjUDw40pTYyCgt1Y,US5TA1800038
16,"I Want You","Mitski",132,5B,29,2022-02-14,03:03,0,"","Retired from Sad, New Career in Business",2013-08-01,29,51,0,6,0,0,-11,D#/E♭ Major,3,4Phnrzy56Yt0VNooKCwr3p,ushm81309666
17,"Green Light","Lorde",129,10B,72,2022-02-14,03:54,78,"","Melodrama",2017-06-16,59,2,0,25,10,0,-8,D Major,4,6ie2Bw3xLj2JcGowOlcMhb,NZUM71700063
18,"Run","BTS",133,10A,88,2022-02-14,03:56,75,"k-pop","The Most Beautiful Moment in Life Pt.2",2015-11-30,55,0,0,55,0,10,-3,B Minor,4,3G1aAxWS2Nd17FQs4PWV6X,KRA381500658
19,"Two Slow Dancers","Mitski",83,8B,11,2022-02-14,03:59,59,"","Be the Cowboy",2018-08-17,37,79,0,6,0,10,-13,C Major,4,0pM91oR6zMZcepPBklxO8Q,USJ5G1815014
20,"A Million Dreams","Ziv Zaifman,Hugh Jackman,Michelle Williams",55,9B,31,2022-02-14,04:29,77,"musicals","The Greatest Showman (Original Motion Picture Soundtrack)",2017-12-08,27,24,0,10,0,0,-12,G Major,3,0RoA7ObU6phWpqhlC9zH4Z,USAT21704617
21,"Alphabet Boy","Melanie Martinez",155,8B,85,2022-02-14,04:13,66,"","Cry Baby (Deluxe Edition)",2015-08-14,65,29,0,52,0,0,-6,C Major,4,3NDPcoeno6oasqi6Hs75Ax,USAT21501937
