#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"next2u","demxntia,niko rain",88,8A,73,-,03:23,43,"vietnamese lo-fi, emo rap, ","next2u",2026-04-24,54,33,0,42,0,20,-5,A Minor,4,326b39qMfUJh44omXJH5Gh,SE6HN2693661
2,"ENFP (男声版）","樊宇镈(Coulson Fan)",80,11B,45,-,03:25,18,"chinese r&b","ENFP (男声版）",2025-06-13,70,74,0,32,0,10,-5,A Major,4,3ZuH16MxsDjdusgoiY3eDI,QZTB42550284
3,"HOPELESS LIFE","tonybear",170,1B,42,-,03:16,25,"","HOPELESS LIFE",2023-11-24,37,51,0,29,0,10,-8,B Major,4,0CQb8UDnAdnWylZkGHt8PS,QZTBD2396128
4,"missing you","Jack Zhang",180,6B,30,-,03:33,39,"","missing you",2026-04-17,28,66,0,31,0,10,-12,A#/B♭ Major,3,4boZabcHJ6mkRAkTjGTo3f,QZRP42664194
5,"like you used to","Danny Heemstra",138,8B,44,-,02:19,21,"","like you used to",2026-04-09,66,86,0,23,0,10,-9,C Major,4,2CokMKngNQrPba5bXuKtIU,QZTBA2632082
6,"Hold You Up","AJ Mitchell",170,4B,67,-,03:10,38,"","Hold You Up",2026-04-24,42,51,0,45,0,30,-8,G#/A♭ Major,4,1HclL4kwaY2Iu3gvSrgMGU,CA5KR2646815
7,"Gemini","樊宇镈(Coulson Fan)",95,2B,61,-,02:58,29,"chinese r&b","Gemini",2026-01-30,70,39,0,84,0,10,-6,F#/G♭ Major,4,077d3TNyk6VIlA9t1HSooa,QZHN72621768
8,"is it 2 real?","Vincentz",100,11A,59,-,03:34,30,"","is it 2 real?",2025-05-23,72,60,0,22,0,10,-6,F#/G♭ Minor,4,5EGCjvxC8RNn43T3vAZVwD,QZRP52558698
9,"things we'll never share","tonybear",122,8B,50,-,03:32,20,"","starstruck",2025-10-24,37,76,0,21,0,10,-8,C Major,3,2WjGoBADGr09S1dmnfrFFn,QT3F72518670
10,"Make you mine.","David Reyeg",83,6B,51,-,03:09,30,"pinoy indie, opm","Make you mine.",2026-04-17,52,47,0,40,0,30,-8,A#/B♭ Major,4,5GD9ziX5Fpt1ej9PTjmw9d,GXJBW2677520
11,"1123","PANNAGUS",156,8B,47,-,03:22,16,"","1123",2024-07-02,58,67,0,31,10,30,-10,C Major,4,1a7niPw4f4qidfJWHXBKYq,DGA052491101
12,"Situationship","樊宇镈(Coulson Fan)",170,12B,57,-,02:39,17,"chinese r&b","Situationship",2025-02-01,65,57,0,68,10,20,-7,E Major,4,6AbDczMT4hqlEaqWPNxZSm,QZTBA2477631
13,"gordon's interlude","donny daydream",126,10A,18,-,02:25,14,"","I'll look out for you",2024-09-06,46,90,0,30,0,10,-14,B Minor,4,6F6QSe789TtKF5nxHG1kuD,QZTB72453284
14,"Eyes","Vincentz",77,6B,53,-,04:27,15,"","Eyes",2024-01-01,54,68,0,12,0,10,-6,A#/B♭ Major,4,2SjF3roBFC231nmMSqwN78,QZNWX2471445
15,"meet you again","tonybear",150,9B,43,-,03:38,35,"","starstruck",2025-10-24,45,33,0,25,0,0,-8,G Major,4,0eeAKSulwSEus5fWF7TmL0,QT3F72518671
16,"You Won't Catch Me Crying - Final Version","KEVNN C.",146,6B,23,-,02:14,37,"","You Won't Catch Me Crying (Final Version)",2026-04-10,63,79,0,77,0,20,-18,A#/B♭ Major,4,2rilPp0CYif6hLtqbduYNW,QZTBC2621731
17,"Sagittarius（射手座）","樊宇镈(Coulson Fan)",95,3B,69,-,03:17,47,"chinese r&b","Sagittarius（射手座）",2026-03-28,71,19,0,84,0,30,-6,C♯/D♭ Major,4,0rnRdigAqV90Yqljl4OzUc,QZTAY2668885
