#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"dumb dumb","mazie",122,10B,47,2025-01-05,02:05,2,"","the rainbow cassette",2021-08-25,78,22,0,59,0,0,-8,D Major,4,4qbEaaJ29p32GI8EWQmm6R,QZRYT2100001
2,"GUY.exe","Superfruit",110,9A,73,2025-01-05,03:42,69,"","Future Friends",2017-09-15,77,3,0,89,0,10,-5,E Minor,4,3JTjLyrnevl9ASw3ayGO2P,USRC11701437
3,"Psycho Teddy","Psycho Teddy",137,1A,97,2025-01-05,03:05,63,"","Psycho Teddy",2007-12-18,82,12,15,98,0,0,-2,G#/A♭ Minor,4,4oXK0bec3cADLEjwZCOmjB,AUBM00701001
4,"I Am Your Gummy Bear (The Gummy Bear Song)","Gummibär",128,8A,89,2025-01-05,03:12,67,"children's music","I Am Your Gummy Bear",2007-11-13,93,5,0,99,0,0,-8,A Minor,4,6nFYXpBgrNcZjbtNEuc6yR,USR3R0700073
5,"Jump Up, Super Star!","VGR,Jenny",105,4B,86,2025-01-06,04:01,53,"","Jump Up, Super Star!",2017-07-30,62,3,0,59,20,10,-2,G#/A♭ Major,4,1qYM274Q2i3Ssu4zSdzRu9,QM4DW1799693
6,"Bad Habit - Sped Up","Steve Lacy",103,11B,68,2025-01-06,03:11,60,"","Bad Habit (Sped Up)",2022-07-14,71,81,0,85,0,40,-5,A Major,4,4i7HqWsN7iJzsXpsW5h1nb,USRC12203611
7,"Levitating","Dua Lipa",103,11A,88,2025-01-06,03:23,82,"pop","Future Nostalgia",2020-03-27,70,6,0,91,0,20,-2,F#/G♭ Minor,4,39LLxExYz6ewLAcYrzQQyP,GBAHT1901299
8,"Smells Like Teen Spirit","Nirvana",117,3B,91,2025-01-06,05:01,82,"grunge, rock","Nevermind (Remastered)",1991-09-26,50,0,0,72,0,10,-5,C♯/D♭ Major,4,5ghIJDpPoe3CfHMGu71E6T,USGF19942501
9,"All The Things She Said","t.A.T.u.",180,4A,83,2025-01-06,03:34,86,"","200 KM/H In The Wrong Lane (10th Anniversary Edition)",2002-00-00,53,4,1,38,0,10,-6,F Minor,4,4bJygwUKrRgq1stlNXcgMg,RUA110100098
10,"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA",120,6B,49,2025-01-06,04:52,84,"","Voulez-Vous",1979-00-00,75,2,1,54,0,10,-10,A#/B♭ Major,4,3vkQ5DAB1qQMYO4Mr9zJN6,SEAYD7901120
11,"Everybody Wants To Rule The World","Tears For Fears",112,9B,80,2025-01-06,04:11,86,"new wave, synthpop","Songs From The Big Chair (Super Deluxe Edition)",1985-02-25,65,35,0,54,0,10,-12,G Major,4,4RvWPyQ5RL0ao9LPZeSouE,GBF088590110
12,"Bohemian Rhapsody","Queen",144,5A,40,2025-01-06,05:54,76,"classic rock, rock, glam rock","Bohemian Rhapsody (The Original Soundtrack)",2018-10-19,39,29,0,25,0,20,-10,C Minor,4,3z8h0TU7ReDPLIbEnYhWZb,GBUM71029604
13,"Counting Stars","OneRepublic",122,12A,71,2025-01-06,04:17,89,"soft pop","Native",2013-01-01,66,7,0,47,0,10,-5,C♯/D♭ Minor,4,2tpWsVSb9UEmDRxAl1zhX1,USUM71301306
14,"Call Me Maybe","Carly Rae Jepsen",120,9B,58,2025-01-06,03:13,85,"","Kiss",2012-01-01,78,1,0,66,0,10,-7,G Major,4,20I6sIOMTCkB6w7ryavxtO,CAB391100615
15,"Love On The Brain","Rihanna",172,9A,64,2025-01-06,03:44,88,"","ANTI (Deluxe)",2016-01-28,51,7,0,38,0,0,-5,E Minor,3,5oO3drDxtziYU2H1X23ZIp,QM5FT1600120
16,"I'm Still Standing","Elton John",177,2B,90,2025-01-06,03:03,86,"","Too Low For Zero",1983-05-30,51,36,12,77,10,10,-7,F#/G♭ Major,4,1jDJFeK9x3OZboIAHsY9k2,GBALX8300190
