#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Super Freak","Rick James",132,8A,79,2022-01-22,03:25,75,"funk, motown, disco","Street Songs (Deluxe Edition)",1981-04-07,84,22,0,96,0,0,-8,A Minor,4,2dCmGcEOQrMQhMMS8Vj7Ca,USMO18100048
2,"Supalonely","BENEE,Gus Dapperton",129,9B,63,2022-01-22,03:43,68,"bedroom pop","STELLA & STEVE",2019-11-15,86,30,0,82,0,10,-5,G Major,4,4nK5YrxbMGZstTLbvj6Gxw,USUM71922597
3,"Never Ever Getting Rid of Me","Christopher Fitzgerald,Kimiko Glenn,Waitress Original Broadway Cast Ensemble",174,6A,54,2022-01-22,02:16,69,"musicals","Waitress (Original Broadway Cast Recording)",2016-06-03,62,39,0,94,0,10,-6,G Minor,4,1CZgbcEZEhHH28HcBFvQIW,USWB11600733
4,"Let's Groove","Earth, Wind & Fire",125,10A,65,2022-01-22,05:39,83,"funk, disco","Raise!",1981-11-14,87,12,0,90,0,10,-9,B Minor,4,3koCCeSaVUyrRo3N2gHrd8,USSM18100641
5,"Good Old-Fashioned Lover Boy - Remastered 2011","Queen",97,5B,46,2022-01-22,02:53,69,"classic rock, rock, glam rock","A Day At The Races (Deluxe Edition 2011 Remaster)",1976-12-10,54,58,0,39,0,0,-7,D#/E♭ Major,4,1n7xFAY4xoPeqRvrkzAtsw,GBUM71029614
6,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone,Swae Lee",90,10B,48,2022-01-20,02:38,85,"","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)",2018-12-14,76,55,0,91,0,0,-6,D Major,4,3KkXRkHbMCARz0aVfEt68P,USUM71814888
7,"Soft Fuzzy Man","Lemon Demon",145,9B,89,2022-01-20,02:54,44,"","Spirit Phone",2016-02-29,63,0,0,95,0,10,-6,G Major,4,6gh78DdZtoLjnMs9I1Jkam,TCACM1645312
8,"Loverboy","A-Wall",120,8B,47,2022-01-22,03:44,1,"bedroom pop","Helios",2019-08-04,60,65,3,50,0,0,-10,C Major,4,0qXP5fMhxGzxALOkXYUxfP,QZFZ41979172
9,"Don't Wanna Fall In Love","KYLE",132,8B,62,2022-01-20,03:52,11,"","Smyle (Extended)",2015-10-02,49,1,0,60,20,30,-7,C Major,4,1YakuHfzKxjnseCEeVQtrY,USA2P1506725
10,"Feel Good Inc.","Gorillaz,De La Soul",139,2B,71,2022-01-22,03:42,91,"jazz rap, east coast hip hop","Demon Days",2005-05-23,82,1,0,77,10,60,-7,F#/G♭ Major,4,0d28khcov6AiegSCpG5TuT,GBAYE0500172
11,"Gemini","Evergreen",154,5A,61,2022-01-20,03:26,45,"french indie pop","Overseas",2018-06-15,72,65,0,77,0,10,-5,C Minor,4,3rJEu8LZdav4zROLJynwnj,FR6P11701450
12,"Never Wanna Fall in Love With U","nelward",93,3B,59,2022-01-20,03:01,42,"","Never Wanna Fall in Love With U",2020-02-05,92,3,0,97,0,10,-7,C♯/D♭ Major,4,5w7LSuYZNCeCpi2Ytisska,QZFYX2010891
13,"My Band","D12",120,12A,85,2022-01-20,04:58,73,"","D-12 World",2004-01-01,85,50,0,84,0,10,-3,C♯/D♭ Minor,4,4XHQyvbrBsQaaBUW1VvmsL,USIR10400103
14,"Shoop","Salt-N-Pepa",97,8B,67,2022-01-20,04:08,73,"old school hip hop","Very Necessary",1993-10-12,94,9,0,79,20,0,-7,C Major,4,0Pu71wxadDlB8fJXfjIjeJ,USWWW0126118
15,"Happy Pills","Weathers",116,9A,89,2022-01-22,03:23,65,"","Happy Pills",2016-06-03,52,0,1,34,10,30,-5,E Minor,4,3zjjzKg16tczCMwckGKGuH,USRC11600888
16,"Eighth Wonder","Lemon Demon",140,7A,68,2022-01-20,04:42,50,"","Spirit Phone",2016-02-29,49,0,40,64,0,10,-8,D Minor,4,7BxJz17EyAHjZlHEEqrtm6,TCACM1645310
17,"Without Me","Eminem",112,9B,67,2022-01-22,04:50,89,"rap, hip hop","The Eminem Show",2002-05-26,91,0,0,66,0,20,-3,G Major,4,7lQ8MOhq6IN2w8EYcFNSUk,USIR10211038
18,"That's What I Like","Bruno Mars",134,3B,56,2022-01-20,03:26,92,"","24K Magic",2016-11-18,85,1,0,86,0,0,-5,C♯/D♭ Major,4,0KKkJNfGyhkQ5aFogxQAPU,USAT21602948
19,"BOOGIE","BROCKHAMPTON",110,3B,93,2022-01-22,03:13,62,"","SATURATION III",2017-12-15,60,1,0,28,20,30,-3,C♯/D♭ Major,4,3NuN59jpH3B5cNa2M4r7XG,USUYG1167865
20,"Sports","Beach Bunny",186,11B,88,2022-01-20,02:44,1,"","Sports",2018-01-01,23,0,3,52,0,0,-5,A Major,4,77G0k1La0c5Dw8bAFANcyp,QZAPG1780549
21,"Catching Villains","Chizzy Stephens",145,9B,74,2022-01-20,03:02,58,"","Catching Villains",2017-12-08,75,24,0,35,0,10,-4,G Major,4,4S9igu2YyLNTUdP6UTlGb0,USXFD1700003
22,"Hey Lover!","Wabie",117,12B,74,2022-01-20,02:42,69,"bedroom pop","Cyclones and Hey Lover",2019-06-19,59,1,0,52,0,30,-10,E Major,4,7rC3P7tpWriaC4hYWKwGQd,QZFYZ1923384
23,"space girl","Frances Forever",126,11B,40,2022-01-22,03:51,11,"bedroom pop","space girl",2020-03-27,67,33,0,20,0,30,-10,A Major,4,7FjIYiD53wxlQmzTT6Wdpf,QZFZ72019335
24,"Peace and Love on the Planet Earth (feat. Zach Callison, Estelle, Deedee Magno Hall, Michaela Dietz & Shelby Rabara)","Steven Universe,Deedee Magno Hall,Estelle,Michaela Dietz,Shelby Rabara,Zach Callison",92,7A,34,2022-01-22,01:52,61,"","Steven Universe, Vol. 1 (Original Soundtrack)",2017-06-02,75,86,0,75,40,10,-11,D Minor,4,5UOXwSPgkkOf8Ba9ehmDgu,TCADA1767998
25,"American Boy","Estelle,Kanye West",118,8B,73,2022-01-20,04:44,5,"rap","Shine",2008-03-28,73,17,0,51,30,0,-3,C Major,4,22UDw8rSfLbUsaAGTXQ4Z8,USAT20706210
26,"Lay It Down","Steelix",90,5B,83,2022-01-20,03:13,0,"","Lay It Down",2021-07-26,61,3,0,80,0,0,-6,D#/E♭ Major,4,3WWwNpb25m3UPtzODEO2Bg,TCAFR2168060
27,"Billie Jean","Michael Jackson",117,10A,65,2022-01-22,04:53,81,"","Thriller 25 Super Deluxe Edition",2008-02-08,92,2,2,85,0,0,-3,B Minor,4,5ChkMS8OtdzJeqyybCc9R5,USSM19902991
28,"Mamma Mia","Austin Weber",130,11B,50,2022-01-20,03:29,0,"","Mamma Mia",2018-09-09,77,1,0,92,0,10,-9,A Major,4,3gYGURA3OEFy20ahTaTixi,QM2PV1812671
29,"I / Me / Myself","Will Wood",172,10A,95,2022-01-20,04:51,63,"","The Normal Album",2020-07-10,48,17,0,76,0,80,-5,B Minor,4,1lqj3wgPj8gHCdq46hUjvr,QZKWA2004475
30,"Sunkissed","khai dreams",154,2B,35,2022-01-20,02:06,1,"","Now and Then",2019-10-11,77,60,0,79,0,30,-9,F#/G♭ Major,4,1tD8J13a74q8fBqXwAP50j,QZFZ21993822
31,"WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)","Tyler, The Creator,YoungBoy Never Broke Again,Ty Dolla $ign",142,5A,65,2022-01-20,02:01,71,"trap soul","CALL ME IF YOU GET LOST",2021-06-25,49,27,0,85,0,50,-6,C Minor,4,5B0kgjHULYJhAQkK5XsMoC,USQX92102132
32,"I'm Still Standing","Elton John",177,2B,90,2022-01-20,03:03,86,"","Too Low For Zero",1983-05-30,51,36,12,77,10,10,-7,F#/G♭ Major,4,1jDJFeK9x3OZboIAHsY9k2,GBALX8300190
33,"My Superhero Movie (feat. Jacob Jeffries)","Teen Titans Go!,Jacob Jeffries",170,9B,95,2022-01-20,02:23,60,"","Teen Titans Go! To The Movies (Original Motion Picture Soundtrack)",2018-07-20,62,11,0,51,20,10,-5,G Major,4,1SVN1mRKNq88CPpm6Ch0FL,USNLR1800352
34,"Can I Call You Tonight?","Dayglow",130,11B,84,2022-01-20,04:38,3,"indie rock","Fuzzybrain",2019-11-14,64,13,91,50,0,40,-7,A Major,4,64lsIF5pw0sJY0gV5kz0RN,TCADL1825079
35,"Looking Out for You","Joy Again",101,11B,90,2022-01-22,02:59,80,"","Looking Out for You",2016-01-15,68,9,6,94,0,0,-5,A Major,4,3jfZ9M23l0L7RxzYMTgBTv,GBJET1500070
36,"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA",120,6B,49,2022-01-20,04:52,84,"","Voulez-Vous",1979-00-00,75,2,1,54,0,10,-10,A#/B♭ Major,4,3vkQ5DAB1qQMYO4Mr9zJN6,SEAYD7901120
37,"A Pimp Named Slickback","Lakim",140,3A,85,2022-01-20,04:10,0,"","Classics II",2019-09-06,68,26,42,77,20,20,-4,A#/B♭ Minor,4,69IzWtMP6VAEr5kpA5tURl,QZFYX1932922
38,"Thneedville","The Lorax Singers,Rob Riggle",132,9B,73,2022-01-20,02:44,56,"","Dr. Seuss' The Lorax - Original Songs From The Motion Picture",2012-01-01,68,3,0,39,0,30,-7,G Major,4,7vmEKYa8wixTVJJurSRlfF,USUM71201163
39,"Come and Get Your Love - Single Version","Redbone",107,10A,80,2022-01-22,03:25,83,"native american music","Come and Get Your Love",1973-11-01,73,17,0,96,0,0,-8,B Minor,4,7GVUmCP00eSsqc4tzj1sDD,USSM17300653
40,"I Want You Back","The Jackson 5",98,4B,59,2022-01-22,02:59,0,"motown, christmas","The Ultimate Collection: Jackson 5",1996-01-01,67,47,0,93,0,10,-8,G#/A♭ Major,4,5LN9F6c1Okx7Yrwd6GO8tu,USMO19400306
41,"Love Grows (Where My Rosemary Goes)","Edison Lighthouse",109,11B,82,2022-01-22,02:54,75,"","Love Grows (Where My Rosemary Goes) & Other Gems",1970-01-01,57,40,0,75,0,0,-5,A Major,4,5Ts1DYOuouQLgzTaisxWYh,GBBPJ9800675
