#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"The Feels","TWICE",120,11B,90,2022-06-10,03:18,66,"k-pop","The Feels",2021-10-01,81,9,0,92,0,0,-2,A Major,4,1utDFK1ARQcuZSwapf3cfb,US5TA2100080
2,"God’s Menu","Stray Kids",157,7B,77,2022-06-10,02:47,77,"k-pop, noise music","GO LIVE",2020-06-17,69,1,0,48,0,50,-4,F Major,4,4XPXrcpyNr30Km6aPiflJy,US5TA2000037
3,"What is Love?","TWICE",170,4B,91,2022-06-10,03:28,78,"k-pop","Summer Nights",2018-07-09,57,10,0,57,0,20,-2,G#/A♭ Major,4,3zhbXKFjUDw40pTYyCgt1Y,US5TA1800038
4,"Run","BTS",133,10A,88,2022-06-10,03:56,75,"k-pop","The Most Beautiful Moment in Life Pt.2",2015-11-30,55,0,0,55,0,10,-3,B Minor,4,3G1aAxWS2Nd17FQs4PWV6X,KRA381500658
5,"Cat & Dog","TOMORROW X TOGETHER",160,4B,79,2022-06-10,03:07,59,"k-pop","The Dream Chapter: STAR",2019-03-04,84,6,0,32,10,10,-3,G#/A♭ Major,4,3RsEvBUaNT9MXqUvQVuK1G,USUG11900597
6,"Blue Hour","TOMORROW X TOGETHER",112,2A,82,2022-06-10,03:29,67,"k-pop","minisode1 : Blue Hour",2020-10-26,71,1,0,75,0,0,-4,D#/E♭ Minor,4,3ObPkJQAgjAhTwYvDhPrAW,USA2P2034178
7,"SMILEY(Feat. BIBI)","YENA,BIBI",156,11B,91,2022-06-10,02:53,62,"k-pop, k-rap","ˣ‿ˣ (SMiLEY)",2022-01-17,65,10,0,82,10,0,-3,A Major,4,4zCIxSnVWpGNghERX4uWZF,KRMIM2201803
8,"Zimzalabim","Red Velvet",128,4A,88,2022-06-10,03:10,47,"k-pop","‘The ReVe Festival’ Day 1",2019-06-19,68,0,0,53,10,30,-5,F Minor,4,0GUbhhI5fRx7BlqlqlhjuB,KRA301900257
9,"After School","Weeekly",164,3B,93,2022-06-10,03:25,63,"k-pop","We play",2021-03-17,63,1,0,74,0,0,-2,C♯/D♭ Major,4,52CBUrIdyf8tbZaUY9iawE,KRA382101559
10,"CROWN","TOMORROW X TOGETHER",111,7B,80,2022-06-10,03:50,64,"k-pop","The Dream Chapter: STAR",2019-03-04,62,5,0,58,0,0,-6,F Major,4,0EmYZZ8OqeALedVhijSjsg,USUG11900595
