#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"แค่เธอ (Why Don't You Stay) [From KinnPorsche The Series]","Jeff Satur",130,9B,34,2024-06-04,03:48,59,"t-pop, thai pop","แค่เธอ (Why Don't You Stay) [From KinnPorsche The Series]",2022-05-17,51,80,0,46,0,0,-8,G Major,4,6g7cdlMt3AUV99D6CgYcV7,THTRD2200023
2,"Dum Dum","Jeff Satur",91,9A,44,2024-01-22,03:15,52,"t-pop, thai pop","Dum Dum",2023-03-16,62,45,0,54,0,20,-8,E Minor,4,4XhdM1Ku9JM4abVuRWAsgk,THW092300607
3,"DEJAYOU","PiXXiE",112,9A,47,2024-01-22,03:27,19,"t-pop, thai pop","DEJAYOU",2023-07-17,86,30,0,33,0,10,-8,E Minor,4,1bgLH9NEAFkwnMwDmD8ScN,DGA062312279
4,"คงคา","Evalia,Algorhythm Project,Zekai,Ark,Aoi Crescent,HyougaAlpha,Schneider,Chaloz",143,4A,78,2024-01-22,05:27,46,"t-pop, ","คงคา",2023-11-26,60,45,0,20,0,10,-7,F Minor,4,58RQqPA20da0z5vwkK9jEE,DGA0P2326330
5,"คู่ชีวิต","Cocktail",144,7B,64,2024-01-22,05:37,0,"thai rock, thai pop, t-pop","the lords of misery",2014-10-02,42,83,0,24,0,0,-5,F Major,3,2e1ixGbqullcmga7A378Ng,THG011400544
6,"ข้ามเวลา - Original Soundtrack From  พรหมลิขิต ","Violette Wautier",174,3B,66,2024-01-22,04:49,46,"thai pop, t-pop, thai indie pop","ข้ามเวลา (Original Soundtrack From  พรหมลิขิต )",2023-10-18,40,20,0,32,0,30,-6,C♯/D♭ Major,4,5kV4oDo6NAXypck81lFs71,DGA0H2325937
7,"จอมขวัญ (เพลงประกอบซีรีส์ หอมกลิ่นความรัก)","ASIA7",78,8B,60,2024-01-22,04:07,0,"t-pop, thai pop, luk thung","จอมขวัญ - Single",2023-08-01,50,4,0,34,0,10,-8,C Major,4,4nkupjJ5iFMYD0Wfh2RxIA,THG012300488
8,"กาลครั้งนึง","JUNENOM",150,9B,19,2024-01-22,05:15,51,"t-pop, thai pop, luk thung","กาลครั้งนึง",2022-12-28,50,85,0,38,0,30,-16,G Major,4,5BNvWMQcCF2pWuZRq1m0se,TCAHD2341968
9,"จังหวะตกหลุมรัก - Magic Moment","DIDIxDADA",188,2B,42,2024-01-22,03:08,19,"t-pop, thai pop","จังหวะตกหลุมรัก (Magic Moment)",2023-03-17,56,50,0,28,0,20,-7,F#/G♭ Major,3,7KmY6wBpheP60rFEJPJBqN,FR96X2344313
10,"ฉันคือดวงจันทร์","MONICA",73,12A,36,2024-01-22,03:33,0,"t-pop, thai pop, thai hip hop","ฉันคือดวงจันทร์ - Single",2022-04-29,64,82,0,45,0,10,-9,C♯/D♭ Minor,4,31zp8z4bBxJrNCv3IfQrMs,THG012200161
11,"KIMINOTO","SPRITE,YOUNGOHM",114,10A,62,2024-01-22,03:42,58,"thai hip hop, thai pop, thai trap, t-pop","KIMINOTO",2022-03-10,83,13,0,82,0,10,-6,B Minor,4,5pbD2zRUQmzhzqHTp97K19,TH2DY2200131
12,"ฉันจะฉาปเธอ","bamm",97,8B,69,2024-01-22,03:17,11,"t-pop, thai pop","เศร้าศาสตร์",2022-08-17,82,7,0,73,0,10,-6,C Major,4,78NpdD7CzXp5UNaxC4DrJX,FR2X42285189
13,"เกินต้าน","PiXXiE",180,5B,71,2024-01-22,03:06,20,"t-pop, thai pop","BLOOM",2022-09-28,56,16,0,49,10,10,-4,D#/E♭ Major,4,3GMvQQ1R91hkdoGPYBQTlu,FR59R2265928
14,"เลือดกรุ๊ปบี","CHRRISSA",164,10B,73,2024-01-22,04:49,48,"t-pop, thai pop","เลือดกรุ๊ปบี",2023-01-06,55,76,0,26,0,0,-4,D Major,4,4CdW5KKyIjrpx6Hz981dUt,THMOB2312126
15,"งอนละ","PiXXiE",105,8B,60,2024-01-22,02:41,11,"t-pop, thai pop","BLOOM",2022-09-28,90,45,0,67,0,0,-4,C Major,4,5zFjMw9tOpbhlZWVCDalJA,FRX762260633
16,"ฉลามชอบงับคุณ","BONNADOL,IIVY B",95,4A,42,2024-01-22,03:55,14,"thai hip hop, thai trap, t-pop, thai pop","ฉลามชอบงับคุณ",2022-07-15,79,23,0,92,0,10,-9,F Minor,4,1NEBh01Wwtak3R1eCxlwrJ,THSOH2206117
17,"วัดปะหล่ะ? (TEST ME)","4EVE",103,3B,63,2024-01-22,03:40,0,"t-pop, thai pop","The First Album",2021-03-28,83,51,0,83,0,10,-7,C♯/D♭ Major,4,4m72K740TLVYovBWJmTTt3,THW092201025
18,"ถ้าเธอรักใครคนหนึ่ง OST.บุพเพสันนิวาส 2","Ink Waruntorn",76,5B,46,2024-01-22,04:06,0,"thai pop, t-pop, thai indie pop","ถ้าเธอรักใครคนหนึ่ง - Single",2022-07-14,45,68,0,33,0,10,-9,D#/E♭ Major,4,6GDIW3Le2tM0hMWD3pvefH,THG012200296
19,"วาฬเกยตื้น","GUNGUN",200,1B,62,2024-01-22,03:46,48,"thai pop, t-pop","วาฬเกยตื้น",2019-11-12,65,15,0,78,0,10,-7,B Major,4,6LQf6ErCI7vw7KGKRP11zP,THADV1501461
20,"17 นาที","MILLI,mints",118,1B,45,2024-01-22,03:37,0,"t-pop, thai pop, thai hip hop, thai trap, thai indie pop","BABB BUM BUM",2022-10-10,95,13,0,73,10,10,-8,B Major,4,6M4zDWl4iVpBYeyPsIBJFt,DGA052264423
21,"NIGHT DANCER","imase",117,6A,59,2024-01-22,03:30,71,"j-pop","NIGHT DANCER",2022-08-19,91,9,0,85,0,10,-8,G Minor,4,348NF6vX0Yh22xvH0EZEro,JPPO02202918
22,"คนดีพี่มาง้อ","เบิ้ล ปทุมราช อาร์ สยาม,ธัญญ่า อาร์ สยาม",102,7B,77,2024-01-22,03:12,0,"","คนดีพี่มาง้อ - Single",2016-08-10,65,64,0,68,0,10,-4,F Major,4,24J6ROaXeGHBKELsNsiZjd,THRSP1230828
23,"วาเลนไทน์","SPIDERMEI",85,6B,63,2024-01-22,04:03,40,"southern thai music, thai hip hop, thai pop, luk thung","วาเลนไทน์",2020-08-05,78,70,0,63,0,0,-7,A#/B♭ Major,4,7byH0nk9ed1Y6df4kJgEeA,THSOH2004787
24,"อสงไขย","หญิง ธิติกานต์ อาร์ สยาม",134,4B,54,2024-01-22,03:54,0,"luk thung, phleng phuea chiwit, southern thai music, thai pop","มายาแห่งความรัก",2012-08-23,44,87,0,28,0,10,-5,G#/A♭ Major,4,7hPWCWu9k60SweEVp3xrpu,THRSP1225361
25,"Blank Space (Taylor's Version)","Taylor Swift",96,8B,72,2024-01-22,03:51,72,"","1989 (Taylor's Version)",2023-10-26,73,9,0,71,0,30,-5,C Major,4,45wMBGri1PORPjM9PwFfrS,USUG12306673
26,"You & I","2Venti,2Ectasy,BNINE B9,T3RD",168,4A,49,2024-01-22,04:14,0,"thai hip hop, t-pop, thai pop, thai trap, ","You & I",2023-08-12,54,63,0,38,0,10,-10,F Minor,4,1WW0UE1dZGrB3yj91BM513,QZPLS2344069
27,"โดนเทแต่เท่อยู่","bamm",111,7B,61,2024-01-22,03:31,11,"t-pop, thai pop","เศร้าศาสตร์",2022-08-17,86,16,0,84,10,0,-4,F Major,4,7GSUFnlYWInszOKDb6vGFT,FR59R2109900
