#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"505","Arctic Monkeys",140,8B,87,2021-12-20,04:13,88,"indie, garage rock","Favourite Worst Nightmare",2007-04-22,53,0,0,25,0,0,-6,C Major,4,0BxE4FqsDD1Ot4YuBXwAPp,GBCEL0700074
2,"Reflections","The Neighbourhood",114,10A,59,2021-12-20,04:04,88,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,65,11,5,54,0,10,-7,B Minor,4,2xql0pid3EUwW38AsywxhV,USSM11800527
3,"Television / So Far So Good","Rex Orange County",165,7B,51,2021-12-20,04:22,1,"bedroom pop","Apricot Princess",2017-04-26,41,59,0,32,0,10,-8,F Major,4,5OUTFH5acycdnf8OVo21Gv,US23A1500497
4,"I Wanna Be Yours","Arctic Monkeys",68,5A,42,2021-12-20,03:03,92,"indie, garage rock","AM",2013-09-09,46,14,2,48,0,10,-9,C Minor,4,5XeFesFbtLpXzIVDNQP22n,GBCEL1300373
5,"Cloud 9","Beach Bunny",81,12B,93,2021-12-20,02:27,1,"","Honeymoon",2020-02-14,64,0,0,90,0,30,-4,E Major,4,6vFsBXYczYsP0H3lgunZOm,USQE91600054
6,"Chamber Of Reflection","Mac DeMarco",131,1B,56,2021-12-20,03:51,1,"indie, lo-fi indie","Salad Days",2014-04-01,54,26,91,51,0,10,-9,B Major,4,1MJ5f5EYBC92ADD6xcz7nb,QMMZN1300568
7,"Freaks","Surf Curse",180,11B,94,2021-12-20,02:27,1,"indie","Buds",2015-05-10,35,0,56,40,0,0,-10,A Major,4,0HUTL8i4y4MiGCPId7M7wb,TCACA1429223
8,"You Get Me So High","The Neighbourhood",88,6A,88,2021-12-20,02:33,82,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,55,19,8,39,0,10,-6,G Minor,4,7zwn1eykZtZ5LODrf7c0tS,USSM11707131
9,"Die For You","The Weeknd",134,12A,53,2021-12-20,04:20,80,"","Starboy",2016-11-25,59,11,0,51,0,10,-7,C♯/D♭ Minor,4,2Ch7LmS7r2Gy2kc64wv3Bz,USUG11601011
10,"Homage","Mild High Club",73,7B,47,2021-12-20,02:57,0,"neo-psychedelic","Skiptracing",2016-08-26,55,15,0,42,0,30,-8,F Major,4,7pegxVesMmE2qK0o58xoFG,US2S71673002
11,"Break it off","PinkPantheress",173,10A,79,2021-12-20,01:33,0,"bedroom pop","Break it off",2021-03-23,58,1,0,64,10,10,-7,B Minor,4,5892YX6q8y3Rs9OysF08kv,QZES52183092
12,"My Ordinary Life","The Living Tombstone",176,8A,66,2021-12-20,03:50,74,"","My Ordinary Life",2017-11-23,68,2,35,58,0,20,-9,A Minor,4,6tMdpUXfT70TD6Eh3XfB1p,QZANL1777908
13,"Reckless","Healy",81,10B,36,2021-12-20,03:57,54,"","Subluxe",2017-00-00,85,53,0,42,40,20,-9,D Major,4,3UJS9aEUbtYO8kMl1IK1r3,QMZYR1550287
14,"768 - dead wrong remix","K-P,dead wrong",139,6B,66,2021-12-20,02:10,46,"","768 (dead wrong remix)",2020-12-27,45,48,2,28,30,10,-11,A#/B♭ Major,4,4XFCEk7OLi46eYrBZj3SxK,QZPLS2026413
