#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Diet Mountain Dew","Lana Del Rey",88,3A,70,2022-12-10,03:42,79,"","Born To Die - The Paradise Edition",2012-01-01,60,28,0,53,0,40,-6,A#/B♭ Minor,4,2vtmY2mSccRzKGjtcHSzI3,GBUM71111528
2,"Columbia","Quevedo",100,7B,71,2023-08-22,03:06,67,"","Columbia",2023-07-07,67,37,0,26,0,10,-6,F Major,4,6XbtvPmIpyCbjuT0e8cQtp,BK4DA2310533
3,"qué le pasa conmigo?","Nicki Nicole,Rels B",97,3B,58,2023-06-03,02:47,55,"argentine trap, urbano latino, trap latino","qué le pasa conmigo?",2023-04-19,83,31,1,73,0,0,-6,C♯/D♭ Major,4,4TrYGTVgWOe2s3ZPn5qFTa,UYB282300006
4,"MONACO","Bad Bunny",139,9A,62,2023-10-22,04:27,87,"reggaeton, trap latino, latin, urbano latino","nadie sabe lo que va a pasar mañana",2023-10-13,79,15,0,13,0,50,-5,E Minor,4,4MjDJD8cW7iVeWInc2Bdyj,QMFME2364182
5,"Sweater Weather","The Neighbourhood",124,6B,81,2021-12-20,04:00,93,"","I Love You.",2013-04-22,61,5,2,40,0,10,-3,A#/B♭ Major,4,2QjOHCTQ1Jl3zawyYOpxh6,USSM11300080
6,"Brooklyn Baby","Lana Del Rey",108,3B,66,2022-12-10,05:51,85,"","Ultraviolence (Deluxe)",2014-01-01,40,54,0,9,0,10,-7,C♯/D♭ Major,4,1NZs6n6hl8UuMaX0UC0YTz,GBUM71402169
7,"Why'd You Only Call Me When You're High?","Arctic Monkeys",92,10B,63,2021-12-20,02:41,87,"indie, garage rock","AM",2013-09-09,69,5,0,80,0,10,-6,D Major,4,086myS9r57YsLbJpU0TgK9,GBCEL1300370
8,"Do I Wanna Know?","Arctic Monkeys",85,7B,53,2021-12-20,04:32,89,"indie, garage rock","AM",2013-09-09,55,19,0,41,0,20,-8,F Major,4,5FVd6KXrgO9B3JPmC8OPst,GBCEL1300362
9,"wish you were gay","Billie Eilish",118,9B,35,2021-12-20,03:41,75,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,85,39,0,28,20,70,-10,G Major,4,3Fj47GNK2kUF0uaEDgXLaD,USUM71900767
10,"Honeypie","JAWNY",115,4A,69,2021-12-20,02:15,80,"bedroom pop","For Abby",2020-10-27,74,6,0,94,0,10,-4,F Minor,4,6FfLg6FFqhCsrFOaHIGkg0,GBKPL1946902
11,"Oh No!","MARINA",127,8B,90,2021-12-27,03:02,73,"","The Family Jewels",2009-07-15,77,5,0,96,0,20,-4,C Major,4,4sNwdacKyi2S26WrRtNama,GBFFS0900127
12,"Are You Satisfied?","MARINA",124,8B,73,2021-12-27,03:21,66,"","The Family Jewels",2009-07-15,67,32,0,80,0,0,-5,C Major,4,411Hvulc0PrGQLOHljTYed,GBFFS0900114
13,"Hermit the Frog","MARINA",122,8B,68,2021-12-20,03:35,66,"","The Family Jewels",2009-07-15,61,24,0,49,0,20,-5,C Major,4,4Zcz6saEkOII3PlXd9gN3o,GBFFS0900117
14,"Mowgli's Road","MARINA",146,3A,81,2022-03-04,03:12,46,"","The Family Jewels",2009-07-15,62,1,0,66,0,30,-7,A#/B♭ Minor,4,7GSt1wQIumbnBcx3Fc6oxS,GBFFS0900113
15,"Dark Red","Steve Lacy",172,2B,78,2021-12-20,02:53,3,"","Dark Red",2017-02-20,60,45,0,78,0,10,-4,F#/G♭ Major,4,37y7iDayfwm3WXn5BiAoRk,GBKPL1778015
16,"Let You Break My Heart Again","Laufey,Philharmonia Orchestra",77,10B,14,2022-12-08,04:29,80,"opera, classical, orchestral","Let You Break My Heart Again",2021-08-13,30,97,11,12,0,10,-15,D Major,4,709p9UGPAuyImWf1Z3vjRo,TCAFR2175884
17,"Misery","Maroon 5",103,9A,81,2022-01-16,03:36,68,"pop","Hands All Over (Revised International Standard version)",2010-00-00,70,0,0,73,0,20,-5,E Minor,4,0RZyUsKfiC7MtiGKatCtGc,USUM71015280
18,"Arms Tonite","Mother Mother",140,12B,65,2022-03-23,03:36,1,"","O My Heart",2008-09-23,69,10,0,32,0,10,-4,E Major,4,1rRwwqteLePmi70PGaC8ah,CAL450882110
19,"Wrecking Ball","Mother Mother",97,9B,80,2022-12-13,03:14,0,"","O My Heart",2008-09-23,66,19,0,28,0,30,-4,G Major,4,2y51QpLzI5qbWfCcSx9Tu1,CAL450882109
20,"Softcore","The Neighbourhood",94,8A,57,2022-02-16,03:26,87,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,57,5,0,37,0,20,-6,A Minor,4,2K7xn816oNHJZ0aVqdQsha,USSM11800523
21,"Reflections","The Neighbourhood",114,10A,59,2022-01-28,04:04,88,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,65,11,5,54,0,10,-7,B Minor,4,2xql0pid3EUwW38AsywxhV,USSM11800527
22,"You Get Me So High","The Neighbourhood",88,6A,88,2022-05-11,02:33,82,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,55,19,8,39,0,10,-6,G Minor,4,7zwn1eykZtZ5LODrf7c0tS,USSM11707131
23,"Backstabber","Kesha",160,9B,94,2022-03-04,03:06,72,"","Animal (Expanded Edition)",2010-01-01,60,7,0,83,10,30,-2,G Major,4,4GRFzKI7jTZ3kbMfouc7bn,USRC10900741
24,"A Pearl","Mitski",85,4B,64,2024-02-02,02:36,71,"","Be the Cowboy",2018-08-17,30,5,2,22,0,10,-4,G#/A♭ Major,4,7fd3aMiuwHWKsTdZafjOfZ,USJ5G1815004
25,"Nobody","Mitski",117,8B,72,2022-05-27,03:13,76,"","Be the Cowboy",2018-08-17,40,7,0,49,0,0,-5,C Major,4,2P5yIMu2DNeMXTyOANKS6k,USJ5G1815009
26,"Washing Machine Heart","Mitski",106,11B,82,2022-03-23,02:08,83,"","Be the Cowboy",2018-08-17,61,1,51,57,0,40,-4,A Major,4,3jjsRKEsF42ccXf8kWR3nu,USJ5G1815012
27,"Cake","Melanie Martinez",157,4B,66,2022-05-27,03:19,74,"","Cry Baby (Deluxe Edition)",2015-08-14,52,38,0,29,0,20,-6,G#/A♭ Major,4,5H3TCfiw0CQTX1XU7A9TXM,USAT21502464
28,"Pacify Her","Melanie Martinez",158,8A,59,2021-12-20,03:40,76,"","Cry Baby (Deluxe Edition)",2015-08-14,58,5,0,37,0,20,-6,A Minor,4,360Wr96ywrCQq4kTAJ8Pq6,USAT21501941
29,"Heart Burn","SUNMI",122,11A,66,2022-08-22,03:13,0,"k-pop","Heart Burn",2022-06-29,84,3,0,78,0,0,-5,F#/G♭ Minor,4,4JmbtS0Muijl37KP9lDscy,KRMIM2236311
30,"MOONLIGHT","TWICE",116,4A,70,2022-08-22,03:39,56,"k-pop","Formula of Love: O+T=<3",2021-11-12,81,2,0,96,0,0,-5,F Minor,4,14k4ALBLN2FjtELYDcQUoi,US5TA2100099
31,"Attention","NewJeans",105,3A,65,2022-08-22,03:00,77,"k-pop","NewJeans 1st EP 'New Jeans'",2022-08-01,81,24,0,70,0,0,-4,A#/B♭ Minor,4,2pIUpMhHL6L9Z5lnKxJJr9,USA2P2230221
32,"Hype Boy","NewJeans",100,9A,94,2022-12-29,02:59,78,"k-pop","NewJeans 1st EP 'New Jeans'",2022-08-01,59,27,0,78,20,20,-3,E Minor,4,0a4MMyCrzT0En247IhqZbD,USA2P2230222
33,"Silent Cry","Stray Kids",104,4A,88,2023-01-16,03:29,64,"k-pop, noise music","NOEASY",2021-08-23,69,14,0,59,0,20,-3,F Minor,4,5kBJH5gU89axZDauhfddpy,US5TA2100073
34,"Sorry, I Love You","Stray Kids",100,3B,66,2022-12-12,02:57,60,"k-pop, noise music","NOEASY",2021-08-23,74,36,0,60,0,20,-5,C♯/D♭ Major,4,5kkOHHTccylnkYxDRgDWMs,US5TA2100072
