#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Oh No!","MARINA",127,8B,90,2022-01-09,03:02,73,"","The Family Jewels",2009-07-15,77,5,0,96,0,20,-4,C Major,4,4sNwdacKyi2S26WrRtNama,GBFFS0900127
2,"Are You Satisfied?","MARINA",124,8B,73,2022-01-09,03:21,66,"","The Family Jewels",2009-07-15,67,32,0,80,0,0,-5,C Major,4,411Hvulc0PrGQLOHljTYed,GBFFS0900114
3,"Brand New City","Mitski",148,4A,83,2022-01-09,02:12,0,"","Lush",2012-01-31,48,5,0,66,0,0,-6,F Minor,4,3PXTIwwI5dmlgrY0iYQq4J,uscgh1222958
4,"National Anthem","Lana Del Rey",85,5A,90,2022-01-09,03:50,47,"","Born To Die (Deluxe Version)",2011-01-01,54,56,0,43,20,10,-6,C Minor,4,4YQEdFq6g95OrdksihaMgZ,GBUM71111567
5,"The Family Jewels","MARINA",112,7A,55,2022-01-09,04:05,55,"","The Family Jewels",2010-02-15,78,68,0,52,0,10,-5,D Minor,4,4pRfzrPuKvtqYGwOJ5F6ZZ,GBFFS0900130
6,"Wires","The Neighbourhood",73,6A,57,2022-01-09,03:13,64,"","I'm Sorry...",2013-05-08,57,0,10,27,0,30,-6,G Minor,4,5v8aEcHcaJIGYpfVVPtJjI,USSM11204648
7,"Helikopter","Fazlija",96,11A,97,2022-01-09,03:46,45,"","Helikopter",2016-01-21,47,40,0,86,20,30,-1,F#/G♭ Minor,4,3xGOOOPD2HjErQLyRFk5Wf,ATAJ11600001
8,"Bad Girls","M.I.A.",143,3B,91,2022-01-09,03:47,75,"","Matangi",2013-01-01,64,0,0,34,0,10,-3,C♯/D♭ Major,4,6nzXkCBOhb2mxctNihOqbb,USUG11200143
9,"Look What You Made Me Do","Taylor Swift",128,8A,71,2022-01-09,03:31,79,"","reputation",2017-11-10,77,20,0,51,10,10,-6,A Minor,4,1P17dC1amhFzptugyAO7Il,USCJY1750000
10,"Power & Control","MARINA",120,8A,90,2022-01-09,03:46,50,"","Electra Heart (Deluxe)",2012-04-27,53,1,0,48,0,10,-5,A Minor,4,2IPMpbBwyCm2V6azTZgAKj,GBFFS1200014
11,"I Did Something Bad","Taylor Swift",83,5A,60,2022-01-09,03:58,74,"","reputation",2017-11-10,70,7,0,31,10,0,-6,C Minor,4,4svZDCRz4cJoneBpjpx8DJ,USCJY1750005
