#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Sagittarius（射手座）","樊宇镈(Coulson Fan)",95,3B,69,-,03:17,47,"chinese r&b","Sagittarius（射手座）",2026-03-28,71,19,0,84,0,30,-6,C♯/D♭ Major,4,0rnRdigAqV90Yqljl4OzUc,QZTAY2668885
2,"I Found Out","niko rain,EJEAN",83,4B,72,-,02:27,55,"","I Found Out",2025-09-26,66,4,0,88,10,60,-5,G#/A♭ Major,4,0GfP2Zkn3XK4n6sURwGgxN,QT3EX2574590
3,"Make no sense","16",94,11B,63,-,03:13,51,"","STRANGER",2025-02-16,67,15,0,18,0,0,-6,A Major,4,37DC1WzJ4cNBDq7lJS8ojr,KRMIM2505673
4,"Love is you","entoy",110,1B,63,-,03:15,34,"","Love is you",2025-11-28,84,32,0,81,0,10,-7,B Major,4,5tErAiI5lGJ2EPzvmOtJhM,KRMIM2565716
5,"Hug","Fiji Blue",122,12B,56,-,02:48,49,"","Hug",2025-10-17,75,40,0,75,0,10,-8,E Major,4,2aBPvrCQYW1c6qhqo2qmck,CAN112501984
6,"ENTJ","樊宇镈(Coulson Fan)",119,10B,49,-,03:40,30,"chinese r&b","ENTJ",2025-07-10,87,4,0,44,0,0,-6,D Major,4,3cYj0Ckcztk5iMHkqIrRlx,QZWFE2570672
7,"401","RIKII",80,8B,60,-,03:22,41,"","401",2021-06-11,62,58,0,27,0,10,-8,C Major,4,5iUsZHxJHWvRWAKKu18swG,QZHN82186439
8,"Daisy","Kevin Chung",95,4A,48,-,02:44,44,"","Daisy",2024-03-27,68,29,0,35,0,10,-9,F Minor,4,71ndvkqDqhCGGgPTRF5KqP,QZPEW2414544
9,"Somebody","16",96,4B,57,-,02:32,42,"","Somebody",2025-10-29,68,32,0,38,0,10,-8,G#/A♭ Major,4,1Lzl9khK8ORJofCt41Kuks,KRMIM2560046
10,"Lie To Me","Lahar",118,4B,72,-,02:54,43,"","Lie To Me",2023-11-16,76,36,0,59,0,0,-6,G#/A♭ Major,4,269ukR3uYj2IRFbMm72xge,QZTBE2321068
11,"Gemini","樊宇镈(Coulson Fan)",95,2B,61,-,02:58,29,"chinese r&b","Gemini",2026-01-30,70,39,0,84,0,10,-6,F#/G♭ Major,4,077d3TNyk6VIlA9t1HSooa,QZHN72621768
12,"dandelions","brb.",105,1B,68,-,03:12,46,"","the blueprint",2025-10-24,69,62,0,68,0,10,-6,B Major,4,4scU0oTj0SuHcL9f5kC6gP,QZNJW2579900
