#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"レーザービーム","Perfume",135,4A,97,2025-03-31,03:31,46,"j-pop, shibuya-kei","Perfume The Best  P Cubed ",2019-09-18,63,1,1,96,0,10,-1,F Minor,4,3mqySweT4nISLmcHXFPUsI,JPTK01101430
2,"だいじょばない","Perfume",128,11A,99,2025-07-06,03:05,26,"j-pop, shibuya-kei","未来のミュージアム",2013-01-01,56,4,84,89,0,10,-2,F#/G♭ Minor,4,4cRVNPqz6NrOhnoubcloWM,JPPO01328858
3,"Magic of Love","Perfume",128,10A,94,2025-03-31,03:41,51,"j-pop, shibuya-kei","Magic of Love",2013-01-01,63,2,0,93,0,30,-2,B Minor,4,1cYA3YfOwvpaw7Tj87GpHT,JPPO01335749
4,"コミュニケーション","Perfume",115,8B,87,2025-07-06,03:56,42,"j-pop, shibuya-kei","Spring of Life",2012-04-11,81,1,0,96,0,0,-3,C Major,4,3QwkPWlV0Y75z2LHcTBOH2,JPPO01201330
5,"インベーダーインベーダー","Kyary Pamyu Pamyu",160,4B,92,2025-03-31,04:11,53,"j-pop, shibuya-kei","なんだこれくしょん",2013-06-26,54,4,0,78,0,0,-2,G#/A♭ Major,4,4fdB7D3ie0C6HZLEb8VTHA,JPWP01370689
6,"キミに100パーセント","Kyary Pamyu Pamyu",160,4B,95,2025-03-31,03:20,49,"j-pop, shibuya-kei","KPP BEST",2016-05-25,71,31,1,93,0,10,-2,G#/A♭ Major,4,3BPnFpAL02Bos8EoTLnO9R,JPWP01271856
7,"合法的トビ方ノススメ","Creepy Nuts",133,3A,97,2025-03-31,03:58,51,"anime, j-pop, j-rap","たりないふたり",2016-01-20,67,60,0,67,10,30,-4,A#/B♭ Minor,4,1YjB7JgaWxUSOAsuCBOQEM,JPG770709580
8,"Gloomy Flash (Hyper Speed Garage Mix)","poplavor,Zekk,mami",164,3A,98,2025-03-31,03:11,11,"future bass, j-dance, speedcore, ","Gloomy Flash (Hyper Speed Garage Mix)",2021-04-30,75,0,53,87,30,20,-5,A#/B♭ Minor,4,5DXayURGPoE7T1YBGO8s3l,QZMHK2017297
9,"Beautiful World - 2021 Remastered","Hikaru Utada",115,7B,84,2025-03-31,05:16,49,"j-pop, j-r&b, anime","Beautiful World (2021 Remastered)",2007-08-29,68,13,0,32,0,0,-5,F Major,4,6cPHaJHAL0c2PCzTuVYEf1,JPPO02004049
10,"ヒステリックナイトガール -Awakening- (feat. Such)","PSYQUI,Such",160,9A,97,2025-03-31,03:25,44,"future bass, j-pop, japanese indie, j-dance","innocent",2018-12-31,55,0,41,64,0,20,-3,E Minor,4,1tN7aDZqjPNViDsH2vs22X,TCJPJ1935587
