#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Swim","Chase Atlantic",120,4B,54,2025-11-15,03:48,86,"","Chase Atlantic",2017-10-04,67,27,0,8,0,0,-6,G#/A♭ Major,4,3M0lSi5WW79CXQamgSBIjx,USWB11701711
2,"Consume (feat. Goon Des Garcons)","Chase Atlantic,GOON DES GARCONS*",146,8A,71,2025-11-15,04:27,78,"","Chase Atlantic",2017-10-04,56,7,0,43,10,20,-5,A Minor,4,0X2bh8NVQ8svDQIn2AdCbW,USWB11701710
3,"Love Me","Lil Wayne,Drake,Future",125,1B,63,2025-11-15,04:15,87,"rap, hip hop","I Am Not A Human Being II (Deluxe)",2013-01-01,67,1,0,50,0,0,-6,B Major,4,2XHzzp1j4IfTNp1FTn7YFg,USCM51300001
4,"Gabriela","KATSEYE",146,9B,75,2025-11-16,03:17,91,"k-pop","Gabriela",2025-06-20,65,18,0,62,0,30,-5,G Major,4,1xOqGUkyxGQRdCvGpvWKmL,USUM72503465
5,"Mind Games","Sickick",85,11B,45,2025-11-15,04:18,42,"","Mind Games",2017-11-16,69,47,6,36,0,20,-9,A Major,4,2wsYPQ6r1x829NPK1yR40P,QZANL1751842
6,"Never Leave You Lonely","lil vinax",138,12B,16,2026-02-06,02:19,34,"","Never Leave You Lonely",2025-08-26,70,52,85,47,10,10,-22,E Major,4,5zhCJEECaUDb5pKjYdscco,USDHM2504822
7,"Gata Only","FloyyMenor,Cris MJ",100,1A,50,2025-11-15,03:42,85,"reggaeton chileno, chilean trap, chilean mambo, reggaeton","Gata Only",2024-02-02,79,45,0,67,0,0,-8,G#/A♭ Minor,4,6XjDF6nds4DE2BBbagZol6,QZL382406049
8,"Heavy","The Marías",97,8B,41,2025-12-17,04:13,83,"bedroom pop","CINEMA",2021-06-25,76,33,75,73,0,0,-8,C Major,4,1ShRHPAiiIrh0arZbSFmx1,USAT22100694
9,"Moonlight","Kali Uchis",137,6A,72,2025-11-15,03:07,76,"","Moonlight",2023-02-24,64,48,0,89,0,10,-6,G Minor,4,2i2gDpKKWjvnRTOZRhaPh2,USUM72219486
10,"Illegal","PinkPantheress",141,5A,89,2026-02-12,02:29,83,"bedroom pop","Fancy That",2025-05-09,62,7,0,52,0,10,-5,C Minor,4,1WmBVbFmLt0w6zPP37TeCG,GBAYE2500026
11,"Sunday Morning","Maroon 5",88,8B,77,2026-02-11,04:04,84,"pop","Songs About Jane: 10th Anniversary Edition",2002-00-00,61,9,0,81,0,0,-5,C Major,4,5qII2n90lVdPDcgXEEVHNy,USJAY0300086
12,"Ditto","NewJeans",134,11A,64,2025-12-20,03:05,80,"k-pop","Ditto",2022-12-19,81,3,0,18,10,10,-6,F#/G♭ Minor,4,3r8RuvgbX9s7ammBn07D3W,USA2P2254487
13,"That's What I Like","Bruno Mars",134,3B,56,2025-11-15,03:26,92,"","24K Magic",2016-11-18,85,1,0,86,0,0,-5,C♯/D♭ Major,4,0KKkJNfGyhkQ5aFogxQAPU,USAT21602948
14,"back to friends","sombr",93,3B,72,2025-11-16,03:19,93,"","I Barely Know Her",2025-08-22,44,0,0,24,0,0,-2,C♯/D♭ Major,4,7qjZnBKE73H4Oxkopwulqe,USWB12405502
15,"Die For You","The Weeknd",134,12A,53,2025-11-15,04:20,86,"","Starboy",2016-11-24,59,11,0,51,0,10,-7,C♯/D♭ Minor,4,2LBqCSwhJGcFQeTHMVGwy3,USUG11600995
16,"Duvet","bôa",93,10A,89,2026-02-12,03:23,86,"","Twilight",2001-03-21,58,19,0,71,0,0,-9,B Minor,4,42qNWdLKCI41S4uzfamhFM,USCGJ0659337
17,"PELIGROSA","FloyyMenor",100,11A,44,2025-11-15,02:14,76,"reggaeton chileno","PELIGROSA",2024-07-12,78,32,0,84,0,0,-9,F#/G♭ Minor,4,5PCGEfALcpGtURIuTqvX0R,QZNMT2414551
18,"Superpowers","Daniel Caesar",107,9B,43,2025-11-15,02:54,86,"","NEVER ENOUGH",2023-04-07,46,61,3,5,0,10,-9,G Major,5,736PP5LTtREkDgktNmX3Gu,USUG12209368
19,"Cardigan","Luke Willies",112,3B,38,2026-01-14,03:58,63,"","Cardigan",2025-08-06,37,39,95,10,0,10,-13,C♯/D♭ Major,4,2fo2clElEGbrTndKLbs0J0,QZVEM2394565
20,"CRAZY","LE SSERAFIM",130,10A,90,2025-11-15,02:44,73,"k-pop","CRAZY",2024-08-30,80,1,0,53,10,10,-2,B Minor,4,3AoEQRuFf8zVXWqSLo2UOi,USA2P2449061
21,"2 On (feat. ScHoolboy Q)","Tinashe,ScHoolboy Q",101,11B,60,2025-11-19,03:47,83,"alternative r&b, ","Aquarius",2014-10-01,74,15,0,43,10,10,-8,A Major,4,3jVtllWS5CFFWLQng8sKsr,USRC11301176
22,"The Machine","Reed Wonder,Aurora Olivas",100,3A,44,2025-11-15,03:12,74,"dark r&b","The Machine",2023-03-17,34,25,1,10,0,0,-12,A#/B♭ Minor,4,19ItuvrZfTudwC6S5lkDH3,QZES82311224
23,"GOOD LOYAL THOTS","Odetari",146,2B,86,2025-11-16,01:42,74,"hyperpop","GOOD LOYAL THOTS",2023-03-15,59,6,0,61,10,10,-5,F#/G♭ Major,4,06tNJ27nVxbDwhiQMChWyr,QZES92330937
24,"Not My Problem","Laila!",138,9B,74,2025-11-15,02:39,29,"sexy drill","Gap Year!",2024-09-06,45,8,0,24,0,40,-8,G Major,5,1FWSt1WYN4KcMtM1DVDERa,QZS642414532
25,"Lady Killers II","G-Eazy",136,6A,57,2025-11-15,04:57,50,"","Lady Killers II",2024-03-17,67,3,1,50,0,10,-10,G Minor,4,068AyhyvE67qMRsMXLqAnd,TCAIA2495220
