#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"masquerade","siouxxie sixxsta",161,11B,79,2021-12-11,02:24,67,"hyperpop","masquerade",2021-11-11,61,0,65,61,0,20,-6,A Major,4,0RYHqnmtNRfbYxP6Dn8Vse,USAT22107451
2,"The Real Slim Shady","Eminem",105,4A,66,2021-12-11,04:44,86,"rap, hip hop","The Marshall Mathers LP",2000-05-23,95,3,0,76,0,0,-4,F Minor,4,3yfqSUWxFvZELEM4PmlwIR,USIR10000448
3,"Maneater","Nelly Furtado",133,2B,77,2021-12-11,04:18,1,"","Loose",2006-01-01,79,3,0,73,0,10,-5,F#/G♭ Major,4,1M9uq2yCiOhsO6BFozo2OE,USUM70601449
4,"Rich Girl","Gwen Stefani,Eve",98,6A,75,2021-12-11,03:56,76,"","Love. Angel. Music. Baby.",2004-11-12,86,3,0,76,0,20,-3,G Minor,4,2oxtQ84p1j5GmyzmD50Lq0,USIR10400846
5,"Supermassive Black Hole","Muse",120,9B,92,2021-12-11,03:32,84,"alternative rock, rock","Black Holes and Revelations",2006-06-28,67,5,1,78,0,0,-4,G Major,4,3lPr8ghNDBLc2uZovNyLs9,GBAHT0500593
6,"The Hills","The Weeknd",113,5A,56,2021-12-11,04:02,88,"","Beauty Behind The Madness",2015-08-28,59,7,0,14,0,10,-7,C Minor,4,7fBv7CLKzipRk6EC6TWHOB,USUG11500737
7,"Confident","Justin Bieber,Chance the Rapper",134,4A,56,2021-12-11,04:08,92,"","Journals",2014-05-13,74,11,0,89,10,20,-5,F Minor,4,3JsydWaf2Ev4ehaLUjj3SY,USUM71319306
8,"After Dark","Mr.Kitty",140,4B,60,2021-12-11,04:17,3,"witch house, darkwave","Time",2014-08-08,58,7,41,4,0,0,-10,G#/A♭ Major,4,0zCgWGmDF0aih5qexATyBn,GBKPL1412568
9,"Slow Down","Chase Atlantic",130,6B,79,2021-12-11,03:32,2,"","Paradise EP",2016-12-20,48,2,0,26,0,20,-4,A#/B♭ Major,4,5lT5IZWW3JQErXELJpQgJ9,AUBEC1933728
10,"Don't Like.1","Kanye West,Chief Keef,Pusha T,Big Sean,Jadakiss",132,11A,61,2021-12-12,04:43,60,"rap, chicago drill, drill, east coast hip hop","Kanye West Presents Good Music Cruel Summer",2012-01-01,66,1,0,63,20,10,-5,F#/G♭ Minor,4,2rJvc7nSYWBKAuNUMx1Cr2,USUM71209911
11,"Tear You Apart","She Wants Revenge",153,12A,73,2021-12-23,04:44,2,"darkwave, gothic rock","She Wants Revenge",2005-01-01,58,0,0,54,0,40,-7,C♯/D♭ Minor,4,3urJUvRhgMrwydaTQFVEg9,USUM70503877
12,"Barbie & Ken","Jesse®",78,10A,51,2022-01-05,02:52,41,"","&",2017-11-10,76,8,0,34,0,20,-9,B Minor,4,5umpUlMmzgFbtGpDl6ErZQ,USSM11709283
13,"7 rings","Ariana Grande",140,12A,32,2022-01-24,02:58,86,"pop","thank u, next",2019-02-08,78,59,0,33,30,0,-11,C♯/D♭ Minor,4,6ocbgoVGwYJhOv1GgI9NsF,USUM71900110
14,"NEW MAGIC WAND","Tyler, The Creator",140,4A,73,2022-01-24,03:15,78,"","IGOR",2019-05-17,62,10,0,46,10,60,-5,F Minor,4,0fv2KH6hac06J86hBUTcSf,USQX91901115
15,"Feeling Good","Michael Bublé",115,3B,55,2022-03-10,03:57,73,"christmas","It's Time",2005-02-08,54,53,0,48,0,10,-7,C♯/D♭ Major,3,1AM8QdDFZMq6SrrqUnuQ9P,USRE10401889
16,"Lay All Your Love On Me","ABBA",133,7A,73,2022-03-10,04:34,82,"","Super Trouper",1980-00-00,68,12,0,71,0,30,-8,D Minor,4,4euAGZTszWPrriggYK0HG9,SEAYD8001090
17,"Back To Black","Amy Winehouse",123,6A,42,2022-03-10,04:01,79,"","Back To Black (Deluxe Edition)",2006-00-00,43,13,0,38,0,0,-14,G Minor,4,3FAclTFfvUuQYnEsptbK8w,GBUM70604698
18,"Radioactive","Imagine Dragons",136,11B,78,2022-03-10,03:06,81,"","Night Visions",2012-09-04,45,10,0,24,0,60,-4,A Major,4,62yJjFtgkhUrXktIoSjgP2,USUM71201074
19,"Gangsta's Paradise","Coolio,L.V.",80,4B,51,2022-03-10,04:00,9,"west coast hip hop, g-funk, ","Gangsta's Paradise",1995-11-07,65,7,0,39,0,40,-10,G#/A♭ Major,4,7lQWRAjyhTpCWFC0jmclT4,USTB10400128
20,"Beware","Big Sean,Lil Wayne,Jhené Aiko",97,3B,55,2022-03-12,03:55,70,"rap, hip hop, r&b","Hall Of Fame (Deluxe)",2013-01-01,70,22,0,6,10,40,-6,C♯/D♭ Major,4,6bxUnsSGZCmoHHU5auwtps,USUM71307500
21,"Gangsta","Kehlani",121,3A,45,2022-03-12,02:57,76,"","Suicide Squad: The Album",2016-08-05,44,11,0,11,0,30,-8,A#/B♭ Minor,4,1W7zkKgRv9mrLbfdQ8XyH3,USAT21602008
22,"Do I Wanna Know?","Arctic Monkeys",85,7B,53,2022-03-13,04:32,89,"indie, garage rock","AM",2013-09-09,55,19,0,41,0,20,-8,F Major,4,5FVd6KXrgO9B3JPmC8OPst,GBCEL1300362
23,"Play with Fire (feat. Yacht Money)","Sam Tinnesz,Yacht Money",75,7A,54,2022-03-13,03:00,74,"","Play with Fire (feat. Yacht Money)",2017-07-07,57,2,0,39,0,10,-6,D Minor,4,7vguMCv8uVuZLiQJ156u3Z,TCADC1794515
24,"Centuries","Fall Out Boy",176,9A,86,2022-03-13,03:48,83,"emo, pop punk","American Beauty/American Psycho",2015-01-16,39,0,0,56,0,10,-3,E Minor,4,04aAxqtGp5pv12UXAg4pkq,USUM71412644
25,"High Enough","K.Flay",89,8B,62,2022-03-13,03:51,62,"","Every Where Is Some Where",2017-04-07,37,3,10,51,0,10,-5,C Major,4,1D9HQactbJoUudf9B119Y5,USUM71701789
26,"in my head","Ariana Grande",135,8B,60,2022-03-21,03:42,70,"pop","thank u, next",2019-02-08,66,17,0,33,0,10,-6,C Major,4,4T652DlATVHe0jdLKaN3Bw,USUM71900407
27,"RAVE","Dxrk ダーク",120,4B,75,2022-04-28,02:49,70,"phonk, drift phonk","RAVE",2022-03-18,72,24,85,34,0,10,-6,G#/A♭ Major,4,01kfSdF9zfcDLri5sSWEoL,QM4TX2201027
28,"Bad Blood","Taylor Swift",170,9B,80,2022-04-28,03:31,73,"","1989",2014-01-01,65,9,0,30,10,10,-6,G Major,4,0TvQLMecTE8utzoNmvXRbK,USCJY1431369
29,"Bad Girls","M.I.A.",143,3B,91,2022-04-28,03:47,75,"","Matangi",2013-01-01,64,0,0,34,0,10,-3,C♯/D♭ Major,4,6nzXkCBOhb2mxctNihOqbb,USUG11200143
30,"BABYDOLL (Speed)","Ari Abdul",105,1B,58,2022-05-16,02:36,70,"dark r&b","BABYDOLL (Speed)",2022-04-01,55,8,21,54,0,10,-6,B Major,4,5K3SJuYEkvvrLbzOjPyRi1,USRC12201248
31,"Sahara","Hensonn",115,10B,52,2022-06-01,02:51,66,"phonk, drift phonk","Sahara",2021-11-16,62,15,77,5,0,10,-9,D Major,4,6nqdgUTiWt4JbABDurkxMI,QMDA72134986
32,"Animals","Maroon 5",190,9A,74,2022-06-01,03:51,85,"pop","V",2014-09-02,28,0,0,33,0,50,-6,E Minor,4,2bL2gyO6kBdLkNSkxXNh6x,USUM71409576
33,"Tourner Dans Le Vide","Indila",120,11A,70,2022-06-01,04:06,75,"french pop","Mini World",2014-01-01,59,10,0,38,0,10,-9,F#/G♭ Minor,4,1MqzIgGsHP4cNjPboevsfq,FRUM71400047
34,"E.T.","Katy Perry",150,4A,86,2022-06-17,03:26,69,"pop","Teenage Dream",2010-01-01,60,2,0,73,0,30,-5,F Minor,4,4kkeuVl6gF3RMqE4Nn5W3E,USCA21001256
35,"Crucified","Army Of Lovers",122,9A,87,2022-06-17,03:34,61,"europop","Massive Luxury Overdose",1991-00-00,60,0,0,47,0,30,-12,E Minor,4,6fXzdWgyZhDeLmlzC7Mvco,USGI10000215
36,"HONEY","LUNA AURA",119,11B,90,2022-06-17,02:35,43,"","HONEY",2020-08-07,47,3,0,45,10,0,-5,A Major,4,7AVf3MdvwHM5CdOdquzu9c,QM4FK2000065
37,"Me and Your Mama","Childish Gambino",118,7B,43,2022-06-20,06:19,2,""," Awaken, My Love! ",2016-12-02,55,1,4,24,0,0,-13,F Major,3,31tf1qEai5o5f4r66Kd0pU,USYAH1600102
38,"Let Me Love You","Ariana Grande,Lil Wayne",103,10B,44,2022-06-20,03:43,1,"pop, rap, hip hop","Dangerous Woman",2016-05-20,53,3,0,8,10,20,-8,D Major,3,5AKlnLpP3WLwZseNbjquND,USUM71601828
39,"Song 2","Blur",130,4B,71,2022-06-30,02:01,71,"britpop, madchester, alternative rock","Blur: The Best Of",2000-10-23,66,0,0,86,0,0,-7,G#/A♭ Major,4,3GfOAdcoc3X5GPiiXmpBjK,GBAYE9600015
40,"Arabella","Arctic Monkeys",180,10B,56,2022-07-06,03:27,77,"indie, garage rock","AM",2013-09-09,58,2,0,51,0,20,-7,D Major,4,7nzsY8vlnKdvGOEE0rjAXZ,GBCEL1300365
41,"I’m So Sorry","Imagine Dragons",143,7A,68,2022-07-06,03:50,65,"","Smoke + Mirrors",2014-09-18,52,13,0,37,0,20,-6,D Minor,4,4o74y4XY1ypNZkZtZkK8Wi,USUM71417931
42,"Woman","Doja Cat",108,4A,76,2022-07-06,02:52,85,"","Planet Her",2021-06-25,82,9,0,88,0,10,-4,F Minor,4,6Uj1ctrBOjOas8xZXGqKk4,USRC12101532
43,"Can You Feel My Heart","Bring Me The Horizon",171,9A,86,2022-07-07,03:47,81,"metalcore, emo, rock, screamo, post-hardcore","Sempiternal (Expanded Edition)",2013-04-01,15,0,19,35,0,30,-3,E Minor,5,0WSa1sucoNRcEeULlZVQXj,GBARL1202415
44,"NEON BLADE","MoonDeity",95,9B,100,2022-07-21,04:25,66,"phonk, drift phonk","NEON BLADE",2022-06-01,55,3,92,89,10,60,-2,G Major,4,0iUrxveyNUBfj0cqjYEijt,SE6QE2237231
45,"I Mean It (feat. Remo)","G-Eazy,Remo the Hitmaker",140,6B,56,2022-08-02,03:56,68,"","These Things Happen",2014-06-23,71,13,0,14,10,10,-6,A#/B♭ Major,4,6jmTHeoWvBaSrwWttr8Xvu,USRC11400730
46,"Blurred Lines","Robin Thicke,T.I.,Pharrell Williams",120,9B,60,2022-08-09,04:23,79,"southern hip hop, ","Blurred Lines (Deluxe)",2013-01-01,85,0,0,84,0,0,-5,G Major,4,0n4bITAu0Y0nigrz3MFJMb,USUM71307668
47,"Blood In The Cut","K.Flay",130,10B,66,2022-08-09,03:08,60,"","Every Where Is Some Where",2017-04-07,77,12,2,64,0,10,-5,D Major,4,4q604hQba5940BbOoaenmz,USUM71607030
48,"See Me Fall - Y2K Remix","Ro Ransom,Y2K",110,4B,83,2022-08-09,03:21,60,"","Momentum (Mixtape)",2017-10-27,63,30,0,13,10,10,-5,G#/A♭ Major,4,5MLreTrtwv7fGyyAy0RyeB,QM42K1602291
49,"Blue Monday","New Order",130,8B,65,2022-08-13,07:29,76,"new wave, synthpop, post-punk, madchester","Substance",1987-08-17,76,0,86,94,0,10,-13,C Major,4,6hHc7Pks7wtBIW8Z6A0iFq,GBAAP0001115
50,"BOOGIE","BROCKHAMPTON",110,3B,93,2022-09-18,03:13,62,"","SATURATION III",2017-12-15,60,1,0,28,20,30,-3,C♯/D♭ Major,4,3NuN59jpH3B5cNa2M4r7XG,USUYG1167865
51,"Who Is She ?","I Monster",153,12A,80,2022-09-18,03:33,0,"","Neveroddoreven",2005-01-27,40,7,1,11,0,0,-4,C♯/D♭ Minor,4,6AdgGDGbdRMoCVkGye11Zw,GBDKA0300194
52,"Thriller","Michael Jackson",118,1B,86,2022-09-18,05:57,72,"","Thriller 25 Super Deluxe Edition",2008-02-08,77,9,0,81,0,90,-5,B Major,4,3S2R0EVwBSAVMd5UMgKTL0,USSM19902989
53,"Glory Box","Portishead",120,3B,43,2022-09-25,05:08,79,"trip hop, downtempo","Dummy",1994-01-01,51,18,52,21,0,0,-10,C♯/D♭ Major,4,3Ty7OTBNSigGEpeW2PqcsC,GBAQT9400066
54,"Superman","Eminem,Dina Rae",130,9A,76,2022-09-25,05:50,84,"rap, hip hop, ","The Eminem Show",2002-05-26,80,2,0,58,0,30,-3,E Minor,4,4woTEX1wYOTGDqNXuavlRC,USIR10211062
55,"Okay","Chase Atlantic",130,8B,82,2022-09-25,03:32,69,"","Chase Atlantic",2017-10-04,61,11,0,43,10,10,-7,C Major,4,492PZFHvGTm3RZZYeeUVWT,USWB11701714
56,"Without Me","Eminem",112,9B,67,2022-09-25,04:50,89,"rap, hip hop","The Eminem Show",2002-05-26,91,0,0,66,0,20,-3,G Major,4,7lQ8MOhq6IN2w8EYcFNSUk,USIR10211038
57,"Killshot","Magdalena Bay",99,9A,53,2022-09-27,03:56,65,"","Killshot",2019-10-30,73,0,0,37,0,0,-6,E Minor,4,2tdNI4jmNQkOT41LSTSA17,QMBZ91920866
58,"Chicago","Michael Jackson",176,6A,76,2022-09-27,04:05,86,"","XSCAPE",2014-05-09,61,8,0,55,10,10,-3,G Minor,4,5BKKy9fIJL5uM9fz1SnqyP,USSM11401745
59,"Blood Gets Thin","Pete And The Pirates",141,8B,78,2022-10-09,03:08,37,"","One Thousand Pictures",2011-05-23,40,0,0,49,0,20,-7,C Major,4,4Ik9Yhh91b4KsCuyx9NtyF,GBPKZ1100014
60,"Skyfall","Adele",76,5A,55,2022-10-09,04:46,86,"soft pop","Skyfall",2012-10-04,35,42,0,8,0,10,-7,C Minor,4,6VObnIkLVruX4UVyxWhlqm,GBBKS1200164
61,"Heartless","The Weeknd",170,3A,75,2022-10-09,03:18,79,"","After Hours",2020-03-20,54,2,0,25,10,10,-6,A#/B♭ Minor,4,6bnF93Rx87YqUBLSgjiMU8,USUG11904007
62,"I290","ImyNoah",115,4B,45,2022-11-06,02:01,34,"","Don't Be Scared of the Dark",2021-01-23,90,37,0,30,0,0,-11,G#/A♭ Major,4,33n6KUTa142bu0mHPQWwTn,TCAFJ2112378
63,"The Perfect Girl","Mareux",129,1A,91,2022-11-07,03:14,0,"darkwave, cold wave","The Perfect Girl",2019-10-13,40,0,84,29,10,10,-5,G#/A♭ Minor,4,6J4XizhuOlKmPWykPrHIrV,QZF8N1986577
