#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Lose Yourself","Eminem",171,10B,74,2025-12-21,05:26,81,"rap, hip hop","Curtain Call: The Hits (Deluxe Edition)",2005-12-06,69,1,0,6,20,30,-5,D Major,4,5Z01UMMf7V1o0MzF86s6WJ,USIR10211559
2,"Beat It","Michael Jackson",139,2A,87,2025-12-21,04:18,78,"","Thriller 25 Super Deluxe Edition",2008-02-08,78,5,0,92,0,20,-4,D#/E♭ Minor,4,1OOtq8tRnDM8kG2gqUPjAj,USSM19902990
3,"TOMBOY","i-dle",124,12A,87,2025-12-21,02:54,5,"k-pop","I NEVER DIE",2022-03-14,76,1,0,65,0,0,-2,C♯/D♭ Minor,4,0IGUXY4JbK18bu9oD4mPIm,KRA392100080
4,"I WANNA BE YOUR SLAVE","Måneskin",133,3B,61,2025-12-21,02:53,86,"","Teatro d'ira - Vol. I",2021-03-19,75,0,0,96,0,10,-4,C♯/D♭ Major,4,4pt5fDVTg5GhEvEtlz9dKk,ITB002100115
5,"Kafama Göre","Athena",120,11B,91,2025-12-21,03:13,57,"turkish pop, anatolian rock","Altüst",2014-10-11,47,7,0,91,0,20,-5,A Major,4,3XOpY6WO7bMv87tf1DooG2,TR0441414702
6,"Hey Sexy Lady","Shaggy,Brian & Tony Gold",102,2A,55,2025-12-21,03:19,74,"reggae, dancehall, lovers rock","Lucky Day",2002-10-29,96,1,0,64,0,20,-7,D#/E♭ Minor,4,4u8IPU322yG7mNrqv89GGL,USMC10201202
7,"Supermassive Black Hole","Muse",120,9B,92,2025-12-21,03:32,84,"alternative rock, rock","Black Holes and Revelations",2006-06-28,67,5,1,78,0,0,-4,G Major,4,3lPr8ghNDBLc2uZovNyLs9,GBAHT0500593
8,"SexyBack (feat. Timbaland)","Justin Timberlake,Timbaland",117,6A,58,2025-12-21,04:02,87,"","FutureSex/LoveSounds",2006-09-12,97,6,0,96,0,0,-6,G Minor,4,0O45fw2L5vsWpdsOdXwNAR,USJI10600269
9,"Poker Face","Lady Gaga",119,12B,81,2025-12-21,03:57,86,"art pop, pop","The Fame",2008-01-01,85,12,0,77,0,10,-5,E Major,4,1QV6tiMFM6fSOKOGLMHYYg,USUM70824409
10,"Lay All Your Love On Me","ABBA",133,7A,73,2025-12-21,04:34,82,"","Super Trouper",1980-00-00,68,12,0,71,0,30,-8,D Minor,4,4euAGZTszWPrriggYK0HG9,SEAYD8001090
