#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Sagittarius（射手座）","樊宇镈(Coulson Fan)",95,3B,69,-,03:17,47,"chinese r&b","Sagittarius（射手座）",2026-03-28,71,19,0,84,0,30,-6,C♯/D♭ Major,4,0rnRdigAqV90Yqljl4OzUc,QZTAY2668885
2,"Escape","mikah",98,2B,46,-,04:04,38,"chinese r&b","Escape",2025-10-17,36,85,0,17,0,10,-10,F#/G♭ Major,4,2qqxjg91h2XgfAy1bRpieo,JPB602503383
3,"Cosmic","Celine Wanyi",94,3A,48,-,02:31,63,"","Cosmic",2025-08-27,71,14,0,69,0,10,-7,A#/B♭ Minor,4,7dTVx630q32E7NBBylFnfG,QZZ762592966
4,"swan song","brb.",80,11A,64,-,03:25,43,"","the blueprint",2025-10-24,69,50,0,39,10,30,-5,F#/G♭ Minor,4,5E9GFYeMdd6asHesvMflaT,QZNJZ2522344
5,"say so","JHIN",117,3B,53,-,03:39,57,"","say so",2025-09-12,81,23,3,97,0,10,-10,C♯/D♭ Major,4,6Uv1JFj9jmtOlVpR47IKxI,QZZ7L2523129
6,"ENTP","樊宇镈(Coulson Fan)",142,10B,50,-,03:40,47,"chinese r&b","ENTP",2025-07-29,70,43,0,31,0,10,-7,D Major,4,0OvsdQdclJdS6dQspsaKzt,QZWFP2592683
7,"what we could have been.","slone",93,5A,67,-,02:17,50,"","what we could have been.",2025-09-04,69,32,0,15,0,10,-8,C Minor,4,4JyQk2WPzQpzILB5K2avur,QT4K42526953
8,"In Between","mikah",130,2B,25,-,03:15,35,"chinese r&b","Homesick",2025-11-18,53,86,0,17,0,10,-12,F#/G♭ Major,4,5CpWHFzsuPULLqrLNIN7OG,JPB602503589
9,"Fine","RIKII",98,2B,56,-,02:43,49,"","Fine",2025-12-12,72,33,2,42,0,20,-8,F#/G♭ Major,4,7ahujqMJOEezGXr3ETzRpz,QT6F72564682
10,"I Love This Song","Jessie Hill,ZUHAIR",132,9B,32,-,03:21,41,"nz reggae, ","I Love This Song",2025-11-28,68,77,0,35,10,10,-12,G Major,4,1AK6SU1MKmXP7ItyUdHGfd,AUG0H2501510
11,"Dear New Year","樊宇镈(Coulson Fan)",95,10B,71,-,03:10,36,"chinese r&b","Dear New Year",2025-12-30,74,57,0,42,0,20,-6,D Major,4,34aIgeUYglurC9qn6UuBXr,QT6G92575166
12,"Heavenmade","JHIN",170,1B,69,-,03:29,58,"","Heavenmade",2024-07-18,56,25,0,42,0,10,-6,B Major,4,7K6XQTW4sbLyp0GfJ0cA2m,TLVEM2429140
13,"history","Celine Wanyi",77,9B,49,-,03:18,54,"","history",2025-05-02,47,6,0,32,10,0,-7,G Major,4,4GCG4wue41tcJjOD6zhRWq,QZMEM2576777
14,"Dream","mikah",162,8B,63,-,02:54,36,"chinese r&b","Homesick",2025-11-18,67,58,0,34,0,10,-7,C Major,4,1OpgKay3Z8cmxVsi50OFqX,JPB602503590
15,"Sing","RIKII",145,2B,47,-,02:45,46,"","Sing",2025-10-17,64,62,0,58,0,30,-10,F#/G♭ Major,4,3coQvpxHPFbkjWxlJUI6ob,QT3F72585678
16,"Gemini","樊宇镈(Coulson Fan)",95,2B,61,-,02:58,29,"chinese r&b","Gemini",2026-01-30,70,39,0,84,0,10,-6,F#/G♭ Major,4,077d3TNyk6VIlA9t1HSooa,QZHN72621768
17,"Real tight, Real slow","16",148,10B,68,-,02:46,44,"","Not Anymore",2026-03-12,50,46,0,49,0,10,-6,D Major,4,21gkr60F7psOt3pNZGsGUg,KRMIM2571631
18,"xx","The Millennial Club",90,1B,55,-,03:22,52,"","When It’s Just You & I (Deluxe)",2022-12-08,47,56,0,22,0,20,-6,B Major,4,3dUipZ8OPRaWetU85XsvDI,QZFYY2251817
19,"You Arrived","ZUHAIR,Labit",84,7B,32,-,03:37,39,"","You Arrived",2026-02-11,63,69,0,48,0,10,-10,F Major,4,07ttGJgiMoA0LpEnH6VOwV,QZHN62641801
20,"Ocean Blue!","EJEAN,niko rain",91,1B,56,-,02:52,53,"","Ocean Blue!",2025-09-19,66,19,0,84,0,30,-9,B Major,4,0oidZjEhNZTQPZErfyLiN7,QZZ7V2537106
21,"Butterflies","88rising,mikah",132,3A,46,-,02:28,34,"chinese r&b","Butterflies",2025-09-16,66,68,0,24,0,10,-10,A#/B♭ Minor,4,4QGTnh9AxekobAMvaHfNAo,QMFME2537268
22,"dandelions","brb.",105,1B,68,-,03:12,46,"","the blueprint",2025-10-24,69,62,0,68,0,10,-6,B Major,4,4scU0oTj0SuHcL9f5kC6gP,QZNJW2579900
23,"Trust","RIKII",144,4B,69,-,03:10,45,"","Trust",2023-09-22,65,36,0,28,0,10,-7,G#/A♭ Major,4,7jFNdkov1aR1MG1d8qRLgj,QZTAX2301669
24,"HEARSE","keanu.,slone",139,10B,47,-,02:36,33,"","blush.",2026-01-09,62,81,0,40,0,10,-11,D Major,4,48FwRoq2hG2Ni4MOpb4ZBe,QT62V2533724
25,"UNDERNEATH THE SURFACE","mikah",76,12B,44,-,02:48,33,"chinese r&b","PRETTY LIES",2024-11-22,48,68,5,29,0,20,-10,E Major,4,6wbanQxBFvfsrohU78NTXs,JPB602402901
26,"Aquarius","樊宇镈(Coulson Fan)",100,4B,76,-,03:33,34,"chinese r&b","Aquarius",2026-02-20,67,9,0,73,0,0,-4,G#/A♭ Major,4,5K84X5okfkb4MlMUz2frdV,QZMEM2617296
27,"Autumn Night","krnb",72,5B,67,-,03:15,45,"","in Autumn, You",2025-09-28,57,6,0,55,0,10,-4,D#/E♭ Major,4,3yEpbDpsrWJaRX2KJSM7HF,KSA002502025
28,"i still miss you","ZUHAIR,RINI",84,12A,50,-,03:54,42,"","i still miss you",2025-07-18,55,62,0,46,0,10,-8,C♯/D♭ Minor,4,67XTWoZzZygS9MzIl113td,QZTB82509595
29,"Oxygen","Celine Wanyi",103,12A,51,-,02:32,46,"","Oxygen",2025-10-15,46,44,17,33,0,10,-10,C♯/D♭ Minor,4,6IHodicddcuL8RqlvMfYwL,QT3F52504308
30,"meet you again","tonybear",150,9B,43,-,03:38,35,"","starstruck",2025-10-24,45,33,0,25,0,0,-8,G Major,4,0eeAKSulwSEus5fWF7TmL0,QT3F72518671
31,"Centerpiece","JHIN",93,10B,42,-,02:44,51,"","Centerpiece",2025-04-04,68,73,0,18,0,0,-10,D Major,3,5MlcCAtScThdqUBx3sa3Xe,QZPEW2594970
32,"Replay","16",138,2B,62,-,02:36,47,"","Replay",2024-10-21,69,34,0,53,0,10,-6,F#/G♭ Major,4,6brAP92ZIRqqKtdPIXMUf1,KRMIM2469016
33,"365","Kelly is Green",92,4B,44,-,03:22,55,"","Colorfully You",2025-10-02,75,81,0,70,0,20,-11,G#/A♭ Major,4,2EncKlD4EzcsCCY4qMV1y3,QT3F62578990
34,"BLUE","raph",63,4B,42,-,02:40,55,"","BLUE",2026-01-02,26,52,0,17,0,10,-9,G#/A♭ Major,4,5wytwzo2D7gdk1VRVKC5Ro,QZS7J2544674
35,"Wait","RIKII",160,7B,50,-,02:16,45,"","Wait",2022-08-26,59,49,0,39,0,10,-10,F Major,4,2u7qeuX1ebETIpHEvrhbYr,QZNWR2257430
36,"DUMMY","donny daydream",89,1B,43,-,03:15,55,"","DUMMY",2025-02-14,68,51,0,51,0,10,-8,B Major,4,7HrWXshLomWHVYD1tC21S1,QZDA62589267
37,"satellite","Lyle Kam",100,3B,55,-,02:39,53,"","satellite",2025-10-29,68,7,0,41,0,10,-9,C♯/D♭ Major,4,4rb3MM2MxUaIPQoC5uTPsO,QZZ8B2506993
38,"Shawty wanna","16",88,11A,60,-,02:17,40,"","STRANGER",2025-02-16,72,53,1,61,0,0,-4,F#/G♭ Minor,4,6fFed3KQe6bvPyDflWqyiH,KRMIM2505674
39,"Gorilla Grip","Greg Shilling",111,4A,65,-,03:05,63,"","Gorilla Grip",2025-03-28,78,21,1,83,0,10,-8,F Minor,4,72NSAIXc4MlxKdWCoqOe4S,QZHN42554552
40,"who am i without you","Celine Wanyi",121,10A,47,-,03:13,51,"","who am i without you",2025-02-14,69,76,0,29,0,10,-7,B Minor,4,2OX00uqnnobl4cV1Kp70BF,QZDA72509309
41,"Pink Skies","KIKIYO,Orion Song",152,12B,57,-,03:22,38,"","Pink Skies",2024-08-09,51,74,2,35,0,20,-6,E Major,4,5Wl6SJgNNdqbRBm4VaCwfK,QZTAY2433463
42,"IDK IDK","Ben Provencial",139,10A,58,-,02:38,40,"melodic bass","IDK IDK",2024-03-29,76,34,0,70,0,10,-4,B Minor,4,1vPKR1N4BXuAUwTEwbw64M,QZHN82406524
43,"LAST GOODBYE","sunkis",121,8B,62,-,02:28,62,"chinese r&b","LAST GOODBYE",2023-10-13,73,1,0,56,0,10,-6,C Major,4,4sTjUYjIC02RkNa1A8rWjE,QZTPX2376866
44,"7am","16",75,10B,49,-,02:14,43,"","STRANGER",2025-02-16,79,24,0,70,20,30,-6,D Major,4,23Ow4Eow43ZtnmE6YRTGPT,KRMIM2505672
45,"PARALLEL","Labit",97,7B,69,-,02:45,30,"","SOL",2025-10-17,66,4,0,76,0,30,-5,F Major,4,7rSxqkh2eajW5VZpraqWFB,QZWFE2576907
46,"Don't End Tonight","Kevin Chung",90,3B,50,-,02:27,44,"","If It's The End",2024-09-06,65,28,0,38,0,10,-10,C♯/D♭ Major,4,7n9hJJllSgUSklHIg9ccp5,TLVEM2455767
47,"Your Side","HYESUNG,16",111,1B,55,-,03:07,37,"","Your Side",2026-01-14,75,34,0,60,0,0,-9,B Major,4,4EsACnu3xnp6zAVum0vvpC,KSA002650004
48,"break","ash major",146,11B,60,-,02:57,40,"indie r&b","ash",2023-10-03,65,36,0,50,0,0,-7,A Major,4,1IJL1SMN8T2hqLSqLNY0Xi,QZTAU2340886
49,"WANT U MORE","keanu.,riensu",81,5A,62,-,02:49,34,"","blush.",2026-01-09,53,64,0,85,0,30,-9,C Minor,4,148M69fYwqj3PTnkjrtjA8,QT4K42532386
50,"Make no sense","16",94,11B,63,-,03:13,51,"","STRANGER",2025-02-16,67,15,0,18,0,0,-6,A Major,4,37DC1WzJ4cNBDq7lJS8ojr,KRMIM2505673
