#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"all the good girls go to hell","Billie Eilish",185,1A,44,2022-03-12,02:48,73,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,73,28,14,57,30,10,-9,G#/A♭ Minor,4,6IRdLKIyS4p7XNiP8r6rsx,USUM71900766
2,"Do I Wanna Know?","Arctic Monkeys",85,7B,53,2022-03-12,04:32,89,"indie, garage rock","AM",2013-09-09,55,19,0,41,0,20,-8,F Major,4,5FVd6KXrgO9B3JPmC8OPst,GBCEL1300362
3,"My Ordinary Life","The Living Tombstone",176,8A,66,2022-03-12,03:50,74,"","My Ordinary Life",2017-11-23,68,2,35,58,0,20,-9,A Minor,4,6tMdpUXfT70TD6Eh3XfB1p,QZANL1777908
4,"Happy Pills","Weathers",116,9A,89,2022-03-12,03:23,65,"","Happy Pills",2016-06-03,52,0,1,34,10,30,-5,E Minor,4,3zjjzKg16tczCMwckGKGuH,USRC11600888
5,"I WANNA BE YOUR SLAVE","Måneskin",133,3B,61,2022-03-12,02:53,86,"","Teatro d'ira - Vol. I",2021-03-19,75,0,0,96,0,10,-4,C♯/D♭ Major,4,4pt5fDVTg5GhEvEtlz9dKk,ITB002100115
6,"Mad Hatter","Melanie Martinez",92,4B,69,2022-03-12,03:21,71,"","Cry Baby (Deluxe Edition)",2015-08-14,57,2,0,58,0,10,-5,G#/A♭ Major,4,5gWtkdgdyt5bZt9i6n3Kqd,USAT21501943
7,"Problems","Mother Mother",104,3B,85,2022-03-12,03:27,0,"","Eureka",2011-03-15,63,1,3,53,0,10,-4,C♯/D♭ Major,4,0mFSV2Bawz8i9wnlc9eYme,CAL451028707
8,"Can You Feel My Heart","Bring Me The Horizon",171,9A,86,2022-03-12,03:47,81,"metalcore, emo, rock, screamo, post-hardcore","Sempiternal (Expanded Edition)",2013-04-01,15,0,19,35,0,30,-3,E Minor,5,0WSa1sucoNRcEeULlZVQXj,GBARL1202415
9,"The Real Slim Shady","Eminem",105,4A,66,2022-03-12,04:44,86,"rap, hip hop","The Marshall Mathers LP",2000-05-23,95,3,0,76,0,0,-4,F Minor,4,3yfqSUWxFvZELEM4PmlwIR,USIR10000448
10,"Primadonna","MARINA",128,9A,69,2022-03-12,03:41,82,"","Electra Heart (Deluxe)",2012-04-27,66,9,0,43,0,0,-3,E Minor,4,4sOX1nhpKwFWPvoMMExi3q,GBFFS1200009
11,"Without Me","Eminem",112,9B,67,2022-03-12,04:50,89,"rap, hip hop","The Eminem Show",2002-05-26,91,0,0,66,0,20,-3,G Major,4,7lQ8MOhq6IN2w8EYcFNSUk,USIR10211038
12,"Oh No!","MARINA",127,8B,90,2022-03-12,03:02,73,"","The Family Jewels",2009-07-15,77,5,0,96,0,20,-4,C Major,4,4sNwdacKyi2S26WrRtNama,GBFFS0900127
13,"If U Seek Amy","Britney Spears",130,9A,59,2022-03-12,03:36,76,"pop","Circus (Deluxe Version)",2008-12-02,72,2,0,54,0,0,-7,E Minor,4,2hdy9Wt9qp7M7d0U3ossu2,USJI10801329
14,"Why'd You Only Call Me When You're High?","Arctic Monkeys",92,10B,63,2022-03-12,02:41,87,"indie, garage rock","AM",2013-09-09,69,5,0,80,0,10,-6,D Major,4,086myS9r57YsLbJpU0TgK9,GBCEL1300370
15,"I Wanna Be Yours","Arctic Monkeys",68,5A,42,2022-03-12,03:03,92,"indie, garage rock","AM",2013-09-09,46,14,2,48,0,10,-9,C Minor,4,5XeFesFbtLpXzIVDNQP22n,GBCEL1300373
16,"Poker Face","Lady Gaga",119,12B,81,2022-03-12,03:57,86,"art pop, pop","The Fame",2008-01-01,85,12,0,77,0,10,-5,E Major,4,1QV6tiMFM6fSOKOGLMHYYg,USUM70824409
17,"Bloody Mary","Lady Gaga",100,8A,63,2022-03-12,04:04,76,"art pop, pop","Born This Way (International Special Edition Version)",2011-05-23,59,1,0,44,0,10,-6,A Minor,4,53jnnqFSRGMDB9ADrNriCA,USUM71106449
18,"My Alcoholic Friends","The Dresden Dolls",110,9A,68,2022-03-12,02:47,76,"","Yes, Virginia",2006-03-29,60,18,0,75,0,0,-4,E Minor,4,2gvmxusSOe3vNjNDjQWaso,NLA320581712
19,"Toxic","Britney Spears",143,4A,84,2022-03-12,03:18,87,"pop","In The Zone",2003-11-13,77,2,3,92,10,20,-4,F Minor,4,6I9VzXrHxO9rA9A5euc8Ak,USJI10301005
