#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Supermassive Black Hole","Muse",120,9B,92,2021-07-12,03:32,84,"alternative rock, rock","Black Holes and Revelations",2006-06-28,67,5,1,78,0,0,-4,G Major,4,3lPr8ghNDBLc2uZovNyLs9,GBAHT0500593
2,"Bang Bang Bang Bang","Sohodolls",94,3A,58,2021-07-12,03:01,64,"","Ribbed Music For The Numb Generation",2007-09-24,73,52,0,37,0,10,-7,A#/B♭ Minor,4,1MPMUZopRX9DFx3HXToTKG,GBHGV0700025
3,"Bubblegum Bitch","MARINA",158,5A,86,2021-07-12,02:34,81,"","Electra Heart (Deluxe)",2012-04-27,50,0,0,61,0,10,-5,C Minor,4,6IbnUaczZBT34DhaD6S18F,GBFFS1200008
4,"Hayloft","Mother Mother",96,8A,92,2021-07-12,03:01,3,"","O My Heart",2008-09-23,53,0,0,49,0,40,-3,A Minor,4,2kS6td1yvmpNgZTt1q5pQq,CAL450882108
5,"Pumped Up Kicks","Foster The People",128,4A,71,2021-07-12,03:59,87,"","Torches",2011-05-23,73,14,12,97,0,10,-6,F Minor,4,7w87IxuO7BDcJ3YUqCyMTT,USSM11002931
6,"Killer Queen","Queen",117,6B,50,2021-07-12,03:00,52,"classic rock, rock, glam rock","Sheer Heart Attack",1974-11-08,57,34,0,60,0,0,-12,A#/B♭ Major,4,70wvmV1Dyg1xWtCYSngm4R,GBCEE9300004
7,"The Bidding","Tally Hall",175,8A,61,2021-07-12,02:40,68,"","Marvin's Marvelous Mechanical Museum",2005-10-24,54,25,0,52,20,10,-5,A Minor,4,0HBrtXJohbIW4IhPZ50GmH,TCAAY1150083
8,"Sex with a Ghost","Teddy Hyde",79,10A,33,2021-07-12,03:52,0,"","Sock-Footed",2018-04-02,48,86,0,41,0,10,-12,B Minor,4,1baoZlq32nBee9tcYbQYxV,uscgj1853748
9,"Dark Horse","Katy Perry,Juicy J",132,2B,59,2021-07-12,03:35,77,"pop, crunk","PRISM (Deluxe)",2013-10-18,65,0,0,35,0,10,-6,F#/G♭ Major,4,5jrdCoLpJSvHHorevXBATy,USUM71311296
10,"Oops!...I Did It Again","Britney Spears",95,12A,83,2021-07-12,03:31,84,"pop","Oops!... I Did It Again",2000-05-16,75,30,0,89,0,30,-5,C♯/D♭ Minor,4,6naxalmIoLFWR0siv8dnQQ,USJI10000100
